,Datetime,Horse,Type,Location,Price,Midpoint Price,Venue,Midpoint Percentage,SELECTION_NAME,WIN_LOSE,BSP,Turnover
0,04-01-2023,Abreed,RaceType.HORSE_RACE,AUS,8.5,8.341065830721003,Geelong,0.9813018624377651,Abreed,0,9.55488524923625,88.95972874901277
1,04-01-2023,Angry Ann,RaceType.GREYHOUND_RACE,AUS,6.5,6.182857142857143,Richmond,0.9512087912087913,Angry Ann,1,4.961008259380325,131.02175324360192
2,04-01-2023,Another Cognac,RaceType.HORSE_RACE,AUS,6.5,6.382608695652174,Warwick Farm,0.9819397993311038,Another Cognac,1,4.471198150485579,145.3749035768878
3,04-01-2023,Big Time Brynley,RaceType.GREYHOUND_RACE,AUS,1.8,1.7341721854304637,Manawatu,0.9634289919058131,Big Time Brynley,0,1.8472110224419336,97.44419983053574
4,04-01-2023,Candy Kaos,RaceType.GREYHOUND_RACE,AUS,5.0,4.75,Taree,0.95,Candy Kaos,0,5.583165204,89.55493554834814
5,04-01-2023,Chilli On Ice,RaceType.GREYHOUND_RACE,AUS,8.5,8.597142857142856,Gawler,1.0114285714285713,Chilli On Ice,1,10.0,85.0
6,04-01-2023,Cracking Force,RaceType.GREYHOUND_RACE,AUS,2.5,2.428323699421965,Capalaba,0.971329479768786,Cracking Force,0,2.2184546375284846,112.69105789718455
7,04-01-2023,Cruzin Ace,RaceType.GREYHOUND_RACE,AUS,2.2,2.17,Taree,0.9863636363636362,Cruzin Ace,0,1.9312582854852551,113.91536888330916
8,04-01-2023,Demando,RaceType.HORSE_RACE,AUS,7.5,7.4,Geelong,0.9866666666666667,Demando,0,6.0,125.0
9,04-01-2023,Drink Then Kiss,RaceType.HORSE_RACE,AUS,4.8,4.5346153846153845,Mount Gambier,0.9447115384615384,Drink Then Kiss,0,4.318045326486464,111.16140839368389
10,04-01-2023,Gable,RaceType.GREYHOUND_RACE,AUS,7.0,6.830769230769231,Gawler,0.9758241758241759,Gable,0,4.437582910401881,157.7435315876962
11,04-01-2023,Go Goose Go,RaceType.GREYHOUND_RACE,AUS,7.0,6.937931034482759,Gawler,0.9911330049261083,Go Goose Go,0,7.161793049600092,97.7408862769481
12,04-01-2023,Goddess Of War,RaceType.GREYHOUND_RACE,AUS,6.5,6.788888888888889,Taree,1.0444444444444445,Goddess Of War,0,5.96411806,108.98509946665946
13,04-01-2023,Got No Torque,RaceType.GREYHOUND_RACE,AUS,3.5,3.316666666666667,Capalaba,0.9476190476190477,Got No Torque,0,3.035247223158368,115.31185905700386
14,04-01-2023,Johnny Baha,RaceType.GREYHOUND_RACE,AUS,7.5,7.285714285714286,Capalaba,0.9714285714285714,Johnny Baha,0,8.617162023195032,87.03561543594121
15,04-01-2023,Junior Marjen,RaceType.GREYHOUND_RACE,AUS,6.0,5.801851851851851,Bendigo,0.9669753086419752,Junior Marjen,0,5.7,105.26315789473684
16,04-01-2023,Lektra Flying,RaceType.GREYHOUND_RACE,AUS,5.5,5.071428571428572,Bendigo,0.9220779220779222,Lektra Flying,0,6.6,83.33333333333334
