,EVENT_DT,SELECTION_NAME,WIN_LOSE,BSP
0,04-01-2023,Bronte Blazer,0,3.238965634623037
1,04-01-2023,Travers Mania,0,29.20929252122587
2,04-01-2023,Gunai Bold,0,2.410103174536161
3,04-01-2023,Farmor Glee,0,11.0
4,04-01-2023,Simply Orson,0,16.622227809258042
5,04-01-2023,Prince Stimo,0,12.058655186176397
6,04-01-2023,Bad Monday,0,60.45514467237168
7,04-01-2023,Heart Of Garth,0,16.0
8,04-01-2023,Barcelona Boy,1,2.1416612797742705
9,04-01-2023,Jaydas Reward,0,94.97507243971016
10,04-01-2023,Bora Blue,1,5.380140840623644
11,04-01-2023,Lost Digit,0,48.0
12,04-01-2023,Jullisa Bale,0,150.0
13,04-01-2023,Spotted Bull,1,2.710345316888114
14,04-01-2023,Tuta Grizzly,0,3.344859027656548
15,04-01-2023,Alpha Raphel,0,13.0
16,04-01-2023,Oodles Of Noodle,0,21.529460171191023
17,04-01-2023,Casino Rose,0,20.0
18,04-01-2023,Flying Foo Foo,1,11.0
19,04-01-2023,Nockatunga,0,2.4961805133647426
20,04-01-2023,Calla Sue,0,20.0
21,04-01-2023,Cracking Force,0,2.2184546375284846
22,04-01-2023,Authority,0,70.0
23,04-01-2023,Tomato Tears,0,7.595276936339507
24,04-01-2023,Stella Star,0,11.5
25,04-01-2023,Foul Play,0,85.0
26,04-01-2023,Blinks Princess,0,30.0
27,04-01-2023,Zambora Tiger,1,1.98297849
28,04-01-2023,Raglan Beach,0,10.5
29,04-01-2023,Straight Shot,0,12.5
30,04-01-2023,Scout About,0,3.899810313405287
31,04-01-2023,Couch Surfer,1,1.508575791800101
32,04-01-2023,West On Spinner,0,6.0
33,04-01-2023,True Treat,0,5.971253452572853
34,04-01-2023,Perfect Flossy,0,8.4
35,04-01-2023,Banjo Black,0,55.44852899478748
36,04-01-2023,Orford Bale,0,44.0
37,04-01-2023,Set To Jet,0,9.869017846
38,04-01-2023,Indy Ghost,1,8.931393654380223
39,04-01-2023,Bumpy Johnson,0,15.472127376
40,04-01-2023,Zipping Noelle,0,13.175339824439146
41,04-01-2023,Speedy Sunny,0,7.956071268297716
42,04-01-2023,Headford Buzz,0,4.318406607
43,04-01-2023,Mulrankin Bell,0,8.879283574
44,04-01-2023,Midas Lassie,0,10.686293441313316
45,04-01-2023,Da Good Genes,0,12.0
46,04-01-2023,Rabble Rouser,1,3.514204453180136
47,04-01-2023,Hey Daisy,0,4.6
48,04-01-2023,Trapstyle Dolly,0,12.0
49,04-01-2023,Freedom Venus,0,8.8
50,04-01-2023,Do Not Disturb,0,4.333500455219765
51,04-01-2023,Whittle Emmet (res),0,9.902968822
