,Perfect Flossy,Sylvan Lake,Nova Girl,Mango Man,Dewana Fair Go,Reiko Clooney,Junior Marjen,Julipa Bale
04-01-2023 14:37:49.418928,"(7.5, 13.5, 11.925)","(2.45, 4.2, 3.181818181818182)","(5.0, 8.4, 7.090909090909092)","(5.5, 9.8, 9.2375)","(19.0, 70.0, 37.8125)","(15.0, 48.0, 27.375)","(6.5, 12.0, 10.741935483870968)","(7.5, 14.0, 11.84)"
04-01-2023 14:37:50.506953,"(7.5, 13.5, 11.925)","(2.45, 4.2, 3.181818181818182)","(5.0, 8.4, 7.090909090909092)","(5.5, 9.8, 9.2375)","(19.0, 70.0, 37.8125)","(15.0, 48.0, 27.375)","(6.5, 12.0, 10.741935483870968)","(7.5, 14.0, 11.84)"
04-01-2023 14:37:51.658574,"(7.5, 13.5, 11.925)","(2.45, 4.2, 3.181818181818182)","(5.0, 8.4, 7.090909090909092)","(5.5, 9.8, 9.2375)","(19.0, 70.0, 37.8125)","(15.0, 48.0, 27.375)","(6.5, 12.0, 10.741935483870968)","(7.5, 14.0, 11.84)"
04-01-2023 14:37:52.983531,"(7.5, 13.5, 11.925)","(2.45, 4.2, 3.181818181818182)","(5.0, 8.4, 7.090909090909092)","(5.5, 9.8, 9.2375)","(19.0, 70.0, 37.8125)","(15.0, 48.0, 27.375)","(6.5, 12.0, 10.741935483870968)","(7.5, 14.0, 11.84)"
04-01-2023 14:37:54.129071,"(7.5, 13.5, 11.925)","(2.45, 4.2, 3.181818181818182)","(5.0, 8.4, 7.090909090909092)","(5.5, 9.8, 9.2375)","(19.0, 70.0, 37.8125)","(15.0, 48.0, 27.375)","(6.5, 12.0, 10.741935483870968)","(7.5, 14.0, 11.84)"
04-01-2023 14:37:55.218612,"(7.5, 13.5, 11.925)","(2.45, 4.2, 3.181818181818182)","(5.0, 8.4, 7.090909090909092)","(5.5, 9.8, 9.2375)","(19.0, 70.0, 37.8125)","(15.0, 48.0, 27.375)","(6.5, 12.0, 10.741935483870968)","(7.5, 14.0, 11.84)"
04-01-2023 14:37:56.383902,"(7.5, 13.5, 11.925)","(2.45, 4.2, 3.181818181818182)","(5.0, 8.4, 7.090909090909092)","(5.5, 9.8, 9.2375)","(19.0, 70.0, 37.8125)","(15.0, 48.0, 27.375)","(6.5, 12.0, 10.741935483870968)","(7.5, 14.0, 11.84)"
04-01-2023 14:37:57.507341,"(7.5, 13.5, 11.925)","(2.45, 4.2, 3.181818181818182)","(5.0, 8.4, 7.090909090909092)","(5.5, 9.8, 9.2375)","(19.0, 70.0, 37.8125)","(15.0, 48.0, 27.375)","(6.5, 12.0, 10.741935483870968)","(7.5, 14.0, 11.84)"
04-01-2023 14:37:58.592773,"(7.5, 13.5, 11.925)","(2.45, 4.2, 3.181818181818182)","(5.0, 8.4, 7.090909090909092)","(5.5, 9.8, 9.2375)","(19.0, 70.0, 37.8125)","(15.0, 48.0, 27.375)","(6.5, 12.0, 10.741935483870968)","(7.5, 14.0, 11.84)"
04-01-2023 14:37:59.707813,"(7.5, 13.5, 11.925)","(2.45, 4.2, 3.181818181818182)","(5.0, 8.4, 7.090909090909092)","(5.5, 9.8, 9.2375)","(19.0, 70.0, 37.8125)","(15.0, 48.0, 27.375)","(6.5, 12.0, 10.741935483870968)","(7.5, 14.0, 11.84)"
04-01-2023 14:38:00.836244,"(7.5, 13.5, 11.925)","(2.45, 4.2, 3.181818181818182)","(5.0, 8.4, 7.090909090909092)","(5.5, 9.8, 9.2375)","(19.0, 70.0, 37.8125)","(15.0, 48.0, 27.375)","(6.5, 12.0, 10.741935483870968)","(7.5, 14.0, 11.84)"
04-01-2023 14:38:01.935594,"(7.5, 13.5, 11.925)","(2.45, 4.2, 3.181818181818182)","(5.0, 8.4, 7.090909090909092)","(5.5, 9.8, 9.2375)","(19.0, 70.0, 37.8125)","(15.0, 48.0, 27.375)","(6.5, 12.0, 10.741935483870968)","(7.5, 14.0, 11.84)"
04-01-2023 14:38:03.033530,"(7.5, 13.5, 11.925)","(2.45, 4.2, 3.181818181818182)","(5.0, 8.4, 7.090909090909092)","(5.5, 9.8, 9.131578947368421)","(19.0, 70.0, 37.8125)","(15.0, 48.0, 27.375)","(6.5, 12.0, 10.741935483870968)","(7.5, 14.0, 11.84)"
04-01-2023 14:38:04.113233,"(7.5, 13.5, 11.925)","(2.45, 4.2, 3.181818181818182)","(5.0, 8.4, 7.090909090909092)","(5.5, 10.5, 9.131578947368421)","(19.0, 70.0, 37.8125)","(15.0, 48.0, 27.375)","(6.5, 12.0, 10.741935483870968)","(7.5, 14.0, 11.84)"
04-01-2023 14:38:05.151644,"(7.5, 13.5, 11.925)","(2.45, 4.2, 3.181818181818182)","(5.0, 8.4, 7.090909090909092)","(5.5, 10.5, 9.131578947368421)","(19.0, 70.0, 37.8125)","(15.0, 48.0, 27.375)","(6.5, 12.0, 10.741935483870968)","(7.5, 14.0, 11.84)"
04-01-2023 14:38:06.124882,"(7.5, 13.5, 11.925)","(2.45, 4.2, 3.181818181818182)","(5.0, 8.4, 7.090909090909092)","(5.5, 10.5, 9.131578947368421)","(19.0, 70.0, 37.8125)","(15.0, 48.0, 27.375)","(6.5, 12.0, 10.741935483870968)","(7.5, 14.0, 11.84)"
04-01-2023 14:38:07.143753,"(7.5, 13.5, 11.925)","(2.45, 4.2, 3.181818181818182)","(5.0, 8.4, 7.090909090909092)","(5.5, 10.5, 9.131578947368421)","(19.0, 70.0, 37.8125)","(15.0, 48.0, 27.375)","(6.5, 12.0, 10.741935483870968)","(7.5, 14.0, 11.84)"
04-01-2023 14:38:08.188708,"(7.5, 13.5, 11.925)","(2.45, 4.2, 3.181818181818182)","(5.0, 8.4, 7.090909090909092)","(5.5, 10.5, 9.131578947368421)","(19.0, 70.0, 37.8125)","(15.0, 48.0, 27.375)","(6.5, 12.0, 10.741935483870968)","(7.5, 14.0, 11.84)"
04-01-2023 14:38:09.248312,"(7.5, 13.5, 11.925)","(2.45, 4.2, 3.181818181818182)","(5.0, 8.4, 7.090909090909092)","(5.5, 10.5, 9.131578947368421)","(19.0, 70.0, 37.8125)","(15.0, 48.0, 27.375)","(6.5, 12.0, 10.741935483870968)","(7.5, 14.0, 11.84)"
04-01-2023 14:38:10.299069,"(7.5, 13.5, 11.925)","(2.45, 4.2, 3.181818181818182)","(5.0, 8.4, 7.090909090909092)","(5.5, 10.5, 9.131578947368421)","(19.0, 70.0, 37.8125)","(15.0, 48.0, 27.375)","(6.5, 12.0, 10.741935483870968)","(7.5, 14.0, 11.84)"
04-01-2023 14:38:11.331366,"(7.5, 13.5, 11.925)","(2.45, 4.2, 3.181818181818182)","(5.0, 8.4, 7.090909090909092)","(5.5, 10.5, 9.131578947368421)","(19.0, 70.0, 37.8125)","(15.0, 48.0, 27.375)","(6.5, 12.0, 10.741935483870968)","(7.5, 14.0, 11.84)"
04-01-2023 14:38:12.319456,"(7.5, 13.5, 11.925)","(2.45, 4.2, 3.181818181818182)","(5.0, 8.4, 7.090909090909092)","(5.5, 10.5, 9.131578947368421)","(19.0, 70.0, 37.8125)","(15.0, 48.0, 27.375)","(6.5, 12.0, 10.741935483870968)","(7.5, 14.0, 11.84)"
04-01-2023 14:38:13.313230,"(7.5, 13.5, 11.925)","(2.45, 4.2, 3.181818181818182)","(5.0, 8.4, 7.090909090909092)","(5.5, 10.5, 9.131578947368421)","(19.0, 70.0, 37.8125)","(15.0, 48.0, 27.375)","(6.5, 12.0, 10.741935483870968)","(7.5, 14.0, 11.84)"
04-01-2023 14:38:14.887919,"(7.5, 13.5, 11.925)","(2.45, 4.2, 3.181818181818182)","(5.0, 8.4, 7.090909090909092)","(5.5, 10.5, 9.131578947368421)","(19.0, 70.0, 37.8125)","(15.0, 48.0, 27.375)","(6.5, 12.0, 10.741935483870968)","(7.5, 14.0, 11.84)"
04-01-2023 14:38:16.091727,"(7.5, 13.5, 11.925)","(2.45, 4.2, 3.181818181818182)","(5.0, 8.4, 7.090909090909092)","(5.5, 10.5, 9.131578947368421)","(19.0, 70.0, 37.8125)","(15.0, 48.0, 27.375)","(6.5, 12.0, 10.741935483870968)","(7.5, 14.0, 11.84)"
04-01-2023 14:38:17.317609,"(7.5, 13.5, 11.925)","(2.45, 4.2, 3.181818181818182)","(5.0, 8.4, 7.090909090909092)","(5.5, 10.5, 9.131578947368421)","(19.0, 70.0, 37.8125)","(15.0, 48.0, 27.375)","(6.5, 12.0, 10.741935483870968)","(7.5, 14.0, 11.84)"
04-01-2023 14:38:18.367866,"(7.5, 13.5, 11.925)","(2.45, 4.2, 3.181818181818182)","(5.0, 8.4, 7.090909090909092)","(5.5, 10.5, 9.131578947368421)","(19.0, 70.0, 37.8125)","(15.0, 48.0, 27.375)","(6.5, 12.0, 10.741935483870968)","(7.5, 14.0, 11.84)"
04-01-2023 14:38:19.414979,"(7.5, 13.5, 11.925)","(2.45, 4.2, 3.181818181818182)","(5.0, 8.4, 7.090909090909092)","(5.5, 10.5, 9.131578947368421)","(19.0, 70.0, 37.8125)","(15.0, 48.0, 27.375)","(6.5, 12.0, 10.741935483870968)","(7.5, 14.0, 11.84)"
04-01-2023 14:38:20.415239,"(7.5, 13.5, 11.925)","(2.45, 4.2, 3.181818181818182)","(5.0, 8.4, 7.090909090909092)","(5.5, 10.5, 9.131578947368421)","(19.0, 70.0, 37.8125)","(15.0, 48.0, 27.375)","(6.5, 12.0, 10.741935483870968)","(7.5, 14.0, 11.84)"
04-01-2023 14:38:21.422630,"(7.5, 13.5, 11.925)","(2.45, 4.2, 3.181818181818182)","(5.0, 8.4, 7.090909090909092)","(5.5, 10.5, 9.131578947368421)","(19.0, 70.0, 37.8125)","(15.0, 48.0, 27.375)","(6.5, 12.0, 10.741935483870968)","(7.5, 14.0, 11.84)"
04-01-2023 14:38:22.417574,"(7.5, 13.5, 11.925)","(2.45, 4.2, 3.181818181818182)","(5.0, 8.4, 7.090909090909092)","(5.5, 10.5, 9.131578947368421)","(19.0, 70.0, 37.8125)","(15.0, 48.0, 27.375)","(6.5, 12.0, 10.741935483870968)","(7.5, 14.0, 11.84)"
