,El Cordobes,Trodaire,Euro Dandy,Girello,Indifference,Magnetic Prince,Piaggio,Montjeuify
04-01-2023 13:46:47.015165,"(5.5, 7.6, 7.278048780487805)","(18.0, 26.0, 23.605263157894736)","(4.0, 4.7, 4.616666666666666)","(6.5, 8.0, 7.89047619047619)","(2.6, 3.35, 3.2835526315789476)","(8.0, 9.2, 9.142307692307693)","(14.0, 17.5, 17.045454545454547)","(61.0, 150.0, 120.0)"
04-01-2023 13:46:48.092159,"(5.5, 7.6, 7.278048780487805)","(18.0, 26.0, 23.605263157894736)","(4.0, 4.7, 4.616666666666666)","(6.5, 8.0, 7.89047619047619)","(2.6, 3.35, 3.3079545454545456)","(8.0, 9.2, 8.938461538461539)","(14.0, 17.5, 17.125)","(61.0, 150.0, 142.0)"
04-01-2023 13:46:49.235206,"(5.5, 7.6, 7.278048780487805)","(18.0, 26.0, 23.605263157894736)","(4.0, 4.7, 4.616666666666666)","(6.5, 8.0, 7.89047619047619)","(2.6, 3.35, 3.3079545454545456)","(8.0, 9.2, 8.95)","(14.0, 17.5, 17.5)","(61.0, 190.0, 145.0)"
04-01-2023 13:46:50.391151,"(5.5, 7.6, 7.278048780487805)","(18.0, 26.0, 23.605263157894736)","(4.0, 4.7, 4.616666666666666)","(6.5, 8.0, 7.89047619047619)","(2.6, 3.35, 3.3079545454545456)","(8.0, 9.2, 8.95)","(14.0, 18.0, 17.5)","(61.0, 180.0, 145.0)"
04-01-2023 13:46:51.560649,"(5.5, 7.6, 7.426315789473684)","(18.0, 26.0, 23.605263157894736)","(4.0, 4.7, 4.616666666666666)","(6.5, 8.0, 7.89047619047619)","(2.6, 3.35, 3.3079545454545456)","(8.0, 9.2, 8.95)","(14.0, 18.0, 17.5)","(61.0, 180.0, 134.0)"
04-01-2023 13:46:52.684169,"(5.5, 7.6, 7.47012987012987)","(18.0, 26.0, 23.605263157894736)","(4.0, 4.7, 4.616666666666666)","(6.5, 8.0, 7.89047619047619)","(2.6, 3.35, 3.3079545454545456)","(8.0, 9.2, 8.95)","(14.0, 18.0, 17.5)","(61.0, 170.0, 134.0)"
04-01-2023 13:46:53.705367,"(5.5, 7.6, 7.47012987012987)","(18.0, 26.0, 23.605263157894736)","(4.0, 4.7, 4.616666666666666)","(6.5, 8.0, 7.89047619047619)","(2.6, 3.35, 3.3079545454545456)","(8.0, 9.2, 8.95)","(14.0, 18.0, 17.5)","(61.0, 170.0, 134.0)"
04-01-2023 13:46:54.768887,"(5.5, 7.6, 7.438709677419355)","(18.0, 26.0, 23.605263157894736)","(4.0, 4.7, 4.616666666666666)","(6.5, 8.0, 7.89047619047619)","(2.6, 3.35, 3.3079545454545456)","(8.0, 9.2, 8.95)","(14.0, 18.0, 17.81818181818182)","(61.0, 170.0, 134.0)"
04-01-2023 13:46:55.793797,"(5.5, 7.6, 7.438709677419355)","(18.0, 25.0, 23.166666666666668)","(4.0, 4.7, 4.616666666666666)","(6.5, 8.0, 7.89047619047619)","(2.6, 3.35, 3.3079545454545456)","(8.0, 9.2, 8.95)","(14.0, 18.0, 17.81818181818182)","(61.0, 170.0, 134.0)"
04-01-2023 13:46:56.831856,"(5.5, 7.6, 7.438709677419355)","(18.0, 24.0, 23.357142857142858)","(4.0, 4.7, 4.616666666666666)","(6.5, 8.0, 7.906122448979592)","(2.6, 3.35, 3.3079545454545456)","(8.0, 9.2, 8.938461538461539)","(14.0, 18.0, 17.833333333333332)","(61.0, 170.0, 134.0)"
04-01-2023 13:46:57.900828,"(5.5, 7.6, 7.438709677419355)","(18.0, 24.0, 22.676470588235293)","(4.0, 4.7, 4.616666666666666)","(6.5, 8.0, 7.906122448979592)","(2.6, 3.35, 3.3079545454545456)","(8.0, 9.2, 8.928571428571429)","(14.0, 18.0, 17.833333333333332)","(61.0, 170.0, 134.0)"
04-01-2023 13:46:58.906124,"(5.5, 7.6, 7.438709677419355)","(19.0, 24.0, 22.676470588235293)","(4.0, 4.7, 4.616666666666666)","(6.5, 8.0, 7.906122448979592)","(2.6, 3.35, 3.3079545454545456)","(8.0, 9.0, 8.928571428571429)","(15.0, 18.0, 17.833333333333332)","(61.0, 170.0, 134.0)"
04-01-2023 13:46:59.988979,"(5.5, 7.6, 7.438709677419355)","(19.0, 24.0, 22.676470588235293)","(4.0, 4.7, 4.616666666666666)","(6.5, 8.0, 7.906122448979592)","(2.6, 3.35, 3.3079545454545456)","(8.0, 9.0, 8.956521739130435)","(15.0, 18.0, 17.833333333333332)","(61.0, 170.0, 134.0)"
04-01-2023 13:47:01.124434,"(5.5, 7.6, 7.438709677419355)","(19.0, 24.0, 22.676470588235293)","(4.0, 4.7, 4.616666666666666)","(6.5, 8.0, 7.906122448979592)","(2.6, 3.35, 3.3079545454545456)","(8.0, 9.0, 8.956521739130435)","(15.0, 18.0, 17.833333333333332)","(61.0, 170.0, 134.0)"
04-01-2023 13:47:02.310870,"(5.5, 7.6, 7.438709677419355)","(19.0, 24.0, 22.977272727272727)","(4.0, 4.7, 4.616666666666666)","(6.5, 8.0, 7.906122448979592)","(2.6, 3.35, 3.3079545454545456)","(8.0, 9.0, 8.956521739130435)","(15.0, 18.0, 17.833333333333332)","(61.0, 170.0, 134.0)"
04-01-2023 13:47:03.383911,"(5.5, 7.6, 7.438709677419355)","(19.0, 24.0, 22.977272727272727)","(4.0, 4.7, 4.616666666666666)","(6.5, 8.0, 7.928125)","(2.6, 3.35, 3.3079545454545456)","(8.0, 9.0, 8.956521739130435)","(15.0, 18.0, 17.833333333333332)","(61.0, 170.0, 134.0)"
04-01-2023 13:47:04.482087,"(5.5, 7.6, 7.438709677419355)","(19.0, 24.0, 22.977272727272727)","(4.0, 4.7, 4.616666666666666)","(6.5, 8.0, 7.928125)","(2.6, 3.35, 3.3079545454545456)","(8.0, 9.0, 8.956521739130435)","(15.0, 18.0, 17.833333333333332)","(61.0, 170.0, 134.0)"
04-01-2023 13:47:05.518936,"(5.5, 7.6, 7.438709677419355)","(19.0, 24.0, 22.977272727272727)","(4.0, 4.7, 4.616666666666666)","(6.5, 8.0, 7.928125)","(2.6, 3.35, 3.3079545454545456)","(8.0, 9.0, 8.956521739130435)","(15.0, 18.0, 17.833333333333332)","(61.0, 170.0, 134.0)"
04-01-2023 13:47:06.611315,"(5.5, 7.6, 7.438709677419355)","(19.0, 24.0, 22.977272727272727)","(4.0, 4.7, 4.616666666666666)","(6.5, 8.0, 7.928125)","(2.6, 3.35, 3.3079545454545456)","(8.0, 9.0, 8.956521739130435)","(15.0, 18.0, 17.833333333333332)","(61.0, 170.0, 134.0)"
04-01-2023 13:47:07.722752,"(5.5, 7.6, 7.438709677419355)","(19.0, 23.0, 22.63157894736842)","(4.0, 4.7, 4.616666666666666)","(6.5, 8.0, 7.928125)","(2.6, 3.35, 3.3079545454545456)","(8.0, 9.0, 8.956521739130435)","(15.0, 18.0, 17.833333333333332)","(61.0, 170.0, 134.0)"
04-01-2023 13:47:08.870204,"(5.5, 7.6, 7.438709677419355)","(19.0, 23.0, 22.086956521739133)","(4.0, 4.7, 4.616666666666666)","(6.5, 8.0, 7.928125)","(2.6, 3.35, 3.3079545454545456)","(8.0, 9.0, 8.956521739130435)","(15.0, 18.0, 17.833333333333332)","(61.0, 170.0, 134.0)"
04-01-2023 13:47:10.077005,"(5.5, 7.6, 7.438709677419355)","(19.0, 23.0, 22.086956521739133)","(4.0, 4.7, 4.616666666666666)","(6.5, 8.0, 7.928125)","(2.6, 3.35, 3.3079545454545456)","(8.0, 9.0, 8.956521739130435)","(15.0, 18.0, 17.833333333333332)","(61.0, 170.0, 140.0)"
04-01-2023 13:47:11.208768,"(5.5, 7.6, 7.438709677419355)","(19.0, 23.0, 22.086956521739133)","(4.0, 4.7, 4.616666666666666)","(6.5, 8.0, 7.928125)","(2.6, 3.35, 3.3079545454545456)","(8.0, 9.0, 8.956521739130435)","(15.0, 18.0, 17.833333333333332)","(61.0, 170.0, 140.0)"
