,Prompt Prodigy,Deevine,Grand Pope,Grinzinger Prince,Tramontana,Bluestone Lane,Cosmic Rhapsody,Jamarra,Rosalia,Pinnace,Snappy Magnus,Hes Essential,The Siscos Kid
04-01-2023 15:58:56.049609,"(51.0, 260.0, 131.42857142857144)","(26.0, 95.0, 82.25)","(6.5, 8.4, 8.285714285714286)","(5.5, 6.4, 6.278260869565218)","(9.0, 11.0, 10.928571428571429)","(18.0, 46.0, 40.4)","(26.0, 34.0, 33.4)","(6.0, 7.6, 7.3)","(8.0, 9.6, 8.933333333333334)","(4.4, 5.6, 5.5)","(31.0, 60.0, 52.53333333333333)","(10.0, 13.0, 12.48)","(81.0, 170.0, 132.5)"
04-01-2023 15:58:57.659497,"(51.0, 260.0, 131.42857142857144)","(26.0, 95.0, 82.25)","(6.5, 8.4, 8.285714285714286)","(5.5, 6.4, 6.278260869565218)","(9.0, 11.0, 10.928571428571429)","(18.0, 46.0, 36.666666666666664)","(26.0, 34.0, 33.4)","(6.0, 7.6, 7.3)","(8.0, 9.6, 8.714285714285714)","(4.4, 5.6, 5.5)","(31.0, 60.0, 52.53333333333333)","(10.0, 13.0, 12.48)","(81.0, 170.0, 132.5)"
04-01-2023 15:58:59.223440,"(51.0, 260.0, 131.42857142857144)","(26.0, 95.0, 82.25)","(6.5, 8.4, 8.285714285714286)","(5.5, 6.4, 6.278260869565218)","(9.0, 11.0, 10.954545454545455)","(18.0, 46.0, 36.666666666666664)","(26.0, 34.0, 38.8)","(6.0, 7.6, 7.3)","(8.0, 9.0, 8.714285714285714)","(4.4, 5.6, 5.5)","(31.0, 60.0, 52.53333333333333)","(10.0, 13.0, 12.48)","(81.0, 170.0, 132.5)"
04-01-2023 15:59:00.774678,"(51.0, 260.0, 131.42857142857144)","(26.0, 95.0, 82.25)","(6.5, 8.4, 8.285714285714286)","(5.5, 6.4, 6.278260869565218)","(9.0, 11.0, 10.954545454545455)","(18.0, 46.0, 36.666666666666664)","(26.0, 40.0, 35.714285714285715)","(6.0, 7.6, 7.3)","(8.0, 9.0, 8.714285714285714)","(4.4, 5.6, 5.5)","(31.0, 60.0, 52.53333333333333)","(10.0, 13.0, 12.48)","(81.0, 170.0, 132.5)"
04-01-2023 15:59:02.282831,"(51.0, 260.0, 131.42857142857144)","(26.0, 95.0, 82.25)","(6.5, 8.4, 8.285714285714286)","(5.5, 6.4, 6.278260869565218)","(9.0, 11.0, 10.954545454545455)","(18.0, 46.0, 36.666666666666664)","(26.0, 40.0, 34.35294117647059)","(6.0, 7.6, 7.3)","(8.0, 9.0, 8.714285714285714)","(4.4, 5.6, 5.5)","(31.0, 60.0, 52.53333333333333)","(10.0, 13.0, 12.48)","(81.0, 170.0, 132.5)"
04-01-2023 15:59:03.941078,"(51.0, 260.0, 131.42857142857144)","(26.0, 95.0, 82.25)","(6.5, 8.4, 8.285714285714286)","(5.5, 6.4, 6.157377049180328)","(9.0, 11.0, 10.954545454545455)","(18.0, 46.0, 36.666666666666664)","(26.0, 40.0, 37.6)","(6.0, 7.6, 7.3)","(8.0, 9.0, 8.714285714285714)","(4.4, 5.6, 5.5)","(31.0, 60.0, 52.53333333333333)","(10.0, 13.0, 12.48)","(81.0, 170.0, 132.5)"
04-01-2023 15:59:05.396757,"(51.0, 260.0, 131.42857142857144)","(26.0, 95.0, 82.25)","(6.5, 8.4, 8.285714285714286)","(5.5, 6.2, 6.157377049180328)","(9.0, 11.0, 10.954545454545455)","(18.0, 46.0, 36.666666666666664)","(26.0, 40.0, 34.857142857142854)","(6.0, 7.6, 7.3)","(8.0, 9.0, 8.714285714285714)","(4.4, 5.6, 5.5)","(31.0, 60.0, 52.53333333333333)","(10.0, 13.0, 12.48)","(81.0, 170.0, 132.5)"
04-01-2023 15:59:06.886401,"(51.0, 260.0, 131.42857142857144)","(26.0, 95.0, 82.25)","(6.5, 8.4, 8.285714285714286)","(5.5, 6.2, 6.276190476190476)","(9.0, 11.0, 10.954545454545455)","(18.0, 46.0, 36.666666666666664)","(26.0, 40.0, 34.857142857142854)","(6.0, 7.6, 7.3)","(8.0, 9.0, 8.714285714285714)","(4.4, 5.6, 5.5)","(31.0, 60.0, 52.53333333333333)","(10.0, 13.0, 12.48)","(81.0, 170.0, 132.5)"
04-01-2023 15:59:08.493868,"(51.0, 260.0, 131.42857142857144)","(26.0, 95.0, 70.5)","(6.5, 8.4, 8.285714285714286)","(5.5, 6.4, 6.330666666666667)","(9.0, 11.0, 10.954545454545455)","(18.0, 46.0, 36.666666666666664)","(26.0, 40.0, 34.857142857142854)","(6.0, 7.6, 7.3)","(8.0, 9.0, 8.714285714285714)","(4.4, 5.6, 5.5)","(31.0, 60.0, 53.0)","(10.0, 13.0, 12.48)","(81.0, 170.0, 132.5)"
04-01-2023 15:59:10.266309,"(51.0, 260.0, 131.42857142857144)","(26.0, 95.0, 70.5)","(6.5, 8.4, 8.285714285714286)","(5.5, 6.4, 6.330666666666667)","(9.0, 11.0, 10.954545454545455)","(18.0, 46.0, 36.5)","(26.0, 40.0, 34.857142857142854)","(6.0, 7.6, 7.3)","(8.0, 9.0, 8.714285714285714)","(4.4, 5.6, 5.5)","(31.0, 60.0, 53.0)","(10.0, 13.0, 12.48)","(81.0, 170.0, 132.5)"
