,Mighty Kristy,Winlock Tilly,Locked Up,Angry Ann,Slingshot Yo Yo,Up The Score,Swiper Taz
04-01-2023 14:31:34.551069,"(6.5, 14.0, 11.632000000000001)","(3.4, 6.6, 3.742857142857143)","(13.0, 38.0, 20.18181818181818)","(7.0, 12.5, 11.376190476190477)","(19.0, 80.0, 45.42857142857143)","(3.5, 5.1, 3.7666666666666666)","(3.2, 5.5, 3.3333333333333335)"
04-01-2023 14:31:35.615117,"(6.5, 14.0, 11.632000000000001)","(3.4, 6.6, 3.742857142857143)","(13.0, 38.0, 20.18181818181818)","(7.0, 12.5, 11.376190476190477)","(19.0, 80.0, 45.42857142857143)","(3.5, 5.1, 3.7666666666666666)","(3.2, 5.5, 3.3333333333333335)"
04-01-2023 14:31:36.712419,"(6.5, 14.0, 11.632000000000001)","(3.4, 6.6, 3.742857142857143)","(13.0, 38.0, 20.18181818181818)","(7.0, 12.5, 11.376190476190477)","(19.0, 80.0, 45.42857142857143)","(3.5, 5.1, 3.7666666666666666)","(3.2, 5.5, 3.3333333333333335)"
04-01-2023 14:31:37.769779,"(6.5, 14.0, 11.632000000000001)","(3.4, 6.6, 3.742857142857143)","(13.0, 38.0, 20.18181818181818)","(7.0, 12.5, 11.376190476190477)","(19.0, 80.0, 45.42857142857143)","(3.5, 5.1, 3.7666666666666666)","(3.2, 5.5, 3.3333333333333335)"
04-01-2023 14:31:38.773910,"(6.5, 14.0, 11.632000000000001)","(3.4, 6.6, 3.742857142857143)","(13.0, 38.0, 20.18181818181818)","(7.0, 12.5, 11.376190476190477)","(19.0, 80.0, 45.42857142857143)","(3.5, 5.1, 3.7666666666666666)","(3.2, 5.5, 3.3333333333333335)"
04-01-2023 14:31:39.768694,"(6.5, 14.0, 11.632000000000001)","(3.4, 6.6, 3.742857142857143)","(13.0, 38.0, 20.18181818181818)","(7.0, 12.5, 11.376190476190477)","(19.0, 80.0, 45.42857142857143)","(3.5, 5.1, 3.7666666666666666)","(3.2, 5.5, 3.3333333333333335)"
04-01-2023 14:31:40.745898,"(6.5, 14.0, 11.632000000000001)","(3.4, 6.6, 3.742857142857143)","(13.0, 38.0, 20.18181818181818)","(7.0, 12.5, 11.376190476190477)","(19.0, 80.0, 45.42857142857143)","(3.5, 5.1, 3.7666666666666666)","(3.2, 5.5, 3.3333333333333335)"
04-01-2023 14:31:41.774480,"(6.5, 14.0, 11.632000000000001)","(3.4, 6.6, 3.742857142857143)","(13.0, 38.0, 20.18181818181818)","(7.0, 12.5, 11.376190476190477)","(19.0, 80.0, 45.42857142857143)","(3.5, 5.1, 3.7666666666666666)","(3.2, 5.5, 3.3333333333333335)"
04-01-2023 14:31:42.798609,"(6.5, 14.0, 11.632000000000001)","(3.4, 6.6, 3.742857142857143)","(13.0, 38.0, 20.18181818181818)","(7.0, 12.5, 11.376190476190477)","(19.0, 80.0, 45.42857142857143)","(3.5, 5.1, 3.7666666666666666)","(3.2, 5.5, 3.3333333333333335)"
04-01-2023 14:31:43.836458,"(6.5, 14.0, 11.632000000000001)","(3.4, 6.6, 3.742857142857143)","(13.0, 38.0, 20.18181818181818)","(7.0, 12.5, 11.376190476190477)","(19.0, 80.0, 45.42857142857143)","(3.5, 5.1, 3.7666666666666666)","(3.2, 5.5, 3.3333333333333335)"
04-01-2023 14:31:44.881528,"(6.5, 14.0, 11.632000000000001)","(3.4, 6.6, 3.742857142857143)","(13.0, 38.0, 20.18181818181818)","(7.0, 12.5, 11.376190476190477)","(19.0, 80.0, 45.42857142857143)","(3.5, 5.1, 3.7666666666666666)","(3.2, 5.5, 3.3333333333333335)"
04-01-2023 14:31:45.874717,"(6.5, 14.0, 11.632000000000001)","(3.4, 6.6, 3.742857142857143)","(13.0, 38.0, 20.18181818181818)","(7.0, 12.5, 11.376190476190477)","(19.0, 80.0, 45.42857142857143)","(3.5, 5.1, 3.7666666666666666)","(3.2, 5.5, 3.3333333333333335)"
