,Dayseas Trudie,Mayfair Fantasy,Got No Torque,Meg Bee,Heres Caza,Me And You,Calla Sue,Miss Sassy
04-01-2023 14:39:07.899225,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 3.3273333333333333)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:39:09.038040,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 3.3273333333333333)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:39:10.112625,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 3.3273333333333333)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:39:11.244066,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 3.3273333333333333)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:39:12.361395,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 3.3273333333333333)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:39:13.493934,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 3.1676190476190476)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:39:14.592624,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 3.1676190476190476)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:39:15.885200,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 3.1676190476190476)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:39:17.250537,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 3.1676190476190476)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:39:18.356832,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 2.8828571428571426)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:39:19.496832,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 2.8828571428571426)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:39:20.623782,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 2.8828571428571426)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:39:21.778996,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 2.8828571428571426)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
