,Elettrica,Banana Queen,Zelady Luck,Silk Tie,Sweet Mercy,Empress El,Arranmore,Flying Tyrol,Carolina Fire
04-01-2023 14:12:26.190811,"(2.9, 3.25, 3.217932489451477)","(4.0, 5.0, 4.92)","(13.0, 18.0, 17.607142857142858)","(16.0, 28.0, 20.0)","(3.7, 4.2, 4.169611307420494)","(19.0, 36.0, 31.625)","(10.0, 14.0, 12.973684210526315)","(41.0, 95.0, 74.16666666666667)","(26.0, 42.0, 39.0)"
04-01-2023 14:12:27.355457,"(2.9, 3.25, 3.217932489451477)","(4.0, 5.0, 4.92)","(13.0, 18.5, 17.607142857142858)","(16.0, 27.0, 23.266666666666666)","(3.7, 4.3, 4.169611307420494)","(19.0, 36.0, 31.625)","(10.0, 14.0, 12.973684210526315)","(41.0, 95.0, 77.14285714285714)","(26.0, 42.0, 40.15384615384615)"
04-01-2023 14:12:28.588737,"(2.9, 3.25, 3.215610859728507)","(4.0, 5.0, 4.977777777777778)","(13.0, 18.5, 17.607142857142858)","(16.0, 27.0, 20.77777777777778)","(3.7, 4.3, 4.169611307420494)","(19.0, 36.0, 31.625)","(10.0, 14.0, 12.973684210526315)","(41.0, 95.0, 77.14285714285714)","(26.0, 42.0, 40.15384615384615)"
04-01-2023 14:12:29.789336,"(2.9, 3.25, 3.213636363636364)","(4.0, 5.0, 4.977777777777778)","(13.0, 18.5, 17.607142857142858)","(16.0, 27.0, 20.77777777777778)","(3.7, 4.3, 4.169611307420494)","(19.0, 36.0, 31.625)","(10.0, 14.0, 12.973684210526315)","(41.0, 95.0, 77.14285714285714)","(26.0, 42.0, 40.15384615384615)"
04-01-2023 14:12:30.948499,"(2.9, 3.25, 3.213636363636364)","(4.0, 5.0, 4.977777777777778)","(13.0, 18.5, 17.607142857142858)","(16.0, 25.0, 23.0)","(3.7, 4.3, 4.169611307420494)","(19.0, 36.0, 31.625)","(10.0, 14.0, 12.973684210526315)","(41.0, 95.0, 77.14285714285714)","(26.0, 42.0, 40.15384615384615)"
04-01-2023 14:12:32.138477,"(2.9, 3.25, 3.213636363636364)","(4.0, 5.0, 4.977777777777778)","(13.0, 18.5, 17.607142857142858)","(16.0, 25.0, 23.0)","(3.7, 4.3, 4.169611307420494)","(19.0, 36.0, 31.625)","(10.0, 14.0, 12.973684210526315)","(41.0, 95.0, 77.14285714285714)","(26.0, 42.0, 40.15384615384615)"
04-01-2023 14:12:33.341070,"(2.9, 3.25, 3.2123762376237623)","(4.0, 5.0, 4.977777777777778)","(13.0, 18.5, 17.607142857142858)","(16.0, 25.0, 21.25)","(3.7, 4.3, 4.169611307420494)","(19.0, 36.0, 31.625)","(10.0, 14.0, 12.973684210526315)","(41.0, 95.0, 77.14285714285714)","(26.0, 42.0, 40.15384615384615)"
04-01-2023 14:12:34.569389,"(2.8, 3.25, 3.2123762376237623)","(4.0, 5.0, 4.977777777777778)","(13.0, 18.0, 17.52173913043478)","(16.0, 25.0, 22.5)","(3.7, 4.2, 4.175769230769231)","(19.0, 36.0, 31.625)","(10.0, 14.0, 12.973684210526315)","(41.0, 95.0, 86.81818181818181)","(26.0, 42.0, 39.0)"
04-01-2023 14:12:35.768503,"(2.8, 3.25, 3.22088122605364)","(4.0, 5.0, 4.977777777777778)","(13.0, 18.0, 17.10810810810811)","(16.0, 25.0, 22.5)","(3.7, 4.2, 4.170357142857143)","(19.0, 36.0, 31.625)","(10.0, 14.0, 12.973684210526315)","(41.0, 95.0, 83.75)","(26.0, 42.0, 39.0)"
04-01-2023 14:12:37.029379,"(2.8, 3.25, 3.22088122605364)","(4.0, 5.0, 4.977777777777778)","(13.0, 18.0, 17.10810810810811)","(16.0, 25.0, 22.5)","(3.7, 4.2, 4.1723333333333334)","(19.0, 36.0, 31.625)","(10.0, 14.0, 12.973684210526315)","(41.0, 95.0, 83.75)","(26.0, 42.0, 39.0)"
