,Butterfly Angel,Aston Stella,Patched,Emerley Bruce,Yankee Costanza,Brief
04-01-2023 13:19:39.332458,"(3.6, 5.4, 3.7555555555555555)","(11.0, 23.0, 18.833333333333336)","(2.5, 3.45, 2.6193333333333335)","(6.0, 12.5, 10.615625)","(3.2, 5.8, 4.1971428571428575)","(51.0, 390.0, 214.0)"
04-01-2023 13:19:40.519071,"(3.6, 5.4, 3.7555555555555555)","(11.0, 23.0, 18.833333333333336)","(2.5, 3.45, 2.6193333333333335)","(6.0, 12.5, 10.615625)","(3.2, 5.8, 4.1971428571428575)","(51.0, 390.0, 214.0)"
04-01-2023 13:19:41.591761,"(3.6, 5.4, 3.7555555555555555)","(11.0, 23.0, 18.833333333333336)","(2.5, 3.45, 2.6193333333333335)","(6.0, 12.5, 10.615625)","(3.2, 5.8, 4.1971428571428575)","(51.0, 390.0, 214.0)"
04-01-2023 13:19:42.682628,"(3.6, 5.4, 3.7555555555555555)","(11.0, 23.0, 18.833333333333336)","(2.5, 3.45, 2.6193333333333335)","(6.0, 12.5, 10.615625)","(3.2, 5.8, 4.1971428571428575)","(51.0, 390.0, 214.0)"
04-01-2023 13:19:43.732638,"(3.6, 5.4, 3.7555555555555555)","(11.0, 23.0, 18.833333333333336)","(2.5, 3.45, 2.6193333333333335)","(6.0, 12.5, 10.615625)","(3.2, 5.8, 4.1971428571428575)","(51.0, 390.0, 214.0)"
04-01-2023 13:19:44.785838,"(3.6, 5.4, 3.7555555555555555)","(11.0, 23.0, 18.833333333333336)","(2.5, 3.45, 2.6193333333333335)","(6.0, 12.5, 10.615625)","(3.2, 5.8, 4.1971428571428575)","(51.0, 390.0, 214.0)"
04-01-2023 13:19:45.789280,"(3.6, 5.4, 3.7555555555555555)","(11.0, 23.0, 18.833333333333336)","(2.5, 3.45, 2.6193333333333335)","(6.0, 12.5, 10.615625)","(3.2, 5.8, 4.1971428571428575)","(51.0, 390.0, 214.0)"
04-01-2023 13:19:46.834737,"(3.6, 5.4, 3.7555555555555555)","(11.0, 23.0, 18.833333333333336)","(2.5, 3.45, 2.6193333333333335)","(6.0, 12.5, 10.615625)","(3.2, 5.8, 4.1971428571428575)","(51.0, 390.0, 214.0)"
04-01-2023 13:19:47.848297,"(3.6, 5.4, 3.7555555555555555)","(11.0, 23.0, 18.833333333333336)","(2.5, 3.45, 2.6193333333333335)","(6.0, 12.5, 10.615625)","(3.2, 5.8, 4.1971428571428575)","(51.0, 390.0, 214.0)"
04-01-2023 13:19:48.913249,"(3.6, 5.4, 3.7555555555555555)","(11.0, 23.0, 18.833333333333336)","(2.5, 3.45, 2.6193333333333335)","(6.0, 12.5, 10.615625)","(3.2, 5.8, 4.1971428571428575)","(51.0, 390.0, 214.0)"
04-01-2023 13:19:49.965473,"(3.6, 5.4, 3.7555555555555555)","(11.0, 23.0, 18.833333333333336)","(2.5, 3.45, 2.6193333333333335)","(6.0, 12.5, 10.615625)","(3.2, 5.8, 4.1971428571428575)","(51.0, 390.0, 214.0)"
04-01-2023 13:19:50.972904,"(3.6, 5.4, 3.7555555555555555)","(11.0, 23.0, 18.833333333333336)","(2.5, 3.45, 2.6193333333333335)","(6.0, 12.5, 10.615625)","(3.2, 5.8, 4.1971428571428575)","(51.0, 390.0, 214.0)"
04-01-2023 13:19:52.001633,"(3.6, 5.4, 3.7555555555555555)","(11.0, 23.0, 18.833333333333336)","(2.5, 3.45, 2.6193333333333335)","(6.0, 12.5, 10.615625)","(3.2, 5.8, 4.1971428571428575)","(51.0, 390.0, 214.0)"
04-01-2023 13:19:53.028583,"(3.6, 5.4, 3.7555555555555555)","(11.0, 23.0, 18.833333333333336)","(2.5, 3.45, 2.6193333333333335)","(6.0, 12.5, 10.615625)","(3.2, 5.8, 4.1971428571428575)","(51.0, 390.0, 214.0)"
04-01-2023 13:19:54.063872,"(3.6, 5.4, 3.7555555555555555)","(11.0, 23.0, 18.833333333333336)","(2.5, 3.45, 2.6193333333333335)","(6.0, 12.5, 10.615625)","(3.2, 5.8, 4.1971428571428575)","(51.0, 390.0, 214.0)"
04-01-2023 13:19:55.044448,"(3.6, 5.4, 3.7555555555555555)","(11.0, 23.0, 18.833333333333336)","(2.5, 3.45, 2.6193333333333335)","(6.0, 12.5, 10.615625)","(3.2, 5.8, 4.1971428571428575)","(51.0, 390.0, 214.0)"
04-01-2023 13:19:56.083783,"(3.6, 5.4, 3.7555555555555555)","(11.0, 23.0, 18.833333333333336)","(2.5, 3.45, 2.6193333333333335)","(6.0, 12.5, 10.615625)","(3.2, 5.8, 4.1971428571428575)","(51.0, 390.0, 214.0)"
04-01-2023 13:19:56.975058,"(3.6, 5.4, 3.7555555555555555)","(11.0, 23.0, 18.833333333333336)","(2.5, 3.45, 2.6193333333333335)","(6.0, 12.5, 10.615625)","(3.2, 5.8, 4.1971428571428575)","(51.0, 390.0, 214.0)"
04-01-2023 13:19:57.938170,"(3.6, 5.4, 3.7555555555555555)","(11.0, 23.0, 18.833333333333336)","(2.5, 3.45, 2.6193333333333335)","(6.0, 12.5, 10.615625)","(3.2, 5.8, 4.1971428571428575)","(51.0, 390.0, 214.0)"
04-01-2023 13:19:58.953688,"(3.6, 5.4, 3.7555555555555555)","(11.0, 23.0, 18.833333333333336)","(2.5, 3.45, 2.6193333333333335)","(6.0, 12.5, 10.615625)","(3.2, 5.8, 4.1971428571428575)","(51.0, 390.0, 214.0)"
04-01-2023 13:19:59.920211,"(3.6, 5.4, 3.7555555555555555)","(11.0, 23.0, 18.833333333333336)","(2.5, 3.45, 2.6193333333333335)","(6.0, 12.5, 10.615625)","(3.2, 5.8, 4.1971428571428575)","(51.0, 390.0, 214.0)"
04-01-2023 13:20:00.895766,"(3.6, 5.4, 3.7555555555555555)","(11.0, 23.0, 18.833333333333336)","(2.5, 3.45, 2.6193333333333335)","(6.0, 12.5, 10.615625)","(3.2, 5.8, 4.1971428571428575)","(51.0, 390.0, 214.0)"
04-01-2023 13:20:01.843183,"(3.6, 5.4, 3.7555555555555555)","(11.0, 23.0, 18.833333333333336)","(2.5, 3.45, 2.6193333333333335)","(6.0, 12.5, 10.615625)","(3.2, 5.8, 4.1971428571428575)","(51.0, 390.0, 214.0)"
04-01-2023 13:20:02.797576,"(3.6, 5.4, 3.7555555555555555)","(11.0, 23.0, 18.833333333333336)","(2.5, 3.45, 2.6193333333333335)","(6.0, 12.5, 10.615625)","(3.2, 5.8, 4.1971428571428575)","(51.0, 390.0, 214.0)"
04-01-2023 13:20:03.818061,"(3.6, 5.4, 3.7555555555555555)","(11.0, 23.0, 18.833333333333336)","(2.5, 3.45, 2.6193333333333335)","(6.0, 12.5, 10.615625)","(3.2, 5.8, 4.1971428571428575)","(51.0, 390.0, 214.0)"
04-01-2023 13:20:04.766654,"(3.6, 5.4, 3.7555555555555555)","(11.0, 23.0, 18.833333333333336)","(2.5, 3.45, 2.6193333333333335)","(6.0, 12.5, 10.615625)","(3.2, 5.8, 4.1971428571428575)","(51.0, 390.0, 214.0)"
04-01-2023 13:20:05.736637,"(3.6, 5.4, 3.7555555555555555)","(11.0, 23.0, 18.833333333333336)","(2.5, 3.45, 2.6193333333333335)","(6.0, 12.5, 10.615625)","(3.2, 5.8, 4.1971428571428575)","(51.0, 390.0, 214.0)"
04-01-2023 13:20:06.706723,"(3.6, 5.4, 3.7555555555555555)","(11.0, 23.0, 18.833333333333336)","(2.5, 3.45, 2.6193333333333335)","(6.0, 12.5, 10.615625)","(3.2, 5.8, 4.1971428571428575)","(51.0, 390.0, 214.0)"
04-01-2023 13:20:07.643017,"(3.6, 5.4, 3.7555555555555555)","(11.0, 23.0, 18.833333333333336)","(2.5, 3.45, 2.6193333333333335)","(6.0, 12.5, 10.615625)","(3.2, 5.8, 4.1971428571428575)","(51.0, 390.0, 214.0)"
04-01-2023 13:20:08.585316,"(3.6, 5.4, 3.7555555555555555)","(11.0, 23.0, 18.833333333333336)","(2.5, 3.45, 2.6193333333333335)","(6.0, 12.5, 10.615625)","(3.2, 5.8, 4.1971428571428575)","(51.0, 390.0, 214.0)"
04-01-2023 13:20:09.560856,"(3.6, 5.4, 3.7555555555555555)","(11.0, 23.0, 18.833333333333336)","(2.5, 3.45, 2.6193333333333335)","(6.0, 12.5, 10.615625)","(3.2, 5.8, 4.1971428571428575)","(51.0, 390.0, 214.0)"
04-01-2023 13:20:10.553546,"(3.6, 5.4, 3.7555555555555555)","(11.0, 23.0, 18.833333333333336)","(2.5, 3.45, 2.6193333333333335)","(6.0, 12.5, 10.615625)","(3.2, 5.8, 4.1971428571428575)","(51.0, 390.0, 214.0)"
04-01-2023 13:20:11.554924,"(3.6, 5.4, 3.7555555555555555)","(11.0, 23.0, 18.833333333333336)","(2.5, 3.45, 2.6193333333333335)","(6.0, 12.5, 10.615625)","(3.2, 5.8, 4.1971428571428575)","(51.0, 390.0, 214.0)"
04-01-2023 13:20:12.550253,"(3.6, 5.4, 3.7555555555555555)","(11.0, 23.0, 18.833333333333336)","(2.5, 3.45, 2.6193333333333335)","(6.0, 12.5, 10.615625)","(3.2, 5.8, 4.1971428571428575)","(51.0, 390.0, 214.0)"
04-01-2023 13:20:13.548324,"(3.6, 5.4, 3.7555555555555555)","(11.0, 23.0, 18.833333333333336)","(2.5, 3.45, 2.6193333333333335)","(6.0, 12.5, 10.615625)","(3.2, 5.8, 4.1971428571428575)","(51.0, 390.0, 214.0)"
04-01-2023 13:20:14.553078,"(3.6, 5.4, 3.7555555555555555)","(11.0, 23.0, 18.833333333333336)","(2.5, 3.45, 2.6193333333333335)","(6.0, 12.5, 10.615625)","(3.2, 5.8, 4.1971428571428575)","(51.0, 390.0, 214.0)"
04-01-2023 13:20:15.742568,"(3.6, 5.4, 3.7555555555555555)","(11.0, 23.0, 18.833333333333336)","(2.5, 3.45, 2.6193333333333335)","(6.0, 12.5, 10.615625)","(3.2, 5.8, 4.1971428571428575)","(51.0, 390.0, 214.0)"
04-01-2023 13:20:16.948015,"(3.6, 5.4, 3.7555555555555555)","(11.0, 23.0, 18.833333333333336)","(2.5, 3.45, 2.6193333333333335)","(6.0, 12.5, 10.615625)","(3.2, 5.8, 4.1971428571428575)","(51.0, 390.0, 214.0)"
04-01-2023 13:20:18.072951,"(3.6, 5.4, 3.7555555555555555)","(11.0, 23.0, 18.833333333333336)","(2.5, 3.45, 2.6193333333333335)","(6.0, 12.5, 10.615625)","(3.2, 5.8, 4.1971428571428575)","(51.0, 390.0, 214.0)"
04-01-2023 13:20:19.203875,"(3.6, 5.4, 3.7555555555555555)","(11.0, 23.0, 18.833333333333336)","(2.5, 3.45, 2.6193333333333335)","(6.0, 12.5, 10.615625)","(3.2, 5.8, 4.1971428571428575)","(51.0, 390.0, 214.0)"
04-01-2023 13:20:20.282434,"(3.6, 5.4, 3.7555555555555555)","(11.0, 23.0, 18.833333333333336)","(2.5, 3.45, 2.6193333333333335)","(6.0, 12.5, 10.615625)","(3.2, 5.8, 4.1971428571428575)","(51.0, 390.0, 214.0)"
04-01-2023 13:20:21.393763,"(3.6, 5.4, 3.7555555555555555)","(11.0, 23.0, 18.833333333333336)","(2.5, 3.45, 2.6193333333333335)","(6.0, 12.5, 10.615625)","(3.2, 5.8, 4.1971428571428575)","(51.0, 390.0, 214.0)"
04-01-2023 13:20:22.453589,"(3.6, 5.4, 3.7555555555555555)","(11.0, 23.0, 18.833333333333336)","(2.5, 3.45, 2.6193333333333335)","(6.0, 12.5, 10.615625)","(3.2, 5.8, 4.1971428571428575)","(51.0, 390.0, 214.0)"
04-01-2023 13:20:23.543398,"(3.6, 5.4, 3.7555555555555555)","(11.0, 23.0, 18.833333333333336)","(2.5, 3.45, 2.6193333333333335)","(6.0, 12.5, 10.615625)","(3.2, 5.8, 4.1971428571428575)","(51.0, 390.0, 214.0)"
04-01-2023 13:20:24.622341,"(3.6, 5.4, 3.7555555555555555)","(11.0, 23.0, 18.833333333333336)","(2.5, 3.45, 2.6193333333333335)","(6.0, 12.5, 10.615625)","(3.2, 5.8, 4.1971428571428575)","(51.0, 390.0, 214.0)"
04-01-2023 13:20:25.679831,"(3.6, 5.4, 3.7555555555555555)","(11.0, 23.0, 18.833333333333336)","(2.5, 3.45, 2.6193333333333335)","(6.0, 12.5, 10.615625)","(3.2, 5.8, 4.1971428571428575)","(51.0, 390.0, 214.0)"
04-01-2023 13:20:26.749939,"(3.6, 5.4, 3.7555555555555555)","(11.0, 23.0, 18.833333333333336)","(2.5, 3.45, 2.6193333333333335)","(6.0, 12.5, 10.615625)","(3.2, 5.8, 4.1971428571428575)","(51.0, 390.0, 214.0)"
04-01-2023 13:20:27.794373,"(3.6, 5.4, 3.7555555555555555)","(11.0, 23.0, 18.833333333333336)","(2.5, 3.45, 2.6193333333333335)","(6.0, 12.5, 10.615625)","(3.2, 5.8, 4.1971428571428575)","(51.0, 390.0, 214.0)"
04-01-2023 13:20:28.879072,"(3.6, 5.4, 3.7555555555555555)","(11.0, 23.0, 18.833333333333336)","(2.5, 3.45, 2.6193333333333335)","(6.0, 12.5, 10.615625)","(3.2, 5.8, 4.1971428571428575)","(51.0, 390.0, 214.0)"
04-01-2023 13:20:29.903792,"(3.6, 5.4, 3.7555555555555555)","(11.0, 23.0, 18.833333333333336)","(2.5, 3.45, 2.6193333333333335)","(6.0, 12.5, 10.615625)","(3.2, 5.8, 4.1971428571428575)","(51.0, 390.0, 214.0)"
04-01-2023 13:20:30.956329,"(3.6, 5.4, 3.7555555555555555)","(11.0, 23.0, 18.833333333333336)","(2.5, 3.45, 2.6193333333333335)","(6.0, 12.5, 10.615625)","(3.2, 5.8, 4.1971428571428575)","(51.0, 390.0, 214.0)"
04-01-2023 13:20:31.974721,"(3.6, 5.4, 3.7555555555555555)","(11.0, 23.0, 18.833333333333336)","(2.5, 3.45, 2.6193333333333335)","(6.0, 12.5, 10.615625)","(3.2, 5.8, 4.1971428571428575)","(51.0, 390.0, 214.0)"
04-01-2023 13:20:33.058333,"(3.6, 5.4, 3.7555555555555555)","(11.0, 23.0, 18.833333333333336)","(2.5, 3.45, 2.6193333333333335)","(6.0, 12.5, 10.615625)","(3.2, 5.8, 4.1971428571428575)","(51.0, 390.0, 214.0)"
04-01-2023 13:20:34.165688,"(3.6, 5.4, 3.7555555555555555)","(11.0, 23.0, 18.833333333333336)","(2.5, 3.45, 2.6193333333333335)","(6.0, 12.5, 10.615625)","(3.2, 5.8, 4.1971428571428575)","(51.0, 390.0, 214.0)"
04-01-2023 13:20:35.347379,"(3.6, 5.4, 3.7555555555555555)","(11.0, 23.0, 18.833333333333336)","(2.5, 3.45, 2.6193333333333335)","(6.0, 12.5, 10.615625)","(3.2, 5.8, 4.1971428571428575)","(51.0, 390.0, 214.0)"
04-01-2023 13:20:36.504758,"(3.6, 5.4, 3.7555555555555555)","(11.0, 23.0, 18.833333333333336)","(2.5, 3.45, 2.6193333333333335)","(6.0, 12.5, 10.615625)","(3.2, 5.8, 4.1971428571428575)","(51.0, 390.0, 214.0)"
04-01-2023 13:20:37.654923,"(3.6, 5.4, 3.7555555555555555)","(11.0, 23.0, 18.833333333333336)","(2.5, 3.45, 2.6193333333333335)","(6.0, 12.5, 10.615625)","(3.2, 5.8, 4.1971428571428575)","(51.0, 390.0, 214.0)"
04-01-2023 13:20:38.891114,"(3.6, 5.4, 3.7555555555555555)","(11.0, 23.0, 18.833333333333336)","(2.5, 3.45, 2.6193333333333335)","(6.0, 12.5, 10.615625)","(3.2, 5.8, 4.1971428571428575)","(51.0, 390.0, 214.0)"
04-01-2023 13:20:39.929910,"(3.6, 5.4, 3.7555555555555555)","(11.0, 23.0, 18.833333333333336)","(2.5, 3.45, 2.6193333333333335)","(6.0, 12.5, 10.615625)","(3.2, 5.8, 4.1971428571428575)","(51.0, 390.0, 214.0)"
04-01-2023 13:20:40.996841,"(3.6, 5.4, 3.7555555555555555)","(11.0, 23.0, 18.833333333333336)","(2.5, 3.45, 2.6193333333333335)","(6.0, 12.5, 10.615625)","(3.2, 5.8, 4.1971428571428575)","(51.0, 390.0, 214.0)"
04-01-2023 13:20:42.030332,"(3.6, 5.4, 3.7555555555555555)","(11.0, 23.0, 18.833333333333336)","(2.5, 3.45, 2.6193333333333335)","(6.0, 12.5, 10.615625)","(3.2, 5.8, 4.1971428571428575)","(51.0, 390.0, 214.0)"
04-01-2023 13:20:43.047713,"(3.6, 5.4, 3.7555555555555555)","(11.0, 23.0, 18.833333333333336)","(2.5, 3.45, 2.6193333333333335)","(6.0, 12.5, 10.615625)","(3.2, 5.8, 4.1971428571428575)","(51.0, 390.0, 214.0)"
04-01-2023 13:20:44.187851,"(3.6, 5.4, 3.7555555555555555)","(11.0, 23.0, 18.833333333333336)","(2.5, 3.45, 2.6193333333333335)","(6.0, 12.5, 10.615625)","(3.2, 5.8, 4.1971428571428575)","(51.0, 390.0, 214.0)"
04-01-2023 13:20:45.252843,"(3.6, 5.4, 3.7555555555555555)","(11.0, 23.0, 18.833333333333336)","(2.5, 3.45, 2.6193333333333335)","(6.0, 12.5, 10.615625)","(3.2, 5.8, 4.1971428571428575)","(51.0, 390.0, 214.0)"
