,Austrian Legend,Referral,Freddy Vegas,Billy Nailer,Inspired Reason
04-01-2023 15:17:02.478883,"(26.0, 95.0, 50.0)","(81.0, 590.0, 349.09090909090907)","(4.0, 6.2, 5.238636363636363)","(3.6, 6.6, 5.302941176470588)","(1.45, 1.99, 1.7566666666666666)"
04-01-2023 15:17:03.521069,"(26.0, 95.0, 50.0)","(81.0, 590.0, 349.09090909090907)","(4.0, 6.2, 5.238636363636363)","(3.6, 6.6, 5.302941176470588)","(1.45, 1.99, 1.7566666666666666)"
04-01-2023 15:17:04.437624,"(26.0, 95.0, 50.0)","(81.0, 590.0, 349.09090909090907)","(4.0, 6.2, 5.238636363636363)","(3.6, 6.6, 5.302941176470588)","(1.45, 1.99, 1.7566666666666666)"
04-01-2023 15:17:05.417587,"(26.0, 95.0, 50.0)","(81.0, 590.0, 349.09090909090907)","(4.0, 6.2, 5.238636363636363)","(3.6, 6.6, 5.302941176470588)","(1.45, 1.99, 1.7566666666666666)"
04-01-2023 15:17:06.410470,"(26.0, 95.0, 50.0)","(81.0, 590.0, 349.09090909090907)","(4.0, 6.2, 5.238636363636363)","(3.6, 6.6, 5.302941176470588)","(1.45, 1.99, 1.7566666666666666)"
04-01-2023 15:17:07.274952,"(26.0, 95.0, 50.0)","(81.0, 590.0, 349.09090909090907)","(4.0, 6.2, 5.238636363636363)","(3.6, 6.6, 5.302941176470588)","(1.45, 1.99, 1.7566666666666666)"
04-01-2023 15:17:08.082960,"(26.0, 95.0, 50.0)","(81.0, 590.0, 349.09090909090907)","(4.0, 6.2, 5.238636363636363)","(3.6, 6.6, 5.302941176470588)","(1.45, 1.99, 1.7566666666666666)"
04-01-2023 15:17:09.050261,"(26.0, 95.0, 50.0)","(81.0, 590.0, 349.09090909090907)","(4.0, 6.2, 5.238636363636363)","(3.6, 6.6, 5.302941176470588)","(1.45, 1.99, 1.7566666666666666)"
04-01-2023 15:17:10.000999,"(26.0, 95.0, 50.0)","(81.0, 590.0, 349.09090909090907)","(4.0, 6.2, 5.238636363636363)","(3.6, 6.6, 5.302941176470588)","(1.45, 1.99, 1.7566666666666666)"
04-01-2023 15:17:10.919654,"(26.0, 95.0, 50.0)","(81.0, 590.0, 349.09090909090907)","(4.0, 6.2, 5.238636363636363)","(3.6, 6.6, 5.302941176470588)","(1.45, 1.99, 1.7566666666666666)"
04-01-2023 15:17:11.823744,"(26.0, 95.0, 50.0)","(81.0, 590.0, 349.09090909090907)","(4.0, 6.2, 5.238636363636363)","(3.6, 6.6, 5.302941176470588)","(1.45, 1.99, 1.7566666666666666)"
