,Aston Charlie,Chilli On Ice,Fizzy Crest,Gable,Woodside Gracie,Stella Star
04-01-2023 10:08:36.187355,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 4.699999999999999)","(9.0, 19.5, 15.3375)"
04-01-2023 10:08:37.133994,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 4.699999999999999)","(9.0, 19.5, 15.3375)"
04-01-2023 10:08:37.995811,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 4.699999999999999)","(9.0, 19.5, 15.3375)"
04-01-2023 10:08:38.881315,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 4.699999999999999)","(9.0, 19.5, 15.3375)"
04-01-2023 10:08:39.749993,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 4.699999999999999)","(9.0, 19.5, 15.3375)"
04-01-2023 10:08:40.634331,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 4.699999999999999)","(9.0, 19.5, 15.3375)"
04-01-2023 10:08:41.548817,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 4.699999999999999)","(9.0, 19.5, 15.3375)"
04-01-2023 10:08:42.494768,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 4.699999999999999)","(9.0, 19.5, 15.3375)"
04-01-2023 10:08:43.414040,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 4.699999999999999)","(9.0, 19.5, 15.3375)"
04-01-2023 10:08:44.283416,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 4.699999999999999)","(9.0, 19.5, 15.3375)"
04-01-2023 10:08:45.161929,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 4.699999999999999)","(9.0, 19.5, 15.3375)"
04-01-2023 10:08:46.044215,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 4.699999999999999)","(9.0, 19.5, 15.3375)"
04-01-2023 10:08:46.880680,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 4.699999999999999)","(9.0, 19.5, 15.3375)"
04-01-2023 10:08:47.754152,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 4.699999999999999)","(9.0, 19.5, 15.3375)"
04-01-2023 10:08:48.618870,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 4.699999999999999)","(9.0, 19.5, 15.3375)"
