,Mezidon,Barmera,Different Road,Putt For Dough,Mr Showman,Alfano,Gypsy King,Jeune Dreamon,Mad Darcey,Not That Easy
04-01-2023 12:55:47.285645,"(6.0, 7.0, 6.946218487394958)","(9.0, 12.0, 11.892561983471074)","(3.7, 4.6, 4.532989690721649)","(20.0, 44.0, 42.285714285714285)","(14.0, 23.0, 21.8)","(12.0, 18.0, 16.714285714285715)","(20.0, 42.0, 36.18181818181818)","(31.0, 75.0, 73.4375)","(3.4, 3.95, 3.9165876777251185)","(9.0, 13.0, 12.666666666666666)"
04-01-2023 12:55:48.562905,"(6.0, 7.0, 6.946218487394958)","(9.0, 12.0, 11.892561983471074)","(3.7, 4.6, 4.526136363636364)","(20.0, 44.0, 42.285714285714285)","(14.0, 23.0, 21.8)","(12.0, 18.0, 16.714285714285715)","(20.0, 42.0, 36.18181818181818)","(31.0, 75.0, 73.4375)","(3.4, 3.95, 3.9165876777251185)","(9.0, 13.0, 12.666666666666666)"
04-01-2023 12:55:49.844621,"(6.0, 7.0, 6.946218487394958)","(9.0, 12.0, 11.892561983471074)","(3.7, 4.6, 4.526136363636364)","(20.0, 44.0, 42.285714285714285)","(14.0, 23.0, 21.8)","(12.0, 18.0, 16.714285714285715)","(20.0, 42.0, 36.18181818181818)","(31.0, 75.0, 73.4375)","(3.4, 3.95, 3.9165876777251185)","(9.0, 13.0, 12.666666666666666)"
04-01-2023 12:55:51.125396,"(6.0, 7.0, 6.946218487394958)","(9.0, 12.0, 11.892561983471074)","(3.7, 4.6, 4.526136363636364)","(20.0, 44.0, 42.285714285714285)","(14.0, 23.0, 21.8)","(12.0, 18.0, 16.714285714285715)","(20.0, 42.0, 36.18181818181818)","(31.0, 75.0, 73.4375)","(3.4, 3.95, 3.9165876777251185)","(9.0, 13.0, 12.666666666666666)"
04-01-2023 12:55:52.457700,"(6.0, 7.0, 6.946218487394958)","(9.0, 12.0, 11.892561983471074)","(3.7, 4.6, 4.526136363636364)","(20.0, 44.0, 42.285714285714285)","(14.0, 23.0, 21.8)","(12.0, 18.0, 16.714285714285715)","(20.0, 42.0, 36.18181818181818)","(31.0, 75.0, 73.4375)","(3.4, 3.95, 3.9165876777251185)","(9.0, 13.0, 12.666666666666666)"
04-01-2023 12:55:53.745401,"(6.0, 7.0, 6.946218487394958)","(9.0, 12.0, 11.892561983471074)","(3.7, 4.6, 4.526136363636364)","(20.0, 44.0, 40.266666666666666)","(14.0, 23.0, 21.8)","(12.0, 18.0, 16.714285714285715)","(20.0, 42.0, 36.18181818181818)","(31.0, 75.0, 73.4375)","(3.4, 3.95, 3.9165876777251185)","(9.0, 13.0, 12.666666666666666)"
04-01-2023 12:55:54.974168,"(6.0, 7.0, 6.946218487394958)","(9.0, 12.0, 11.837209302325581)","(3.7, 4.6, 4.526136363636364)","(20.0, 44.0, 40.266666666666666)","(14.0, 23.0, 21.8)","(12.0, 18.0, 16.714285714285715)","(20.0, 42.0, 36.18181818181818)","(31.0, 75.0, 73.4375)","(3.4, 3.95, 3.9165876777251185)","(9.0, 13.0, 12.666666666666666)"
04-01-2023 12:55:56.267112,"(6.0, 7.0, 6.946218487394958)","(9.0, 12.0, 11.837209302325581)","(3.7, 4.6, 4.526136363636364)","(20.0, 44.0, 40.266666666666666)","(14.0, 23.0, 21.8)","(12.0, 18.0, 16.714285714285715)","(20.0, 42.0, 36.18181818181818)","(31.0, 75.0, 73.4375)","(3.4, 3.95, 3.9165876777251185)","(9.0, 13.0, 12.666666666666666)"
04-01-2023 12:55:57.517145,"(6.0, 7.0, 6.946218487394958)","(9.0, 12.0, 11.837209302325581)","(3.7, 4.6, 4.526136363636364)","(20.0, 44.0, 40.92307692307692)","(14.0, 23.0, 21.8)","(12.0, 18.0, 16.714285714285715)","(20.0, 42.0, 36.18181818181818)","(31.0, 75.0, 73.4375)","(3.4, 3.95, 3.9165876777251185)","(9.0, 13.0, 12.666666666666666)"
04-01-2023 12:55:58.727369,"(6.0, 7.0, 6.946218487394958)","(9.0, 12.0, 11.837209302325581)","(3.7, 4.6, 4.526136363636364)","(20.0, 44.0, 40.92307692307692)","(14.0, 23.0, 21.8)","(12.0, 18.0, 16.714285714285715)","(20.0, 42.0, 36.18181818181818)","(31.0, 75.0, 73.4375)","(3.4, 3.95, 3.9165876777251185)","(9.0, 13.0, 12.666666666666666)"
