,Nockatunga,Aston Hackett,Colden Express,Filthy Phantom,Our Girl Daisy,Aston Hayato,Big Prediction
04-01-2023 12:25:53.985075,"(2.35, 3.3, 2.4)","(13.0, 40.0, 30.178571428571427)","(2.9, 4.3, 3.533333333333333)","(21.0, 65.0, 50.15625)","(71.0, 580.0, 493.33333333333337)","(3.0, 4.5, 3.962962962962963)","(15.0, 55.0, 38.541666666666664)"
04-01-2023 12:25:55.029233,"(2.35, 3.3, 2.4)","(13.0, 40.0, 30.178571428571427)","(2.9, 4.3, 3.533333333333333)","(21.0, 65.0, 50.15625)","(71.0, 580.0, 493.33333333333337)","(3.0, 4.5, 3.962962962962963)","(15.0, 55.0, 38.541666666666664)"
04-01-2023 12:25:56.102742,"(2.35, 3.3, 2.4)","(13.0, 40.0, 30.178571428571427)","(2.9, 4.3, 3.533333333333333)","(21.0, 65.0, 50.15625)","(71.0, 580.0, 493.33333333333337)","(3.0, 4.5, 3.962962962962963)","(15.0, 55.0, 38.541666666666664)"
04-01-2023 12:25:57.155433,"(2.35, 3.3, 2.4)","(13.0, 40.0, 30.178571428571427)","(2.9, 4.3, 3.533333333333333)","(21.0, 65.0, 50.15625)","(71.0, 580.0, 493.33333333333337)","(3.0, 4.5, 3.962962962962963)","(15.0, 55.0, 38.541666666666664)"
04-01-2023 12:25:58.130006,"(2.35, 3.3, 2.4)","(13.0, 40.0, 30.178571428571427)","(2.9, 4.3, 3.533333333333333)","(21.0, 65.0, 50.15625)","(71.0, 580.0, 493.33333333333337)","(3.0, 4.5, 3.962962962962963)","(15.0, 55.0, 38.541666666666664)"
04-01-2023 12:25:59.151960,"(2.35, 3.3, 2.4)","(13.0, 40.0, 30.178571428571427)","(2.9, 4.3, 3.533333333333333)","(21.0, 65.0, 50.15625)","(71.0, 580.0, 493.33333333333337)","(3.0, 4.5, 3.962962962962963)","(15.0, 55.0, 38.541666666666664)"
04-01-2023 12:26:00.174268,"(2.35, 3.3, 2.4)","(13.0, 40.0, 30.178571428571427)","(2.9, 4.3, 3.533333333333333)","(21.0, 65.0, 50.15625)","(71.0, 580.0, 493.33333333333337)","(3.0, 4.5, 3.962962962962963)","(15.0, 55.0, 38.541666666666664)"
04-01-2023 12:26:01.221800,"(2.35, 3.3, 2.4)","(13.0, 40.0, 30.178571428571427)","(2.9, 4.3, 3.533333333333333)","(21.0, 65.0, 50.15625)","(71.0, 580.0, 493.33333333333337)","(3.0, 4.5, 3.962962962962963)","(15.0, 55.0, 38.541666666666664)"
04-01-2023 12:26:02.279134,"(2.35, 3.3, 2.4)","(13.0, 40.0, 30.178571428571427)","(2.9, 4.3, 3.533333333333333)","(21.0, 65.0, 50.15625)","(71.0, 580.0, 493.33333333333337)","(3.0, 4.5, 3.962962962962963)","(15.0, 55.0, 38.541666666666664)"
04-01-2023 12:26:03.327596,"(2.35, 3.3, 2.4)","(13.0, 40.0, 30.178571428571427)","(2.9, 4.3, 3.533333333333333)","(21.0, 65.0, 50.15625)","(71.0, 580.0, 493.33333333333337)","(3.0, 4.5, 3.962962962962963)","(15.0, 55.0, 38.541666666666664)"
