,Rippa Buddy,Far Too Tempting,Tsegay,And Then,Bloomin Crafty
04-01-2023 12:42:59.802497,"(10.0, 13.5, 12.11111111111111)","(1.55, 1.84, 1.82)","(18.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.2, 4.57)"
04-01-2023 12:43:00.674319,"(10.0, 13.5, 12.11111111111111)","(1.55, 1.84, 1.8275000000000001)","(18.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.2, 4.57)"
04-01-2023 12:43:01.656116,"(10.0, 13.5, 12.11111111111111)","(1.55, 1.84, 1.8275000000000001)","(18.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.2, 4.57)"
04-01-2023 12:43:02.620572,"(10.0, 13.5, 12.11111111111111)","(1.55, 1.84, 1.8275000000000001)","(18.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.2, 4.57)"
04-01-2023 12:43:03.419587,"(10.0, 13.5, 12.11111111111111)","(1.55, 1.84, 1.8275000000000001)","(18.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.2, 4.57)"
04-01-2023 12:43:04.249787,"(10.0, 13.5, 12.11111111111111)","(1.55, 1.84, 1.822)","(18.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.1, 4.699999999999999)"
04-01-2023 12:43:05.186966,"(10.0, 13.5, 12.11111111111111)","(1.55, 1.84, 1.822)","(18.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.1, 4.54)"
04-01-2023 12:43:06.043771,"(10.0, 13.5, 12.11111111111111)","(1.55, 1.84, 1.822)","(18.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.1, 4.54)"
04-01-2023 12:43:06.839836,"(10.0, 13.5, 12.11111111111111)","(1.55, 1.84, 1.822)","(18.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.1, 4.54)"
04-01-2023 12:43:07.754782,"(10.0, 13.5, 12.11111111111111)","(1.55, 1.84, 1.822)","(18.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.1, 4.54)"
04-01-2023 12:43:08.665583,"(10.0, 13.5, 12.428571428571429)","(1.55, 1.84, 1.822)","(18.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.1, 4.54)"
04-01-2023 12:43:09.615219,"(10.0, 13.5, 12.428571428571429)","(1.55, 1.84, 1.83)","(18.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.1, 4.54)"
04-01-2023 12:43:10.445555,"(10.0, 13.5, 12.428571428571429)","(1.55, 1.84, 1.83)","(18.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.1, 4.54)"
04-01-2023 12:43:11.229051,"(10.0, 13.5, 12.428571428571429)","(1.55, 1.84, 1.83)","(18.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.1, 4.54)"
04-01-2023 12:43:12.153629,"(10.0, 13.5, 12.428571428571429)","(1.55, 1.84, 1.83)","(18.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.1, 4.54)"
04-01-2023 12:43:13.108351,"(10.0, 13.5, 12.428571428571429)","(1.55, 1.84, 1.822)","(18.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.1, 4.54)"
04-01-2023 12:43:13.959928,"(10.0, 13.5, 12.428571428571429)","(1.55, 1.84, 1.822)","(18.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.1, 4.54)"
04-01-2023 12:43:14.829152,"(10.0, 13.5, 12.428571428571429)","(1.55, 1.84, 1.822)","(18.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.1, 4.54)"
04-01-2023 12:43:15.690178,"(10.0, 13.0, 12.333333333333334)","(1.55, 1.84, 1.822)","(18.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.51)"
04-01-2023 12:43:16.571447,"(10.0, 13.0, 12.333333333333334)","(1.55, 1.84, 1.822)","(18.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.51)"
