,Glenreagh Burner,Kratos Rising,Flop Wedge,Rock This Joint,Deceiving,Gary The Goat
04-01-2023 10:59:57.262787,"(7.0, 16.0, 15.0)","(101.0, 650.0, 372.5)","(31.0, 220.0, 102.5)","(2.1, 3.4, 2.63)","(31.0, 200.0, 95.0)","(1.7, 2.48, 2.0220353982300887)"
04-01-2023 10:59:58.158893,"(7.0, 16.0, 15.0)","(101.0, 650.0, 372.5)","(31.0, 220.0, 102.5)","(2.1, 3.4, 2.63)","(31.0, 200.0, 95.0)","(1.7, 2.48, 2.0220353982300887)"
04-01-2023 10:59:59.104317,"(7.0, 16.0, 15.0)","(101.0, 650.0, 372.5)","(31.0, 220.0, 102.5)","(2.1, 3.4, 2.63)","(31.0, 200.0, 95.0)","(1.7, 2.48, 2.0220353982300887)"
04-01-2023 10:59:59.956193,"(7.0, 16.0, 15.0)","(101.0, 650.0, 372.5)","(31.0, 220.0, 102.5)","(2.1, 3.4, 2.63)","(31.0, 200.0, 95.0)","(1.7, 2.48, 2.0220353982300887)"
04-01-2023 11:00:00.823752,"(7.0, 16.0, 15.0)","(101.0, 650.0, 372.5)","(31.0, 220.0, 102.5)","(2.1, 3.4, 2.63)","(31.0, 200.0, 95.0)","(1.7, 2.48, 2.0220353982300887)"
04-01-2023 11:00:01.721701,"(7.0, 16.0, 15.0)","(101.0, 650.0, 372.5)","(31.0, 220.0, 102.5)","(2.1, 3.4, 2.63)","(31.0, 200.0, 95.0)","(1.7, 2.48, 2.0220353982300887)"
04-01-2023 11:00:02.666542,"(7.0, 16.0, 15.0)","(101.0, 650.0, 372.5)","(31.0, 220.0, 102.5)","(2.1, 3.4, 2.63)","(31.0, 200.0, 95.0)","(1.7, 2.48, 2.0179464285714284)"
04-01-2023 11:00:03.630318,"(7.0, 16.0, 15.0)","(101.0, 650.0, 372.5)","(31.0, 220.0, 102.5)","(2.1, 3.4, 2.63)","(31.0, 200.0, 95.0)","(1.7, 2.48, 2.0179464285714284)"
04-01-2023 11:00:04.599319,"(7.0, 16.0, 15.0)","(101.0, 650.0, 372.5)","(31.0, 220.0, 102.5)","(2.1, 3.4, 2.63)","(31.0, 200.0, 95.0)","(1.7, 2.48, 2.0179464285714284)"
04-01-2023 11:00:05.521435,"(7.0, 16.0, 15.0)","(101.0, 650.0, 372.5)","(31.0, 220.0, 102.5)","(2.1, 3.4, 2.63)","(31.0, 200.0, 95.0)","(1.7, 2.48, 2.0179464285714284)"
04-01-2023 11:00:06.444485,"(7.0, 16.0, 15.0)","(101.0, 650.0, 372.5)","(31.0, 220.0, 102.5)","(2.1, 3.4, 2.63)","(31.0, 200.0, 95.0)","(1.7, 2.48, 2.0179464285714284)"
04-01-2023 11:00:07.328101,"(7.0, 16.0, 15.0)","(101.0, 650.0, 372.5)","(31.0, 220.0, 102.5)","(2.1, 3.4, 2.63)","(31.0, 200.0, 95.0)","(1.7, 2.48, 2.0179464285714284)"
04-01-2023 11:00:08.211730,"(7.0, 16.0, 15.0)","(101.0, 650.0, 372.5)","(31.0, 220.0, 102.5)","(2.1, 3.4, 2.63)","(31.0, 200.0, 95.0)","(1.7, 2.48, 2.0179464285714284)"
04-01-2023 11:00:09.088008,"(7.0, 16.0, 15.0)","(101.0, 650.0, 372.5)","(31.0, 220.0, 102.5)","(2.1, 3.4, 2.63)","(31.0, 200.0, 95.0)","(1.7, 2.48, 2.0179464285714284)"
04-01-2023 11:00:09.949022,"(7.0, 16.0, 15.0)","(101.0, 650.0, 372.5)","(31.0, 220.0, 102.5)","(2.1, 3.4, 2.63)","(31.0, 200.0, 95.0)","(1.7, 2.48, 2.0179464285714284)"
04-01-2023 11:00:10.830754,"(7.0, 16.0, 15.0)","(101.0, 650.0, 372.5)","(31.0, 220.0, 102.5)","(2.1, 3.4, 2.63)","(31.0, 200.0, 95.0)","(1.7, 2.48, 2.0179464285714284)"
04-01-2023 11:00:11.727566,"(7.0, 16.0, 15.0)","(101.0, 650.0, 372.5)","(31.0, 220.0, 102.5)","(2.1, 3.4, 2.63)","(31.0, 200.0, 95.0)","(1.7, 2.48, 2.0179464285714284)"
04-01-2023 11:00:12.618830,"(7.0, 16.0, 15.0)","(101.0, 650.0, 372.5)","(31.0, 220.0, 102.5)","(2.1, 3.4, 2.63)","(31.0, 200.0, 95.0)","(1.7, 2.48, 2.0179464285714284)"
04-01-2023 11:00:13.564713,"(7.0, 16.0, 15.0)","(101.0, 650.0, 372.5)","(31.0, 220.0, 102.5)","(2.1, 3.4, 2.63)","(31.0, 200.0, 95.0)","(1.7, 2.48, 2.0179464285714284)"
04-01-2023 11:00:14.464289,"(7.0, 16.0, 15.0)","(101.0, 650.0, 372.5)","(31.0, 220.0, 102.5)","(2.1, 3.4, 2.63)","(31.0, 200.0, 95.0)","(1.7, 2.48, 2.0179464285714284)"
04-01-2023 11:00:15.400549,"(7.0, 16.0, 15.0)","(101.0, 650.0, 372.5)","(31.0, 220.0, 102.5)","(2.1, 3.4, 2.63)","(31.0, 200.0, 95.0)","(1.7, 2.48, 2.0179464285714284)"
04-01-2023 11:00:16.264640,"(7.0, 16.0, 15.0)","(101.0, 650.0, 372.5)","(31.0, 220.0, 102.5)","(2.1, 3.4, 2.63)","(31.0, 200.0, 95.0)","(1.7, 2.48, 2.0179464285714284)"
04-01-2023 11:00:17.128081,"(7.0, 16.0, 15.0)","(101.0, 650.0, 372.5)","(31.0, 220.0, 102.5)","(2.1, 3.4, 2.63)","(31.0, 200.0, 95.0)","(1.7, 2.48, 2.0179464285714284)"
04-01-2023 11:00:18.030267,"(7.0, 16.0, 15.0)","(101.0, 650.0, 372.5)","(31.0, 220.0, 102.5)","(2.1, 3.4, 2.63)","(31.0, 200.0, 95.0)","(1.7, 2.48, 2.0179464285714284)"
04-01-2023 11:00:18.960090,"(7.0, 16.0, 15.0)","(101.0, 650.0, 372.5)","(31.0, 220.0, 102.5)","(2.1, 3.4, 2.63)","(31.0, 200.0, 95.0)","(1.7, 2.48, 2.0179464285714284)"
04-01-2023 11:00:19.885299,"(7.0, 16.0, 15.0)","(101.0, 650.0, 372.5)","(31.0, 220.0, 102.5)","(2.1, 3.4, 2.63)","(31.0, 200.0, 95.0)","(1.7, 2.48, 2.0179464285714284)"
04-01-2023 11:00:20.862242,"(7.0, 16.0, 15.0)","(101.0, 650.0, 372.5)","(31.0, 220.0, 102.5)","(2.1, 3.4, 2.63)","(31.0, 200.0, 95.0)","(1.7, 2.48, 2.0179464285714284)"
04-01-2023 11:00:21.850453,"(7.0, 16.0, 15.0)","(101.0, 650.0, 372.5)","(31.0, 220.0, 102.5)","(2.1, 3.4, 2.63)","(31.0, 200.0, 95.0)","(1.7, 2.48, 2.0179464285714284)"
04-01-2023 11:00:22.817721,"(7.0, 16.0, 15.0)","(101.0, 650.0, 372.5)","(31.0, 220.0, 102.5)","(2.1, 3.4, 2.63)","(31.0, 200.0, 95.0)","(1.7, 2.48, 2.0179464285714284)"
04-01-2023 11:00:23.775726,"(7.0, 16.0, 15.0)","(101.0, 650.0, 372.5)","(31.0, 220.0, 102.5)","(2.1, 3.4, 2.63)","(31.0, 200.0, 95.0)","(1.7, 2.48, 2.0179464285714284)"
04-01-2023 11:00:24.730647,"(7.0, 16.0, 15.0)","(101.0, 650.0, 372.5)","(31.0, 220.0, 102.5)","(2.1, 3.4, 2.63)","(31.0, 200.0, 95.0)","(1.7, 2.48, 2.0179464285714284)"
04-01-2023 11:00:25.643997,"(7.0, 16.0, 15.0)","(101.0, 650.0, 372.5)","(31.0, 220.0, 102.5)","(2.1, 3.4, 2.63)","(31.0, 200.0, 95.0)","(1.7, 2.48, 2.0179464285714284)"
04-01-2023 11:00:26.559776,"(7.0, 16.0, 15.0)","(101.0, 650.0, 372.5)","(31.0, 220.0, 102.5)","(2.1, 3.4, 2.63)","(31.0, 200.0, 95.0)","(1.7, 2.48, 2.0179464285714284)"
04-01-2023 11:00:27.425757,"(7.0, 16.0, 15.0)","(101.0, 650.0, 372.5)","(31.0, 220.0, 102.5)","(2.1, 3.4, 2.63)","(31.0, 200.0, 95.0)","(1.7, 2.48, 2.0179464285714284)"
04-01-2023 11:00:28.386653,"(7.0, 16.0, 15.0)","(101.0, 650.0, 372.5)","(31.0, 220.0, 102.5)","(2.1, 3.4, 2.63)","(31.0, 200.0, 95.0)","(1.7, 2.48, 2.0179464285714284)"
04-01-2023 11:00:29.273245,"(7.0, 16.0, 15.0)","(101.0, 650.0, 372.5)","(31.0, 220.0, 102.5)","(2.1, 3.4, 2.63)","(31.0, 200.0, 95.0)","(1.7, 2.48, 2.0179464285714284)"
04-01-2023 11:00:30.183788,"(7.0, 16.0, 15.0)","(101.0, 650.0, 372.5)","(31.0, 220.0, 102.5)","(2.1, 3.4, 2.63)","(31.0, 200.0, 95.0)","(1.7, 2.48, 2.0179464285714284)"
04-01-2023 11:00:31.071675,"(7.0, 16.0, 15.0)","(101.0, 650.0, 372.5)","(31.0, 220.0, 102.5)","(2.1, 3.4, 2.63)","(31.0, 200.0, 95.0)","(1.7, 2.48, 2.0179464285714284)"
04-01-2023 11:00:31.973688,"(7.0, 16.0, 15.0)","(101.0, 650.0, 372.5)","(31.0, 220.0, 102.5)","(2.1, 3.4, 2.63)","(31.0, 200.0, 95.0)","(1.7, 2.48, 2.0179464285714284)"
04-01-2023 11:00:32.904180,"(7.0, 16.0, 15.0)","(101.0, 650.0, 372.5)","(31.0, 220.0, 102.5)","(2.1, 3.4, 2.63)","(31.0, 200.0, 95.0)","(1.7, 2.48, 2.0179464285714284)"
04-01-2023 11:00:33.830425,"(7.0, 16.0, 15.0)","(101.0, 650.0, 372.5)","(31.0, 220.0, 102.5)","(2.1, 3.4, 2.63)","(31.0, 200.0, 95.0)","(1.7, 2.48, 2.0179464285714284)"
04-01-2023 11:00:34.742536,"(7.0, 16.0, 15.0)","(101.0, 650.0, 372.5)","(31.0, 220.0, 102.5)","(2.1, 3.4, 2.63)","(31.0, 200.0, 95.0)","(1.7, 2.48, 2.0179464285714284)"
04-01-2023 11:00:35.673289,"(7.0, 16.0, 15.0)","(101.0, 650.0, 372.5)","(31.0, 220.0, 102.5)","(2.1, 3.4, 2.63)","(31.0, 200.0, 95.0)","(1.7, 2.48, 2.0179464285714284)"
04-01-2023 11:00:36.645231,"(7.0, 16.0, 15.0)","(101.0, 650.0, 372.5)","(31.0, 220.0, 102.5)","(2.1, 3.4, 2.63)","(31.0, 200.0, 95.0)","(1.7, 2.48, 2.0179464285714284)"
04-01-2023 11:00:37.618939,"(7.0, 16.0, 15.0)","(101.0, 650.0, 372.5)","(31.0, 220.0, 102.5)","(2.1, 3.4, 2.63)","(31.0, 200.0, 95.0)","(1.7, 2.48, 2.0179464285714284)"
04-01-2023 11:00:38.619014,"(7.0, 16.0, 15.0)","(101.0, 650.0, 372.5)","(31.0, 220.0, 102.5)","(2.1, 3.4, 2.63)","(31.0, 200.0, 95.0)","(1.7, 2.48, 2.0179464285714284)"
04-01-2023 11:00:39.574193,"(7.0, 16.0, 15.0)","(101.0, 650.0, 372.5)","(31.0, 220.0, 102.5)","(2.1, 3.4, 2.63)","(31.0, 200.0, 95.0)","(1.7, 2.48, 2.0179464285714284)"
04-01-2023 11:00:40.558432,"(7.0, 16.0, 15.0)","(101.0, 650.0, 372.5)","(31.0, 220.0, 102.5)","(2.1, 3.4, 2.63)","(31.0, 200.0, 95.0)","(1.7, 2.48, 2.0179464285714284)"
04-01-2023 11:00:41.511227,"(7.0, 16.0, 15.0)","(101.0, 650.0, 372.5)","(31.0, 220.0, 102.5)","(2.1, 3.4, 2.63)","(31.0, 200.0, 95.0)","(1.7, 2.48, 2.0179464285714284)"
04-01-2023 11:00:42.497039,"(7.0, 16.0, 15.0)","(101.0, 650.0, 372.5)","(31.0, 220.0, 102.5)","(2.1, 3.4, 2.63)","(31.0, 200.0, 95.0)","(1.7, 2.48, 2.0179464285714284)"
04-01-2023 11:00:43.486124,"(7.0, 16.0, 15.0)","(101.0, 650.0, 372.5)","(31.0, 220.0, 102.5)","(2.1, 3.4, 2.63)","(31.0, 200.0, 95.0)","(1.7, 2.48, 2.0179464285714284)"
04-01-2023 11:00:44.481680,"(7.0, 16.0, 15.0)","(101.0, 650.0, 372.5)","(31.0, 220.0, 102.5)","(2.1, 3.4, 2.63)","(31.0, 200.0, 95.0)","(1.7, 2.48, 2.0179464285714284)"
04-01-2023 11:00:45.457784,"(7.0, 16.0, 15.0)","(101.0, 650.0, 372.5)","(31.0, 220.0, 102.5)","(2.1, 3.4, 2.63)","(31.0, 200.0, 95.0)","(1.7, 2.48, 2.0179464285714284)"
04-01-2023 11:00:46.396477,"(7.0, 16.0, 15.0)","(101.0, 650.0, 372.5)","(31.0, 220.0, 102.5)","(2.1, 3.4, 2.63)","(31.0, 200.0, 95.0)","(1.7, 2.48, 2.0179464285714284)"
04-01-2023 11:00:47.328451,"(7.0, 16.0, 15.0)","(101.0, 650.0, 372.5)","(31.0, 220.0, 102.5)","(2.1, 3.4, 2.63)","(31.0, 200.0, 95.0)","(1.7, 2.48, 2.0179464285714284)"
04-01-2023 11:00:48.215199,"(7.0, 16.0, 15.0)","(101.0, 650.0, 372.5)","(31.0, 220.0, 102.5)","(2.1, 3.4, 2.63)","(31.0, 200.0, 95.0)","(1.7, 2.48, 2.0179464285714284)"
04-01-2023 11:00:49.089435,"(7.0, 16.0, 15.0)","(101.0, 650.0, 372.5)","(31.0, 220.0, 102.5)","(2.1, 3.4, 2.63)","(31.0, 200.0, 95.0)","(1.7, 2.48, 2.0179464285714284)"
04-01-2023 11:00:50.018836,"(7.0, 16.0, 15.0)","(101.0, 650.0, 372.5)","(31.0, 220.0, 102.5)","(2.1, 3.4, 2.63)","(31.0, 200.0, 95.0)","(1.7, 2.48, 2.0179464285714284)"
04-01-2023 11:00:50.878453,"(7.0, 16.0, 15.0)","(101.0, 650.0, 372.5)","(31.0, 220.0, 102.5)","(2.1, 3.4, 2.63)","(31.0, 200.0, 95.0)","(1.7, 2.48, 2.0179464285714284)"
04-01-2023 11:00:51.820289,"(7.0, 16.0, 15.0)","(101.0, 650.0, 372.5)","(31.0, 220.0, 102.5)","(2.1, 3.4, 2.63)","(31.0, 200.0, 95.0)","(1.7, 2.48, 2.0179464285714284)"
04-01-2023 11:00:52.722356,"(7.0, 16.0, 15.0)","(101.0, 650.0, 372.5)","(31.0, 220.0, 102.5)","(2.1, 3.4, 2.63)","(31.0, 200.0, 95.0)","(1.7, 2.48, 2.0179464285714284)"
04-01-2023 11:00:53.729873,"(7.0, 16.0, 15.0)","(101.0, 650.0, 372.5)","(31.0, 220.0, 102.5)","(2.1, 3.4, 2.63)","(31.0, 200.0, 95.0)","(1.7, 2.48, 2.0179464285714284)"
04-01-2023 11:00:54.659180,"(7.0, 16.0, 15.0)","(101.0, 650.0, 372.5)","(31.0, 220.0, 102.5)","(2.1, 3.4, 2.63)","(31.0, 200.0, 95.0)","(1.7, 2.48, 2.0179464285714284)"
04-01-2023 11:00:55.642790,"(7.0, 16.0, 15.0)","(101.0, 650.0, 372.5)","(31.0, 220.0, 102.5)","(2.1, 3.4, 2.63)","(31.0, 200.0, 95.0)","(1.7, 2.48, 2.0179464285714284)"
04-01-2023 11:00:56.618322,"(7.0, 16.0, 15.0)","(101.0, 650.0, 372.5)","(31.0, 220.0, 102.5)","(2.1, 3.4, 2.63)","(31.0, 200.0, 95.0)","(1.7, 2.48, 2.0179464285714284)"
04-01-2023 11:00:57.589342,"(7.0, 16.0, 15.0)","(101.0, 650.0, 372.5)","(31.0, 220.0, 102.5)","(2.1, 3.4, 2.63)","(31.0, 200.0, 95.0)","(1.7, 2.48, 2.0179464285714284)"
04-01-2023 11:00:58.542711,"(7.0, 16.0, 15.0)","(101.0, 650.0, 372.5)","(31.0, 220.0, 102.5)","(2.1, 3.4, 2.63)","(31.0, 200.0, 95.0)","(1.7, 2.48, 2.0179464285714284)"
04-01-2023 11:00:59.568781,"(7.0, 16.0, 15.0)","(101.0, 650.0, 372.5)","(31.0, 220.0, 102.5)","(2.1, 3.4, 2.63)","(31.0, 200.0, 95.0)","(1.7, 2.48, 2.0179464285714284)"
04-01-2023 11:01:00.483969,"(7.0, 16.0, 15.0)","(101.0, 650.0, 372.5)","(31.0, 220.0, 102.5)","(2.1, 3.4, 2.63)","(31.0, 200.0, 95.0)","(1.7, 2.48, 2.0179464285714284)"
04-01-2023 11:01:01.456430,"(7.0, 16.0, 15.0)","(101.0, 650.0, 372.5)","(31.0, 220.0, 102.5)","(2.1, 3.4, 2.63)","(31.0, 200.0, 95.0)","(1.7, 2.48, 2.0179464285714284)"
04-01-2023 11:01:02.344968,"(7.0, 16.0, 15.0)","(101.0, 650.0, 372.5)","(31.0, 220.0, 102.5)","(2.1, 3.4, 2.63)","(31.0, 200.0, 95.0)","(1.7, 2.48, 2.0179464285714284)"
04-01-2023 11:01:03.329768,"(7.0, 16.0, 15.0)","(101.0, 650.0, 372.5)","(31.0, 220.0, 102.5)","(2.1, 3.4, 2.63)","(31.0, 200.0, 95.0)","(1.7, 2.48, 2.0179464285714284)"
