,Marrying,Banjo Black,Pretty Reef,Our Ruby,Tingle,Disorder,Prince Of Melton,Ramstein Bale
04-01-2023 15:31:03.994221,"(21.0, 100.0, 61.5)","(21.0, 100.0, 60.5)","(2.9, 4.7, 3.10625)","(7.0, 12.5, 11.7125)","(3.1, 5.4, 3.2880000000000003)","(21.0, 100.0, 61.5)","(13.0, 32.0, 30.05)","(3.2, 5.4, 3.5685185185185184)"
04-01-2023 15:31:05.388020,"(21.0, 100.0, 61.5)","(21.0, 100.0, 60.5)","(2.9, 4.7, 3.10625)","(7.0, 12.5, 11.7125)","(3.1, 5.4, 3.2880000000000003)","(21.0, 100.0, 61.5)","(13.0, 32.0, 30.05)","(3.2, 5.4, 3.5685185185185184)"
04-01-2023 15:31:06.817038,"(21.0, 100.0, 61.5)","(21.0, 100.0, 60.5)","(2.9, 4.7, 3.10625)","(7.0, 12.5, 11.7125)","(3.1, 5.4, 3.2880000000000003)","(21.0, 100.0, 61.5)","(13.0, 32.0, 30.05)","(3.2, 5.4, 3.5685185185185184)"
04-01-2023 15:31:08.187691,"(21.0, 100.0, 61.5)","(21.0, 100.0, 60.5)","(2.9, 4.7, 3.10625)","(7.0, 12.5, 11.7125)","(3.1, 5.4, 3.2880000000000003)","(21.0, 100.0, 61.5)","(13.0, 32.0, 30.05)","(3.2, 5.4, 3.5685185185185184)"
04-01-2023 15:31:09.404468,"(21.0, 100.0, 61.5)","(21.0, 100.0, 60.5)","(2.9, 4.7, 3.10625)","(7.0, 12.5, 11.7125)","(3.1, 5.4, 3.2880000000000003)","(21.0, 100.0, 61.5)","(13.0, 32.0, 30.05)","(3.2, 5.4, 3.5685185185185184)"
04-01-2023 15:31:10.556881,"(21.0, 100.0, 61.5)","(21.0, 100.0, 60.5)","(2.9, 4.7, 3.10625)","(7.0, 12.5, 11.7125)","(3.1, 5.4, 3.2880000000000003)","(21.0, 100.0, 61.5)","(13.0, 32.0, 30.05)","(3.2, 5.4, 3.5685185185185184)"
04-01-2023 15:31:11.801659,"(21.0, 100.0, 61.5)","(21.0, 100.0, 60.5)","(2.9, 4.7, 3.10625)","(7.0, 12.5, 11.7125)","(3.1, 5.4, 3.2880000000000003)","(21.0, 100.0, 61.5)","(13.0, 32.0, 30.05)","(3.2, 5.4, 3.5685185185185184)"
04-01-2023 15:31:13.005729,"(21.0, 100.0, 61.5)","(21.0, 100.0, 60.5)","(2.9, 4.7, 3.10625)","(7.0, 12.5, 11.7125)","(3.1, 5.4, 3.2880000000000003)","(21.0, 100.0, 61.5)","(13.0, 32.0, 30.05)","(3.2, 5.4, 3.5685185185185184)"
04-01-2023 15:31:14.127599,"(21.0, 100.0, 61.5)","(21.0, 100.0, 60.5)","(2.9, 4.7, 3.10625)","(7.0, 12.5, 11.7125)","(3.1, 5.4, 3.2880000000000003)","(21.0, 100.0, 61.5)","(13.0, 32.0, 30.05)","(3.2, 5.4, 3.5685185185185184)"
04-01-2023 15:31:15.327911,"(21.0, 100.0, 61.5)","(21.0, 100.0, 60.5)","(2.9, 4.7, 3.10625)","(7.0, 12.5, 11.7125)","(3.1, 5.4, 3.2880000000000003)","(21.0, 100.0, 61.5)","(13.0, 32.0, 30.05)","(3.2, 5.4, 3.5685185185185184)"
