,Jayville Mac,Typhoon Missile,Orford Bale,Alvarez Bale,Groomsman,Son Of Brock,Was A Soldier,Chasing Boyd
04-01-2023 13:11:23.827818,"(5.5, 8.8, 8.3625)","(18.0, 60.0, 46.40625)","(18.0, 65.0, 43.86363636363637)","(3.1, 4.8, 4.0588235294117645)","(17.0, 40.0, 27.25)","(2.8, 4.9, 3.0625)","(10.0, 22.0, 21.0)","(6.0, 11.5, 9.777777777777779)"
04-01-2023 13:11:24.986845,"(5.5, 8.8, 8.3625)","(18.0, 60.0, 46.40625)","(18.0, 65.0, 43.86363636363637)","(3.1, 4.8, 4.0588235294117645)","(17.0, 40.0, 27.25)","(2.8, 4.9, 3.0625)","(10.0, 22.0, 21.0)","(6.0, 11.5, 10.229166666666668)"
04-01-2023 13:11:26.238717,"(5.5, 8.8, 8.3625)","(18.0, 60.0, 46.40625)","(18.0, 65.0, 43.86363636363637)","(3.1, 4.8, 4.0588235294117645)","(17.0, 40.0, 27.25)","(2.8, 4.9, 3.0625)","(10.0, 22.0, 21.0)","(6.0, 11.5, 10.229166666666668)"
04-01-2023 13:11:27.319957,"(5.5, 8.8, 8.3625)","(18.0, 60.0, 46.40625)","(18.0, 65.0, 43.86363636363637)","(3.1, 4.8, 4.0588235294117645)","(17.0, 40.0, 27.25)","(2.8, 4.9, 3.0625)","(10.0, 22.0, 21.0)","(6.0, 11.5, 10.229166666666668)"
04-01-2023 13:11:28.404596,"(5.5, 8.8, 8.3625)","(18.0, 60.0, 46.40625)","(18.0, 65.0, 43.86363636363637)","(3.1, 4.8, 4.0588235294117645)","(17.0, 40.0, 27.25)","(2.8, 4.9, 3.0625)","(10.0, 22.0, 21.0)","(6.0, 11.5, 10.229166666666668)"
04-01-2023 13:11:29.683524,"(5.5, 8.8, 8.3625)","(18.0, 60.0, 46.40625)","(18.0, 65.0, 43.86363636363637)","(3.1, 4.8, 4.0588235294117645)","(17.0, 40.0, 27.25)","(2.8, 4.9, 3.0625)","(10.0, 22.0, 21.0)","(6.0, 11.5, 10.229166666666668)"
04-01-2023 13:11:31.258095,"(5.5, 8.8, 8.3625)","(18.0, 60.0, 46.40625)","(18.0, 65.0, 43.86363636363637)","(3.1, 4.8, 4.0588235294117645)","(17.0, 40.0, 27.25)","(2.8, 4.9, 3.0625)","(10.0, 22.0, 21.0)","(6.0, 11.5, 10.229166666666668)"
04-01-2023 13:11:32.510996,"(5.5, 8.8, 8.3625)","(18.0, 60.0, 46.40625)","(18.0, 65.0, 43.86363636363637)","(3.1, 4.8, 4.0588235294117645)","(17.0, 40.0, 27.25)","(2.8, 4.9, 3.0625)","(10.0, 22.0, 21.0)","(6.0, 11.5, 10.229166666666668)"
04-01-2023 13:11:33.813004,"(5.5, 8.8, 8.3625)","(18.0, 60.0, 46.40625)","(18.0, 65.0, 43.86363636363637)","(3.1, 4.8, 4.0588235294117645)","(17.0, 40.0, 27.25)","(2.8, 4.9, 3.0625)","(10.0, 22.0, 21.0)","(6.0, 11.5, 10.229166666666668)"
04-01-2023 13:11:35.000035,"(5.5, 8.8, 8.3625)","(18.0, 60.0, 46.40625)","(18.0, 65.0, 43.86363636363637)","(3.1, 4.8, 4.0588235294117645)","(17.0, 40.0, 27.25)","(2.8, 4.9, 3.0625)","(10.0, 22.0, 21.0)","(6.0, 11.5, 10.229166666666668)"
04-01-2023 13:11:36.181056,"(5.5, 8.8, 8.3625)","(18.0, 60.0, 46.40625)","(18.0, 65.0, 43.86363636363637)","(3.1, 4.8, 4.0588235294117645)","(17.0, 40.0, 27.25)","(2.8, 4.9, 3.0625)","(10.0, 22.0, 21.0)","(6.0, 11.5, 10.229166666666668)"
04-01-2023 13:11:37.372110,"(5.5, 8.8, 8.3625)","(18.0, 60.0, 46.40625)","(18.0, 65.0, 43.86363636363637)","(3.1, 4.8, 4.0588235294117645)","(17.0, 40.0, 27.25)","(2.8, 4.9, 3.0625)","(10.0, 22.0, 21.0)","(6.0, 11.5, 10.229166666666668)"
04-01-2023 13:11:38.464238,"(5.5, 8.8, 8.3625)","(18.0, 60.0, 46.40625)","(18.0, 65.0, 43.86363636363637)","(3.1, 4.8, 4.0588235294117645)","(17.0, 40.0, 27.25)","(2.8, 4.9, 3.0625)","(10.0, 22.0, 21.0)","(6.0, 11.5, 10.229166666666668)"
04-01-2023 13:11:39.612612,"(5.5, 8.8, 8.3625)","(18.0, 60.0, 46.40625)","(18.0, 65.0, 43.86363636363637)","(3.1, 4.8, 4.0588235294117645)","(17.0, 40.0, 27.25)","(2.8, 4.9, 3.0625)","(10.0, 22.0, 21.0)","(6.0, 11.5, 10.229166666666668)"
04-01-2023 13:11:40.737256,"(5.5, 8.8, 8.3625)","(18.0, 60.0, 46.40625)","(18.0, 65.0, 43.86363636363637)","(3.1, 4.8, 4.0588235294117645)","(17.0, 40.0, 24.307692307692307)","(2.8, 4.9, 3.0625)","(10.0, 22.0, 19.125)","(6.0, 11.5, 10.229166666666668)"
04-01-2023 13:11:41.845691,"(5.5, 8.8, 8.3625)","(18.0, 60.0, 33.125)","(18.0, 65.0, 36.25)","(3.1, 4.8, 4.0588235294117645)","(17.0, 40.0, 24.307692307692307)","(2.8, 4.9, 3.0625)","(10.0, 22.0, 19.125)","(6.0, 11.5, 10.229166666666668)"
04-01-2023 13:11:42.934334,"(5.5, 8.8, 8.3625)","(18.0, 60.0, 33.125)","(18.0, 65.0, 36.25)","(3.1, 4.8, 3.9473684210526314)","(17.0, 40.0, 24.307692307692307)","(2.8, 4.9, 3.0625)","(10.0, 22.0, 19.125)","(6.0, 11.5, 10.229166666666668)"
04-01-2023 13:11:44.082989,"(5.5, 8.8, 8.3625)","(18.0, 60.0, 33.125)","(18.0, 65.0, 36.25)","(3.1, 4.6, 3.8421052631578947)","(17.0, 40.0, 24.307692307692307)","(2.8, 4.9, 3.0625)","(10.0, 22.0, 19.125)","(6.0, 11.5, 10.229166666666668)"
04-01-2023 13:11:45.309209,"(5.5, 8.8, 8.3625)","(18.0, 60.0, 33.125)","(18.0, 65.0, 36.25)","(3.1, 4.6, 3.8421052631578947)","(17.0, 40.0, 24.307692307692307)","(2.8, 4.9, 3.0625)","(10.0, 22.0, 19.125)","(6.0, 11.5, 10.229166666666668)"
04-01-2023 13:11:46.639078,"(5.5, 8.8, 8.3625)","(18.0, 60.0, 33.125)","(18.0, 65.0, 36.25)","(3.1, 4.6, 3.8421052631578947)","(17.0, 40.0, 24.307692307692307)","(2.8, 4.9, 3.0625)","(10.0, 22.0, 19.125)","(6.0, 11.5, 10.229166666666668)"
