,Urana Blazer,Cudal Coyote,Mumble Bug,Ballina,All Stoked Up,Skylas Elite,Blue Mojito,Fabulous Carter
04-01-2023 15:01:44.641651,"(7.5, 15.0, 14.129411764705882)","(8.5, 16.5, 14.263157894736842)","(6.5, 12.5, 11.787500000000001)","(3.5, 6.2, 4.075)","(14.0, 29.0, 27.450000000000003)","(51.0, 410.0, 170.0)","(4.0, 6.4, 6.271028037383179)","(3.4, 5.9, 3.6568181818181817)"
04-01-2023 15:01:45.621645,"(7.5, 15.0, 14.129411764705882)","(8.5, 16.5, 14.263157894736842)","(6.5, 12.5, 11.787500000000001)","(3.5, 6.2, 4.075)","(14.0, 29.0, 27.450000000000003)","(51.0, 410.0, 170.0)","(4.0, 6.4, 6.271028037383179)","(3.4, 5.9, 3.6568181818181817)"
04-01-2023 15:01:46.756742,"(7.5, 15.0, 14.129411764705882)","(8.5, 16.5, 14.263157894736842)","(6.5, 12.5, 11.787500000000001)","(3.5, 6.2, 4.075)","(14.0, 29.0, 27.450000000000003)","(51.0, 410.0, 170.0)","(4.0, 6.4, 6.271028037383179)","(3.4, 5.9, 3.6568181818181817)"
04-01-2023 15:01:47.842071,"(7.5, 15.0, 14.129411764705882)","(8.5, 16.5, 14.263157894736842)","(6.5, 12.5, 11.787500000000001)","(3.5, 6.2, 4.075)","(14.0, 29.0, 27.450000000000003)","(51.0, 410.0, 170.0)","(4.0, 6.4, 6.271028037383179)","(3.4, 5.9, 3.6568181818181817)"
04-01-2023 15:01:48.881212,"(7.5, 15.0, 14.129411764705882)","(8.5, 16.5, 14.263157894736842)","(6.5, 12.5, 11.787500000000001)","(3.5, 6.2, 4.075)","(14.0, 29.0, 27.450000000000003)","(51.0, 410.0, 170.0)","(4.0, 6.4, 6.271028037383179)","(3.4, 5.9, 3.6568181818181817)"
04-01-2023 15:01:49.951634,"(7.5, 15.0, 14.129411764705882)","(8.5, 16.5, 14.263157894736842)","(6.5, 12.5, 11.787500000000001)","(3.5, 6.2, 4.075)","(14.0, 29.0, 27.450000000000003)","(51.0, 410.0, 170.0)","(4.0, 6.4, 6.271028037383179)","(3.4, 5.9, 3.6568181818181817)"
04-01-2023 15:01:51.097150,"(7.5, 15.0, 14.129411764705882)","(8.5, 16.5, 14.263157894736842)","(6.5, 12.5, 11.787500000000001)","(3.5, 6.2, 4.075)","(14.0, 29.0, 27.450000000000003)","(51.0, 410.0, 170.0)","(4.0, 6.4, 6.271028037383179)","(3.4, 5.9, 3.6568181818181817)"
04-01-2023 15:01:52.268201,"(7.5, 15.0, 14.129411764705882)","(8.5, 16.5, 14.263157894736842)","(6.5, 12.5, 11.787500000000001)","(3.5, 6.2, 4.075)","(14.0, 29.0, 27.450000000000003)","(51.0, 410.0, 170.0)","(4.0, 6.4, 6.271028037383179)","(3.4, 5.9, 3.6568181818181817)"
04-01-2023 15:01:53.325597,"(7.5, 15.0, 14.129411764705882)","(8.5, 16.5, 14.263157894736842)","(6.5, 12.5, 11.787500000000001)","(3.5, 6.2, 4.075)","(14.0, 29.0, 27.450000000000003)","(51.0, 410.0, 170.0)","(4.0, 6.4, 6.271028037383179)","(3.4, 5.9, 3.6568181818181817)"
04-01-2023 15:01:54.470413,"(7.5, 15.0, 14.129411764705882)","(8.5, 16.5, 14.263157894736842)","(6.5, 12.5, 11.787500000000001)","(3.5, 6.2, 4.075)","(14.0, 29.0, 27.450000000000003)","(51.0, 410.0, 170.0)","(4.0, 6.4, 6.271028037383179)","(3.4, 5.9, 3.6568181818181817)"
