,Cruzin Ace,Aeroplane Lucy,Inner Light,Gagan Asher,Keep It Sassy,Bundy Rocket,Zipping Noelle,War Hammer
04-01-2023 13:55:57.661480,"(2.2, 2.28, 2.168888888888889)","(8.0, 16.0, 13.666666666666668)","(3.4, 5.0, 3.6666666666666665)","(20.0, 70.0, 48.18181818181818)","(20.0, 70.0, 40.625)","(31.0, 190.0, 116.36363636363636)","(6.5, 14.5, 12.48076923076923)","(6.5, 15.0, 11.3)"
04-01-2023 13:55:58.792885,"(2.2, 2.28, 2.168888888888889)","(8.0, 16.0, 13.666666666666668)","(3.4, 5.0, 3.6666666666666665)","(20.0, 70.0, 48.18181818181818)","(20.0, 70.0, 40.625)","(31.0, 190.0, 116.36363636363636)","(6.5, 14.5, 12.48076923076923)","(6.5, 15.0, 11.3)"
04-01-2023 13:56:00.047056,"(2.2, 2.28, 2.168888888888889)","(8.0, 16.0, 13.666666666666668)","(3.4, 5.0, 3.6666666666666665)","(20.0, 70.0, 48.18181818181818)","(20.0, 70.0, 40.625)","(31.0, 190.0, 116.36363636363636)","(6.5, 14.5, 12.48076923076923)","(6.5, 15.0, 11.3)"
04-01-2023 13:56:01.300453,"(2.2, 2.28, 2.168888888888889)","(8.0, 16.0, 13.666666666666668)","(3.4, 5.0, 3.6666666666666665)","(20.0, 70.0, 48.18181818181818)","(20.0, 70.0, 40.625)","(31.0, 190.0, 116.36363636363636)","(6.5, 14.5, 12.48076923076923)","(6.5, 15.0, 11.3)"
04-01-2023 13:56:02.499271,"(2.2, 2.28, 2.168888888888889)","(8.0, 16.0, 13.666666666666668)","(3.4, 5.0, 3.6666666666666665)","(20.0, 70.0, 48.18181818181818)","(20.0, 70.0, 40.625)","(31.0, 190.0, 116.36363636363636)","(6.5, 14.5, 12.48076923076923)","(6.5, 15.0, 11.3)"
04-01-2023 13:56:03.601971,"(2.2, 2.28, 2.168888888888889)","(8.0, 16.0, 13.666666666666668)","(3.4, 5.0, 3.6666666666666665)","(20.0, 70.0, 48.18181818181818)","(20.0, 70.0, 40.625)","(31.0, 190.0, 109.5)","(6.5, 14.5, 12.48076923076923)","(6.5, 15.0, 11.3)"
04-01-2023 13:56:04.787226,"(2.2, 2.28, 2.168888888888889)","(8.0, 16.0, 13.666666666666668)","(3.4, 5.0, 3.6666666666666665)","(20.0, 70.0, 48.18181818181818)","(20.0, 70.0, 40.625)","(31.0, 190.0, 109.5)","(6.5, 14.5, 12.48076923076923)","(6.5, 15.0, 11.3)"
04-01-2023 13:56:06.050617,"(2.2, 2.28, 2.168888888888889)","(8.0, 16.0, 13.666666666666668)","(3.4, 5.0, 3.6666666666666665)","(20.0, 70.0, 48.18181818181818)","(20.0, 70.0, 40.625)","(31.0, 190.0, 109.5)","(6.5, 14.5, 12.48076923076923)","(6.5, 15.0, 11.3)"
04-01-2023 13:56:07.300483,"(2.2, 2.28, 2.168888888888889)","(8.0, 16.0, 13.666666666666668)","(3.4, 5.0, 3.6666666666666665)","(20.0, 70.0, 48.18181818181818)","(20.0, 70.0, 40.625)","(31.0, 190.0, 109.5)","(6.5, 14.5, 12.48076923076923)","(6.5, 15.0, 11.3)"
04-01-2023 13:56:08.475679,"(2.2, 2.28, 2.168888888888889)","(8.0, 16.0, 13.666666666666668)","(3.4, 5.0, 3.6666666666666665)","(20.0, 70.0, 48.18181818181818)","(20.0, 70.0, 40.625)","(31.0, 190.0, 109.5)","(6.5, 14.5, 12.48076923076923)","(6.5, 15.0, 11.3)"
04-01-2023 13:56:09.583953,"(2.2, 2.28, 2.168888888888889)","(8.0, 16.0, 13.666666666666668)","(3.4, 5.0, 3.6666666666666665)","(20.0, 70.0, 48.18181818181818)","(20.0, 70.0, 40.625)","(31.0, 190.0, 109.5)","(6.5, 14.5, 12.48076923076923)","(6.5, 15.0, 11.3)"
04-01-2023 13:56:11.065020,"(2.2, 2.28, 2.168888888888889)","(8.0, 16.0, 13.666666666666668)","(3.4, 5.0, 3.6666666666666665)","(20.0, 70.0, 48.18181818181818)","(20.0, 70.0, 40.625)","(31.0, 190.0, 109.5)","(6.5, 14.5, 12.48076923076923)","(6.5, 15.0, 11.3)"
04-01-2023 13:56:12.455515,"(2.2, 2.28, 2.168888888888889)","(8.0, 16.0, 13.666666666666668)","(3.4, 5.0, 3.6666666666666665)","(20.0, 70.0, 48.18181818181818)","(20.0, 70.0, 40.625)","(31.0, 190.0, 109.5)","(6.5, 14.5, 12.48076923076923)","(6.5, 15.0, 11.3)"
04-01-2023 13:56:13.781668,"(2.2, 2.28, 2.168888888888889)","(8.0, 16.0, 13.666666666666668)","(3.4, 5.0, 3.6666666666666665)","(20.0, 70.0, 48.18181818181818)","(20.0, 70.0, 40.625)","(31.0, 190.0, 109.5)","(6.5, 14.5, 12.48076923076923)","(6.5, 15.0, 11.3)"
04-01-2023 13:56:15.103970,"(2.2, 2.28, 2.168888888888889)","(8.0, 16.0, 13.666666666666668)","(3.4, 5.0, 3.6666666666666665)","(20.0, 70.0, 48.18181818181818)","(20.0, 70.0, 40.625)","(31.0, 190.0, 109.5)","(6.5, 14.5, 12.48076923076923)","(6.5, 15.0, 11.3)"
04-01-2023 13:56:16.429679,"(2.2, 2.28, 2.168888888888889)","(8.0, 16.0, 13.666666666666668)","(3.4, 5.0, 3.6666666666666665)","(20.0, 70.0, 48.18181818181818)","(20.0, 70.0, 40.625)","(31.0, 190.0, 109.5)","(6.5, 14.5, 12.48076923076923)","(6.5, 15.0, 11.3)"
04-01-2023 13:56:17.696996,"(2.2, 2.28, 2.168888888888889)","(8.0, 16.0, 13.666666666666668)","(3.4, 5.0, 3.6666666666666665)","(20.0, 70.0, 48.18181818181818)","(20.0, 70.0, 40.625)","(31.0, 190.0, 108.5)","(6.5, 14.5, 12.48076923076923)","(6.5, 15.0, 11.3)"
04-01-2023 13:56:18.856496,"(2.2, 2.28, 2.168888888888889)","(8.0, 16.0, 13.666666666666668)","(3.4, 5.0, 3.6666666666666665)","(20.0, 70.0, 48.18181818181818)","(20.0, 70.0, 40.625)","(31.0, 190.0, 108.5)","(6.5, 14.5, 12.48076923076923)","(6.5, 15.0, 11.3)"
04-01-2023 13:56:20.129940,"(2.2, 2.28, 2.168888888888889)","(8.0, 16.0, 13.666666666666668)","(3.4, 5.0, 3.6666666666666665)","(20.0, 70.0, 48.18181818181818)","(20.0, 70.0, 40.625)","(31.0, 190.0, 108.5)","(6.5, 14.5, 12.48076923076923)","(6.5, 15.0, 11.3)"
04-01-2023 13:56:21.254091,"(2.2, 2.28, 2.168888888888889)","(8.0, 16.0, 13.666666666666668)","(3.4, 5.0, 3.6666666666666665)","(20.0, 70.0, 48.18181818181818)","(20.0, 70.0, 40.625)","(31.0, 190.0, 108.5)","(6.5, 14.5, 12.48076923076923)","(6.5, 15.0, 11.3)"
04-01-2023 13:56:22.386641,"(2.2, 2.28, 2.168888888888889)","(8.0, 16.0, 13.666666666666668)","(3.4, 5.0, 4.142857142857142)","(20.0, 70.0, 48.18181818181818)","(20.0, 70.0, 40.625)","(31.0, 190.0, 108.5)","(6.5, 14.5, 12.48076923076923)","(6.5, 15.0, 11.3)"
04-01-2023 13:56:23.518123,"(2.2, 2.28, 2.168888888888889)","(8.0, 16.0, 13.666666666666668)","(3.4, 5.0, 4.142857142857142)","(20.0, 70.0, 48.18181818181818)","(20.0, 70.0, 40.625)","(31.0, 190.0, 108.5)","(6.5, 14.5, 12.48076923076923)","(6.5, 15.0, 11.3)"
04-01-2023 13:56:24.707447,"(2.2, 2.28, 2.168888888888889)","(8.0, 16.0, 13.666666666666668)","(3.4, 5.0, 4.142857142857142)","(20.0, 70.0, 48.18181818181818)","(20.0, 70.0, 40.625)","(31.0, 190.0, 108.5)","(6.5, 14.5, 12.48076923076923)","(6.5, 15.0, 11.3)"
04-01-2023 13:56:25.934798,"(2.2, 2.28, 2.168888888888889)","(8.0, 16.0, 13.666666666666668)","(3.4, 5.0, 4.142857142857142)","(20.0, 70.0, 48.18181818181818)","(20.0, 70.0, 40.625)","(31.0, 190.0, 108.5)","(6.5, 14.5, 12.48076923076923)","(6.5, 15.0, 11.3)"
04-01-2023 13:56:27.132028,"(2.2, 2.28, 2.168888888888889)","(8.0, 16.0, 13.666666666666668)","(3.4, 5.0, 4.142857142857142)","(20.0, 70.0, 48.18181818181818)","(20.0, 70.0, 40.625)","(31.0, 190.0, 108.5)","(6.5, 14.5, 12.48076923076923)","(6.5, 15.0, 11.3)"
04-01-2023 13:56:28.317705,"(2.2, 2.28, 2.168888888888889)","(8.0, 16.0, 13.666666666666668)","(3.4, 5.0, 4.142857142857142)","(20.0, 70.0, 48.18181818181818)","(20.0, 70.0, 40.625)","(31.0, 190.0, 116.36363636363636)","(6.5, 14.5, 12.48076923076923)","(6.5, 15.0, 11.3)"
04-01-2023 13:56:29.573163,"(2.2, 2.28, 2.168888888888889)","(8.0, 16.0, 13.666666666666668)","(3.4, 5.0, 4.142857142857142)","(20.0, 70.0, 48.18181818181818)","(20.0, 70.0, 40.625)","(31.0, 190.0, 116.36363636363636)","(6.5, 14.5, 12.48076923076923)","(6.5, 15.0, 11.3)"
04-01-2023 13:56:30.801035,"(2.2, 2.28, 2.168888888888889)","(8.0, 16.0, 13.666666666666668)","(3.4, 5.0, 4.142857142857142)","(20.0, 70.0, 48.18181818181818)","(20.0, 70.0, 40.625)","(31.0, 190.0, 116.36363636363636)","(6.5, 14.5, 12.48076923076923)","(6.5, 15.0, 11.3)"
04-01-2023 13:56:32.073167,"(2.2, 2.28, 2.168888888888889)","(8.0, 16.0, 13.666666666666668)","(3.4, 5.0, 4.142857142857142)","(20.0, 70.0, 48.18181818181818)","(20.0, 70.0, 40.625)","(31.0, 190.0, 116.36363636363636)","(6.5, 14.5, 12.48076923076923)","(6.5, 15.0, 11.3)"
04-01-2023 13:56:33.515118,"(2.2, 2.28, 2.168888888888889)","(8.0, 16.0, 13.666666666666668)","(3.4, 5.0, 4.142857142857142)","(20.0, 70.0, 48.18181818181818)","(20.0, 70.0, 40.625)","(31.0, 190.0, 116.36363636363636)","(6.5, 14.5, 12.48076923076923)","(6.5, 15.0, 11.3)"
04-01-2023 13:56:34.786839,"(2.2, 2.28, 2.168888888888889)","(8.0, 16.0, 13.666666666666668)","(3.4, 5.0, 4.142857142857142)","(20.0, 70.0, 48.18181818181818)","(20.0, 70.0, 40.625)","(31.0, 190.0, 116.36363636363636)","(6.5, 14.5, 12.48076923076923)","(6.5, 15.0, 11.3)"
04-01-2023 13:56:36.079107,"(2.2, 2.28, 2.168888888888889)","(8.0, 16.0, 13.666666666666668)","(3.4, 5.0, 4.142857142857142)","(20.0, 70.0, 48.18181818181818)","(20.0, 70.0, 40.625)","(31.0, 190.0, 116.36363636363636)","(6.5, 14.5, 12.48076923076923)","(6.5, 15.0, 11.3)"
04-01-2023 13:56:37.230275,"(2.2, 2.28, 2.168888888888889)","(8.0, 16.0, 13.666666666666668)","(3.4, 5.0, 4.142857142857142)","(20.0, 70.0, 48.18181818181818)","(20.0, 70.0, 40.625)","(31.0, 190.0, 116.36363636363636)","(6.5, 14.5, 12.48076923076923)","(6.5, 15.0, 11.3)"
04-01-2023 13:56:38.420167,"(2.2, 2.28, 2.168888888888889)","(8.0, 16.0, 13.666666666666668)","(3.4, 5.0, 4.142857142857142)","(20.0, 70.0, 48.18181818181818)","(20.0, 70.0, 40.625)","(31.0, 190.0, 116.36363636363636)","(6.5, 14.5, 12.48076923076923)","(6.5, 15.0, 11.3)"
04-01-2023 13:56:39.792407,"(2.2, 2.28, 2.168888888888889)","(8.0, 16.0, 13.666666666666668)","(3.4, 5.0, 4.142857142857142)","(20.0, 70.0, 48.18181818181818)","(20.0, 70.0, 40.625)","(31.0, 190.0, 116.36363636363636)","(6.5, 14.5, 12.48076923076923)","(6.5, 15.0, 11.3)"
04-01-2023 13:56:41.109283,"(2.2, 2.28, 2.168888888888889)","(8.0, 16.0, 14.6)","(3.4, 5.0, 4.142857142857142)","(20.0, 70.0, 42.57142857142857)","(20.0, 70.0, 35.81818181818181)","(31.0, 190.0, 99.4375)","(6.5, 14.5, 12.48076923076923)","(6.5, 15.0, 11.3)"
04-01-2023 13:56:42.461617,"(2.2, 2.28, 2.168888888888889)","(8.0, 16.0, 14.6)","(3.4, 5.0, 4.142857142857142)","(20.0, 70.0, 42.57142857142857)","(20.0, 70.0, 35.81818181818181)","(31.0, 190.0, 99.4375)","(6.5, 14.5, 12.48076923076923)","(6.5, 15.0, 11.3)"
04-01-2023 13:56:43.709034,"(2.2, 2.28, 2.168888888888889)","(8.0, 16.0, 14.6)","(3.4, 5.0, 4.142857142857142)","(20.0, 70.0, 42.57142857142857)","(20.0, 70.0, 35.81818181818181)","(31.0, 190.0, 99.4375)","(6.5, 14.5, 12.48076923076923)","(6.5, 15.0, 11.3)"
04-01-2023 13:56:44.955491,"(2.2, 2.28, 2.168888888888889)","(8.0, 16.0, 14.6)","(3.4, 5.0, 4.142857142857142)","(20.0, 70.0, 42.57142857142857)","(20.0, 70.0, 35.81818181818181)","(31.0, 190.0, 99.4375)","(6.5, 14.5, 12.48076923076923)","(6.5, 15.0, 11.3)"
04-01-2023 13:56:46.407305,"(2.2, 2.28, 2.168888888888889)","(8.0, 16.0, 14.6)","(3.4, 5.0, 4.142857142857142)","(20.0, 70.0, 42.57142857142857)","(20.0, 70.0, 35.81818181818181)","(31.0, 190.0, 99.4375)","(6.5, 14.5, 12.48076923076923)","(6.5, 15.0, 11.3)"
04-01-2023 13:56:47.670137,"(2.2, 2.28, 2.168888888888889)","(8.0, 16.0, 14.6)","(3.4, 5.0, 4.142857142857142)","(20.0, 70.0, 42.57142857142857)","(20.0, 70.0, 35.81818181818181)","(31.0, 190.0, 69.25)","(6.5, 14.5, 12.48076923076923)","(6.5, 15.0, 11.3)"
04-01-2023 13:56:48.851244,"(2.2, 2.28, 2.168888888888889)","(8.0, 16.0, 14.6)","(3.4, 5.0, 4.142857142857142)","(20.0, 70.0, 42.57142857142857)","(20.0, 70.0, 35.81818181818181)","(31.0, 190.0, 103.70588235294117)","(6.5, 14.5, 12.48076923076923)","(6.5, 15.0, 11.3)"
04-01-2023 13:56:50.086790,"(2.2, 2.28, 2.168888888888889)","(8.0, 16.0, 14.6)","(3.4, 5.0, 4.142857142857142)","(20.0, 70.0, 42.57142857142857)","(20.0, 70.0, 35.81818181818181)","(31.0, 190.0, 103.70588235294117)","(6.5, 14.5, 12.48076923076923)","(6.5, 15.0, 11.3)"
04-01-2023 13:56:51.434864,"(2.2, 2.28, 2.168888888888889)","(8.0, 16.0, 14.6)","(3.4, 5.0, 4.142857142857142)","(20.0, 70.0, 42.57142857142857)","(20.0, 70.0, 35.81818181818181)","(31.0, 190.0, 103.70588235294117)","(6.5, 14.5, 12.48076923076923)","(6.5, 15.0, 11.3)"
04-01-2023 13:56:52.764506,"(2.2, 2.28, 2.168888888888889)","(8.0, 16.0, 14.6)","(3.4, 5.0, 4.142857142857142)","(20.0, 70.0, 42.57142857142857)","(20.0, 70.0, 35.81818181818181)","(31.0, 190.0, 103.70588235294117)","(6.5, 14.5, 12.48076923076923)","(6.5, 15.0, 11.3)"
04-01-2023 13:56:53.998109,"(2.2, 2.28, 2.168888888888889)","(8.0, 16.0, 14.6)","(3.4, 5.0, 4.142857142857142)","(20.0, 70.0, 42.57142857142857)","(20.0, 70.0, 35.81818181818181)","(31.0, 190.0, 103.70588235294117)","(6.5, 14.5, 12.48076923076923)","(6.5, 15.0, 11.3)"
04-01-2023 13:56:55.276045,"(2.2, 2.28, 2.168888888888889)","(8.0, 16.0, 14.6)","(3.4, 5.0, 4.142857142857142)","(20.0, 70.0, 42.57142857142857)","(20.0, 70.0, 35.81818181818181)","(31.0, 190.0, 103.70588235294117)","(6.5, 14.5, 12.48076923076923)","(6.5, 15.0, 11.3)"
04-01-2023 13:56:56.709302,"(2.2, 2.28, 2.168888888888889)","(8.0, 16.0, 14.6)","(3.4, 5.0, 4.142857142857142)","(20.0, 70.0, 42.57142857142857)","(20.0, 70.0, 35.81818181818181)","(31.0, 190.0, 103.70588235294117)","(6.5, 14.5, 12.48076923076923)","(6.5, 15.0, 11.3)"
04-01-2023 13:56:57.951491,"(2.2, 2.28, 2.168888888888889)","(8.0, 16.0, 14.6)","(3.4, 5.0, 4.142857142857142)","(20.0, 70.0, 42.57142857142857)","(20.0, 70.0, 35.81818181818181)","(31.0, 190.0, 103.70588235294117)","(6.5, 14.5, 12.48076923076923)","(6.5, 15.0, 11.3)"
04-01-2023 13:56:59.438945,"(2.2, 2.28, 2.168888888888889)","(8.0, 16.0, 14.6)","(3.4, 5.0, 4.142857142857142)","(20.0, 70.0, 42.57142857142857)","(20.0, 70.0, 35.81818181818181)","(31.0, 190.0, 103.70588235294117)","(6.5, 14.5, 12.48076923076923)","(6.5, 15.0, 11.3)"
