,Ravioli,Awesome Fred,Tralee Doll,Bundy Rose,Shimmy Debacle,Little Olivia,Full Of Zip,Hidden Houdini
04-01-2023 11:20:29.957032,"(1.95, 3.05, 2.081111111111111)","(41.0, 320.0, 178.0)","(3.8, 7.4, 5.296296296296297)","(31.0, 85.0, 52.22222222222222)","(101.0, 650.0, 372.5)","(4.4, 7.6, 6.293877551020408)","(14.0, 48.0, 34.041666666666664)","(6.0, 11.0, 9.28125)"
04-01-2023 11:20:31.191903,"(1.95, 3.05, 2.081111111111111)","(41.0, 320.0, 178.0)","(3.8, 7.4, 5.296296296296297)","(31.0, 85.0, 52.22222222222222)","(101.0, 650.0, 372.5)","(4.4, 7.6, 6.293877551020408)","(14.0, 48.0, 34.041666666666664)","(6.0, 11.0, 9.28125)"
04-01-2023 11:20:32.353745,"(1.95, 3.05, 2.081111111111111)","(41.0, 320.0, 178.0)","(3.8, 7.4, 5.296296296296297)","(31.0, 85.0, 52.22222222222222)","(101.0, 650.0, 372.5)","(4.4, 7.6, 6.293877551020408)","(14.0, 48.0, 34.041666666666664)","(6.0, 11.0, 9.28125)"
04-01-2023 11:20:33.519520,"(1.95, 3.05, 2.081111111111111)","(41.0, 320.0, 178.0)","(3.8, 7.4, 5.296296296296297)","(31.0, 85.0, 52.22222222222222)","(101.0, 650.0, 372.5)","(4.4, 7.6, 6.293877551020408)","(14.0, 48.0, 34.041666666666664)","(6.0, 11.0, 9.28125)"
04-01-2023 11:20:34.552561,"(1.95, 3.05, 2.081111111111111)","(41.0, 320.0, 178.0)","(3.8, 7.4, 5.296296296296297)","(31.0, 85.0, 52.22222222222222)","(101.0, 650.0, 372.5)","(4.4, 7.6, 6.293877551020408)","(14.0, 48.0, 34.041666666666664)","(6.0, 11.0, 9.28125)"
04-01-2023 11:20:35.591171,"(1.95, 3.05, 2.081111111111111)","(41.0, 320.0, 178.0)","(3.8, 7.4, 5.296296296296297)","(31.0, 85.0, 52.22222222222222)","(101.0, 650.0, 372.5)","(4.4, 7.6, 6.293877551020408)","(14.0, 48.0, 34.041666666666664)","(6.0, 11.0, 9.28125)"
04-01-2023 11:20:36.577372,"(1.95, 3.05, 2.0205555555555557)","(41.0, 320.0, 178.0)","(3.8, 7.4, 5.296296296296297)","(31.0, 85.0, 52.22222222222222)","(101.0, 650.0, 372.5)","(4.4, 7.6, 6.293877551020408)","(14.0, 48.0, 34.041666666666664)","(6.0, 11.0, 9.28125)"
04-01-2023 11:20:37.558562,"(1.95, 3.05, 2.0205555555555557)","(41.0, 320.0, 178.0)","(3.8, 7.4, 5.296296296296297)","(31.0, 85.0, 52.22222222222222)","(101.0, 650.0, 372.5)","(4.4, 7.6, 6.293877551020408)","(14.0, 48.0, 34.041666666666664)","(6.0, 11.0, 9.28125)"
04-01-2023 11:20:38.568299,"(1.95, 3.05, 2.0205555555555557)","(41.0, 320.0, 178.0)","(3.8, 7.4, 5.296296296296297)","(31.0, 85.0, 52.22222222222222)","(101.0, 650.0, 372.5)","(4.4, 7.6, 6.293877551020408)","(14.0, 48.0, 34.041666666666664)","(6.0, 11.0, 9.28125)"
04-01-2023 11:20:39.599355,"(1.95, 3.05, 2.0205555555555557)","(41.0, 320.0, 178.0)","(3.8, 7.4, 5.296296296296297)","(31.0, 85.0, 52.22222222222222)","(101.0, 650.0, 372.5)","(4.4, 7.6, 6.293877551020408)","(14.0, 48.0, 34.041666666666664)","(6.0, 11.0, 9.28125)"
