,Tricky Shacoby,Sammy Buttons,Tap Out Diesel,Lady On Fire,Skyla Blue,Monday Blues,Blazin Shirl,Black Book
04-01-2023 15:42:24.962440,"(18.0, 55.0, 39.791666666666664)","(15.0, 55.0, 38.541666666666664)","(2.2, 3.35, 2.3811111111111107)","(81.0, 570.0, 317.5)","(5.0, 8.4, 7.987500000000001)","(3.0, 4.2, 3.3291666666666666)","(21.0, 70.0, 45.5)","(7.5, 14.5, 13.794736842105262)"
04-01-2023 15:42:26.311241,"(18.0, 55.0, 39.791666666666664)","(15.0, 55.0, 38.541666666666664)","(2.2, 3.35, 2.3811111111111107)","(81.0, 570.0, 317.5)","(5.0, 8.4, 7.987500000000001)","(3.0, 4.2, 3.3291666666666666)","(21.0, 70.0, 45.5)","(7.5, 14.5, 13.794736842105262)"
04-01-2023 15:42:27.559412,"(18.0, 55.0, 39.791666666666664)","(15.0, 55.0, 38.541666666666664)","(2.2, 3.35, 2.3811111111111107)","(81.0, 570.0, 317.5)","(5.0, 8.4, 7.987500000000001)","(3.0, 4.2, 3.3291666666666666)","(21.0, 70.0, 45.5)","(7.5, 14.5, 13.794736842105262)"
04-01-2023 15:42:28.681011,"(18.0, 55.0, 39.791666666666664)","(15.0, 55.0, 38.541666666666664)","(2.2, 3.35, 2.3811111111111107)","(81.0, 570.0, 317.5)","(5.0, 8.4, 7.987500000000001)","(3.0, 4.2, 3.3291666666666666)","(21.0, 70.0, 45.5)","(7.5, 14.5, 13.794736842105262)"
04-01-2023 15:42:29.854219,"(18.0, 55.0, 39.791666666666664)","(15.0, 55.0, 38.541666666666664)","(2.2, 3.35, 2.3811111111111107)","(81.0, 570.0, 317.5)","(5.0, 8.4, 7.987500000000001)","(3.0, 4.2, 3.3291666666666666)","(21.0, 70.0, 45.5)","(7.5, 14.5, 13.794736842105262)"
04-01-2023 15:42:31.058267,"(18.0, 55.0, 39.791666666666664)","(15.0, 55.0, 38.541666666666664)","(2.2, 3.35, 2.3811111111111107)","(81.0, 570.0, 317.5)","(5.0, 8.4, 7.987500000000001)","(3.0, 4.2, 3.3291666666666666)","(21.0, 70.0, 45.5)","(7.5, 14.5, 13.794736842105262)"
04-01-2023 15:42:32.313206,"(18.0, 55.0, 39.791666666666664)","(15.0, 55.0, 38.541666666666664)","(2.2, 3.35, 2.3811111111111107)","(81.0, 570.0, 317.5)","(5.0, 8.4, 7.987500000000001)","(3.0, 4.2, 3.3291666666666666)","(21.0, 70.0, 45.5)","(7.5, 14.5, 13.794736842105262)"
04-01-2023 15:42:33.516591,"(18.0, 55.0, 39.791666666666664)","(15.0, 55.0, 38.541666666666664)","(2.2, 3.35, 2.3811111111111107)","(81.0, 570.0, 317.5)","(5.0, 8.4, 7.987500000000001)","(3.0, 4.2, 3.3291666666666666)","(21.0, 70.0, 45.5)","(7.5, 14.5, 13.794736842105262)"
04-01-2023 15:42:34.753895,"(18.0, 55.0, 39.791666666666664)","(15.0, 55.0, 38.541666666666664)","(2.2, 3.35, 2.3811111111111107)","(81.0, 570.0, 317.5)","(5.0, 8.4, 7.987500000000001)","(3.0, 4.2, 3.3291666666666666)","(21.0, 70.0, 45.5)","(7.5, 14.5, 13.794736842105262)"
04-01-2023 15:42:35.934933,"(18.0, 55.0, 39.791666666666664)","(15.0, 55.0, 38.541666666666664)","(2.2, 3.35, 2.3811111111111107)","(81.0, 570.0, 317.5)","(5.0, 8.4, 7.987500000000001)","(3.0, 4.2, 3.3291666666666666)","(21.0, 70.0, 45.5)","(7.5, 14.5, 13.794736842105262)"
04-01-2023 15:42:37.146395,"(18.0, 55.0, 39.791666666666664)","(15.0, 55.0, 38.541666666666664)","(2.2, 3.35, 2.3811111111111107)","(81.0, 570.0, 317.5)","(5.0, 8.4, 7.987500000000001)","(3.0, 4.2, 3.3291666666666666)","(21.0, 70.0, 45.5)","(7.5, 14.5, 13.794736842105262)"
04-01-2023 15:42:38.339295,"(18.0, 55.0, 39.791666666666664)","(15.0, 55.0, 38.541666666666664)","(2.2, 3.35, 2.3811111111111107)","(81.0, 570.0, 317.5)","(5.0, 8.4, 7.987500000000001)","(3.0, 4.2, 3.3291666666666666)","(21.0, 70.0, 45.5)","(7.5, 14.5, 13.794736842105262)"
04-01-2023 15:42:39.503942,"(18.0, 55.0, 39.791666666666664)","(15.0, 55.0, 38.541666666666664)","(2.2, 3.35, 2.3811111111111107)","(81.0, 570.0, 317.5)","(5.0, 8.4, 7.987500000000001)","(3.0, 4.2, 3.3291666666666666)","(21.0, 70.0, 45.5)","(7.5, 14.5, 13.794736842105262)"
04-01-2023 15:42:40.957525,"(18.0, 55.0, 39.791666666666664)","(15.0, 55.0, 38.541666666666664)","(2.2, 3.35, 2.3811111111111107)","(81.0, 570.0, 317.5)","(5.0, 8.4, 7.987500000000001)","(3.0, 4.2, 3.3291666666666666)","(21.0, 70.0, 45.5)","(7.5, 14.5, 13.794736842105262)"
04-01-2023 15:42:42.597338,"(18.0, 55.0, 39.791666666666664)","(15.0, 55.0, 38.541666666666664)","(2.2, 3.35, 2.3811111111111107)","(81.0, 570.0, 317.5)","(5.0, 8.4, 7.987500000000001)","(3.0, 4.2, 3.3291666666666666)","(21.0, 70.0, 45.5)","(7.5, 14.5, 13.794736842105262)"
