,The Milkybar Kid,Duke Of Buckingham,Baltic Coast,Rosovo,Tidal Creek,Karlstad,Lonely Rock
04-01-2023 15:14:27.847149,"(3.8, 4.3, 4.284158415841584)","(4.2, 5.6, 5.458823529411765)","(5.0, 7.8, 7.302857142857143)","(4.8, 6.2, 6.177777777777778)","(13.0, 19.0, 18.076923076923077)","(4.2, 4.8, 4.764516129032258)","(101.0, 630.0, 576.25)"
04-01-2023 15:14:28.881953,"(3.8, 4.3, 4.282978723404256)","(4.2, 5.6, 5.458823529411765)","(5.0, 7.8, 7.302857142857143)","(4.8, 6.2, 6.177777777777778)","(13.0, 19.0, 18.076923076923077)","(4.2, 4.8, 4.764516129032258)","(101.0, 630.0, 576.25)"
04-01-2023 15:14:29.936498,"(3.8, 4.3, 4.282978723404256)","(4.2, 5.6, 5.458823529411765)","(5.0, 7.8, 7.302857142857143)","(4.8, 6.2, 6.177777777777778)","(13.0, 19.0, 18.076923076923077)","(4.2, 4.8, 4.764516129032258)","(101.0, 630.0, 576.25)"
04-01-2023 15:14:31.058090,"(3.8, 4.3, 4.282978723404256)","(4.2, 5.6, 5.458823529411765)","(5.0, 7.8, 7.302857142857143)","(4.8, 6.2, 6.177777777777778)","(13.0, 19.0, 18.076923076923077)","(4.2, 4.8, 4.764516129032258)","(101.0, 630.0, 576.25)"
04-01-2023 15:14:32.085722,"(3.8, 4.3, 4.282978723404256)","(4.2, 5.6, 5.458823529411765)","(5.0, 7.8, 7.302857142857143)","(4.8, 6.2, 6.177777777777778)","(13.0, 19.0, 18.076923076923077)","(4.2, 4.8, 4.764516129032258)","(101.0, 630.0, 576.25)"
04-01-2023 15:14:33.109844,"(3.8, 4.3, 4.282978723404256)","(4.2, 5.6, 5.458823529411765)","(5.0, 7.8, 7.302857142857143)","(4.8, 6.2, 6.177777777777778)","(13.0, 19.0, 18.076923076923077)","(4.2, 4.8, 4.764516129032258)","(101.0, 630.0, 576.25)"
04-01-2023 15:14:34.115666,"(3.8, 4.3, 4.282978723404256)","(4.2, 5.6, 5.458823529411765)","(5.0, 7.8, 7.302857142857143)","(4.8, 6.2, 6.177777777777778)","(13.0, 19.0, 18.076923076923077)","(4.2, 4.8, 4.764516129032258)","(101.0, 630.0, 576.25)"
04-01-2023 15:14:35.111968,"(3.8, 4.3, 4.282978723404256)","(4.2, 5.6, 5.458823529411765)","(5.0, 7.8, 7.302857142857143)","(4.8, 6.2, 6.177777777777778)","(13.0, 19.0, 18.076923076923077)","(4.2, 4.8, 4.764516129032258)","(101.0, 630.0, 576.25)"
04-01-2023 15:14:36.162281,"(3.8, 4.3, 4.282978723404256)","(4.2, 5.6, 5.458823529411765)","(5.0, 7.8, 7.302857142857143)","(4.8, 6.2, 6.177777777777778)","(13.0, 19.0, 18.076923076923077)","(4.2, 4.8, 4.764516129032258)","(101.0, 630.0, 576.25)"
04-01-2023 15:14:37.209127,"(3.8, 4.3, 4.282978723404256)","(4.2, 5.6, 5.458823529411765)","(5.0, 7.8, 7.302857142857143)","(4.8, 6.2, 6.177777777777778)","(13.0, 19.0, 18.076923076923077)","(4.2, 4.8, 4.764516129032258)","(101.0, 630.0, 576.25)"
04-01-2023 15:14:38.201899,"(3.8, 4.3, 4.282978723404256)","(4.2, 5.6, 5.505263157894737)","(5.0, 7.8, 7.305882352941176)","(4.8, 6.2, 6.177777777777778)","(13.0, 19.0, 18.076923076923077)","(4.2, 4.8, 4.764516129032258)","(101.0, 630.0, 576.25)"
04-01-2023 15:14:39.238481,"(3.8, 4.3, 4.282978723404256)","(4.2, 5.6, 5.505263157894737)","(5.0, 7.8, 7.305882352941176)","(4.8, 6.2, 6.177777777777778)","(13.0, 19.0, 18.076923076923077)","(4.2, 4.8, 4.764516129032258)","(101.0, 630.0, 576.25)"
04-01-2023 15:14:40.210728,"(3.8, 4.3, 4.282978723404256)","(4.2, 5.6, 5.505263157894737)","(5.0, 7.8, 7.305882352941176)","(4.8, 6.2, 6.177777777777778)","(13.0, 19.0, 18.076923076923077)","(4.2, 4.8, 4.764516129032258)","(101.0, 630.0, 576.25)"
04-01-2023 15:14:41.207838,"(3.8, 4.3, 4.282978723404256)","(4.2, 5.6, 5.505263157894737)","(5.0, 7.8, 7.305882352941176)","(4.8, 6.2, 6.177777777777778)","(13.0, 19.0, 18.076923076923077)","(4.2, 4.8, 4.764516129032258)","(101.0, 630.0, 576.25)"
04-01-2023 15:14:42.209155,"(3.8, 4.3, 4.282978723404256)","(4.2, 5.6, 5.505263157894737)","(5.0, 7.8, 7.305882352941176)","(4.8, 6.2, 6.177777777777778)","(13.0, 19.0, 18.076923076923077)","(4.2, 4.8, 4.764516129032258)","(101.0, 630.0, 576.25)"
04-01-2023 15:14:43.171650,"(3.8, 4.3, 4.282978723404256)","(4.2, 5.6, 5.505263157894737)","(5.0, 7.8, 7.305882352941176)","(4.8, 6.2, 6.177777777777778)","(13.0, 19.0, 18.076923076923077)","(4.2, 4.8, 4.764516129032258)","(101.0, 630.0, 576.25)"
04-01-2023 15:14:44.213873,"(3.8, 4.3, 4.282978723404256)","(4.2, 5.6, 5.505263157894737)","(5.0, 7.8, 7.305882352941176)","(4.8, 6.2, 6.177777777777778)","(13.0, 19.0, 18.076923076923077)","(4.2, 4.8, 4.764516129032258)","(101.0, 630.0, 576.25)"
04-01-2023 15:14:45.196020,"(3.8, 4.3, 4.282978723404256)","(4.2, 5.6, 5.505263157894737)","(5.0, 7.8, 7.305882352941176)","(4.8, 6.2, 6.177777777777778)","(13.0, 19.0, 18.076923076923077)","(4.2, 4.8, 4.764516129032258)","(101.0, 630.0, 576.25)"
04-01-2023 15:14:46.244800,"(3.8, 4.3, 4.282978723404256)","(4.2, 5.6, 5.505263157894737)","(5.0, 7.8, 7.305882352941176)","(4.8, 6.2, 6.177777777777778)","(13.0, 19.0, 18.076923076923077)","(4.2, 4.8, 4.764516129032258)","(101.0, 630.0, 576.25)"
04-01-2023 15:14:47.253644,"(3.8, 4.3, 4.282978723404256)","(4.2, 5.6, 5.505263157894737)","(5.0, 7.8, 7.305882352941176)","(4.8, 6.2, 6.177777777777778)","(13.0, 19.0, 18.076923076923077)","(4.2, 4.8, 4.764516129032258)","(101.0, 630.0, 576.25)"
