,Thrilling Ziggy,Big Time Girly,Highview Moose,Allegro Barrel,Nutty Nuts,Big Time Axel,Big Time Bumper
04-01-2023 09:45:40.042932,"(2.0, 3.25, 2.84)","(16.0, 180.0, 73.60714285714286)","(9.0, 38.0, 23.978947368421053)","(10.0, 46.0, 27.700000000000003)","(12.0, 60.0, 50.1)","(4.0, 11.5, 9.542592592592593)","(5.0, 16.5, 6.916666666666666)"
04-01-2023 09:45:40.940565,"(2.0, 3.25, 2.84)","(16.0, 180.0, 73.60714285714286)","(9.0, 38.0, 23.978947368421053)","(10.0, 46.0, 27.700000000000003)","(12.0, 60.0, 50.1)","(4.0, 11.5, 9.542592592592593)","(5.0, 16.5, 6.916666666666666)"
04-01-2023 09:45:41.930040,"(2.0, 3.25, 2.84)","(16.0, 180.0, 73.60714285714286)","(9.0, 38.0, 23.978947368421053)","(10.0, 46.0, 27.700000000000003)","(12.0, 60.0, 50.1)","(4.0, 11.5, 9.542592592592593)","(5.0, 16.5, 6.916666666666666)"
04-01-2023 09:45:42.818166,"(2.0, 3.25, 2.84)","(16.0, 180.0, 73.60714285714286)","(9.0, 38.0, 23.978947368421053)","(10.0, 46.0, 27.700000000000003)","(12.0, 60.0, 50.1)","(4.0, 11.5, 9.542592592592593)","(5.0, 16.5, 6.916666666666666)"
04-01-2023 09:45:43.697734,"(2.0, 3.25, 2.84)","(16.0, 180.0, 73.60714285714286)","(9.0, 38.0, 23.978947368421053)","(10.0, 46.0, 27.700000000000003)","(12.0, 60.0, 50.1)","(4.0, 11.5, 9.542592592592593)","(5.0, 16.5, 6.916666666666666)"
04-01-2023 09:45:44.570800,"(2.0, 3.25, 2.84)","(16.0, 180.0, 73.60714285714286)","(9.0, 38.0, 23.978947368421053)","(10.0, 46.0, 27.700000000000003)","(12.0, 60.0, 50.1)","(4.0, 11.5, 9.542592592592593)","(5.0, 16.5, 6.916666666666666)"
04-01-2023 09:45:45.449776,"(2.0, 3.25, 2.84)","(16.0, 180.0, 73.60714285714286)","(9.0, 38.0, 23.978947368421053)","(10.0, 46.0, 27.700000000000003)","(12.0, 60.0, 50.1)","(4.0, 11.5, 9.542592592592593)","(5.0, 16.5, 6.916666666666666)"
04-01-2023 09:45:46.331851,"(2.0, 3.25, 2.84)","(16.0, 180.0, 73.60714285714286)","(9.0, 38.0, 23.978947368421053)","(10.0, 46.0, 27.700000000000003)","(12.0, 60.0, 50.1)","(4.0, 11.5, 9.542592592592593)","(5.0, 16.5, 6.916666666666666)"
04-01-2023 09:45:47.217018,"(2.0, 3.25, 2.84)","(16.0, 180.0, 73.60714285714286)","(9.0, 38.0, 23.978947368421053)","(10.0, 46.0, 27.700000000000003)","(12.0, 60.0, 50.1)","(4.0, 11.5, 9.542592592592593)","(5.0, 16.5, 6.916666666666666)"
04-01-2023 09:45:48.120693,"(2.0, 3.25, 2.84)","(16.0, 180.0, 73.60714285714286)","(9.0, 38.0, 23.978947368421053)","(10.0, 46.0, 27.700000000000003)","(12.0, 60.0, 50.1)","(4.0, 11.5, 9.542592592592593)","(5.0, 16.5, 6.916666666666666)"
04-01-2023 09:45:49.023738,"(2.0, 3.25, 2.84)","(16.0, 180.0, 73.60714285714286)","(9.0, 38.0, 23.978947368421053)","(10.0, 46.0, 27.700000000000003)","(12.0, 60.0, 50.1)","(4.0, 11.5, 9.542592592592593)","(5.0, 16.5, 6.916666666666666)"
04-01-2023 09:45:49.954853,"(2.0, 3.25, 2.84)","(16.0, 180.0, 73.60714285714286)","(9.0, 38.0, 23.978947368421053)","(10.0, 46.0, 27.700000000000003)","(12.0, 60.0, 50.1)","(4.0, 11.5, 9.542592592592593)","(5.0, 16.5, 6.916666666666666)"
04-01-2023 09:45:50.835060,"(2.0, 3.25, 2.84)","(16.0, 180.0, 73.60714285714286)","(9.0, 38.0, 23.978947368421053)","(10.0, 46.0, 27.700000000000003)","(12.0, 60.0, 50.1)","(4.0, 11.5, 9.542592592592593)","(5.0, 16.5, 6.916666666666666)"
04-01-2023 09:45:51.712977,"(2.0, 3.25, 2.84)","(16.0, 180.0, 73.60714285714286)","(9.0, 38.0, 23.978947368421053)","(10.0, 46.0, 27.700000000000003)","(12.0, 60.0, 50.1)","(4.0, 11.5, 9.542592592592593)","(5.0, 16.5, 6.916666666666666)"
04-01-2023 09:45:52.612659,"(2.0, 3.25, 2.84)","(16.0, 180.0, 73.60714285714286)","(9.0, 38.0, 23.978947368421053)","(10.0, 46.0, 27.700000000000003)","(12.0, 60.0, 50.1)","(4.0, 11.5, 9.542592592592593)","(5.0, 16.5, 6.916666666666666)"
04-01-2023 09:45:53.484757,"(2.0, 3.25, 2.84)","(16.0, 180.0, 73.60714285714286)","(9.0, 38.0, 23.978947368421053)","(10.0, 46.0, 27.700000000000003)","(12.0, 60.0, 50.1)","(4.0, 11.5, 9.542592592592593)","(5.0, 16.5, 6.916666666666666)"
04-01-2023 09:45:54.364039,"(2.0, 3.25, 2.84)","(16.0, 180.0, 73.60714285714286)","(9.0, 38.0, 23.978947368421053)","(10.0, 46.0, 27.700000000000003)","(12.0, 60.0, 50.1)","(4.0, 11.5, 9.542592592592593)","(5.0, 16.5, 6.916666666666666)"
04-01-2023 09:45:55.250295,"(2.0, 3.25, 2.84)","(16.0, 180.0, 73.60714285714286)","(9.0, 38.0, 23.978947368421053)","(10.0, 46.0, 27.700000000000003)","(12.0, 60.0, 50.1)","(4.0, 11.5, 9.542592592592593)","(5.0, 16.5, 6.916666666666666)"
04-01-2023 09:45:56.135789,"(2.0, 3.25, 2.84)","(16.0, 180.0, 73.60714285714286)","(9.0, 38.0, 23.978947368421053)","(10.0, 46.0, 27.700000000000003)","(12.0, 60.0, 50.1)","(4.0, 11.5, 9.542592592592593)","(5.0, 16.5, 6.916666666666666)"
04-01-2023 09:45:57.024762,"(2.0, 3.25, 2.84)","(16.0, 180.0, 73.60714285714286)","(9.0, 38.0, 23.978947368421053)","(10.0, 46.0, 27.700000000000003)","(12.0, 60.0, 50.1)","(4.0, 11.5, 9.542592592592593)","(5.0, 16.5, 6.916666666666666)"
04-01-2023 09:45:57.941745,"(2.0, 3.25, 2.84)","(16.0, 180.0, 73.60714285714286)","(9.0, 38.0, 23.978947368421053)","(10.0, 46.0, 27.700000000000003)","(12.0, 60.0, 50.1)","(4.0, 11.5, 9.542592592592593)","(5.0, 16.5, 6.916666666666666)"
04-01-2023 09:45:58.849742,"(2.0, 3.25, 2.84)","(16.0, 180.0, 73.60714285714286)","(9.0, 38.0, 23.978947368421053)","(10.0, 46.0, 27.700000000000003)","(12.0, 60.0, 50.1)","(4.0, 11.0, 8.35625)","(5.0, 16.5, 6.916666666666666)"
04-01-2023 09:45:59.747119,"(2.0, 3.25, 2.84)","(16.0, 180.0, 73.60714285714286)","(9.0, 38.0, 23.978947368421053)","(10.0, 46.0, 27.700000000000003)","(12.0, 60.0, 50.1)","(4.0, 11.0, 8.35625)","(5.0, 16.5, 6.916666666666666)"
04-01-2023 09:46:00.635691,"(2.0, 3.25, 2.84)","(16.0, 180.0, 73.60714285714286)","(9.0, 38.0, 23.978947368421053)","(10.0, 46.0, 27.700000000000003)","(12.0, 60.0, 50.1)","(4.0, 11.0, 8.35625)","(5.0, 16.5, 6.916666666666666)"
04-01-2023 09:46:01.523685,"(2.0, 3.25, 2.84)","(16.0, 180.0, 73.60714285714286)","(9.0, 38.0, 23.978947368421053)","(10.0, 46.0, 27.700000000000003)","(12.0, 60.0, 50.1)","(4.0, 11.0, 8.35625)","(5.0, 16.5, 6.916666666666666)"
04-01-2023 09:46:02.461535,"(2.0, 3.25, 2.84)","(16.0, 180.0, 73.60714285714286)","(9.0, 38.0, 23.978947368421053)","(10.0, 46.0, 27.700000000000003)","(12.0, 60.0, 50.1)","(4.0, 11.0, 8.35625)","(5.0, 16.5, 6.916666666666666)"
04-01-2023 09:46:03.366595,"(2.0, 3.25, 2.84)","(16.0, 180.0, 73.60714285714286)","(9.0, 38.0, 23.978947368421053)","(10.0, 46.0, 27.700000000000003)","(12.0, 60.0, 50.1)","(4.0, 11.0, 8.35625)","(5.0, 16.5, 6.916666666666666)"
04-01-2023 09:46:04.241715,"(2.0, 3.25, 2.84)","(16.0, 180.0, 73.60714285714286)","(9.0, 38.0, 23.978947368421053)","(10.0, 46.0, 27.700000000000003)","(12.0, 60.0, 50.1)","(4.0, 11.0, 8.35625)","(5.0, 16.5, 6.916666666666666)"
04-01-2023 09:46:05.154013,"(2.0, 3.25, 2.84)","(16.0, 180.0, 73.60714285714286)","(9.0, 38.0, 23.978947368421053)","(10.0, 46.0, 27.700000000000003)","(12.0, 60.0, 50.1)","(4.0, 11.0, 8.35625)","(5.0, 16.5, 6.916666666666666)"
04-01-2023 09:46:06.050432,"(2.0, 3.25, 2.84)","(16.0, 180.0, 73.60714285714286)","(9.0, 38.0, 23.978947368421053)","(10.0, 46.0, 27.700000000000003)","(12.0, 60.0, 50.1)","(4.0, 11.0, 8.35625)","(5.0, 16.5, 6.916666666666666)"
