,Go Forward Tink,Oh Suzie,Flying Bella,Udella Bale,Hasten Jet,Pablos Star,Im Indigo,Levator
05-01-2023 13:59:05.200965,"(9.0, 34.0, 27.95)","(51.0, 230.0, 154.8)","(19.0, 80.0, 71.35714285714286)","(2.7, 3.65, 2.923529411764706)","(2.6, 4.1, 3.26)","(10.0, 19.5, 18.47)","(8.5, 17.0, 11.533333333333333)","(6.0, 9.8, 6.358823529411765)"
05-01-2023 13:59:06.586276,"(9.0, 34.0, 27.95)","(51.0, 230.0, 154.8)","(19.0, 80.0, 71.35714285714286)","(2.7, 3.65, 2.923529411764706)","(2.6, 4.1, 3.26)","(10.0, 19.5, 18.47)","(8.5, 17.0, 11.533333333333333)","(6.0, 9.8, 6.358823529411765)"
05-01-2023 13:59:07.891448,"(9.0, 34.0, 27.95)","(51.0, 230.0, 154.8)","(19.0, 80.0, 71.35714285714286)","(2.7, 3.65, 2.923529411764706)","(2.6, 4.1, 3.26)","(10.0, 19.5, 18.47)","(8.5, 17.0, 11.533333333333333)","(6.0, 9.8, 6.358823529411765)"
05-01-2023 13:59:09.297280,"(9.0, 34.0, 27.95)","(51.0, 230.0, 154.8)","(19.0, 80.0, 71.35714285714286)","(2.7, 3.65, 2.923529411764706)","(2.6, 4.1, 3.26)","(10.0, 19.5, 18.47)","(8.5, 17.0, 11.533333333333333)","(6.0, 9.8, 6.358823529411765)"
05-01-2023 13:59:10.962354,"(9.0, 34.0, 27.95)","(51.0, 230.0, 154.8)","(19.0, 80.0, 71.35714285714286)","(2.7, 3.65, 2.923529411764706)","(2.6, 4.1, 3.26)","(10.0, 19.5, 18.47)","(8.5, 17.0, 11.533333333333333)","(6.0, 9.8, 6.358823529411765)"
05-01-2023 13:59:12.593884,"(9.0, 34.0, 27.95)","(51.0, 230.0, 154.8)","(19.0, 80.0, 71.35714285714286)","(2.7, 3.65, 2.923529411764706)","(2.6, 4.1, 3.26)","(10.0, 19.5, 18.47)","(8.5, 17.0, 11.533333333333333)","(6.0, 9.8, 6.358823529411765)"
05-01-2023 13:59:14.166438,"(9.0, 34.0, 27.95)","(51.0, 230.0, 154.8)","(19.0, 80.0, 71.35714285714286)","(2.7, 3.65, 2.923529411764706)","(2.6, 4.1, 3.26)","(10.0, 19.5, 18.47)","(8.5, 17.0, 11.533333333333333)","(6.0, 9.8, 6.358823529411765)"
05-01-2023 13:59:15.615529,"(9.0, 34.0, 27.95)","(51.0, 230.0, 154.8)","(19.0, 80.0, 71.35714285714286)","(2.7, 3.65, 2.923529411764706)","(2.6, 4.1, 3.26)","(10.0, 19.5, 18.47)","(8.5, 17.0, 11.533333333333333)","(6.0, 9.8, 6.358823529411765)"
05-01-2023 13:59:16.987637,"(9.0, 34.0, 27.95)","(51.0, 230.0, 154.8)","(19.0, 80.0, 71.35714285714286)","(2.7, 3.65, 2.923529411764706)","(2.6, 4.1, 3.26)","(10.0, 19.5, 18.47)","(8.5, 17.0, 11.533333333333333)","(6.0, 9.8, 6.358823529411765)"
05-01-2023 13:59:18.542340,"(9.0, 34.0, 27.85)","(51.0, 230.0, 154.8)","(19.0, 80.0, 71.35714285714286)","(2.7, 3.65, 2.923529411764706)","(2.6, 4.1, 3.26)","(10.0, 19.5, 18.47)","(8.5, 17.0, 11.533333333333333)","(6.0, 9.8, 6.358823529411765)"
05-01-2023 13:59:20.090459,"(9.0, 34.0, 27.85)","(51.0, 230.0, 154.8)","(19.0, 80.0, 71.35714285714286)","(2.7, 3.65, 2.923529411764706)","(2.6, 4.1, 3.26)","(10.0, 19.5, 18.47)","(8.5, 17.0, 11.533333333333333)","(6.0, 9.8, 6.358823529411765)"
05-01-2023 13:59:21.422287,"(9.0, 34.0, 27.85)","(51.0, 230.0, 154.8)","(19.0, 80.0, 71.35714285714286)","(2.7, 3.65, 2.923529411764706)","(2.6, 4.1, 3.26)","(10.0, 19.5, 18.47)","(8.5, 17.0, 11.533333333333333)","(6.0, 9.8, 6.358823529411765)"
05-01-2023 13:59:22.638616,"(9.0, 34.0, 27.85)","(51.0, 230.0, 154.8)","(19.0, 80.0, 71.35714285714286)","(2.7, 3.65, 2.923529411764706)","(2.6, 4.1, 3.26)","(10.0, 19.5, 18.47)","(8.5, 17.0, 11.533333333333333)","(6.0, 9.8, 6.358823529411765)"
05-01-2023 13:59:24.024034,"(9.0, 34.0, 27.85)","(51.0, 230.0, 154.8)","(19.0, 80.0, 71.35714285714286)","(2.7, 3.65, 2.923529411764706)","(2.6, 4.1, 3.26)","(10.0, 19.5, 18.47)","(8.5, 17.0, 11.533333333333333)","(6.0, 9.8, 6.358823529411765)"
05-01-2023 13:59:25.296881,"(9.0, 34.0, 27.95)","(51.0, 230.0, 154.8)","(19.0, 80.0, 71.42857142857143)","(2.7, 3.65, 2.923529411764706)","(2.6, 4.1, 3.26)","(10.0, 19.5, 18.47)","(8.5, 17.0, 11.533333333333333)","(6.0, 9.8, 6.358823529411765)"
05-01-2023 13:59:26.775242,"(9.0, 34.0, 27.95)","(51.0, 230.0, 154.8)","(19.0, 80.0, 71.42857142857143)","(2.7, 3.65, 2.923529411764706)","(2.6, 4.1, 3.26)","(10.0, 19.5, 18.47)","(8.5, 17.0, 11.533333333333333)","(6.0, 9.8, 6.358823529411765)"
05-01-2023 13:59:28.214778,"(9.0, 34.0, 27.95)","(51.0, 230.0, 154.8)","(19.0, 80.0, 71.42857142857143)","(2.7, 3.65, 2.923529411764706)","(2.6, 4.1, 3.26)","(10.0, 19.5, 18.47)","(8.5, 17.0, 11.533333333333333)","(6.0, 9.8, 6.358823529411765)"
05-01-2023 13:59:29.616142,"(9.0, 34.0, 27.95)","(51.0, 230.0, 154.8)","(19.0, 80.0, 71.42857142857143)","(2.7, 3.65, 2.923529411764706)","(2.6, 4.1, 3.26)","(10.0, 19.5, 18.47)","(8.5, 17.0, 11.533333333333333)","(6.0, 9.8, 6.358823529411765)"
05-01-2023 13:59:30.826283,"(9.0, 34.0, 27.95)","(51.0, 230.0, 154.8)","(19.0, 80.0, 71.42857142857143)","(2.7, 3.65, 2.923529411764706)","(2.6, 4.1, 3.26)","(10.0, 19.5, 18.47)","(8.5, 17.0, 11.533333333333333)","(6.0, 9.8, 6.358823529411765)"
05-01-2023 13:59:32.020425,"(9.0, 34.0, 27.95)","(51.0, 230.0, 154.8)","(19.0, 80.0, 71.42857142857143)","(2.7, 3.65, 2.923529411764706)","(2.6, 4.1, 3.26)","(10.0, 19.5, 18.47)","(8.5, 17.0, 11.533333333333333)","(6.0, 9.8, 6.358823529411765)"
05-01-2023 13:59:33.277707,"(9.0, 34.0, 27.95)","(51.0, 230.0, 176.28571428571428)","(19.0, 80.0, 71.42857142857143)","(2.7, 3.65, 2.923529411764706)","(2.6, 4.1, 3.26)","(10.0, 19.5, 18.47)","(8.5, 17.0, 11.533333333333333)","(6.0, 9.8, 6.358823529411765)"
05-01-2023 13:59:34.826049,"(9.0, 34.0, 27.95)","(51.0, 230.0, 176.85714285714286)","(19.0, 80.0, 71.42857142857143)","(2.7, 3.65, 2.923529411764706)","(2.6, 4.1, 3.26)","(10.0, 19.5, 18.47)","(8.5, 17.0, 11.533333333333333)","(6.0, 9.8, 6.358823529411765)"
05-01-2023 13:59:36.194858,"(9.0, 34.0, 27.95)","(51.0, 230.0, 176.85714285714286)","(19.0, 80.0, 71.42857142857143)","(2.7, 3.65, 2.923529411764706)","(2.6, 4.1, 3.26)","(10.0, 19.5, 18.47)","(8.5, 17.0, 11.533333333333333)","(6.0, 9.8, 6.358823529411765)"
