,Georgies Mantra,Kaphands,Lots Of Fiddees,Martiniontheside,Overrun,Tokoyo,White Foot,Witness To Love,Zar Queen,Oh Yoko,Rumours Abound,Whitehart,Kilkivarn,Duped By Spin
05-01-2023 14:23:39.083471,"(5.0, 5.7, 5.557142857142857)","(15.0, 34.0, 20.4)","(12.0, 22.0, 16.333333333333332)","(26.0, 28.0, 26.0)","(11.0, 15.0, 12.0)","(26.0, 55.0, 35.5)","(101.0, 220.0, 118.75)","(10.0, 17.0, 13.333333333333334)","(16.0, 21.0, 18.5)","(15.0, 18.0, 15.115384615384615)","(3.0, 4.5, 4.404761904761905)","(8.5, 9.8, 9.193103448275862)","(61.0, 220.0, 174.28571428571428)","(12.0, 24.0, 18.615384615384617)"
05-01-2023 14:23:40.613536,"(5.0, 5.7, 5.557142857142857)","(15.0, 34.0, 20.4)","(12.0, 22.0, 16.333333333333332)","(26.0, 28.0, 26.0)","(11.0, 15.0, 12.0)","(26.0, 55.0, 35.5)","(101.0, 220.0, 118.75)","(10.0, 17.0, 13.333333333333334)","(16.0, 21.0, 18.5)","(15.0, 18.0, 15.115384615384615)","(3.0, 4.5, 4.404761904761905)","(8.5, 9.8, 9.193103448275862)","(61.0, 220.0, 174.28571428571428)","(12.0, 24.0, 18.615384615384617)"
05-01-2023 14:23:42.281607,"(5.0, 5.7, 5.557142857142857)","(15.0, 34.0, 20.4)","(12.0, 22.0, 16.333333333333332)","(26.0, 28.0, 26.0)","(11.0, 15.0, 10.833333333333334)","(26.0, 55.0, 35.5)","(101.0, 220.0, 118.75)","(10.0, 17.0, 13.333333333333334)","(16.0, 21.0, 18.5)","(15.0, 18.0, 15.115384615384615)","(3.0, 4.5, 4.404761904761905)","(8.5, 9.8, 9.193103448275862)","(61.0, 220.0, 174.28571428571428)","(12.0, 24.0, 18.615384615384617)"
05-01-2023 14:23:43.877971,"(5.0, 5.7, 5.557142857142857)","(15.0, 34.0, 20.4)","(12.0, 22.0, 16.333333333333332)","(26.0, 28.0, 26.0)","(11.0, 13.5, 10.833333333333334)","(26.0, 55.0, 35.5)","(101.0, 220.0, 118.75)","(10.0, 17.0, 13.333333333333334)","(16.0, 21.0, 18.5)","(15.0, 18.0, 15.115384615384615)","(3.0, 4.5, 4.404761904761905)","(8.5, 9.8, 9.193103448275862)","(61.0, 220.0, 174.28571428571428)","(12.0, 24.0, 18.615384615384617)"
05-01-2023 14:23:45.483956,"(5.0, 5.7, 5.557142857142857)","(15.0, 34.0, 20.4)","(12.0, 22.0, 16.333333333333332)","(26.0, 28.0, 26.0)","(11.0, 13.5, 10.833333333333334)","(26.0, 55.0, 35.5)","(101.0, 220.0, 118.75)","(10.0, 17.0, 13.333333333333334)","(16.0, 21.0, 18.5)","(15.0, 18.0, 15.115384615384615)","(3.0, 4.5, 4.404761904761905)","(8.5, 9.8, 9.193103448275862)","(61.0, 220.0, 174.28571428571428)","(12.0, 24.0, 18.615384615384617)"
05-01-2023 14:23:47.061107,"(5.0, 5.7, 5.557142857142857)","(15.0, 34.0, 20.4)","(12.0, 22.0, 20.11111111111111)","(26.0, 28.0, 26.0)","(11.0, 13.5, 10.833333333333334)","(26.0, 55.0, 35.5)","(101.0, 220.0, 118.75)","(10.0, 17.0, 13.333333333333334)","(16.0, 21.0, 18.5)","(15.0, 18.0, 15.115384615384615)","(3.0, 4.5, 4.404761904761905)","(8.5, 9.8, 9.193103448275862)","(61.0, 220.0, 174.28571428571428)","(12.0, 24.0, 18.615384615384617)"
05-01-2023 14:23:48.638022,"(5.0, 5.7, 5.557142857142857)","(15.0, 34.0, 20.4)","(12.0, 22.0, 20.11111111111111)","(26.0, 28.0, 26.0)","(11.0, 13.5, 10.833333333333334)","(26.0, 55.0, 35.5)","(101.0, 220.0, 118.75)","(10.0, 17.0, 13.333333333333334)","(16.0, 21.0, 18.5)","(15.0, 18.0, 15.115384615384615)","(3.0, 4.5, 4.404761904761905)","(8.5, 9.8, 9.193103448275862)","(61.0, 220.0, 174.28571428571428)","(12.0, 24.0, 18.615384615384617)"
05-01-2023 14:23:50.158706,"(5.0, 5.7, 5.557142857142857)","(15.0, 34.0, 20.4)","(12.0, 22.0, 20.11111111111111)","(26.0, 28.0, 26.0)","(11.0, 13.5, 10.833333333333334)","(26.0, 55.0, 35.5)","(101.0, 220.0, 118.75)","(10.0, 17.0, 13.333333333333334)","(16.0, 21.0, 18.5)","(15.0, 18.0, 15.115384615384615)","(3.0, 4.5, 4.404761904761905)","(8.5, 9.8, 9.193103448275862)","(61.0, 220.0, 174.28571428571428)","(12.0, 24.0, 18.615384615384617)"
05-01-2023 14:23:51.898726,"(5.0, 5.7, 5.557142857142857)","(15.0, 34.0, 20.4)","(12.0, 22.0, 20.11111111111111)","(26.0, 28.0, 26.0)","(11.0, 13.5, 10.833333333333334)","(26.0, 55.0, 35.5)","(101.0, 220.0, 118.75)","(10.0, 17.0, 13.333333333333334)","(16.0, 21.0, 18.5)","(15.0, 18.0, 15.115384615384615)","(3.0, 4.5, 4.404761904761905)","(8.5, 9.8, 9.193103448275862)","(61.0, 220.0, 174.28571428571428)","(12.0, 24.0, 18.615384615384617)"
05-01-2023 14:23:53.448925,"(5.0, 5.7, 5.557142857142857)","(15.0, 34.0, 20.4)","(12.0, 22.0, 20.11111111111111)","(26.0, 28.0, 26.0)","(11.0, 13.5, 10.833333333333334)","(26.0, 55.0, 35.5)","(101.0, 220.0, 118.75)","(10.0, 17.0, 13.333333333333334)","(16.0, 21.0, 18.5)","(15.0, 18.0, 15.115384615384615)","(3.0, 4.5, 4.404761904761905)","(8.5, 9.8, 9.193103448275862)","(61.0, 220.0, 174.28571428571428)","(12.0, 24.0, 18.615384615384617)"
