,Simon The Pieman,Right On Ramsay,Goldstar Portia,Rose Thorn,Edge Of Reason,Shane Baxter,Diamond Chipper,Ginger Shaw
05-01-2023 14:49:08.487106,"(5.5, 11.0, 10.129999999999999)","(19.0, 180.0, 122.14285714285714)","(2.2, 3.5, 3.126666666666667)","(26.0, 210.0, 125.45454545454547)","(3.1, 5.5, 4.716666666666667)","(12.0, 32.0, 29.3125)","(9.0, 18.5, 16.816666666666666)","(12.0, 27.0, 24.9375)"
05-01-2023 14:49:09.779988,"(5.5, 11.0, 10.129999999999999)","(19.0, 180.0, 122.14285714285714)","(2.2, 3.5, 3.126666666666667)","(26.0, 210.0, 125.45454545454547)","(3.1, 5.5, 4.716666666666667)","(12.0, 32.0, 29.3125)","(9.0, 18.5, 16.816666666666666)","(12.0, 27.0, 24.9375)"
05-01-2023 14:49:11.140307,"(5.5, 11.0, 10.129999999999999)","(19.0, 180.0, 122.14285714285714)","(2.2, 3.5, 3.126666666666667)","(26.0, 210.0, 125.45454545454547)","(3.1, 5.5, 4.716666666666667)","(12.0, 32.0, 29.3125)","(9.0, 18.5, 16.816666666666666)","(12.0, 27.0, 24.9375)"
05-01-2023 14:49:12.601019,"(5.5, 11.0, 10.129999999999999)","(19.0, 180.0, 122.14285714285714)","(2.2, 3.5, 3.126666666666667)","(26.0, 210.0, 125.45454545454547)","(3.1, 5.5, 4.716666666666667)","(12.0, 32.0, 29.3125)","(9.0, 18.5, 16.816666666666666)","(12.0, 27.0, 24.9375)"
05-01-2023 14:49:13.856793,"(5.5, 11.0, 10.129999999999999)","(19.0, 180.0, 122.14285714285714)","(2.2, 3.5, 3.126666666666667)","(26.0, 210.0, 125.45454545454547)","(3.1, 5.5, 4.716666666666667)","(12.0, 32.0, 29.3125)","(9.0, 18.5, 16.816666666666666)","(12.0, 27.0, 24.9375)"
05-01-2023 14:49:14.973860,"(5.5, 11.0, 10.129999999999999)","(19.0, 180.0, 122.14285714285714)","(2.2, 3.5, 3.126666666666667)","(26.0, 210.0, 125.45454545454547)","(3.1, 5.5, 4.716666666666667)","(12.0, 32.0, 29.3125)","(9.0, 18.5, 16.816666666666666)","(12.0, 27.0, 24.9375)"
05-01-2023 14:49:16.118090,"(5.5, 11.0, 10.129999999999999)","(19.0, 180.0, 122.14285714285714)","(2.2, 3.5, 3.126666666666667)","(26.0, 210.0, 125.45454545454547)","(3.1, 5.5, 4.716666666666667)","(12.0, 32.0, 29.3125)","(9.0, 18.5, 16.816666666666666)","(12.0, 27.0, 24.9375)"
05-01-2023 14:49:17.297915,"(5.5, 11.0, 10.315999999999999)","(19.0, 180.0, 122.14285714285714)","(2.2, 3.5, 3.126666666666667)","(26.0, 210.0, 125.45454545454547)","(3.1, 5.5, 4.716666666666667)","(12.0, 32.0, 29.3125)","(9.0, 18.5, 16.816666666666666)","(12.0, 27.0, 24.9375)"
05-01-2023 14:49:18.633995,"(5.5, 11.0, 10.315999999999999)","(19.0, 180.0, 122.14285714285714)","(2.2, 3.5, 3.126666666666667)","(26.0, 210.0, 125.45454545454547)","(3.1, 5.5, 4.716666666666667)","(12.0, 32.0, 29.3125)","(9.0, 18.5, 16.816666666666666)","(12.0, 27.0, 24.9375)"
05-01-2023 14:49:19.929621,"(5.5, 11.0, 10.315999999999999)","(19.0, 180.0, 122.14285714285714)","(2.2, 3.5, 3.126666666666667)","(26.0, 210.0, 125.45454545454547)","(3.1, 5.5, 4.716666666666667)","(12.0, 32.0, 29.3125)","(9.0, 18.5, 16.816666666666666)","(12.0, 27.0, 24.9375)"
05-01-2023 14:49:21.229125,"(5.5, 11.0, 10.315999999999999)","(19.0, 180.0, 122.14285714285714)","(2.2, 3.5, 3.126666666666667)","(26.0, 210.0, 125.45454545454547)","(3.1, 5.5, 4.716666666666667)","(12.0, 32.0, 29.3125)","(9.0, 18.5, 16.816666666666666)","(12.0, 27.0, 24.9375)"
05-01-2023 14:49:22.532134,"(5.5, 11.0, 10.315999999999999)","(19.0, 180.0, 122.14285714285714)","(2.2, 3.5, 3.126666666666667)","(26.0, 210.0, 125.45454545454547)","(3.1, 5.5, 4.716666666666667)","(12.0, 32.0, 29.3125)","(9.0, 18.5, 16.816666666666666)","(12.0, 27.0, 24.9375)"
05-01-2023 14:49:23.808738,"(5.5, 11.0, 10.315999999999999)","(19.0, 180.0, 122.14285714285714)","(2.2, 3.5, 3.126666666666667)","(26.0, 210.0, 125.45454545454547)","(3.1, 5.5, 4.716666666666667)","(12.0, 32.0, 29.3125)","(9.0, 18.5, 16.816666666666666)","(12.0, 27.0, 24.9375)"
05-01-2023 14:49:25.035204,"(5.5, 11.0, 10.315999999999999)","(19.0, 180.0, 122.14285714285714)","(2.2, 3.5, 3.126666666666667)","(26.0, 210.0, 125.45454545454547)","(3.1, 5.5, 4.716666666666667)","(12.0, 32.0, 29.3125)","(9.0, 18.5, 16.816666666666666)","(12.0, 27.0, 24.9375)"
05-01-2023 14:49:26.344354,"(5.5, 11.0, 10.315999999999999)","(19.0, 180.0, 122.14285714285714)","(2.2, 3.5, 3.126666666666667)","(26.0, 210.0, 125.45454545454547)","(3.1, 5.5, 4.716666666666667)","(12.0, 32.0, 29.3125)","(9.0, 18.5, 16.816666666666666)","(12.0, 27.0, 24.9375)"
05-01-2023 14:49:27.649248,"(5.5, 11.0, 10.129999999999999)","(19.0, 180.0, 122.14285714285714)","(2.2, 3.5, 3.126666666666667)","(26.0, 210.0, 125.45454545454547)","(3.1, 5.5, 4.716666666666667)","(12.0, 32.0, 29.3125)","(9.0, 18.5, 16.816666666666666)","(12.0, 27.0, 24.9375)"
05-01-2023 14:49:29.078269,"(5.5, 11.0, 10.129999999999999)","(19.0, 180.0, 122.14285714285714)","(2.2, 3.5, 3.126666666666667)","(26.0, 210.0, 125.45454545454547)","(3.1, 5.5, 4.716666666666667)","(12.0, 32.0, 30.6875)","(9.0, 18.5, 16.816666666666666)","(12.0, 27.0, 24.9375)"
05-01-2023 14:49:30.431819,"(5.5, 11.0, 10.129999999999999)","(19.0, 180.0, 122.14285714285714)","(2.2, 3.5, 3.126666666666667)","(26.0, 210.0, 125.45454545454547)","(3.1, 5.5, 4.716666666666667)","(12.0, 32.0, 30.6875)","(9.0, 18.5, 16.816666666666666)","(12.0, 27.0, 24.9375)"
05-01-2023 14:49:31.680882,"(5.5, 11.0, 10.129999999999999)","(19.0, 180.0, 122.14285714285714)","(2.2, 3.5, 3.126666666666667)","(26.0, 210.0, 125.45454545454547)","(3.1, 5.5, 4.716666666666667)","(12.0, 32.0, 30.6875)","(9.0, 18.5, 16.816666666666666)","(12.0, 27.0, 24.9375)"
05-01-2023 14:49:32.851125,"(5.5, 11.0, 10.129999999999999)","(19.0, 180.0, 122.14285714285714)","(2.2, 3.5, 3.126666666666667)","(26.0, 210.0, 125.45454545454547)","(3.1, 5.5, 4.716666666666667)","(12.0, 32.0, 30.6875)","(9.0, 18.5, 16.816666666666666)","(12.0, 27.0, 24.9375)"
