,Zouologist,Sizzleonthebridge,Participator,Smugglers Run,Brothers Of Antrim,Pindarras Dream,Saiko,Merc,Gironde,Zarsnip
05-01-2023 16:18:54.982573,"(6.5, 9.8, 9.685714285714287)","(41.0, 75.0, 53.25)","(2.25, 2.38, 2.358181818181818)","(8.5, 14.5, 13.735294117647058)","(12.0, 18.0, 17.142857142857142)","(18.0, 65.0, 55.57142857142857)","(3.7, 4.4, 4.391666666666667)","(18.0, 32.0, 31.6)","(21.0, 48.0, 41.333333333333336)","(26.0, 130.0, 70.0)"
05-01-2023 16:18:56.313846,"(6.5, 9.8, 9.685714285714287)","(41.0, 75.0, 53.25)","(2.25, 2.38, 2.358181818181818)","(8.5, 14.5, 13.735294117647058)","(12.0, 18.0, 17.142857142857142)","(18.0, 65.0, 55.57142857142857)","(3.7, 4.4, 4.391666666666667)","(18.0, 32.0, 31.6)","(21.0, 48.0, 41.333333333333336)","(26.0, 130.0, 66.66666666666667)"
05-01-2023 16:18:57.613103,"(6.5, 9.8, 9.685714285714287)","(41.0, 75.0, 60.85714285714286)","(2.25, 2.36, 2.3111627906976744)","(8.5, 14.5, 13.735294117647058)","(12.0, 18.0, 17.142857142857142)","(18.0, 65.0, 55.57142857142857)","(3.7, 4.4, 4.391666666666667)","(18.0, 32.0, 31.6)","(21.0, 48.0, 41.333333333333336)","(26.0, 120.0, 66.66666666666667)"
05-01-2023 16:18:58.889880,"(6.5, 9.8, 9.685714285714287)","(41.0, 75.0, 60.85714285714286)","(2.25, 2.36, 2.3111627906976744)","(8.5, 14.5, 13.735294117647058)","(12.0, 18.0, 17.142857142857142)","(18.0, 65.0, 55.57142857142857)","(3.7, 4.4, 4.391666666666667)","(18.0, 32.0, 31.6)","(21.0, 48.0, 40.0)","(26.0, 120.0, 66.66666666666667)"
05-01-2023 16:19:00.278507,"(6.5, 9.8, 9.685714285714287)","(41.0, 75.0, 60.85714285714286)","(2.25, 2.36, 2.2948837209302324)","(8.5, 14.5, 13.735294117647058)","(12.0, 18.0, 17.142857142857142)","(18.0, 65.0, 55.57142857142857)","(3.7, 4.4, 4.391666666666667)","(18.0, 32.0, 31.6)","(21.0, 48.0, 43.0)","(26.0, 120.0, 66.66666666666667)"
05-01-2023 16:19:01.582551,"(6.5, 9.8, 9.685714285714287)","(41.0, 75.0, 66.0)","(2.25, 2.36, 2.2948837209302324)","(8.5, 15.0, 14.423076923076923)","(12.0, 18.0, 17.142857142857142)","(18.0, 65.0, 55.57142857142857)","(3.7, 4.4, 4.391666666666667)","(18.0, 32.0, 31.6)","(21.0, 48.0, 45.36842105263158)","(26.0, 120.0, 66.66666666666667)"
05-01-2023 16:19:02.935164,"(6.5, 9.8, 9.685714285714287)","(41.0, 75.0, 66.0)","(2.25, 2.36, 2.2948837209302324)","(8.5, 15.0, 14.423076923076923)","(12.0, 18.0, 17.142857142857142)","(18.0, 65.0, 55.57142857142857)","(3.7, 4.4, 4.391666666666667)","(18.0, 32.0, 31.6)","(21.0, 48.0, 44.42857142857143)","(26.0, 120.0, 66.66666666666667)"
05-01-2023 16:19:04.353637,"(6.5, 9.8, 9.685714285714287)","(41.0, 75.0, 63.375)","(2.25, 2.36, 2.2948837209302324)","(8.5, 15.0, 14.423076923076923)","(12.0, 18.0, 17.142857142857142)","(18.0, 65.0, 55.57142857142857)","(3.7, 4.4, 4.391666666666667)","(18.0, 32.0, 31.6)","(21.0, 48.0, 44.42857142857143)","(26.0, 120.0, 66.66666666666667)"
05-01-2023 16:19:05.686046,"(6.5, 9.8, 9.685714285714287)","(41.0, 75.0, 67.25)","(2.25, 2.36, 2.2948837209302324)","(8.5, 15.0, 18.14)","(12.0, 18.0, 17.25)","(18.0, 65.0, 55.57142857142857)","(3.7, 4.4, 4.388888888888889)","(18.0, 32.0, 31.6)","(21.0, 48.0, 44.42857142857143)","(26.0, 120.0, 66.66666666666667)"
05-01-2023 16:19:06.976546,"(6.5, 9.8, 9.685714285714287)","(41.0, 75.0, 67.25)","(2.2, 2.36, 2.2948837209302324)","(8.5, 18.5, 18.14)","(12.0, 18.0, 17.25)","(18.0, 65.0, 55.57142857142857)","(3.7, 4.4, 4.388888888888889)","(18.0, 32.0, 31.6)","(21.0, 48.0, 44.42857142857143)","(26.0, 120.0, 66.66666666666667)"
05-01-2023 16:19:08.293620,"(6.5, 9.8, 9.600000000000001)","(41.0, 75.0, 67.25)","(2.2, 2.36, 2.3085294117647055)","(8.5, 18.5, 17.333333333333332)","(12.0, 18.0, 17.25)","(18.0, 65.0, 55.57142857142857)","(3.7, 4.4, 4.388888888888889)","(18.0, 32.0, 28.545454545454547)","(21.0, 48.0, 44.42857142857143)","(26.0, 120.0, 66.66666666666667)"
05-01-2023 16:19:09.683359,"(6.5, 9.8, 9.600000000000001)","(41.0, 75.0, 66.3)","(2.2, 2.36, 2.3107042253521124)","(8.5, 18.5, 16.555555555555557)","(12.0, 18.0, 17.0)","(18.0, 65.0, 55.57142857142857)","(3.7, 4.4, 4.388888888888889)","(18.0, 30.0, 28.545454545454547)","(21.0, 48.0, 44.42857142857143)","(26.0, 120.0, 66.66666666666667)"
05-01-2023 16:19:10.990815,"(6.5, 9.8, 9.600000000000001)","(41.0, 75.0, 66.3)","(2.2, 2.36, 2.3107042253521124)","(8.5, 18.5, 16.555555555555557)","(12.0, 18.0, 17.0)","(18.0, 65.0, 55.57142857142857)","(3.7, 4.4, 4.388888888888889)","(18.0, 30.0, 28.545454545454547)","(21.0, 48.0, 44.42857142857143)","(26.0, 120.0, 66.66666666666667)"
05-01-2023 16:19:12.287745,"(6.5, 9.8, 9.600000000000001)","(41.0, 75.0, 66.3)","(2.2, 2.36, 2.3107042253521124)","(8.5, 18.5, 16.555555555555557)","(12.0, 18.0, 17.0)","(18.0, 65.0, 55.57142857142857)","(3.7, 4.4, 4.388888888888889)","(18.0, 30.0, 28.545454545454547)","(21.0, 48.0, 44.42857142857143)","(26.0, 120.0, 66.66666666666667)"
05-01-2023 16:19:13.565993,"(6.5, 9.8, 9.600000000000001)","(41.0, 75.0, 63.42857142857143)","(2.2, 2.36, 2.3107042253521124)","(8.5, 18.5, 17.333333333333332)","(12.0, 18.0, 17.0)","(18.0, 65.0, 55.57142857142857)","(3.7, 4.4, 4.388888888888889)","(18.0, 30.0, 28.545454545454547)","(21.0, 48.0, 44.42857142857143)","(26.0, 120.0, 66.66666666666667)"
05-01-2023 16:19:14.834674,"(6.5, 9.8, 9.600000000000001)","(41.0, 75.0, 67.63636363636364)","(2.2, 2.36, 2.3107042253521124)","(8.5, 18.5, 17.333333333333332)","(13.0, 18.0, 17.0)","(18.0, 65.0, 55.57142857142857)","(3.7, 4.4, 4.388888888888889)","(18.0, 30.0, 28.4)","(21.0, 48.0, 44.42857142857143)","(31.0, 120.0, 66.66666666666667)"
05-01-2023 16:19:16.254812,"(6.5, 9.8, 9.600000000000001)","(41.0, 75.0, 67.63636363636364)","(2.2, 2.36, 2.3107042253521124)","(8.5, 18.5, 18.5)","(13.0, 18.0, 17.0)","(18.0, 65.0, 55.57142857142857)","(3.7, 4.4, 4.388888888888889)","(18.0, 30.0, 28.4)","(21.0, 48.0, 44.66666666666667)","(31.0, 120.0, 66.66666666666667)"
05-01-2023 16:19:17.547280,"(6.5, 9.8, 9.600000000000001)","(41.0, 75.0, 67.63636363636364)","(2.2, 2.36, 2.3107042253521124)","(8.5, 19.5, 18.5)","(13.0, 18.0, 17.0)","(18.0, 65.0, 55.57142857142857)","(3.7, 4.4, 4.388888888888889)","(18.0, 30.0, 28.4)","(21.0, 48.0, 41.14285714285714)","(31.0, 120.0, 66.66666666666667)"
05-01-2023 16:19:18.868331,"(6.5, 9.8, 9.600000000000001)","(41.0, 75.0, 67.63636363636364)","(2.2, 2.36, 2.3107042253521124)","(8.5, 19.5, 18.5)","(13.0, 18.0, 17.0)","(18.0, 65.0, 55.57142857142857)","(3.7, 4.4, 4.388888888888889)","(18.0, 30.0, 28.4)","(21.0, 48.0, 36.5)","(31.0, 120.0, 66.66666666666667)"
05-01-2023 16:19:20.187903,"(6.5, 9.8, 9.600000000000001)","(41.0, 75.0, 67.63636363636364)","(2.2, 2.36, 2.3107042253521124)","(8.5, 19.5, 18.8)","(13.0, 18.0, 17.318181818181817)","(18.0, 65.0, 55.57142857142857)","(3.7, 4.4, 4.388888888888889)","(18.0, 30.0, 28.4)","(21.0, 48.0, 36.5)","(31.0, 120.0, 53.63636363636364)"
05-01-2023 16:19:21.570882,"(6.5, 9.8, 9.600000000000001)","(41.0, 75.0, 67.63636363636364)","(2.2, 2.36, 2.3107042253521124)","(8.5, 19.5, 19.1)","(13.0, 18.0, 17.55263157894737)","(18.0, 65.0, 55.57142857142857)","(3.7, 4.4, 4.388888888888889)","(18.0, 30.0, 28.4)","(21.0, 48.0, 36.5)","(31.0, 190.0, 99.0909090909091)"
05-01-2023 16:19:22.911009,"(6.5, 9.8, 9.600000000000001)","(41.0, 75.0, 66.9)","(2.2, 2.36, 2.3107042253521124)","(8.5, 19.5, 19.1)","(13.0, 18.5, 17.53125)","(18.0, 65.0, 55.57142857142857)","(3.7, 4.4, 4.388888888888889)","(18.0, 30.0, 28.4)","(21.0, 48.0, 36.5)","(31.0, 170.0, 140.0)"
05-01-2023 16:19:24.284700,"(6.5, 9.8, 9.600000000000001)","(41.0, 75.0, 65.625)","(2.2, 2.36, 2.3107042253521124)","(8.5, 19.5, 19.1)","(13.0, 18.0, 17.53125)","(18.0, 65.0, 55.57142857142857)","(3.7, 4.4, 4.388888888888889)","(18.0, 30.0, 28.4)","(21.0, 48.0, 36.5)","(31.0, 160.0, 140.0)"
05-01-2023 16:19:25.641617,"(6.5, 9.8, 9.600000000000001)","(41.0, 75.0, 68.18181818181819)","(2.2, 2.36, 2.3107042253521124)","(8.5, 19.5, 19.1)","(13.0, 18.0, 17.53125)","(18.0, 65.0, 55.57142857142857)","(3.7, 4.4, 4.380000000000001)","(18.0, 30.0, 28.4)","(21.0, 48.0, 44.93333333333334)","(31.0, 160.0, 101.0)"
05-01-2023 16:19:26.969990,"(6.5, 9.8, 9.600000000000001)","(41.0, 75.0, 68.18181818181819)","(2.2, 2.38, 2.371627906976744)","(8.5, 19.5, 19.1)","(13.0, 18.0, 17.53125)","(18.0, 65.0, 55.57142857142857)","(3.7, 4.4, 4.371428571428572)","(18.0, 30.0, 28.4)","(21.0, 48.0, 44.93333333333334)","(31.0, 160.0, 78.0)"
05-01-2023 16:19:28.311152,"(6.5, 9.8, 9.600000000000001)","(41.0, 75.0, 68.33333333333333)","(2.2, 2.38, 2.337142857142857)","(8.5, 19.5, 19.1)","(13.0, 18.0, 17.53125)","(18.0, 65.0, 55.57142857142857)","(3.7, 4.4, 4.371428571428572)","(18.0, 30.0, 28.4)","(21.0, 48.0, 44.93333333333334)","(31.0, 150.0, 78.0)"
05-01-2023 16:19:29.609162,"(6.5, 9.8, 9.600000000000001)","(41.0, 75.0, 68.33333333333333)","(2.2, 2.38, 2.337142857142857)","(8.5, 19.5, 19.1)","(13.0, 18.0, 17.53125)","(18.0, 65.0, 55.57142857142857)","(3.7, 4.4, 4.371428571428572)","(18.0, 30.0, 28.4)","(21.0, 48.0, 44.93333333333334)","(31.0, 150.0, 78.0)"
05-01-2023 16:19:30.987347,"(6.5, 9.8, 9.600000000000001)","(41.0, 75.0, 68.33333333333333)","(2.2, 2.38, 2.3649999999999998)","(8.5, 19.5, 15.909090909090908)","(13.0, 18.0, 17.53125)","(18.0, 65.0, 55.57142857142857)","(3.7, 4.4, 4.371428571428572)","(18.0, 30.0, 28.4)","(21.0, 48.0, 44.93333333333334)","(31.0, 150.0, 66.0)"
05-01-2023 16:19:32.317444,"(6.5, 9.8, 9.600000000000001)","(41.0, 75.0, 68.33333333333333)","(2.2, 2.38, 2.3649999999999998)","(8.5, 16.0, 19.25)","(13.0, 18.0, 17.53125)","(18.0, 65.0, 56.75)","(3.7, 4.4, 4.377777777777778)","(18.0, 30.0, 28.476190476190474)","(21.0, 48.0, 44.93333333333334)","(31.0, 150.0, 52.57142857142857)"
05-01-2023 16:19:33.684250,"(6.5, 9.8, 9.622222222222224)","(41.0, 75.0, 68.33333333333333)","(2.2, 2.38, 2.3649999999999998)","(8.5, 19.5, 19.25)","(13.0, 18.0, 17.53125)","(18.0, 65.0, 56.75)","(3.7, 4.4, 4.377777777777778)","(18.0, 30.0, 28.476190476190474)","(21.0, 48.0, 44.93333333333334)","(31.0, 140.0, 52.57142857142857)"
05-01-2023 16:19:35.058166,"(6.5, 9.8, 9.622222222222224)","(41.0, 75.0, 68.33333333333333)","(2.2, 2.38, 2.3623529411764705)","(8.5, 19.5, 19.4)","(13.0, 18.0, 16.15)","(18.0, 65.0, 59.44444444444444)","(3.7, 4.4, 4.377777777777778)","(18.0, 30.0, 28.476190476190474)","(21.0, 48.0, 44.93333333333334)","(31.0, 140.0, 95.0)"
05-01-2023 16:19:36.425929,"(6.5, 9.8, 9.622222222222224)","(41.0, 75.0, 70.9090909090909)","(2.2, 2.38, 2.3623529411764705)","(8.5, 19.5, 19.4)","(13.0, 17.0, 16.15)","(18.0, 65.0, 61.15384615384615)","(3.7, 4.4, 4.377777777777778)","(18.0, 30.0, 28.476190476190474)","(21.0, 48.0, 44.93333333333334)","(31.0, 140.0, 95.0)"
