,Because The Night,Cyclone Gus,Hangonhangon,Maxs Source,Hot Or Not,Kiss The Lass,Leery,Mcphersons Image,The Real Saint,Miss De Boom,King Of Wanchai,Beyondtastic
05-01-2023 12:54:49.261433,"(3.0, 3.45, 3.25625)","(1.95, 2.26, 2.25)","(51.0, 170.0, 130.0)","(41.0, 180.0, 113.0)","(41.0, 120.0, 83.0)","(10.0, 19.0, 17.92857142857143)","(26.0, 55.0, 49.4)","(81.0, 220.0, 190.0)","(31.0, 140.0, 89.0)","(19.0, 40.0, 35.5)","(7.0, 8.4, 7.3500000000000005)","(61.0, 210.0, 197.5)"
05-01-2023 12:54:50.838930,"(3.0, 3.45, 3.25625)","(1.95, 2.26, 2.25)","(51.0, 170.0, 130.0)","(41.0, 180.0, 113.0)","(41.0, 120.0, 83.0)","(10.0, 19.0, 17.92857142857143)","(26.0, 55.0, 49.4)","(81.0, 220.0, 190.0)","(31.0, 140.0, 89.0)","(19.0, 40.0, 35.5)","(7.0, 8.4, 7.3500000000000005)","(61.0, 210.0, 197.5)"
05-01-2023 12:54:52.197892,"(3.0, 3.45, 3.25625)","(1.95, 2.26, 2.25)","(51.0, 170.0, 130.0)","(41.0, 180.0, 113.0)","(41.0, 120.0, 83.0)","(10.0, 19.0, 17.92857142857143)","(26.0, 55.0, 49.4)","(81.0, 220.0, 190.0)","(31.0, 140.0, 89.0)","(19.0, 40.0, 35.5)","(7.0, 8.4, 7.3500000000000005)","(61.0, 210.0, 197.5)"
05-01-2023 12:54:53.682601,"(3.0, 3.45, 3.25625)","(1.95, 2.26, 2.25)","(51.0, 170.0, 130.0)","(41.0, 180.0, 113.0)","(41.0, 120.0, 83.0)","(10.0, 19.0, 17.92857142857143)","(26.0, 55.0, 49.4)","(81.0, 220.0, 145.0)","(31.0, 140.0, 89.0)","(19.0, 40.0, 35.5)","(7.0, 8.4, 7.3500000000000005)","(61.0, 210.0, 197.5)"
05-01-2023 12:54:55.190459,"(3.0, 3.45, 3.330769230769231)","(1.95, 2.26, 2.25)","(51.0, 170.0, 130.0)","(41.0, 180.0, 113.0)","(41.0, 120.0, 83.0)","(10.0, 19.0, 17.92857142857143)","(26.0, 55.0, 49.4)","(81.0, 220.0, 145.0)","(31.0, 140.0, 89.0)","(19.0, 40.0, 35.5)","(7.0, 8.4, 7.3500000000000005)","(61.0, 210.0, 197.5)"
05-01-2023 12:54:56.681182,"(3.0, 3.45, 3.3372727272727274)","(1.95, 2.26, 2.25)","(51.0, 170.0, 130.0)","(41.0, 180.0, 113.0)","(41.0, 120.0, 83.0)","(10.0, 19.0, 17.92857142857143)","(26.0, 55.0, 49.4)","(81.0, 220.0, 145.0)","(31.0, 140.0, 89.0)","(19.0, 40.0, 35.5)","(7.0, 8.4, 7.3500000000000005)","(61.0, 210.0, 197.5)"
05-01-2023 12:54:58.090828,"(3.0, 3.45, 3.3372727272727274)","(1.95, 2.26, 2.25)","(51.0, 170.0, 130.0)","(41.0, 180.0, 113.0)","(41.0, 120.0, 83.0)","(10.0, 19.0, 17.92857142857143)","(26.0, 55.0, 49.4)","(81.0, 220.0, 190.0)","(31.0, 140.0, 89.0)","(19.0, 40.0, 35.5)","(7.0, 8.4, 7.3500000000000005)","(61.0, 210.0, 197.5)"
05-01-2023 12:54:59.489280,"(3.0, 3.45, 3.3372727272727274)","(1.95, 2.26, 2.25)","(51.0, 170.0, 130.0)","(41.0, 180.0, 113.0)","(41.0, 120.0, 83.0)","(10.0, 19.0, 17.92857142857143)","(26.0, 55.0, 49.4)","(81.0, 220.0, 190.0)","(31.0, 140.0, 89.0)","(19.0, 40.0, 35.5)","(7.0, 8.4, 7.3500000000000005)","(61.0, 210.0, 197.5)"
05-01-2023 12:55:00.818473,"(3.0, 3.45, 3.3372727272727274)","(1.95, 2.26, 2.25)","(51.0, 170.0, 130.0)","(41.0, 180.0, 113.0)","(41.0, 120.0, 83.0)","(10.0, 19.0, 17.92857142857143)","(26.0, 55.0, 49.4)","(81.0, 220.0, 190.0)","(31.0, 140.0, 89.0)","(19.0, 40.0, 35.5)","(7.0, 8.4, 7.3500000000000005)","(61.0, 210.0, 197.5)"
05-01-2023 12:55:02.142460,"(3.0, 3.45, 3.3372727272727274)","(1.95, 2.26, 2.25)","(51.0, 170.0, 130.0)","(41.0, 180.0, 113.0)","(41.0, 120.0, 83.0)","(10.0, 19.0, 17.92857142857143)","(26.0, 55.0, 49.4)","(81.0, 220.0, 190.0)","(31.0, 140.0, 89.0)","(19.0, 40.0, 35.5)","(7.0, 8.4, 7.3500000000000005)","(61.0, 210.0, 197.5)"
