,Starter,Sir Piccolo,Abb Roy,Forche,Blavatsky,Anthropica,Mount Padrao,Chica Bonita,Zayde,Sizzling Babe
05-01-2023 15:54:16.484300,"(4.2, 5.4, 5.142857142857143)","(4.2, 5.6, 5.461538461538462)","(12.0, 16.0, 13.375)","(3.6, 4.1, 4.033333333333333)","(10.0, 16.5, 14.0)","(4.2, 6.6, 5.949999999999999)","(21.0, 42.0, 36.285714285714285)","(61.0, 160.0, 85.33333333333334)","(51.0, 210.0, 172.5)","(41.0, 65.0, 57.5)"
05-01-2023 15:54:17.935187,"(4.2, 5.4, 5.142857142857143)","(4.2, 5.6, 5.461538461538462)","(12.0, 16.0, 13.375)","(3.6, 4.1, 4.033333333333333)","(10.0, 16.5, 14.0)","(4.2, 6.6, 5.949999999999999)","(21.0, 42.0, 36.285714285714285)","(61.0, 160.0, 85.33333333333334)","(51.0, 210.0, 172.5)","(41.0, 65.0, 57.5)"
05-01-2023 15:54:19.438056,"(4.2, 5.5, 5.08)","(4.2, 5.6, 5.461538461538462)","(12.0, 16.0, 13.375)","(3.6, 4.1, 4.033333333333333)","(10.0, 16.5, 15.136363636363637)","(4.2, 6.6, 5.949999999999999)","(21.0, 42.0, 36.285714285714285)","(61.0, 160.0, 85.33333333333334)","(51.0, 210.0, 172.5)","(41.0, 65.0, 57.5)"
05-01-2023 15:54:20.842968,"(4.2, 5.5, 5.3)","(4.2, 5.6, 5.461538461538462)","(12.0, 16.0, 14.0)","(3.6, 4.1, 4.033333333333333)","(10.0, 16.5, 15.136363636363637)","(4.2, 6.6, 5.949999999999999)","(21.0, 42.0, 36.285714285714285)","(61.0, 160.0, 85.33333333333334)","(51.0, 210.0, 172.5)","(41.0, 65.0, 57.5)"
05-01-2023 15:54:22.276896,"(4.2, 5.5, 5.1000000000000005)","(4.2, 5.6, 5.461538461538462)","(12.0, 15.5, 14.0)","(3.6, 4.1, 4.033333333333333)","(10.0, 16.5, 15.136363636363637)","(4.2, 6.6, 5.949999999999999)","(21.0, 42.0, 36.285714285714285)","(61.0, 160.0, 85.33333333333334)","(51.0, 210.0, 172.5)","(41.0, 65.0, 57.5)"
05-01-2023 15:54:23.692018,"(4.2, 5.5, 5.1000000000000005)","(4.2, 5.6, 5.461538461538462)","(12.0, 15.5, 14.0)","(3.6, 4.1, 4.033333333333333)","(10.0, 16.5, 15.136363636363637)","(4.2, 6.6, 5.949999999999999)","(21.0, 42.0, 36.285714285714285)","(61.0, 160.0, 85.33333333333334)","(51.0, 210.0, 172.5)","(41.0, 65.0, 57.5)"
05-01-2023 15:54:25.160980,"(4.2, 5.5, 5.1000000000000005)","(4.2, 5.6, 5.461538461538462)","(12.0, 15.5, 14.0)","(3.6, 4.1, 4.033333333333333)","(10.0, 16.5, 15.136363636363637)","(4.2, 6.6, 5.949999999999999)","(21.0, 42.0, 36.285714285714285)","(61.0, 160.0, 85.33333333333334)","(51.0, 210.0, 172.5)","(41.0, 65.0, 57.5)"
05-01-2023 15:54:26.642709,"(4.2, 5.5, 5.1000000000000005)","(4.2, 5.6, 5.461538461538462)","(12.0, 15.5, 13.142857142857142)","(3.6, 4.1, 4.033333333333333)","(10.0, 16.5, 15.136363636363637)","(4.2, 6.6, 5.949999999999999)","(21.0, 42.0, 36.285714285714285)","(61.0, 160.0, 85.33333333333334)","(51.0, 210.0, 172.5)","(41.0, 65.0, 57.5)"
05-01-2023 15:54:28.053919,"(4.2, 5.5, 5.1000000000000005)","(4.2, 5.6, 5.461538461538462)","(12.0, 15.5, 13.142857142857142)","(3.6, 4.1, 4.033333333333333)","(10.0, 16.5, 15.136363636363637)","(4.2, 6.6, 5.949999999999999)","(21.0, 42.0, 36.285714285714285)","(61.0, 160.0, 85.33333333333334)","(51.0, 210.0, 172.5)","(41.0, 65.0, 57.5)"
05-01-2023 15:54:29.450937,"(4.2, 5.5, 5.1000000000000005)","(4.2, 5.6, 5.461538461538462)","(12.0, 15.5, 13.142857142857142)","(3.6, 4.1, 4.033333333333333)","(10.0, 16.5, 15.136363636363637)","(4.2, 6.6, 5.949999999999999)","(21.0, 42.0, 36.285714285714285)","(61.0, 160.0, 85.33333333333334)","(51.0, 210.0, 172.5)","(41.0, 65.0, 57.5)"
