,Tralee Cruiser,Sugar Keeping,Okay Boomer,Very Dark Gold,Winlock To Rise,Aria Herrera,Rutland Georgia,Sassy Sal
05-01-2023 17:21:38.311865,"(3.2, 5.8, 3.6423076923076922)","(1.75, 2.88, 2.3389285714285712)","(4.8, 8.6, 8.085714285714285)","(91.0, 650.0, 372.5)","(11.0, 23.0, 16.055555555555557)","(18.0, 44.0, 25.333333333333336)","(61.0, 220.0, 113.92857142857143)","(26.0, 90.0, 55.86666666666667)"
05-01-2023 17:21:39.679057,"(3.2, 5.8, 3.6423076923076922)","(1.75, 2.88, 2.3389285714285712)","(4.8, 8.6, 8.085714285714285)","(91.0, 650.0, 372.5)","(11.0, 23.0, 16.055555555555557)","(18.0, 44.0, 25.333333333333336)","(61.0, 220.0, 113.92857142857143)","(26.0, 90.0, 55.86666666666667)"
05-01-2023 17:21:40.995646,"(3.2, 5.8, 3.6423076923076922)","(1.75, 2.88, 2.3389285714285712)","(4.8, 8.6, 8.085714285714285)","(91.0, 650.0, 372.5)","(11.0, 23.0, 16.055555555555557)","(18.0, 44.0, 25.333333333333336)","(61.0, 220.0, 113.92857142857143)","(26.0, 90.0, 55.86666666666667)"
05-01-2023 17:21:42.230587,"(3.2, 5.8, 3.6423076923076922)","(1.75, 2.88, 2.3389285714285712)","(4.8, 8.6, 8.085714285714285)","(91.0, 650.0, 372.5)","(11.0, 23.0, 16.055555555555557)","(18.0, 44.0, 25.333333333333336)","(61.0, 220.0, 113.92857142857143)","(26.0, 90.0, 55.86666666666667)"
05-01-2023 17:21:43.469423,"(3.2, 5.8, 3.6423076923076922)","(1.75, 2.88, 2.3389285714285712)","(4.8, 8.6, 8.085714285714285)","(91.0, 650.0, 372.5)","(11.0, 23.0, 16.055555555555557)","(18.0, 44.0, 25.333333333333336)","(61.0, 220.0, 113.92857142857143)","(26.0, 90.0, 55.86666666666667)"
05-01-2023 17:21:44.626388,"(3.2, 5.8, 3.6423076923076922)","(1.75, 2.88, 2.3389285714285712)","(4.8, 8.6, 8.085714285714285)","(91.0, 650.0, 372.5)","(11.0, 23.0, 16.055555555555557)","(18.0, 44.0, 25.333333333333336)","(61.0, 220.0, 113.92857142857143)","(26.0, 90.0, 55.86666666666667)"
05-01-2023 17:21:45.889909,"(3.2, 5.8, 3.6423076923076922)","(1.75, 2.88, 2.3389285714285712)","(4.8, 8.6, 8.085714285714285)","(91.0, 650.0, 372.5)","(11.0, 23.0, 16.055555555555557)","(18.0, 44.0, 25.333333333333336)","(61.0, 220.0, 113.92857142857143)","(26.0, 90.0, 55.86666666666667)"
05-01-2023 17:21:47.080644,"(3.2, 5.8, 3.6423076923076922)","(1.75, 2.88, 2.3389285714285712)","(4.8, 8.6, 8.085714285714285)","(91.0, 650.0, 372.5)","(11.0, 23.0, 16.055555555555557)","(18.0, 44.0, 25.333333333333336)","(61.0, 220.0, 113.92857142857143)","(26.0, 90.0, 55.86666666666667)"
05-01-2023 17:21:48.333803,"(3.2, 5.8, 3.6423076923076922)","(1.75, 2.88, 2.3389285714285712)","(4.8, 8.6, 8.085714285714285)","(91.0, 650.0, 372.5)","(11.0, 23.0, 16.055555555555557)","(18.0, 44.0, 25.333333333333336)","(61.0, 220.0, 113.92857142857143)","(26.0, 90.0, 55.86666666666667)"
05-01-2023 17:21:49.840702,"(3.2, 5.8, 3.6423076923076922)","(1.75, 2.88, 2.3389285714285712)","(4.8, 8.6, 8.085714285714285)","(91.0, 650.0, 372.5)","(11.0, 23.0, 16.055555555555557)","(18.0, 44.0, 25.333333333333336)","(61.0, 220.0, 113.92857142857143)","(26.0, 90.0, 55.86666666666667)"
05-01-2023 17:21:51.279380,"(3.2, 5.8, 3.6423076923076922)","(1.75, 2.88, 2.3389285714285712)","(4.8, 8.6, 8.085714285714285)","(91.0, 650.0, 372.5)","(11.0, 23.0, 16.055555555555557)","(18.0, 44.0, 25.333333333333336)","(61.0, 220.0, 113.92857142857143)","(26.0, 90.0, 55.86666666666667)"
05-01-2023 17:21:52.614704,"(3.2, 5.8, 3.6423076923076922)","(1.75, 2.88, 2.3389285714285712)","(4.8, 8.6, 8.085714285714285)","(91.0, 650.0, 372.5)","(11.0, 23.0, 16.055555555555557)","(18.0, 44.0, 25.333333333333336)","(61.0, 220.0, 113.92857142857143)","(26.0, 90.0, 55.86666666666667)"
05-01-2023 17:21:53.948871,"(3.2, 5.8, 3.6423076923076922)","(1.75, 2.88, 2.3389285714285712)","(4.8, 8.6, 8.085714285714285)","(91.0, 650.0, 581.25)","(11.0, 23.0, 16.055555555555557)","(18.0, 44.0, 25.333333333333336)","(61.0, 220.0, 113.92857142857143)","(26.0, 90.0, 55.86666666666667)"
05-01-2023 17:21:55.172554,"(3.2, 5.8, 3.6423076923076922)","(1.75, 2.88, 2.3389285714285712)","(4.8, 8.6, 8.085714285714285)","(91.0, 650.0, 581.25)","(11.0, 23.0, 16.055555555555557)","(18.0, 44.0, 25.333333333333336)","(61.0, 220.0, 113.92857142857143)","(26.0, 90.0, 55.86666666666667)"
05-01-2023 17:21:56.400578,"(3.2, 5.8, 3.6423076923076922)","(1.75, 2.88, 2.3389285714285712)","(4.8, 8.6, 8.085714285714285)","(91.0, 650.0, 581.25)","(11.0, 23.0, 16.055555555555557)","(18.0, 44.0, 25.333333333333336)","(61.0, 220.0, 113.92857142857143)","(26.0, 90.0, 55.86666666666667)"
05-01-2023 17:21:57.640179,"(3.2, 5.8, 3.6423076923076922)","(1.75, 2.88, 2.3389285714285712)","(4.8, 8.6, 8.085714285714285)","(91.0, 650.0, 581.25)","(11.0, 23.0, 16.055555555555557)","(18.0, 44.0, 25.333333333333336)","(61.0, 220.0, 113.92857142857143)","(26.0, 90.0, 55.86666666666667)"
