,East On Henry,Chi Foose,Sidewinder,Darnum Blaze,Sir Les,My Girl Whizbang,Lofty
05-01-2023 14:26:57.041701,"(4.0, 9.4, 5.189473684210527)","(31.0, 260.0, 113.42857142857142)","(26.0, 190.0, 72.85714285714286)","(61.0, 550.0, 468.33333333333337)","(3.0, 3.35, 2.945)","(9.0, 21.0, 19.34285714285714)","(1.95, 3.25, 3.09875)"
05-01-2023 14:26:58.095265,"(4.0, 9.4, 5.189473684210527)","(31.0, 260.0, 113.42857142857142)","(26.0, 190.0, 72.85714285714286)","(61.0, 550.0, 468.33333333333337)","(3.0, 3.35, 2.945)","(9.0, 21.0, 19.34285714285714)","(1.95, 3.25, 3.09875)"
05-01-2023 14:26:59.316518,"(4.0, 9.4, 5.189473684210527)","(31.0, 260.0, 113.42857142857142)","(26.0, 190.0, 72.85714285714286)","(61.0, 550.0, 468.33333333333337)","(3.0, 3.35, 2.945)","(9.0, 21.0, 19.34285714285714)","(1.95, 3.25, 3.09875)"
05-01-2023 14:27:00.395442,"(4.0, 9.4, 5.189473684210527)","(31.0, 260.0, 113.42857142857142)","(26.0, 190.0, 72.85714285714286)","(61.0, 550.0, 468.33333333333337)","(3.0, 3.35, 2.945)","(9.0, 21.0, 19.34285714285714)","(1.95, 3.25, 3.09875)"
05-01-2023 14:27:01.451991,"(4.0, 9.4, 5.189473684210527)","(31.0, 260.0, 113.42857142857142)","(26.0, 190.0, 72.85714285714286)","(61.0, 550.0, 468.33333333333337)","(3.0, 3.35, 2.945)","(9.0, 21.0, 19.34285714285714)","(1.95, 3.25, 3.09875)"
05-01-2023 14:27:02.584877,"(4.0, 9.4, 5.189473684210527)","(31.0, 260.0, 113.42857142857142)","(26.0, 190.0, 72.85714285714286)","(61.0, 550.0, 468.33333333333337)","(3.0, 3.35, 2.945)","(9.0, 21.0, 19.34285714285714)","(1.95, 3.25, 3.09875)"
05-01-2023 14:27:03.583314,"(4.0, 9.4, 5.189473684210527)","(31.0, 260.0, 113.42857142857142)","(26.0, 190.0, 72.85714285714286)","(61.0, 550.0, 468.33333333333337)","(3.0, 3.35, 2.945)","(9.0, 21.0, 19.34285714285714)","(1.95, 3.25, 3.09875)"
05-01-2023 14:27:04.639912,"(4.0, 9.4, 5.189473684210527)","(31.0, 260.0, 113.42857142857142)","(26.0, 190.0, 72.85714285714286)","(61.0, 550.0, 468.33333333333337)","(3.0, 3.35, 2.945)","(9.0, 21.0, 19.34285714285714)","(1.95, 3.25, 3.09875)"
05-01-2023 14:27:05.691764,"(4.0, 9.4, 5.189473684210527)","(31.0, 260.0, 113.42857142857142)","(26.0, 190.0, 72.85714285714286)","(61.0, 550.0, 468.33333333333337)","(3.0, 3.35, 2.945)","(9.0, 21.0, 19.34285714285714)","(1.95, 3.25, 3.09875)"
05-01-2023 14:27:06.682719,"(4.0, 9.4, 5.189473684210527)","(31.0, 260.0, 113.42857142857142)","(26.0, 190.0, 72.85714285714286)","(61.0, 550.0, 468.33333333333337)","(3.0, 3.35, 2.945)","(9.0, 21.0, 19.34285714285714)","(1.95, 3.25, 3.09875)"
05-01-2023 14:27:07.639017,"(4.0, 9.4, 5.189473684210527)","(31.0, 260.0, 113.42857142857142)","(26.0, 190.0, 72.85714285714286)","(61.0, 550.0, 468.33333333333337)","(3.0, 3.35, 2.945)","(9.0, 21.0, 19.34285714285714)","(1.95, 3.25, 3.09875)"
05-01-2023 14:27:08.635247,"(4.0, 9.4, 5.189473684210527)","(31.0, 260.0, 113.42857142857142)","(26.0, 190.0, 72.85714285714286)","(61.0, 550.0, 468.33333333333337)","(3.0, 3.35, 2.945)","(9.0, 21.0, 19.34285714285714)","(1.95, 3.25, 3.09875)"
05-01-2023 14:27:09.631775,"(4.0, 9.4, 5.189473684210527)","(31.0, 260.0, 113.42857142857142)","(26.0, 190.0, 72.85714285714286)","(61.0, 550.0, 468.33333333333337)","(3.0, 3.35, 2.945)","(9.0, 21.0, 19.34285714285714)","(1.95, 3.25, 3.09875)"
05-01-2023 14:27:10.745522,"(4.0, 9.4, 5.189473684210527)","(31.0, 260.0, 113.42857142857142)","(26.0, 190.0, 72.85714285714286)","(61.0, 550.0, 468.33333333333337)","(3.0, 3.35, 2.945)","(9.0, 21.0, 19.34285714285714)","(1.95, 3.25, 3.09875)"
05-01-2023 14:27:11.828957,"(4.0, 9.4, 5.189473684210527)","(31.0, 260.0, 113.42857142857142)","(26.0, 190.0, 72.85714285714286)","(61.0, 550.0, 468.33333333333337)","(3.0, 3.35, 2.945)","(9.0, 21.0, 19.34285714285714)","(1.95, 3.25, 3.09875)"
05-01-2023 14:27:12.856805,"(4.0, 9.4, 5.189473684210527)","(31.0, 260.0, 113.42857142857142)","(26.0, 190.0, 72.85714285714286)","(61.0, 550.0, 468.33333333333337)","(3.0, 3.35, 2.945)","(9.0, 21.0, 19.34285714285714)","(1.95, 3.25, 3.09875)"
05-01-2023 14:27:13.908732,"(4.0, 9.4, 5.189473684210527)","(31.0, 260.0, 113.42857142857142)","(26.0, 190.0, 72.85714285714286)","(61.0, 550.0, 468.33333333333337)","(3.0, 3.35, 2.945)","(9.0, 21.0, 19.34285714285714)","(1.95, 3.25, 3.09875)"
05-01-2023 14:27:14.910463,"(4.0, 9.4, 5.189473684210527)","(31.0, 260.0, 113.42857142857142)","(26.0, 190.0, 72.85714285714286)","(61.0, 550.0, 468.33333333333337)","(3.0, 3.35, 2.945)","(9.0, 21.0, 19.34285714285714)","(1.95, 3.25, 3.09875)"
05-01-2023 14:27:15.824599,"(4.0, 9.4, 5.189473684210527)","(31.0, 260.0, 113.42857142857142)","(26.0, 190.0, 72.85714285714286)","(61.0, 550.0, 468.33333333333337)","(3.0, 3.35, 2.945)","(9.0, 21.0, 19.34285714285714)","(1.95, 3.25, 3.09875)"
05-01-2023 14:27:16.821584,"(4.0, 9.4, 5.189473684210527)","(31.0, 260.0, 113.42857142857142)","(26.0, 190.0, 72.85714285714286)","(61.0, 550.0, 468.33333333333337)","(3.0, 3.35, 2.945)","(9.0, 21.0, 19.34285714285714)","(1.95, 3.25, 3.09875)"
05-01-2023 14:27:17.869085,"(4.0, 9.4, 5.189473684210527)","(31.0, 260.0, 113.42857142857142)","(26.0, 190.0, 72.85714285714286)","(61.0, 550.0, 468.33333333333337)","(3.0, 3.35, 2.945)","(9.0, 21.0, 19.34285714285714)","(1.95, 3.25, 3.09875)"
05-01-2023 14:27:18.923424,"(4.0, 9.4, 5.189473684210527)","(31.0, 260.0, 113.42857142857142)","(26.0, 190.0, 72.85714285714286)","(61.0, 550.0, 468.33333333333337)","(3.0, 3.35, 2.945)","(9.0, 21.0, 19.34285714285714)","(1.95, 3.25, 3.09875)"
05-01-2023 14:27:19.964902,"(4.0, 9.4, 5.189473684210527)","(31.0, 260.0, 113.42857142857142)","(26.0, 190.0, 72.85714285714286)","(61.0, 550.0, 468.33333333333337)","(3.0, 3.35, 2.945)","(9.0, 21.0, 19.34285714285714)","(1.95, 3.25, 3.09875)"
05-01-2023 14:27:21.011559,"(4.0, 9.4, 5.189473684210527)","(31.0, 260.0, 113.42857142857142)","(26.0, 190.0, 72.85714285714286)","(61.0, 550.0, 468.33333333333337)","(3.0, 3.35, 2.945)","(9.0, 21.0, 19.34285714285714)","(1.95, 3.25, 3.09875)"
05-01-2023 14:27:22.058398,"(4.0, 9.4, 5.189473684210527)","(31.0, 260.0, 113.42857142857142)","(26.0, 190.0, 72.85714285714286)","(61.0, 550.0, 468.33333333333337)","(3.0, 3.35, 2.945)","(9.0, 21.0, 19.34285714285714)","(1.95, 3.25, 3.09875)"
05-01-2023 14:27:23.123629,"(4.0, 9.4, 5.189473684210527)","(31.0, 260.0, 113.42857142857142)","(26.0, 190.0, 72.85714285714286)","(61.0, 550.0, 468.33333333333337)","(3.0, 3.35, 2.945)","(9.0, 21.0, 19.34285714285714)","(1.95, 3.25, 3.09875)"
05-01-2023 14:27:24.158087,"(4.0, 9.4, 5.189473684210527)","(31.0, 260.0, 113.42857142857142)","(26.0, 190.0, 72.85714285714286)","(61.0, 550.0, 468.33333333333337)","(3.0, 3.35, 2.945)","(9.0, 21.0, 19.34285714285714)","(1.95, 3.25, 3.09875)"
05-01-2023 14:27:25.117479,"(4.0, 9.4, 5.189473684210527)","(31.0, 260.0, 113.42857142857142)","(26.0, 190.0, 72.85714285714286)","(61.0, 550.0, 468.33333333333337)","(3.0, 3.35, 2.945)","(9.0, 21.0, 19.34285714285714)","(1.95, 3.25, 3.09875)"
05-01-2023 14:27:26.199890,"(4.0, 9.4, 5.189473684210527)","(31.0, 260.0, 113.42857142857142)","(26.0, 190.0, 72.85714285714286)","(61.0, 550.0, 468.33333333333337)","(3.0, 3.35, 2.945)","(9.0, 21.0, 19.34285714285714)","(1.95, 3.25, 3.09875)"
05-01-2023 14:27:27.120549,"(4.0, 9.4, 5.189473684210527)","(31.0, 260.0, 113.42857142857142)","(26.0, 190.0, 72.85714285714286)","(61.0, 550.0, 468.33333333333337)","(3.0, 3.35, 2.945)","(9.0, 21.0, 19.34285714285714)","(1.95, 3.25, 3.09875)"
05-01-2023 14:27:28.100134,"(4.0, 9.4, 5.189473684210527)","(31.0, 260.0, 113.42857142857142)","(26.0, 190.0, 72.85714285714286)","(61.0, 550.0, 468.33333333333337)","(3.0, 3.35, 2.945)","(9.0, 21.0, 19.34285714285714)","(1.95, 3.25, 3.09875)"
05-01-2023 14:27:29.180170,"(4.0, 9.4, 5.189473684210527)","(31.0, 260.0, 113.42857142857142)","(26.0, 190.0, 72.85714285714286)","(61.0, 550.0, 468.33333333333337)","(3.0, 3.35, 2.945)","(9.0, 21.0, 19.34285714285714)","(1.95, 3.25, 3.09875)"
05-01-2023 14:27:30.215614,"(4.0, 9.4, 5.189473684210527)","(31.0, 260.0, 113.42857142857142)","(26.0, 190.0, 72.85714285714286)","(61.0, 550.0, 468.33333333333337)","(3.0, 3.35, 2.945)","(9.0, 21.0, 19.34285714285714)","(1.95, 3.25, 3.09875)"
05-01-2023 14:27:31.253919,"(4.0, 9.4, 5.189473684210527)","(31.0, 260.0, 113.42857142857142)","(26.0, 190.0, 72.85714285714286)","(61.0, 550.0, 468.33333333333337)","(3.0, 3.35, 2.945)","(9.0, 21.0, 19.34285714285714)","(1.95, 3.25, 3.09875)"
05-01-2023 14:27:32.357176,"(4.0, 9.4, 5.189473684210527)","(31.0, 260.0, 113.42857142857142)","(26.0, 190.0, 72.85714285714286)","(61.0, 550.0, 468.33333333333337)","(3.0, 3.35, 2.945)","(9.0, 21.0, 19.34285714285714)","(1.95, 3.25, 3.09875)"
05-01-2023 14:27:33.449203,"(4.0, 9.4, 5.189473684210527)","(31.0, 260.0, 113.42857142857142)","(26.0, 190.0, 72.85714285714286)","(61.0, 550.0, 468.33333333333337)","(3.0, 3.35, 2.945)","(9.0, 21.0, 19.34285714285714)","(1.95, 3.25, 3.09875)"
05-01-2023 14:27:34.489563,"(4.0, 9.4, 5.189473684210527)","(31.0, 260.0, 113.42857142857142)","(26.0, 190.0, 72.85714285714286)","(61.0, 550.0, 468.33333333333337)","(3.0, 3.35, 2.945)","(9.0, 21.0, 19.34285714285714)","(1.95, 3.25, 3.09875)"
05-01-2023 14:27:35.573322,"(4.0, 9.4, 5.189473684210527)","(31.0, 260.0, 113.42857142857142)","(26.0, 190.0, 72.85714285714286)","(61.0, 550.0, 468.33333333333337)","(3.0, 3.35, 2.945)","(9.0, 21.0, 19.34285714285714)","(1.95, 3.25, 3.09875)"
05-01-2023 14:27:36.658882,"(4.0, 9.4, 5.189473684210527)","(31.0, 260.0, 113.42857142857142)","(26.0, 190.0, 72.85714285714286)","(61.0, 550.0, 468.33333333333337)","(3.0, 3.35, 2.945)","(9.0, 21.0, 19.34285714285714)","(1.95, 3.25, 3.09875)"
05-01-2023 14:27:37.775077,"(4.0, 9.4, 5.189473684210527)","(31.0, 260.0, 113.42857142857142)","(26.0, 190.0, 72.85714285714286)","(61.0, 550.0, 468.33333333333337)","(3.0, 3.35, 2.945)","(9.0, 21.0, 19.34285714285714)","(1.95, 3.25, 3.09875)"
05-01-2023 14:27:38.879824,"(4.0, 9.4, 5.189473684210527)","(31.0, 260.0, 113.42857142857142)","(26.0, 190.0, 72.85714285714286)","(61.0, 550.0, 468.33333333333337)","(3.0, 3.35, 2.945)","(9.0, 21.0, 19.34285714285714)","(1.95, 3.25, 3.09875)"
05-01-2023 14:27:40.034910,"(4.0, 9.4, 5.189473684210527)","(31.0, 260.0, 113.42857142857142)","(26.0, 190.0, 72.85714285714286)","(61.0, 550.0, 468.33333333333337)","(3.0, 3.35, 2.945)","(9.0, 21.0, 19.34285714285714)","(1.95, 3.25, 3.09875)"
05-01-2023 14:27:41.128858,"(4.0, 9.4, 5.189473684210527)","(31.0, 260.0, 113.42857142857142)","(26.0, 190.0, 72.85714285714286)","(61.0, 550.0, 468.33333333333337)","(3.0, 3.35, 2.945)","(9.0, 21.0, 19.34285714285714)","(1.95, 3.25, 3.09875)"
05-01-2023 14:27:42.133475,"(4.0, 9.4, 5.189473684210527)","(31.0, 260.0, 113.42857142857142)","(26.0, 190.0, 72.85714285714286)","(61.0, 550.0, 468.33333333333337)","(3.0, 3.35, 2.945)","(9.0, 21.0, 19.34285714285714)","(1.95, 3.25, 3.09875)"
05-01-2023 14:27:43.211565,"(4.0, 9.4, 5.189473684210527)","(31.0, 260.0, 113.42857142857142)","(26.0, 190.0, 72.85714285714286)","(61.0, 550.0, 468.33333333333337)","(3.0, 3.35, 2.945)","(9.0, 21.0, 19.34285714285714)","(1.95, 3.25, 3.09875)"
05-01-2023 14:27:44.211649,"(4.0, 9.4, 5.189473684210527)","(31.0, 260.0, 113.42857142857142)","(26.0, 190.0, 72.85714285714286)","(61.0, 550.0, 468.33333333333337)","(3.0, 3.35, 2.945)","(9.0, 21.0, 19.34285714285714)","(1.95, 3.25, 3.09875)"
05-01-2023 14:27:45.246020,"(4.0, 9.4, 5.189473684210527)","(31.0, 260.0, 113.42857142857142)","(26.0, 190.0, 72.85714285714286)","(61.0, 550.0, 468.33333333333337)","(3.0, 3.35, 2.945)","(9.0, 21.0, 19.34285714285714)","(1.95, 3.25, 3.09875)"
