,Break The Clouds,Zipping Vienna,Buster Banjo,Mandragora,Eskimo Fly,Whiskey Reef,Aston Zabbar,Aston Rozee
05-01-2023 17:06:45.044249,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 9.142857142857142)","(21.0, 55.0, 34.16666666666667)"
05-01-2023 17:06:46.252467,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 9.142857142857142)","(21.0, 55.0, 34.16666666666667)"
05-01-2023 17:06:47.606374,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 9.142857142857142)","(21.0, 55.0, 34.16666666666667)"
05-01-2023 17:06:48.951050,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 9.142857142857142)","(21.0, 55.0, 34.16666666666667)"
05-01-2023 17:06:50.227556,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 9.142857142857142)","(21.0, 55.0, 34.16666666666667)"
05-01-2023 17:06:51.462378,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 9.142857142857142)","(21.0, 55.0, 34.16666666666667)"
05-01-2023 17:06:52.662066,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 9.142857142857142)","(21.0, 55.0, 34.16666666666667)"
05-01-2023 17:06:53.804301,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 9.142857142857142)","(21.0, 55.0, 34.16666666666667)"
05-01-2023 17:06:55.007512,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 9.142857142857142)","(21.0, 55.0, 34.16666666666667)"
05-01-2023 17:06:56.139921,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 9.142857142857142)","(21.0, 55.0, 34.16666666666667)"
05-01-2023 17:06:57.363999,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 9.142857142857142)","(21.0, 55.0, 34.16666666666667)"
05-01-2023 17:06:58.487264,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 9.142857142857142)","(21.0, 55.0, 34.16666666666667)"
05-01-2023 17:06:59.627170,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 11.08)","(21.0, 55.0, 34.16666666666667)"
05-01-2023 17:07:00.812117,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 11.08)","(21.0, 55.0, 34.16666666666667)"
05-01-2023 17:07:01.973549,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 11.08)","(21.0, 55.0, 34.16666666666667)"
05-01-2023 17:07:03.174857,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 11.08)","(21.0, 55.0, 34.16666666666667)"
05-01-2023 17:07:04.324122,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 11.08)","(21.0, 55.0, 34.16666666666667)"
05-01-2023 17:07:05.446053,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 11.08)","(21.0, 55.0, 34.16666666666667)"
05-01-2023 17:07:06.566157,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 11.08)","(21.0, 55.0, 34.16666666666667)"
05-01-2023 17:07:07.654312,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 11.08)","(21.0, 55.0, 34.16666666666667)"
05-01-2023 17:07:08.695823,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 11.08)","(21.0, 55.0, 34.16666666666667)"
05-01-2023 17:07:09.782524,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 11.08)","(21.0, 55.0, 34.16666666666667)"
05-01-2023 17:07:10.893704,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 11.08)","(21.0, 55.0, 34.16666666666667)"
05-01-2023 17:07:12.018859,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 11.08)","(21.0, 55.0, 34.16666666666667)"
05-01-2023 17:07:13.220551,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 11.08)","(21.0, 55.0, 34.16666666666667)"
05-01-2023 17:07:14.385663,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 11.08)","(21.0, 55.0, 34.16666666666667)"
05-01-2023 17:07:15.594703,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 11.08)","(21.0, 55.0, 34.16666666666667)"
05-01-2023 17:07:16.714639,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 11.08)","(21.0, 55.0, 34.16666666666667)"
05-01-2023 17:07:17.847144,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 11.08)","(21.0, 55.0, 34.16666666666667)"
05-01-2023 17:07:18.936397,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 11.08)","(21.0, 55.0, 34.16666666666667)"
05-01-2023 17:07:20.063524,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 11.08)","(21.0, 55.0, 34.16666666666667)"
05-01-2023 17:07:21.184662,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 11.08)","(21.0, 55.0, 34.16666666666667)"
05-01-2023 17:07:22.317455,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 11.08)","(21.0, 55.0, 34.16666666666667)"
05-01-2023 17:07:23.457091,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 11.08)","(21.0, 55.0, 34.16666666666667)"
05-01-2023 17:07:24.943325,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 11.08)","(21.0, 55.0, 34.16666666666667)"
05-01-2023 17:07:26.207484,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 11.08)","(21.0, 55.0, 34.16666666666667)"
05-01-2023 17:07:27.590903,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 11.08)","(21.0, 55.0, 34.16666666666667)"
05-01-2023 17:07:28.871795,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 11.08)","(21.0, 55.0, 34.16666666666667)"
05-01-2023 17:07:30.032223,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 11.08)","(21.0, 55.0, 34.16666666666667)"
05-01-2023 17:07:31.230279,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 11.08)","(21.0, 55.0, 34.16666666666667)"
05-01-2023 17:07:32.360493,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 11.08)","(21.0, 55.0, 34.16666666666667)"
05-01-2023 17:07:33.446601,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 11.08)","(21.0, 55.0, 34.16666666666667)"
05-01-2023 17:07:34.718592,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 11.08)","(21.0, 55.0, 34.16666666666667)"
05-01-2023 17:07:35.916300,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 11.08)","(21.0, 55.0, 34.16666666666667)"
05-01-2023 17:07:37.035412,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 11.08)","(21.0, 55.0, 34.16666666666667)"
05-01-2023 17:07:38.183409,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 11.08)","(21.0, 55.0, 34.16666666666667)"
05-01-2023 17:07:47.613356,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 11.08)","(21.0, 55.0, 34.16666666666667)"
05-01-2023 17:07:48.774129,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 11.08)","(21.0, 55.0, 34.16666666666667)"
05-01-2023 17:07:49.847447,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 11.08)","(21.0, 55.0, 34.16666666666667)"
05-01-2023 17:07:51.035789,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 11.08)","(21.0, 55.0, 34.16666666666667)"
05-01-2023 17:07:52.350767,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 11.08)","(21.0, 55.0, 34.16666666666667)"
05-01-2023 17:07:53.674962,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 11.08)","(21.0, 55.0, 34.16666666666667)"
05-01-2023 17:07:54.925846,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 11.08)","(21.0, 55.0, 34.16666666666667)"
05-01-2023 17:07:56.149971,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 11.08)","(21.0, 55.0, 34.16666666666667)"
05-01-2023 17:07:57.277899,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 11.08)","(21.0, 55.0, 34.16666666666667)"
