,Nicko Ed,Gucci Green,Saint Madix,Tiger Zoe,Eskimo Roger,Chloes Comet,Rebels Spark,Just Enough
05-01-2023 16:28:56.640493,"(4.4, 7.2, 6.007692307692308)","(5.0, 8.8, 7.638297872340425)","(26.0, 100.0, 44.72727272727273)","(5.0, 9.4, 5.72)","(4.8, 9.8, 5.125)","(5.0, 9.0, 7.638095238095238)","(7.5, 14.5, 12.066666666666666)","(10.0, 24.0, 16.11111111111111)"
05-01-2023 16:28:57.821177,"(4.4, 7.2, 6.007692307692308)","(5.0, 8.8, 7.638297872340425)","(26.0, 100.0, 44.72727272727273)","(5.0, 9.4, 5.72)","(4.8, 9.8, 5.125)","(5.0, 9.0, 7.638095238095238)","(7.5, 14.5, 12.066666666666666)","(10.0, 24.0, 16.11111111111111)"
05-01-2023 16:28:58.948461,"(4.4, 7.2, 6.007692307692308)","(5.0, 8.8, 7.638297872340425)","(26.0, 100.0, 44.72727272727273)","(5.0, 9.4, 5.72)","(4.8, 9.8, 5.125)","(5.0, 9.0, 7.638095238095238)","(7.5, 14.5, 12.066666666666666)","(10.0, 24.0, 16.11111111111111)"
05-01-2023 16:29:00.035851,"(4.4, 7.2, 6.007692307692308)","(5.0, 8.8, 7.638297872340425)","(26.0, 100.0, 44.72727272727273)","(5.0, 9.4, 5.72)","(4.8, 9.8, 5.125)","(5.0, 9.0, 7.638095238095238)","(7.5, 14.5, 12.066666666666666)","(10.0, 24.0, 16.11111111111111)"
05-01-2023 16:29:01.103634,"(4.4, 7.2, 6.007692307692308)","(5.0, 8.8, 7.638297872340425)","(26.0, 100.0, 44.72727272727273)","(5.0, 9.4, 5.72)","(4.8, 9.8, 5.125)","(5.0, 9.0, 7.638095238095238)","(7.5, 14.5, 12.066666666666666)","(10.0, 24.0, 16.11111111111111)"
05-01-2023 16:29:02.101705,"(4.4, 7.2, 6.007692307692308)","(5.0, 8.8, 7.638297872340425)","(26.0, 100.0, 44.72727272727273)","(5.0, 9.4, 5.72)","(4.8, 9.8, 5.125)","(5.0, 9.0, 7.638095238095238)","(7.5, 14.5, 12.066666666666666)","(10.0, 24.0, 16.11111111111111)"
05-01-2023 16:29:03.144468,"(4.4, 7.2, 6.007692307692308)","(5.0, 8.8, 7.638297872340425)","(26.0, 100.0, 44.72727272727273)","(5.0, 9.4, 5.72)","(4.8, 9.8, 5.125)","(5.0, 9.0, 7.638095238095238)","(7.5, 14.5, 12.066666666666666)","(10.0, 24.0, 16.11111111111111)"
05-01-2023 16:29:04.256368,"(4.4, 7.2, 6.007692307692308)","(5.0, 8.8, 7.638297872340425)","(26.0, 100.0, 44.72727272727273)","(5.0, 9.4, 5.72)","(4.8, 9.8, 5.125)","(5.0, 9.0, 7.638095238095238)","(7.5, 14.5, 12.066666666666666)","(10.0, 24.0, 16.11111111111111)"
05-01-2023 16:29:05.395262,"(4.4, 7.2, 6.007692307692308)","(5.0, 8.8, 7.638297872340425)","(26.0, 100.0, 44.72727272727273)","(5.0, 9.4, 5.72)","(4.8, 9.8, 5.125)","(5.0, 9.0, 7.638095238095238)","(7.5, 14.5, 12.066666666666666)","(10.0, 24.0, 16.11111111111111)"
05-01-2023 16:29:06.485552,"(4.4, 7.2, 6.007692307692308)","(5.0, 8.8, 7.638297872340425)","(26.0, 100.0, 44.72727272727273)","(5.0, 9.4, 5.72)","(4.8, 9.8, 5.125)","(5.0, 9.0, 7.638095238095238)","(7.5, 14.5, 12.066666666666666)","(10.0, 24.0, 16.11111111111111)"
05-01-2023 16:29:07.510631,"(4.4, 7.2, 6.007692307692308)","(5.0, 8.8, 7.638297872340425)","(26.0, 100.0, 44.72727272727273)","(5.0, 9.4, 5.72)","(4.8, 9.8, 5.125)","(5.0, 9.0, 7.638095238095238)","(7.5, 14.5, 12.066666666666666)","(10.0, 24.0, 16.11111111111111)"
05-01-2023 16:29:08.537170,"(4.4, 7.2, 6.007692307692308)","(5.0, 8.8, 7.638297872340425)","(26.0, 100.0, 44.72727272727273)","(5.0, 9.4, 5.72)","(4.8, 9.8, 5.125)","(5.0, 9.0, 7.638095238095238)","(7.5, 14.5, 12.066666666666666)","(10.0, 24.0, 16.11111111111111)"
