,Culvie Bun,Nighthawk Swift,Goldstar Glenys,Homebush Honey,Tatis,Diamond Warrior,Yoshi Moon,Barbaras Angel
05-01-2023 13:59:27.210157,"(4.8, 8.0, 7.357142857142858)","(6.5, 10.5, 9.7)","(7.5, 13.0, 12.120000000000001)","(4.4, 10.5, 8.925)","(3.6, 7.6, 6.334375)","(10.0, 18.5, 16.772727272727273)","(8.0, 14.5, 13.407692307692308)","(11.0, 32.0, 29.533333333333335)"
05-01-2023 13:59:28.638952,"(4.8, 8.0, 7.357142857142858)","(6.5, 10.5, 9.7)","(7.5, 13.0, 12.120000000000001)","(4.4, 10.5, 8.925)","(3.6, 7.6, 6.334375)","(10.0, 18.5, 16.772727272727273)","(8.0, 14.5, 13.407692307692308)","(11.0, 32.0, 29.533333333333335)"
05-01-2023 13:59:30.094822,"(4.8, 8.0, 7.357142857142858)","(6.5, 10.5, 9.7)","(7.5, 13.0, 12.120000000000001)","(4.4, 10.5, 8.925)","(3.6, 7.6, 6.334375)","(10.0, 18.5, 16.772727272727273)","(8.0, 14.5, 13.407692307692308)","(11.0, 32.0, 29.533333333333335)"
05-01-2023 13:59:31.482219,"(4.8, 8.0, 7.357142857142858)","(6.5, 10.5, 9.7)","(7.5, 13.0, 12.120000000000001)","(4.4, 10.5, 8.925)","(3.6, 7.6, 6.334375)","(10.0, 18.5, 16.772727272727273)","(8.0, 14.5, 13.407692307692308)","(11.0, 32.0, 29.533333333333335)"
05-01-2023 13:59:32.950242,"(4.8, 8.0, 7.357142857142858)","(6.5, 10.5, 9.7)","(7.5, 13.0, 12.120000000000001)","(4.4, 10.5, 8.925)","(3.6, 7.6, 6.334375)","(10.0, 18.5, 16.772727272727273)","(8.0, 14.5, 13.407692307692308)","(11.0, 32.0, 29.533333333333335)"
05-01-2023 13:59:34.427667,"(4.8, 8.0, 7.357142857142858)","(6.5, 10.5, 9.7)","(7.5, 13.0, 12.120000000000001)","(4.4, 10.5, 8.925)","(3.6, 7.6, 6.334375)","(10.0, 18.5, 16.772727272727273)","(8.0, 14.5, 13.407692307692308)","(11.0, 32.0, 29.533333333333335)"
05-01-2023 13:59:35.951990,"(4.8, 8.0, 7.357142857142858)","(6.5, 10.5, 9.7)","(7.5, 13.0, 12.120000000000001)","(4.4, 10.5, 8.925)","(3.6, 7.6, 6.334375)","(10.0, 18.5, 16.772727272727273)","(8.0, 14.5, 13.407692307692308)","(11.0, 32.0, 29.533333333333335)"
05-01-2023 13:59:37.258629,"(4.8, 8.0, 7.357142857142858)","(6.5, 10.5, 9.7)","(7.5, 13.0, 12.120000000000001)","(4.4, 10.5, 8.925)","(3.6, 7.6, 6.334375)","(10.0, 18.5, 16.772727272727273)","(8.0, 14.5, 13.407692307692308)","(11.0, 32.0, 29.533333333333335)"
05-01-2023 13:59:38.473053,"(4.8, 8.0, 7.357142857142858)","(6.5, 10.5, 9.7)","(7.5, 13.0, 12.120000000000001)","(4.4, 10.5, 8.925)","(3.6, 7.6, 6.334375)","(10.0, 18.5, 16.772727272727273)","(8.0, 14.5, 13.407692307692308)","(11.0, 32.0, 29.533333333333335)"
05-01-2023 13:59:39.631068,"(4.8, 8.0, 7.357142857142858)","(6.5, 10.5, 9.7)","(7.5, 13.0, 12.120000000000001)","(4.4, 10.5, 8.925)","(3.6, 7.6, 6.334375)","(10.0, 18.5, 16.772727272727273)","(8.0, 14.5, 13.407692307692308)","(11.0, 32.0, 29.533333333333335)"
