,Prince Pulpogan,Grants Treasure,Lady Wendy Hook,Rawhide Hand,Red Spur Flyer,Jebrynah Sol,Stay At Home,Rogue Temptation
05-01-2023 15:14:02.261919,"(2.5, 5.0, 3.9299999999999997)","(14.0, 25.0, 21.77777777777778)","(8.5, 16.5, 11.1)","(9.0, 23.0, 15.9)","(3.2, 3.4, 3.025)","(9.0, 18.0, 11.866666666666667)","(16.0, 60.0, 41.666666666666664)","(8.0, 23.0, 16.75)"
05-01-2023 15:14:03.390253,"(2.5, 5.0, 3.9299999999999997)","(14.0, 25.0, 21.77777777777778)","(8.5, 16.5, 11.1)","(9.0, 23.0, 15.9)","(3.2, 3.4, 3.025)","(9.0, 18.0, 11.866666666666667)","(16.0, 60.0, 41.666666666666664)","(8.0, 23.0, 16.75)"
05-01-2023 15:14:04.609186,"(2.5, 5.0, 3.9299999999999997)","(14.0, 25.0, 21.77777777777778)","(8.5, 16.5, 11.1)","(9.0, 23.0, 15.9)","(3.2, 3.4, 3.025)","(9.0, 18.0, 11.866666666666667)","(16.0, 60.0, 41.666666666666664)","(8.0, 23.0, 16.75)"
05-01-2023 15:14:05.795079,"(2.5, 5.0, 3.9299999999999997)","(14.0, 25.0, 21.77777777777778)","(8.5, 16.5, 11.1)","(9.0, 23.0, 15.9)","(3.2, 3.4, 3.025)","(9.0, 18.0, 11.866666666666667)","(16.0, 60.0, 41.666666666666664)","(8.0, 23.0, 16.75)"
05-01-2023 15:14:06.953739,"(2.5, 5.0, 3.9299999999999997)","(14.0, 25.0, 21.77777777777778)","(8.5, 16.5, 11.1)","(9.0, 23.0, 15.9)","(3.2, 3.4, 3.025)","(9.0, 18.0, 11.866666666666667)","(16.0, 60.0, 41.666666666666664)","(8.0, 23.0, 16.75)"
05-01-2023 15:14:08.071241,"(2.5, 5.0, 3.9299999999999997)","(14.0, 25.0, 21.77777777777778)","(8.5, 16.5, 11.1)","(9.0, 23.0, 15.9)","(3.2, 3.4, 3.025)","(9.0, 18.0, 11.866666666666667)","(16.0, 60.0, 41.666666666666664)","(8.0, 23.0, 16.75)"
05-01-2023 15:14:09.144900,"(2.5, 5.0, 3.9299999999999997)","(14.0, 25.0, 21.77777777777778)","(8.5, 16.5, 11.1)","(9.0, 23.0, 15.9)","(3.2, 3.4, 3.025)","(9.0, 18.0, 11.866666666666667)","(16.0, 60.0, 41.666666666666664)","(8.0, 23.0, 16.75)"
05-01-2023 15:14:10.261527,"(2.5, 5.0, 3.9299999999999997)","(14.0, 25.0, 21.77777777777778)","(8.5, 16.5, 11.1)","(9.0, 23.0, 15.9)","(3.2, 3.4, 3.025)","(9.0, 18.0, 11.866666666666667)","(16.0, 60.0, 41.666666666666664)","(8.0, 23.0, 16.75)"
05-01-2023 15:14:11.331018,"(2.5, 5.0, 3.9299999999999997)","(14.0, 25.0, 21.77777777777778)","(8.5, 16.5, 11.1)","(9.0, 23.0, 15.9)","(3.2, 3.4, 3.025)","(9.0, 18.0, 11.866666666666667)","(16.0, 60.0, 41.666666666666664)","(8.0, 23.0, 16.75)"
05-01-2023 15:14:12.446735,"(2.5, 5.0, 3.9299999999999997)","(14.0, 25.0, 21.77777777777778)","(8.5, 16.5, 11.1)","(9.0, 23.0, 15.9)","(3.2, 3.4, 3.025)","(9.0, 18.0, 11.866666666666667)","(16.0, 60.0, 41.666666666666664)","(8.0, 23.0, 16.75)"
05-01-2023 15:14:13.582979,"(2.5, 5.0, 3.9299999999999997)","(14.0, 25.0, 21.77777777777778)","(8.5, 16.5, 11.1)","(9.0, 23.0, 15.9)","(3.2, 3.4, 3.025)","(9.0, 18.0, 11.866666666666667)","(16.0, 60.0, 41.666666666666664)","(8.0, 23.0, 16.75)"
05-01-2023 15:14:14.709520,"(2.5, 5.0, 3.9299999999999997)","(14.0, 25.0, 21.77777777777778)","(8.5, 16.5, 11.1)","(9.0, 23.0, 15.9)","(3.2, 3.4, 3.025)","(9.0, 18.0, 11.866666666666667)","(16.0, 60.0, 41.666666666666664)","(8.0, 23.0, 16.75)"
05-01-2023 15:14:15.854268,"(2.5, 5.0, 3.9299999999999997)","(14.0, 25.0, 21.77777777777778)","(8.5, 16.5, 11.1)","(9.0, 23.0, 15.9)","(3.2, 3.4, 3.025)","(9.0, 18.0, 11.866666666666667)","(16.0, 60.0, 41.666666666666664)","(8.0, 23.0, 16.75)"
