,Amazonian Queen,Seven Ounce,Arlington,Desmonde,Affair Bit,Zipping Presley,Afro Puff,Bugs
06-01-2023 17:14:57.575420,"(2.8, 4.5, 2.9533333333333336)","(7.0, 12.0, 8.690909090909091)","(14.0, 34.0, 27.166666666666664)","(3.3, 5.5, 4.142857142857142)","(31.0, 320.0, 175.0)","(3.5, 5.1, 3.6777777777777776)","(16.0, 110.0, 71.875)","(13.0, 32.0, 18.25)"
06-01-2023 17:14:58.742063,"(2.8, 4.5, 2.9533333333333336)","(7.0, 12.0, 8.690909090909091)","(14.0, 34.0, 27.166666666666664)","(3.3, 5.5, 4.142857142857142)","(31.0, 320.0, 175.0)","(3.5, 5.1, 3.6777777777777776)","(16.0, 110.0, 71.875)","(13.0, 32.0, 18.25)"
06-01-2023 17:14:59.828630,"(2.8, 4.5, 2.9533333333333336)","(7.0, 12.0, 8.690909090909091)","(14.0, 34.0, 27.166666666666664)","(3.3, 5.5, 4.142857142857142)","(31.0, 320.0, 175.0)","(3.5, 5.1, 3.6777777777777776)","(16.0, 110.0, 71.875)","(13.0, 32.0, 18.25)"
06-01-2023 17:15:00.872402,"(2.8, 4.5, 2.9533333333333336)","(7.0, 12.0, 8.690909090909091)","(14.0, 34.0, 27.166666666666664)","(3.3, 5.5, 4.142857142857142)","(31.0, 320.0, 175.0)","(3.5, 5.1, 3.6777777777777776)","(16.0, 110.0, 71.875)","(13.0, 32.0, 18.25)"
06-01-2023 17:15:01.900887,"(2.8, 4.5, 2.9533333333333336)","(7.0, 12.0, 8.690909090909091)","(14.0, 34.0, 27.166666666666664)","(3.3, 5.5, 4.142857142857142)","(31.0, 320.0, 175.0)","(3.5, 5.1, 3.6777777777777776)","(16.0, 110.0, 71.875)","(13.0, 32.0, 18.25)"
06-01-2023 17:15:03.045946,"(2.8, 4.5, 2.9533333333333336)","(7.0, 12.0, 8.690909090909091)","(14.0, 34.0, 27.166666666666664)","(3.3, 5.5, 4.142857142857142)","(31.0, 320.0, 175.0)","(3.5, 5.1, 3.6777777777777776)","(16.0, 110.0, 53.125)","(13.0, 32.0, 18.25)"
06-01-2023 17:15:04.303274,"(2.8, 4.5, 2.9533333333333336)","(7.0, 12.0, 8.690909090909091)","(14.0, 34.0, 27.166666666666664)","(3.3, 5.5, 4.142857142857142)","(31.0, 320.0, 175.0)","(3.5, 5.1, 3.6777777777777776)","(16.0, 110.0, 53.125)","(13.0, 32.0, 18.25)"
06-01-2023 17:15:05.540737,"(2.8, 4.5, 2.9533333333333336)","(7.0, 12.0, 8.690909090909091)","(14.0, 34.0, 27.166666666666664)","(3.3, 5.5, 4.142857142857142)","(31.0, 320.0, 175.0)","(3.5, 5.1, 3.6777777777777776)","(16.0, 110.0, 53.125)","(13.0, 32.0, 18.25)"
06-01-2023 17:15:06.750532,"(2.8, 4.5, 2.9533333333333336)","(7.0, 12.0, 8.690909090909091)","(14.0, 34.0, 27.166666666666664)","(3.3, 5.5, 4.142857142857142)","(31.0, 320.0, 175.0)","(3.5, 5.1, 3.6777777777777776)","(16.0, 110.0, 53.125)","(13.0, 32.0, 18.25)"
06-01-2023 17:15:07.957753,"(2.8, 4.5, 2.9533333333333336)","(7.0, 12.0, 8.690909090909091)","(14.0, 34.0, 27.166666666666664)","(3.3, 5.5, 4.142857142857142)","(31.0, 320.0, 175.0)","(3.5, 5.1, 3.6777777777777776)","(16.0, 110.0, 53.125)","(13.0, 32.0, 18.25)"
