,Nicco The Greek,Im Krupt,Flying To Paris,Coronation Veronic,Black Eaglet,Gee Gee Miss Quita,Alvarinho,Finxy,Zulu Guru
06-01-2023 17:09:24.145289,"(3.1, 3.45, 3.4375)","(17.0, 29.0, 23.0)","(2.5, 2.88, 2.755)","(13.0, 25.0, 21.5)","(19.0, 40.0, 30.0)","(5.5, 11.0, 10.2)","(10.0, 20.0, 17.625)","(31.0, 55.0, 47.333333333333336)","(15.0, 32.0, 25.142857142857142)"
06-01-2023 17:09:25.616071,"(3.1, 3.45, 3.4375)","(17.0, 29.0, 23.0)","(2.5, 2.88, 2.755)","(13.0, 25.0, 21.5)","(19.0, 40.0, 30.0)","(5.5, 11.0, 10.2)","(10.0, 20.0, 17.625)","(31.0, 55.0, 47.333333333333336)","(15.0, 32.0, 25.142857142857142)"
06-01-2023 17:09:27.089870,"(3.1, 3.45, 3.4375)","(17.0, 29.0, 23.0)","(2.5, 2.88, 2.755)","(13.0, 25.0, 21.5)","(19.0, 40.0, 30.0)","(5.5, 11.0, 10.2)","(10.0, 20.0, 17.625)","(31.0, 55.0, 47.333333333333336)","(15.0, 32.0, 25.142857142857142)"
06-01-2023 17:09:28.544219,"(3.1, 3.45, 3.4375)","(17.0, 29.0, 23.0)","(2.5, 2.88, 2.755)","(13.0, 25.0, 21.5)","(19.0, 40.0, 30.0)","(5.5, 11.0, 10.2)","(10.0, 20.0, 17.625)","(31.0, 55.0, 47.333333333333336)","(15.0, 32.0, 25.142857142857142)"
06-01-2023 17:09:29.963804,"(3.1, 3.45, 3.4375)","(17.0, 29.0, 23.0)","(2.5, 2.88, 2.755)","(13.0, 25.0, 21.5)","(19.0, 40.0, 30.0)","(5.5, 11.0, 10.2)","(10.0, 20.0, 17.625)","(31.0, 55.0, 47.333333333333336)","(15.0, 32.0, 25.142857142857142)"
06-01-2023 17:09:31.404736,"(3.1, 3.45, 3.4375)","(17.0, 29.0, 23.0)","(2.5, 2.88, 2.755)","(13.0, 25.0, 21.5)","(19.0, 40.0, 30.0)","(5.5, 11.0, 10.2)","(10.0, 20.0, 17.625)","(31.0, 55.0, 47.333333333333336)","(15.0, 32.0, 25.142857142857142)"
06-01-2023 17:09:32.872086,"(3.1, 3.45, 3.4375)","(17.0, 29.0, 23.0)","(2.5, 2.88, 2.755)","(13.0, 25.0, 21.5)","(19.0, 40.0, 30.0)","(5.5, 11.0, 10.2)","(10.0, 20.0, 17.625)","(31.0, 55.0, 47.333333333333336)","(15.0, 32.0, 25.142857142857142)"
06-01-2023 17:09:34.704042,"(3.1, 3.45, 3.4375)","(17.0, 29.0, 23.0)","(2.5, 2.88, 2.755)","(13.0, 25.0, 21.5)","(19.0, 40.0, 30.0)","(5.5, 11.0, 10.2)","(10.0, 20.0, 17.625)","(31.0, 55.0, 47.333333333333336)","(15.0, 32.0, 25.142857142857142)"
06-01-2023 17:09:36.606990,"(3.1, 3.45, 3.4375)","(17.0, 29.0, 23.0)","(2.5, 2.88, 2.755)","(13.0, 25.0, 21.5)","(19.0, 40.0, 30.0)","(5.5, 11.0, 10.2)","(10.0, 20.0, 17.625)","(31.0, 55.0, 47.333333333333336)","(15.0, 32.0, 25.142857142857142)"
06-01-2023 17:09:38.020052,"(3.1, 3.45, 3.4375)","(17.0, 29.0, 23.0)","(2.5, 2.88, 2.755)","(13.0, 25.0, 21.5)","(19.0, 40.0, 30.0)","(5.5, 11.0, 10.2)","(10.0, 20.0, 17.625)","(31.0, 55.0, 47.333333333333336)","(15.0, 32.0, 25.142857142857142)"
06-01-2023 17:09:39.521438,"(3.1, 3.45, 3.4375)","(17.0, 29.0, 23.0)","(2.5, 2.88, 2.755)","(13.0, 25.0, 21.5)","(19.0, 40.0, 30.0)","(5.5, 11.0, 10.2)","(10.0, 20.0, 17.625)","(31.0, 55.0, 47.333333333333336)","(15.0, 32.0, 25.142857142857142)"
06-01-2023 17:09:40.905692,"(3.1, 3.45, 3.4375)","(17.0, 29.0, 23.0)","(2.5, 2.88, 2.755)","(13.0, 25.0, 21.5)","(19.0, 40.0, 30.0)","(5.5, 11.0, 10.2)","(10.0, 20.0, 17.625)","(31.0, 55.0, 47.333333333333336)","(15.0, 32.0, 25.142857142857142)"
06-01-2023 17:09:42.344584,"(3.1, 3.45, 3.4375)","(17.0, 29.0, 23.0)","(2.5, 2.88, 2.755)","(13.0, 25.0, 21.5)","(19.0, 40.0, 30.0)","(5.5, 11.0, 10.2)","(10.0, 20.0, 17.625)","(31.0, 55.0, 47.333333333333336)","(15.0, 32.0, 25.142857142857142)"
06-01-2023 17:09:43.746385,"(3.1, 3.45, 3.4375)","(17.0, 29.0, 23.0)","(2.5, 2.88, 2.755)","(13.0, 25.0, 21.5)","(19.0, 40.0, 30.0)","(5.5, 11.0, 10.2)","(10.0, 20.0, 17.625)","(31.0, 55.0, 47.333333333333336)","(15.0, 32.0, 25.142857142857142)"
06-01-2023 17:09:45.160529,"(3.1, 3.45, 3.4375)","(17.0, 29.0, 23.0)","(2.5, 2.88, 2.755)","(13.0, 25.0, 21.5)","(19.0, 40.0, 30.0)","(5.5, 11.0, 10.2)","(10.0, 20.0, 17.625)","(31.0, 55.0, 47.333333333333336)","(15.0, 32.0, 25.142857142857142)"
06-01-2023 17:09:46.544126,"(3.1, 3.45, 3.4375)","(17.0, 29.0, 23.0)","(2.5, 2.88, 2.755)","(13.0, 25.0, 21.5)","(19.0, 40.0, 30.0)","(5.5, 11.0, 10.2)","(10.0, 20.0, 17.625)","(31.0, 55.0, 47.333333333333336)","(15.0, 32.0, 25.142857142857142)"
06-01-2023 17:09:48.022836,"(3.1, 3.45, 3.4375)","(17.0, 29.0, 23.0)","(2.5, 2.88, 2.755)","(13.0, 25.0, 21.5)","(19.0, 40.0, 30.0)","(5.5, 11.0, 10.2)","(10.0, 20.0, 17.625)","(31.0, 55.0, 47.333333333333336)","(15.0, 32.0, 25.142857142857142)"
06-01-2023 17:09:49.596536,"(3.1, 3.45, 3.4375)","(17.0, 29.0, 23.0)","(2.5, 2.88, 2.755)","(13.0, 25.0, 21.5)","(19.0, 40.0, 30.0)","(5.5, 11.0, 10.2)","(10.0, 20.0, 17.625)","(31.0, 55.0, 47.333333333333336)","(15.0, 32.0, 25.142857142857142)"
06-01-2023 17:09:51.217093,"(3.1, 3.45, 3.4375)","(17.0, 29.0, 23.0)","(2.5, 2.88, 2.755)","(13.0, 25.0, 21.5)","(19.0, 40.0, 30.0)","(5.5, 11.0, 10.2)","(10.0, 20.0, 17.625)","(31.0, 55.0, 47.333333333333336)","(15.0, 32.0, 25.142857142857142)"
06-01-2023 17:09:52.770839,"(3.1, 3.45, 3.4375)","(17.0, 29.0, 23.0)","(2.5, 2.88, 2.755)","(13.0, 25.0, 21.5)","(19.0, 40.0, 30.0)","(5.5, 11.0, 10.2)","(10.0, 20.0, 17.625)","(31.0, 55.0, 47.333333333333336)","(15.0, 32.0, 25.142857142857142)"
06-01-2023 17:09:54.787448,"(3.1, 3.45, 3.4375)","(17.0, 29.0, 23.0)","(2.5, 2.88, 2.755)","(13.0, 25.0, 21.5)","(19.0, 40.0, 30.0)","(5.5, 11.0, 10.2)","(10.0, 20.0, 17.625)","(31.0, 55.0, 47.333333333333336)","(15.0, 32.0, 25.142857142857142)"
06-01-2023 17:09:57.127420,"(3.1, 3.45, 3.4375)","(17.0, 29.0, 23.0)","(2.5, 2.88, 2.755)","(13.0, 25.0, 21.5)","(19.0, 40.0, 30.0)","(5.5, 11.0, 10.2)","(10.0, 20.0, 17.625)","(31.0, 55.0, 47.333333333333336)","(15.0, 32.0, 25.142857142857142)"
06-01-2023 17:09:58.722710,"(3.1, 3.45, 3.4375)","(17.0, 29.0, 23.0)","(2.5, 2.88, 2.755)","(13.0, 25.0, 21.5)","(19.0, 40.0, 30.0)","(5.5, 11.0, 10.2)","(10.0, 20.0, 17.625)","(31.0, 55.0, 47.333333333333336)","(15.0, 32.0, 25.142857142857142)"
06-01-2023 17:10:00.256685,"(3.1, 3.45, 3.4375)","(17.0, 29.0, 23.0)","(2.5, 2.88, 2.755)","(13.0, 25.0, 21.5)","(19.0, 40.0, 30.0)","(5.5, 11.0, 10.2)","(10.0, 20.0, 17.625)","(31.0, 55.0, 47.333333333333336)","(15.0, 32.0, 25.142857142857142)"
06-01-2023 17:10:01.764895,"(3.1, 3.45, 3.4375)","(17.0, 29.0, 23.0)","(2.5, 2.88, 2.755)","(13.0, 25.0, 21.5)","(19.0, 40.0, 30.0)","(5.5, 11.0, 10.2)","(10.0, 20.0, 17.625)","(31.0, 55.0, 47.333333333333336)","(15.0, 32.0, 25.142857142857142)"
06-01-2023 17:10:03.234702,"(3.1, 3.45, 3.4375)","(17.0, 29.0, 23.0)","(2.5, 2.88, 2.755)","(13.0, 25.0, 21.5)","(19.0, 40.0, 30.0)","(5.5, 11.0, 10.2)","(10.0, 20.0, 17.625)","(31.0, 55.0, 47.333333333333336)","(15.0, 32.0, 25.142857142857142)"
06-01-2023 17:10:04.729876,"(3.1, 3.45, 3.4375)","(17.0, 29.0, 23.0)","(2.5, 2.88, 2.755)","(13.0, 25.0, 21.5)","(19.0, 40.0, 30.0)","(5.5, 11.0, 10.2)","(10.0, 20.0, 17.625)","(31.0, 55.0, 47.333333333333336)","(15.0, 32.0, 25.142857142857142)"
06-01-2023 17:10:06.199701,"(3.1, 3.45, 3.4375)","(17.0, 29.0, 23.0)","(2.5, 2.88, 2.755)","(13.0, 25.0, 21.5)","(19.0, 40.0, 30.0)","(5.5, 11.0, 10.2)","(10.0, 20.0, 17.625)","(31.0, 55.0, 47.333333333333336)","(15.0, 32.0, 25.142857142857142)"
06-01-2023 17:10:07.676374,"(3.1, 3.45, 3.4375)","(17.0, 29.0, 23.0)","(2.5, 2.88, 2.755)","(13.0, 25.0, 21.5)","(19.0, 40.0, 30.0)","(5.5, 11.0, 10.2)","(10.0, 20.0, 17.625)","(31.0, 55.0, 39.2)","(15.0, 32.0, 25.142857142857142)"
06-01-2023 17:10:09.113366,"(3.1, 3.45, 3.4375)","(17.0, 29.0, 23.0)","(2.5, 2.88, 2.755)","(13.0, 25.0, 21.5)","(19.0, 40.0, 30.0)","(5.5, 11.0, 10.2)","(10.0, 20.0, 17.625)","(31.0, 50.0, 39.2)","(15.0, 32.0, 25.142857142857142)"
06-01-2023 17:10:10.558663,"(3.1, 3.45, 3.4375)","(17.0, 29.0, 23.0)","(2.5, 2.88, 2.755)","(13.0, 25.0, 21.5)","(19.0, 40.0, 30.0)","(5.5, 11.0, 10.2)","(10.0, 20.0, 17.625)","(31.0, 50.0, 39.2)","(15.0, 32.0, 25.142857142857142)"
06-01-2023 17:10:11.974566,"(3.1, 3.45, 3.4375)","(17.0, 29.0, 23.0)","(2.5, 2.88, 2.755)","(13.0, 25.0, 21.5)","(19.0, 40.0, 30.0)","(5.5, 11.0, 10.2)","(10.0, 20.0, 17.625)","(31.0, 50.0, 39.2)","(15.0, 32.0, 29.25)"
06-01-2023 17:10:13.422348,"(3.1, 3.45, 3.4375)","(17.0, 29.0, 23.0)","(2.5, 2.88, 2.755)","(13.0, 25.0, 21.5)","(19.0, 40.0, 30.0)","(5.5, 11.0, 10.2)","(10.0, 20.0, 17.625)","(31.0, 50.0, 39.2)","(15.0, 32.0, 27.875)"
