,Victa Mikey,Diesel Runner,Velocity Comet,Emerley Poida,Remember Prince,Hukanui Lady
06-01-2023 13:40:44.816727,"(1.7, 2.12, 2.04)","(3.5, 6.0, 5.49)","(10.0, 25.0, 15.333333333333332)","(11.0, 21.0, 19.75)","(21.0, 75.0, 37.90909090909091)","(5.0, 13.0, 11.5)"
06-01-2023 13:40:45.888541,"(1.7, 2.12, 2.04)","(3.5, 6.0, 5.49)","(10.0, 25.0, 15.333333333333332)","(11.0, 21.0, 19.75)","(21.0, 75.0, 37.90909090909091)","(5.0, 13.0, 10.0)"
06-01-2023 13:40:46.933808,"(1.7, 2.12, 2.04)","(3.5, 6.0, 5.49)","(10.0, 25.0, 15.333333333333332)","(11.0, 21.0, 19.75)","(21.0, 75.0, 37.90909090909091)","(5.0, 13.0, 12.076923076923077)"
06-01-2023 13:40:48.006773,"(1.7, 2.12, 2.04)","(3.5, 6.0, 5.49)","(10.0, 25.0, 15.333333333333332)","(11.0, 21.0, 19.75)","(21.0, 75.0, 37.90909090909091)","(5.0, 13.0, 12.076923076923077)"
06-01-2023 13:40:49.164113,"(1.7, 2.12, 2.04)","(3.5, 6.0, 5.49)","(10.0, 25.0, 15.333333333333332)","(11.0, 21.0, 19.75)","(21.0, 75.0, 37.90909090909091)","(5.0, 13.0, 12.076923076923077)"
06-01-2023 13:40:50.267179,"(1.7, 2.12, 2.04)","(3.5, 6.0, 5.49)","(10.0, 25.0, 15.333333333333332)","(11.0, 21.0, 19.75)","(21.0, 75.0, 37.90909090909091)","(5.0, 13.0, 12.076923076923077)"
06-01-2023 13:40:51.345986,"(1.7, 2.12, 2.04)","(3.5, 6.0, 5.49)","(10.0, 25.0, 15.333333333333332)","(11.0, 21.0, 19.75)","(21.0, 75.0, 37.90909090909091)","(5.0, 13.0, 12.076923076923077)"
06-01-2023 13:40:52.368018,"(1.7, 2.12, 2.04)","(3.5, 6.0, 5.49)","(10.0, 25.0, 15.333333333333332)","(11.0, 21.0, 19.75)","(21.0, 75.0, 37.90909090909091)","(5.0, 13.0, 12.076923076923077)"
06-01-2023 13:40:53.456922,"(1.7, 2.12, 2.04)","(3.5, 6.0, 5.49)","(10.0, 25.0, 15.333333333333332)","(11.0, 21.0, 19.75)","(21.0, 75.0, 37.90909090909091)","(5.0, 13.0, 12.076923076923077)"
06-01-2023 13:40:54.564858,"(1.7, 2.12, 2.04)","(3.5, 6.0, 5.49)","(10.0, 25.0, 15.333333333333332)","(11.0, 21.0, 19.75)","(21.0, 75.0, 37.90909090909091)","(5.0, 13.0, 12.076923076923077)"
06-01-2023 13:40:55.593502,"(1.7, 2.12, 2.04)","(3.5, 6.0, 5.49)","(10.0, 25.0, 15.333333333333332)","(11.0, 21.0, 19.75)","(21.0, 75.0, 37.90909090909091)","(5.0, 13.0, 12.076923076923077)"
06-01-2023 13:40:56.646077,"(1.7, 2.12, 2.04)","(3.5, 6.0, 5.49)","(10.0, 25.0, 15.333333333333332)","(11.0, 21.0, 19.75)","(21.0, 75.0, 37.90909090909091)","(5.0, 13.0, 12.076923076923077)"
06-01-2023 13:40:57.704943,"(1.7, 2.12, 2.04)","(3.5, 6.0, 5.49)","(10.0, 25.0, 15.333333333333332)","(11.0, 21.0, 19.75)","(21.0, 75.0, 37.90909090909091)","(5.0, 13.0, 12.076923076923077)"
