,Pentegra,San Marino,Francine,Pill Box,Zouhope,The Superintendent,California Blaze,Tsushima,Adament,Last Zerprise,Simply Sparklez,Arachnattack
06-01-2023 16:14:05.024731,"(4.2, 5.0, 4.873333333333333)","(10.0, 15.5, 14.833333333333332)","(5.0, 6.6, 6.566666666666666)","(61.0, 220.0, 113.63636363636364)","(10.0, 15.0, 14.166666666666666)","(16.0, 18.5, 18.22)","(26.0, 75.0, 54.5)","(81.0, 190.0, 156.66666666666669)","(2.6, 3.4, 3.103870967741935)","(26.0, 60.0, 57.77777777777778)","(10.0, 18.5, 17.857142857142858)","(101.0, 210.0, 197.14285714285714)"
06-01-2023 16:14:06.477705,"(4.2, 5.0, 4.873333333333333)","(10.0, 15.5, 14.833333333333332)","(5.0, 6.6, 6.566666666666666)","(61.0, 220.0, 113.63636363636364)","(10.0, 15.0, 14.166666666666666)","(16.0, 18.5, 18.22)","(26.0, 75.0, 54.5)","(81.0, 190.0, 156.66666666666669)","(2.6, 3.4, 3.103870967741935)","(26.0, 60.0, 57.77777777777778)","(10.0, 18.5, 17.857142857142858)","(101.0, 210.0, 197.14285714285714)"
06-01-2023 16:14:07.921718,"(4.2, 5.0, 4.873333333333333)","(10.0, 15.5, 14.833333333333332)","(5.0, 6.6, 6.566666666666666)","(61.0, 220.0, 113.63636363636364)","(10.0, 15.0, 14.166666666666666)","(16.0, 18.5, 18.22)","(26.0, 75.0, 54.5)","(81.0, 190.0, 156.66666666666669)","(2.6, 3.4, 3.0643243243243243)","(26.0, 60.0, 57.77777777777778)","(10.0, 18.5, 17.857142857142858)","(101.0, 210.0, 197.14285714285714)"
06-01-2023 16:14:09.373445,"(4.2, 5.0, 4.873333333333333)","(10.0, 15.5, 14.532258064516128)","(5.0, 6.6, 6.566666666666666)","(61.0, 220.0, 113.63636363636364)","(10.0, 15.0, 14.166666666666666)","(16.0, 18.5, 18.22)","(26.0, 75.0, 54.5)","(81.0, 190.0, 156.66666666666669)","(2.6, 3.4, 3.0643243243243243)","(26.0, 60.0, 57.77777777777778)","(10.0, 18.5, 17.857142857142858)","(101.0, 210.0, 197.14285714285714)"
06-01-2023 16:14:10.793758,"(4.2, 5.0, 4.873333333333333)","(10.0, 15.0, 14.6)","(5.0, 6.6, 6.566666666666666)","(61.0, 220.0, 113.63636363636364)","(10.0, 15.0, 14.166666666666666)","(16.0, 18.5, 18.22)","(26.0, 75.0, 54.5)","(81.0, 190.0, 156.66666666666669)","(2.6, 3.4, 3.0643243243243243)","(26.0, 60.0, 57.77777777777778)","(10.0, 18.5, 17.857142857142858)","(101.0, 210.0, 198.75)"
06-01-2023 16:14:12.227080,"(4.2, 5.0, 4.873333333333333)","(10.0, 15.0, 14.6)","(5.0, 6.6, 6.566666666666666)","(61.0, 220.0, 113.63636363636364)","(10.0, 15.0, 14.166666666666666)","(16.0, 18.5, 17.72222222222222)","(26.0, 75.0, 54.5)","(81.0, 190.0, 156.66666666666669)","(2.6, 3.4, 3.0643243243243243)","(26.0, 60.0, 57.77777777777778)","(10.0, 18.5, 17.375)","(101.0, 210.0, 195.0)"
06-01-2023 16:14:13.552434,"(4.2, 5.0, 4.873333333333333)","(10.0, 15.0, 14.6)","(5.0, 6.6, 6.566666666666666)","(61.0, 220.0, 113.63636363636364)","(10.0, 15.0, 14.166666666666666)","(16.0, 18.5, 17.72222222222222)","(26.0, 75.0, 54.5)","(81.0, 190.0, 156.66666666666669)","(2.6, 3.4, 3.0643243243243243)","(26.0, 60.0, 57.77777777777778)","(10.0, 18.5, 17.375)","(101.0, 210.0, 195.0)"
06-01-2023 16:14:14.918945,"(4.2, 5.0, 4.873333333333333)","(10.0, 15.0, 14.6)","(5.0, 6.6, 6.566666666666666)","(61.0, 220.0, 113.63636363636364)","(10.0, 15.0, 14.166666666666666)","(16.0, 18.5, 17.72222222222222)","(26.0, 75.0, 54.5)","(81.0, 190.0, 156.66666666666669)","(2.6, 3.4, 3.0643243243243243)","(26.0, 60.0, 57.77777777777778)","(10.0, 18.5, 17.375)","(101.0, 210.0, 195.0)"
06-01-2023 16:14:16.306859,"(4.2, 5.0, 4.873333333333333)","(10.0, 15.0, 14.6)","(5.0, 6.6, 6.566666666666666)","(61.0, 220.0, 113.63636363636364)","(10.0, 15.0, 14.166666666666666)","(16.0, 18.5, 17.72222222222222)","(26.0, 75.0, 54.5)","(81.0, 190.0, 156.66666666666669)","(2.6, 3.4, 2.94)","(26.0, 60.0, 57.77777777777778)","(10.0, 18.5, 13.666666666666666)","(101.0, 210.0, 195.0)"
06-01-2023 16:14:17.696437,"(4.2, 5.0, 4.873333333333333)","(10.0, 15.0, 14.6)","(5.0, 6.6, 6.566666666666666)","(61.0, 220.0, 113.63636363636364)","(10.0, 15.0, 14.166666666666666)","(16.0, 18.5, 17.72222222222222)","(26.0, 75.0, 54.5)","(81.0, 190.0, 156.66666666666669)","(2.6, 3.4, 2.94)","(26.0, 60.0, 57.77777777777778)","(10.0, 15.0, 13.666666666666666)","(101.0, 210.0, 195.0)"
06-01-2023 16:14:19.196197,"(4.2, 5.0, 4.873333333333333)","(10.0, 15.0, 14.6)","(5.0, 6.6, 6.566666666666666)","(61.0, 220.0, 113.63636363636364)","(10.0, 15.0, 14.166666666666666)","(16.0, 18.5, 17.72222222222222)","(26.0, 75.0, 54.5)","(81.0, 190.0, 156.66666666666669)","(2.6, 3.4, 2.9473684210526314)","(26.0, 60.0, 57.77777777777778)","(10.0, 15.0, 14.0)","(101.0, 210.0, 195.0)"
06-01-2023 16:14:20.673580,"(4.2, 5.0, 4.873333333333333)","(10.0, 15.0, 14.6)","(5.0, 6.6, 6.566666666666666)","(61.0, 220.0, 113.63636363636364)","(10.0, 15.0, 14.166666666666666)","(16.0, 18.5, 17.72222222222222)","(26.0, 75.0, 54.5)","(81.0, 190.0, 156.66666666666669)","(2.6, 3.35, 2.9473684210526314)","(26.0, 60.0, 57.77777777777778)","(10.0, 15.0, 14.0)","(101.0, 210.0, 195.0)"
06-01-2023 16:14:22.032557,"(4.2, 5.0, 4.873333333333333)","(10.0, 15.0, 14.6)","(5.0, 6.6, 6.566666666666666)","(61.0, 220.0, 113.63636363636364)","(10.0, 15.0, 14.166666666666666)","(16.0, 18.5, 17.72222222222222)","(26.0, 75.0, 54.5)","(81.0, 190.0, 156.66666666666669)","(2.6, 3.35, 2.9473684210526314)","(26.0, 60.0, 57.77777777777778)","(10.0, 15.0, 14.0)","(101.0, 210.0, 195.0)"
06-01-2023 16:14:23.362568,"(4.2, 5.0, 4.873333333333333)","(10.0, 15.0, 14.6)","(5.0, 6.6, 6.566666666666666)","(61.0, 220.0, 113.63636363636364)","(10.0, 15.0, 14.166666666666666)","(16.0, 18.5, 17.72222222222222)","(26.0, 75.0, 54.5)","(81.0, 190.0, 156.66666666666669)","(2.6, 3.35, 2.9473684210526314)","(26.0, 60.0, 57.77777777777778)","(10.0, 15.0, 14.0)","(101.0, 210.0, 195.0)"
06-01-2023 16:14:24.754475,"(4.2, 5.0, 4.873333333333333)","(10.0, 15.0, 13.666666666666666)","(5.0, 6.6, 6.566666666666666)","(61.0, 220.0, 113.63636363636364)","(10.0, 15.0, 14.166666666666666)","(16.0, 18.5, 17.72222222222222)","(26.0, 75.0, 54.5)","(81.0, 190.0, 156.66666666666669)","(2.6, 3.35, 2.9473684210526314)","(26.0, 60.0, 57.77777777777778)","(10.0, 15.0, 14.0)","(101.0, 210.0, 195.0)"
06-01-2023 16:14:26.182856,"(4.2, 5.0, 4.873333333333333)","(10.0, 15.0, 14.2)","(5.0, 6.6, 6.566666666666666)","(61.0, 220.0, 113.63636363636364)","(10.0, 15.0, 14.166666666666666)","(16.0, 18.5, 17.72222222222222)","(26.0, 75.0, 54.5)","(81.0, 190.0, 156.66666666666669)","(2.6, 3.35, 2.953333333333333)","(26.0, 60.0, 57.77777777777778)","(10.0, 15.0, 14.0)","(101.0, 210.0, 195.0)"
