,Burns Bay,Im Feeling Firey,Just Dessy,Regulus,Brigadiers Son Nz,Falcons,Bumper,Artful Maid,Saving Major Percy,B Mac C Nz
06-01-2023 17:00:57.318583,"(4.4, 7.4, 6.95)","(5.5, 8.4, 7.815189873417721)","(4.8, 5.2, 5.076923076923077)","(7.5, 8.8, 8.24)","(3.3, 99999, 99990)","(20.0, 32.0, 29.0)","(101.0, 130.0, 124.0)","(16.0, 29.0, 27.666666666666668)","(31.0, 38.0, 34.0)","(18.0, 99999, 99990)"
06-01-2023 17:00:58.664770,"(4.4, 7.4, 6.95)","(5.5, 8.4, 7.815189873417721)","(4.8, 5.2, 5.076923076923077)","(7.5, 8.8, 8.0)","(3.3, 99999, 99990)","(20.0, 32.0, 29.0)","(101.0, 130.0, 124.0)","(16.0, 29.0, 27.666666666666668)","(31.0, 38.0, 34.0)","(18.0, 99999, 99990)"
06-01-2023 17:00:59.931250,"(4.4, 7.4, 6.95)","(5.5, 8.4, 7.815189873417721)","(4.8, 5.2, 5.055555555555555)","(7.5, 8.8, 8.0)","(3.3, 99999, 99990)","(20.0, 32.0, 30.5)","(101.0, 130.0, 124.0)","(16.0, 29.0, 27.666666666666668)","(31.0, 38.0, 34.0)","(18.0, 99999, 99990)"
06-01-2023 17:01:01.237902,"(4.4, 7.6, 7.12)","(5.5, 8.4, 7.815189873417721)","(4.8, 5.2, 4.81)","(7.5, 8.8, 8.0)","(3.3, 99999, 99990)","(20.0, 32.0, 28.0)","(101.0, 130.0, 124.0)","(16.0, 29.0, 27.666666666666668)","(31.0, 38.0, 34.0)","(18.0, 99999, 99990)"
06-01-2023 17:01:02.637276,"(4.4, 7.6, 7.514285714285714)","(5.5, 8.4, 7.815189873417721)","(4.8, 5.3, 4.7)","(7.5, 8.8, 8.0)","(3.3, 99999, 99990)","(20.0, 32.0, 26.4)","(101.0, 130.0, 124.0)","(16.0, 29.0, 27.666666666666668)","(31.0, 38.0, 34.0)","(18.0, 99999, 99990)"
06-01-2023 17:01:04.022461,"(4.4, 7.8, 7.65)","(5.5, 8.4, 7.815189873417721)","(4.8, 4.7, 4.503508771929824)","(7.5, 8.8, 8.0)","(3.3, 99999, 99990)","(20.0, 30.0, 25.25)","(101.0, 130.0, 124.0)","(16.0, 29.0, 28.5)","(31.0, 38.0, 34.0)","(18.0, 99999, 99990)"
06-01-2023 17:01:05.350920,"(4.4, 8.4, 7.527272727272727)","(5.5, 8.4, 7.815189873417721)","(4.8, 5.1, 4.779999999999999)","(7.5, 8.8, 8.0)","(3.3, 99999, 99990)","(20.0, 29.0, 26.5)","(101.0, 130.0, 124.0)","(16.0, 29.0, 24.88888888888889)","(31.0, 38.0, 36.0)","(18.0, 99999, 99990)"
06-01-2023 17:01:06.657330,"(4.4, 8.2, 7.8)","(5.5, 8.4, 7.815189873417721)","(4.6, 5.0, 4.703703703703703)","(7.5, 8.8, 8.0)","(3.3, 99999, 99990)","(21.0, 29.0, 26.5)","(91.0, 130.0, 124.0)","(16.0, 25.0, 28.444444444444443)","(26.0, 38.0, 34.0)","(17.0, 99999, 99990)"
06-01-2023 17:01:07.978661,"(4.4, 8.4, 7.6000000000000005)","(5.5, 8.4, 7.815189873417721)","(4.6, 5.0, 4.636363636363636)","(7.5, 8.8, 8.0)","(3.3, 99999, 99990)","(21.0, 29.0, 26.5)","(91.0, 130.0, 124.0)","(16.0, 29.0, 28.444444444444443)","(26.0, 38.0, 34.0)","(17.0, 99999, 99990)"
06-01-2023 17:01:09.266164,"(4.4, 8.2, 7.8999999999999995)","(5.5, 8.4, 7.815189873417721)","(4.6, 4.9, 4.633333333333333)","(7.5, 8.8, 8.0)","(3.3, 99999, 99990)","(21.0, 29.0, 26.5)","(91.0, 130.0, 124.0)","(16.0, 29.0, 28.444444444444443)","(26.0, 38.0, 34.0)","(17.0, 99999, 99990)"
