,Claudys Secret,Southwind Chloe,Miss Avenger,Kyvalley Anthony,Grumpee,Romantic Nina
06-01-2023 16:37:23.577763,"(2.05, 2.82, 2.691111111111111)","(16.0, 25.0, 19.75)","(20.0, 42.0, 28.285714285714285)","(1.9, 3.2, 2.24)","(8.0, 13.5, 9.416666666666666)","(21.0, 50.0, 34.0)"
06-01-2023 16:37:24.537210,"(2.05, 2.82, 2.691111111111111)","(16.0, 25.0, 19.75)","(20.0, 42.0, 28.285714285714285)","(1.9, 3.2, 2.24)","(8.0, 13.5, 9.416666666666666)","(21.0, 50.0, 34.0)"
06-01-2023 16:37:25.591572,"(2.05, 2.82, 2.691111111111111)","(16.0, 25.0, 19.75)","(20.0, 42.0, 28.285714285714285)","(1.9, 3.2, 2.24)","(8.0, 13.5, 9.416666666666666)","(21.0, 50.0, 34.0)"
06-01-2023 16:37:26.643393,"(2.05, 2.82, 2.691111111111111)","(16.0, 25.0, 19.75)","(20.0, 42.0, 28.285714285714285)","(1.9, 3.2, 2.24)","(8.0, 13.5, 9.416666666666666)","(21.0, 50.0, 34.0)"
06-01-2023 16:37:27.611108,"(2.05, 2.82, 2.691111111111111)","(16.0, 25.0, 19.75)","(20.0, 42.0, 28.285714285714285)","(1.9, 3.2, 2.24)","(8.0, 13.5, 9.416666666666666)","(21.0, 50.0, 34.0)"
06-01-2023 16:37:28.494994,"(2.05, 2.82, 2.691111111111111)","(16.0, 25.0, 19.75)","(20.0, 42.0, 28.285714285714285)","(1.9, 3.2, 2.24)","(8.0, 13.5, 9.416666666666666)","(21.0, 50.0, 34.0)"
06-01-2023 16:37:29.481946,"(2.05, 2.82, 2.691111111111111)","(16.0, 25.0, 19.75)","(20.0, 42.0, 28.285714285714285)","(1.9, 3.2, 2.24)","(8.0, 13.5, 9.416666666666666)","(21.0, 50.0, 34.0)"
06-01-2023 16:37:30.424876,"(2.05, 2.82, 2.691111111111111)","(16.0, 25.0, 19.75)","(20.0, 42.0, 28.285714285714285)","(1.9, 3.2, 2.24)","(8.0, 13.5, 9.416666666666666)","(21.0, 50.0, 34.0)"
06-01-2023 16:37:31.331356,"(2.05, 2.82, 2.691111111111111)","(16.0, 25.0, 19.75)","(20.0, 42.0, 28.285714285714285)","(1.9, 3.2, 2.24)","(8.0, 13.5, 9.416666666666666)","(21.0, 50.0, 34.0)"
06-01-2023 16:37:32.330538,"(2.05, 2.82, 2.691111111111111)","(16.0, 25.0, 19.75)","(20.0, 42.0, 28.285714285714285)","(1.9, 3.2, 2.24)","(8.0, 13.5, 9.416666666666666)","(21.0, 50.0, 34.0)"
06-01-2023 16:37:33.372056,"(2.05, 2.82, 2.691111111111111)","(16.0, 25.0, 19.75)","(20.0, 42.0, 28.285714285714285)","(1.9, 3.45, 2.2344444444444447)","(8.0, 13.5, 9.416666666666666)","(21.0, 50.0, 34.0)"
06-01-2023 16:37:34.436266,"(2.05, 2.82, 2.691111111111111)","(16.0, 25.0, 19.75)","(20.0, 42.0, 28.285714285714285)","(1.9, 3.15, 2.2344444444444447)","(8.0, 13.5, 9.416666666666666)","(21.0, 50.0, 34.0)"
06-01-2023 16:37:35.505943,"(2.05, 2.82, 2.691111111111111)","(16.0, 25.0, 19.75)","(20.0, 42.0, 28.285714285714285)","(1.9, 3.15, 2.2344444444444447)","(8.0, 13.5, 9.416666666666666)","(21.0, 50.0, 34.0)"
06-01-2023 16:37:36.427177,"(2.05, 2.82, 2.691111111111111)","(15.0, 25.0, 19.75)","(18.0, 42.0, 28.285714285714285)","(1.95, 3.15, 2.2344444444444447)","(8.0, 13.5, 9.416666666666666)","(21.0, 50.0, 34.0)"
06-01-2023 16:37:37.338298,"(2.05, 2.82, 2.691111111111111)","(15.0, 25.0, 19.75)","(18.0, 42.0, 28.285714285714285)","(1.95, 3.15, 2.2344444444444447)","(8.0, 13.5, 9.416666666666666)","(21.0, 50.0, 34.0)"
06-01-2023 16:37:38.341163,"(2.05, 2.82, 2.691111111111111)","(15.0, 25.0, 19.75)","(18.0, 42.0, 28.285714285714285)","(1.95, 3.15, 2.2344444444444447)","(8.0, 13.5, 9.416666666666666)","(21.0, 50.0, 34.0)"
06-01-2023 16:37:39.256612,"(2.05, 2.82, 2.691111111111111)","(15.0, 25.0, 19.75)","(18.0, 42.0, 28.285714285714285)","(1.95, 3.15, 2.2344444444444447)","(8.0, 13.5, 9.416666666666666)","(21.0, 50.0, 34.0)"
06-01-2023 16:37:40.185167,"(2.05, 2.82, 2.691111111111111)","(15.0, 25.0, 19.75)","(18.0, 42.0, 28.285714285714285)","(1.95, 3.15, 2.2344444444444447)","(8.0, 13.5, 9.416666666666666)","(21.0, 50.0, 34.0)"
06-01-2023 16:37:41.158589,"(2.05, 2.82, 2.691111111111111)","(15.0, 25.0, 19.75)","(18.0, 42.0, 28.285714285714285)","(1.95, 3.15, 2.2344444444444447)","(8.0, 13.5, 9.416666666666666)","(21.0, 50.0, 34.0)"
06-01-2023 16:37:42.236405,"(2.05, 2.82, 2.691111111111111)","(15.0, 25.0, 19.75)","(18.0, 42.0, 28.285714285714285)","(1.95, 3.15, 2.2344444444444447)","(8.0, 13.5, 9.416666666666666)","(21.0, 50.0, 34.0)"
06-01-2023 16:37:43.220586,"(2.05, 2.82, 2.691111111111111)","(15.0, 25.0, 19.75)","(18.0, 42.0, 28.285714285714285)","(1.95, 3.15, 2.2344444444444447)","(8.0, 13.5, 9.416666666666666)","(21.0, 50.0, 34.0)"
06-01-2023 16:37:44.102859,"(2.05, 2.82, 2.691111111111111)","(15.0, 25.0, 19.75)","(18.0, 42.0, 28.285714285714285)","(1.95, 3.15, 2.2344444444444447)","(8.0, 13.5, 9.416666666666666)","(21.0, 50.0, 34.0)"
06-01-2023 16:37:45.035816,"(2.05, 2.82, 2.691111111111111)","(15.0, 25.0, 19.75)","(18.0, 42.0, 28.285714285714285)","(1.95, 3.15, 2.2344444444444447)","(8.0, 13.5, 9.416666666666666)","(21.0, 50.0, 34.0)"
06-01-2023 16:37:46.120681,"(2.05, 2.82, 2.691111111111111)","(15.0, 25.0, 19.75)","(18.0, 42.0, 28.285714285714285)","(1.95, 3.15, 2.2344444444444447)","(8.0, 13.5, 9.416666666666666)","(21.0, 50.0, 34.0)"
06-01-2023 16:37:47.182674,"(2.05, 2.82, 2.691111111111111)","(15.0, 25.0, 19.75)","(18.0, 42.0, 28.285714285714285)","(1.95, 3.15, 2.2344444444444447)","(8.0, 13.5, 9.416666666666666)","(21.0, 50.0, 34.0)"
06-01-2023 16:37:48.240776,"(2.05, 2.82, 2.691111111111111)","(15.0, 25.0, 19.75)","(18.0, 42.0, 28.285714285714285)","(1.95, 3.15, 2.2344444444444447)","(8.0, 13.5, 9.416666666666666)","(21.0, 50.0, 34.0)"
06-01-2023 16:37:49.231110,"(2.05, 2.82, 2.691111111111111)","(15.0, 25.0, 19.75)","(18.0, 42.0, 28.285714285714285)","(1.95, 3.15, 2.2344444444444447)","(8.0, 13.5, 9.416666666666666)","(21.0, 50.0, 34.0)"
06-01-2023 16:37:50.200503,"(2.05, 2.82, 2.691111111111111)","(15.0, 25.0, 19.75)","(18.0, 42.0, 28.285714285714285)","(1.95, 3.15, 2.2344444444444447)","(8.0, 13.5, 9.416666666666666)","(21.0, 50.0, 34.0)"
06-01-2023 16:37:51.189180,"(2.05, 2.82, 2.691111111111111)","(15.0, 25.0, 19.75)","(18.0, 42.0, 28.285714285714285)","(1.95, 3.15, 2.2344444444444447)","(8.0, 13.5, 9.416666666666666)","(21.0, 50.0, 34.0)"
06-01-2023 16:37:52.089928,"(2.05, 2.82, 2.691111111111111)","(15.0, 25.0, 19.75)","(18.0, 42.0, 28.285714285714285)","(1.95, 3.15, 2.2344444444444447)","(8.0, 13.5, 9.416666666666666)","(21.0, 50.0, 34.0)"
