,Jessicas Story,Kyvalley Surfrider Nz,Bacardi Jess,Baarlinee,Sonnyboy,Midnight Avenger,Cheermeonimdancin,Aroha Koe,Meadowvalley Lover
06-01-2023 17:05:24.231757,"(14.0, 25.0, 17.875)","(21.0, 99999, 99990)","(41.0, 110.0, 79.0909090909091)","(3.2, 5.3, 4.757142857142857)","(5.0, 8.2, 6.88)","(41.0, 110.0, 90.85714285714286)","(14.0, 28.0, 22.0)","(2.2, 2.46, 2.425411764705882)","(10.0, 19.5, 14.166666666666666)"
06-01-2023 17:05:25.493262,"(14.0, 24.0, 18.333333333333332)","(21.0, 99999, 99990)","(41.0, 100.0, 85.5)","(3.2, 5.2, 4.757142857142857)","(5.0, 8.0, 6.88)","(41.0, 100.0, 90.85714285714286)","(14.0, 27.0, 22.0)","(2.2, 2.46, 2.425411764705882)","(10.0, 19.5, 14.166666666666666)"
06-01-2023 17:05:26.765360,"(14.0, 24.0, 18.333333333333332)","(21.0, 99999, 99990)","(41.0, 100.0, 85.5)","(3.2, 5.2, 4.757142857142857)","(5.0, 8.0, 6.88)","(41.0, 100.0, 90.85714285714286)","(14.0, 27.0, 22.0)","(2.2, 2.46, 2.425411764705882)","(10.0, 19.5, 14.166666666666666)"
06-01-2023 17:05:27.979428,"(14.0, 24.0, 18.333333333333332)","(21.0, 99999, 99990)","(41.0, 100.0, 85.5)","(3.2, 5.2, 4.757142857142857)","(5.0, 8.0, 6.88)","(41.0, 100.0, 90.85714285714286)","(14.0, 27.0, 22.0)","(2.2, 2.46, 2.425411764705882)","(10.0, 19.5, 14.166666666666666)"
06-01-2023 17:05:29.207170,"(14.0, 24.0, 18.333333333333332)","(21.0, 99999, 99990)","(41.0, 100.0, 85.5)","(3.2, 5.2, 4.757142857142857)","(5.0, 8.0, 6.88)","(41.0, 100.0, 90.85714285714286)","(14.0, 27.0, 18.666666666666668)","(2.2, 2.46, 2.425411764705882)","(10.0, 19.5, 14.166666666666666)"
06-01-2023 17:05:30.321101,"(14.0, 24.0, 18.333333333333332)","(21.0, 99999, 99990)","(41.0, 100.0, 85.5)","(3.2, 5.2, 4.757142857142857)","(5.0, 8.0, 6.88)","(41.0, 100.0, 90.85714285714286)","(14.0, 27.0, 18.666666666666668)","(2.2, 2.46, 2.425411764705882)","(10.0, 19.5, 14.166666666666666)"
06-01-2023 17:05:31.405874,"(14.0, 24.0, 18.333333333333332)","(21.0, 99999, 99990)","(41.0, 100.0, 85.5)","(3.2, 5.2, 4.757142857142857)","(5.0, 8.0, 6.88)","(41.0, 100.0, 90.85714285714286)","(14.0, 27.0, 18.944444444444443)","(2.2, 2.46, 2.425411764705882)","(10.0, 19.5, 14.166666666666666)"
06-01-2023 17:05:32.585561,"(14.0, 24.0, 18.333333333333332)","(21.0, 99999, 99990)","(41.0, 100.0, 85.5)","(3.2, 5.2, 4.757142857142857)","(5.0, 8.0, 6.88)","(41.0, 100.0, 90.85714285714286)","(14.0, 27.0, 18.944444444444443)","(2.2, 2.46, 2.425411764705882)","(10.0, 19.5, 14.166666666666666)"
06-01-2023 17:05:33.733403,"(14.0, 24.0, 18.333333333333332)","(21.0, 99999, 99990)","(41.0, 100.0, 82.0)","(3.2, 5.2, 4.757142857142857)","(5.0, 8.0, 6.88)","(41.0, 100.0, 88.0)","(14.0, 27.0, 20.214285714285715)","(2.2, 2.46, 2.425411764705882)","(10.0, 19.5, 16.5)"
06-01-2023 17:05:34.890523,"(14.0, 23.0, 17.375)","(21.0, 99999, 99990)","(41.0, 100.0, 82.0)","(3.2, 5.2, 4.757142857142857)","(5.0, 8.0, 6.88)","(41.0, 100.0, 88.0)","(14.0, 26.0, 20.833333333333336)","(2.2, 2.46, 2.425411764705882)","(10.0, 19.0, 16.0)"
