,Walk A Fine Line,Dyladdie,Excuses Excuses,West Virginia Pam,Jalebi Baby,Boca Birdie,My Juba,Fashion Icon,Miss Lauren,Magnificent Rocket
06-01-2023 11:06:44.356639,"(6.0, 230.0, 174.25)","(7.0, 230.0, 174.6)","(21.0, 230.0, 175.125)","(21.0, 230.0, 175.125)","(2.5, 90.0, 45.58)","(26.0, 230.0, 175.125)","(4.4, 230.0, 173.825)","(26.0, 230.0, 175.125)","(6.0, 230.0, 174.25)","(31.0, 230.0, 175.125)"
06-01-2023 11:06:45.742728,"(6.0, 230.0, 174.25)","(7.0, 230.0, 174.6)","(21.0, 230.0, 175.125)","(21.0, 230.0, 175.125)","(2.5, 90.0, 45.58)","(26.0, 230.0, 175.125)","(4.4, 230.0, 173.825)","(26.0, 230.0, 175.125)","(6.0, 230.0, 174.25)","(31.0, 230.0, 175.125)"
06-01-2023 11:06:47.044217,"(6.0, 230.0, 174.25)","(7.0, 230.0, 174.6)","(21.0, 230.0, 175.125)","(21.0, 230.0, 175.125)","(2.5, 90.0, 45.58)","(26.0, 230.0, 175.125)","(4.4, 230.0, 173.825)","(26.0, 230.0, 175.125)","(6.0, 230.0, 174.25)","(31.0, 230.0, 175.125)"
06-01-2023 11:06:48.305990,"(6.0, 230.0, 174.25)","(7.0, 230.0, 174.6)","(21.0, 230.0, 175.125)","(21.0, 230.0, 175.125)","(2.5, 90.0, 45.58)","(26.0, 230.0, 175.125)","(4.4, 230.0, 173.825)","(26.0, 230.0, 175.125)","(6.0, 230.0, 174.25)","(31.0, 230.0, 175.125)"
06-01-2023 11:06:49.672492,"(6.0, 230.0, 174.25)","(7.0, 230.0, 174.6)","(21.0, 230.0, 175.125)","(21.0, 230.0, 175.125)","(2.5, 90.0, 45.58)","(26.0, 230.0, 175.125)","(4.4, 230.0, 173.825)","(26.0, 230.0, 175.125)","(6.0, 230.0, 174.25)","(31.0, 230.0, 175.125)"
06-01-2023 11:06:51.044838,"(6.0, 230.0, 174.25)","(7.0, 230.0, 174.6)","(21.0, 230.0, 175.125)","(21.0, 230.0, 175.125)","(2.5, 90.0, 45.58)","(26.0, 230.0, 175.125)","(4.4, 230.0, 173.825)","(26.0, 230.0, 175.125)","(6.0, 230.0, 174.25)","(31.0, 230.0, 175.125)"
06-01-2023 11:06:52.428804,"(6.0, 230.0, 174.25)","(7.0, 230.0, 174.6)","(21.0, 230.0, 175.125)","(21.0, 230.0, 175.125)","(2.5, 90.0, 45.58)","(26.0, 230.0, 175.125)","(4.4, 230.0, 173.825)","(26.0, 230.0, 175.125)","(6.0, 230.0, 174.25)","(31.0, 230.0, 175.125)"
06-01-2023 11:06:53.734720,"(6.0, 230.0, 174.25)","(7.0, 230.0, 174.6)","(21.0, 230.0, 175.125)","(21.0, 230.0, 175.125)","(2.5, 90.0, 45.58)","(26.0, 230.0, 175.125)","(4.4, 230.0, 173.825)","(26.0, 230.0, 175.125)","(6.0, 230.0, 174.25)","(31.0, 230.0, 175.125)"
06-01-2023 11:06:55.056963,"(6.0, 230.0, 174.25)","(7.0, 230.0, 174.6)","(21.0, 230.0, 175.125)","(21.0, 230.0, 175.125)","(2.5, 90.0, 45.58)","(26.0, 230.0, 175.125)","(4.4, 230.0, 173.825)","(26.0, 230.0, 175.125)","(6.0, 230.0, 174.25)","(31.0, 230.0, 175.125)"
06-01-2023 11:06:56.338910,"(6.0, 230.0, 174.25)","(7.0, 230.0, 174.6)","(21.0, 230.0, 175.125)","(21.0, 230.0, 175.125)","(2.5, 90.0, 45.58)","(26.0, 230.0, 175.125)","(4.4, 230.0, 173.825)","(26.0, 230.0, 175.125)","(6.0, 230.0, 174.25)","(31.0, 230.0, 175.125)"
06-01-2023 11:06:57.577267,"(6.0, 230.0, 174.25)","(7.0, 230.0, 174.6)","(21.0, 230.0, 175.125)","(21.0, 230.0, 175.125)","(2.5, 90.0, 45.58)","(26.0, 230.0, 175.125)","(4.4, 230.0, 173.825)","(26.0, 230.0, 175.125)","(6.0, 230.0, 174.25)","(31.0, 230.0, 175.125)"
06-01-2023 11:06:58.898950,"(6.0, 230.0, 174.25)","(7.0, 230.0, 174.6)","(21.0, 230.0, 175.125)","(21.0, 230.0, 175.125)","(2.5, 90.0, 45.58)","(26.0, 230.0, 175.125)","(4.4, 230.0, 173.825)","(26.0, 230.0, 175.125)","(6.0, 230.0, 174.25)","(31.0, 230.0, 175.125)"
06-01-2023 11:07:00.116067,"(6.0, 230.0, 174.25)","(7.0, 230.0, 174.6)","(21.0, 230.0, 175.125)","(21.0, 230.0, 175.125)","(2.5, 90.0, 45.58)","(26.0, 230.0, 175.125)","(4.4, 230.0, 173.825)","(26.0, 230.0, 175.125)","(6.0, 230.0, 174.25)","(31.0, 230.0, 175.125)"
06-01-2023 11:07:01.361209,"(6.0, 230.0, 174.25)","(7.0, 230.0, 174.6)","(21.0, 230.0, 175.125)","(21.0, 230.0, 175.125)","(2.5, 90.0, 45.58)","(26.0, 230.0, 175.125)","(4.4, 230.0, 173.825)","(26.0, 230.0, 175.125)","(6.0, 230.0, 174.25)","(31.0, 230.0, 175.125)"
06-01-2023 11:07:02.572193,"(6.0, 230.0, 174.25)","(7.0, 230.0, 174.6)","(21.0, 230.0, 175.125)","(21.0, 230.0, 175.125)","(2.5, 90.0, 45.58)","(26.0, 230.0, 175.125)","(4.4, 230.0, 173.825)","(26.0, 230.0, 175.125)","(6.0, 230.0, 174.25)","(31.0, 230.0, 175.125)"
06-01-2023 11:07:03.806667,"(6.0, 230.0, 174.25)","(7.0, 230.0, 174.6)","(21.0, 230.0, 175.125)","(21.0, 230.0, 175.125)","(2.5, 90.0, 45.58)","(26.0, 230.0, 175.125)","(4.4, 230.0, 173.825)","(26.0, 230.0, 175.125)","(6.0, 230.0, 174.25)","(31.0, 230.0, 175.125)"
06-01-2023 11:07:05.016743,"(6.0, 230.0, 174.25)","(7.0, 230.0, 174.6)","(21.0, 230.0, 175.125)","(21.0, 230.0, 175.125)","(2.5, 90.0, 45.58)","(26.0, 230.0, 175.125)","(4.4, 230.0, 173.825)","(26.0, 230.0, 175.125)","(6.0, 230.0, 174.25)","(31.0, 230.0, 175.125)"
06-01-2023 11:07:06.230055,"(6.0, 230.0, 174.25)","(7.0, 230.0, 174.6)","(21.0, 230.0, 175.125)","(21.0, 230.0, 175.125)","(2.5, 90.0, 45.58)","(26.0, 230.0, 175.125)","(4.4, 230.0, 173.825)","(26.0, 230.0, 175.125)","(6.0, 230.0, 174.25)","(31.0, 230.0, 175.125)"
06-01-2023 11:07:07.417577,"(6.0, 230.0, 174.25)","(7.0, 230.0, 174.6)","(21.0, 230.0, 175.125)","(21.0, 230.0, 175.125)","(2.5, 90.0, 45.58)","(26.0, 230.0, 175.125)","(4.4, 230.0, 173.825)","(26.0, 230.0, 175.125)","(6.0, 230.0, 174.25)","(31.0, 230.0, 175.125)"
06-01-2023 11:07:08.641402,"(6.0, 230.0, 174.25)","(7.0, 230.0, 174.6)","(21.0, 230.0, 175.125)","(21.0, 230.0, 175.125)","(2.5, 90.0, 45.58)","(26.0, 230.0, 175.125)","(4.4, 230.0, 173.825)","(26.0, 230.0, 175.125)","(6.0, 230.0, 174.25)","(31.0, 230.0, 175.125)"
06-01-2023 11:07:09.859120,"(6.0, 230.0, 174.25)","(7.0, 230.0, 174.6)","(21.0, 230.0, 175.125)","(21.0, 230.0, 175.125)","(2.5, 90.0, 45.58)","(26.0, 230.0, 175.125)","(4.4, 230.0, 173.825)","(26.0, 230.0, 175.125)","(6.0, 230.0, 174.25)","(31.0, 230.0, 175.125)"
06-01-2023 11:07:11.166286,"(6.0, 230.0, 174.25)","(7.0, 230.0, 174.6)","(21.0, 230.0, 175.125)","(21.0, 230.0, 175.125)","(2.5, 90.0, 45.58)","(26.0, 230.0, 175.125)","(4.4, 230.0, 173.825)","(26.0, 230.0, 175.125)","(6.0, 230.0, 174.25)","(31.0, 230.0, 175.125)"
06-01-2023 11:07:12.416675,"(6.0, 230.0, 174.25)","(7.0, 230.0, 174.6)","(21.0, 230.0, 175.125)","(21.0, 230.0, 175.125)","(2.5, 90.0, 45.58)","(26.0, 230.0, 175.125)","(4.4, 230.0, 173.825)","(26.0, 230.0, 175.125)","(6.0, 230.0, 174.25)","(31.0, 230.0, 175.125)"
06-01-2023 11:07:13.630295,"(6.0, 230.0, 174.25)","(7.0, 230.0, 174.6)","(21.0, 230.0, 175.125)","(21.0, 230.0, 175.125)","(2.5, 90.0, 45.58)","(26.0, 230.0, 175.125)","(4.4, 230.0, 173.825)","(26.0, 230.0, 175.125)","(6.0, 230.0, 174.25)","(31.0, 230.0, 175.125)"
06-01-2023 11:07:14.852997,"(6.0, 230.0, 174.25)","(7.0, 230.0, 174.6)","(21.0, 230.0, 175.125)","(21.0, 230.0, 175.125)","(2.5, 90.0, 45.58)","(26.0, 230.0, 175.125)","(4.4, 230.0, 173.825)","(26.0, 230.0, 175.125)","(6.0, 230.0, 174.25)","(31.0, 230.0, 175.125)"
06-01-2023 11:07:16.122666,"(6.0, 230.0, 174.25)","(7.0, 230.0, 174.6)","(21.0, 230.0, 175.125)","(21.0, 230.0, 175.125)","(2.5, 90.0, 45.58)","(26.0, 230.0, 175.125)","(4.4, 230.0, 173.825)","(26.0, 230.0, 175.125)","(6.0, 230.0, 174.25)","(31.0, 230.0, 175.125)"
06-01-2023 11:07:17.474727,"(6.0, 230.0, 174.25)","(7.0, 230.0, 174.6)","(21.0, 230.0, 175.125)","(21.0, 230.0, 175.125)","(2.5, 90.0, 45.58)","(26.0, 230.0, 175.125)","(4.4, 230.0, 173.825)","(26.0, 230.0, 175.125)","(6.0, 230.0, 174.25)","(31.0, 230.0, 175.125)"
06-01-2023 11:07:18.730875,"(6.0, 230.0, 174.25)","(7.0, 230.0, 174.6)","(21.0, 230.0, 175.125)","(21.0, 230.0, 175.125)","(2.5, 90.0, 45.58)","(26.0, 230.0, 175.125)","(4.4, 230.0, 173.825)","(26.0, 230.0, 175.125)","(6.0, 230.0, 174.25)","(31.0, 230.0, 175.125)"
06-01-2023 11:07:19.919735,"(6.0, 230.0, 174.25)","(7.0, 230.0, 174.6)","(21.0, 230.0, 175.125)","(21.0, 230.0, 175.125)","(2.5, 90.0, 45.58)","(26.0, 230.0, 175.125)","(4.4, 230.0, 173.825)","(26.0, 230.0, 175.125)","(6.0, 230.0, 174.25)","(31.0, 230.0, 175.125)"
06-01-2023 11:07:21.142420,"(6.0, 230.0, 174.25)","(7.0, 230.0, 174.6)","(21.0, 230.0, 175.125)","(21.0, 230.0, 175.125)","(2.5, 90.0, 45.58)","(26.0, 230.0, 175.125)","(4.4, 230.0, 173.825)","(26.0, 230.0, 175.125)","(6.0, 230.0, 174.25)","(31.0, 230.0, 175.125)"
06-01-2023 11:07:22.356719,"(6.0, 230.0, 174.25)","(7.0, 230.0, 174.6)","(21.0, 230.0, 175.125)","(21.0, 230.0, 175.125)","(2.5, 90.0, 45.58)","(26.0, 230.0, 175.125)","(4.4, 230.0, 173.825)","(26.0, 230.0, 175.125)","(6.0, 230.0, 174.25)","(31.0, 230.0, 175.125)"
06-01-2023 11:07:23.543528,"(6.0, 230.0, 174.25)","(7.0, 230.0, 174.6)","(21.0, 230.0, 175.125)","(21.0, 230.0, 175.125)","(2.5, 90.0, 45.58)","(26.0, 230.0, 175.125)","(4.4, 230.0, 173.825)","(26.0, 230.0, 175.125)","(6.0, 230.0, 174.25)","(31.0, 230.0, 175.125)"
06-01-2023 11:07:24.753636,"(6.0, 230.0, 174.25)","(7.0, 230.0, 174.6)","(21.0, 230.0, 175.125)","(21.0, 230.0, 175.125)","(2.5, 90.0, 45.58)","(26.0, 230.0, 175.125)","(4.4, 230.0, 173.825)","(26.0, 230.0, 175.125)","(6.0, 230.0, 174.25)","(31.0, 230.0, 175.125)"
06-01-2023 11:07:25.995462,"(6.0, 230.0, 174.25)","(7.0, 230.0, 174.6)","(21.0, 230.0, 175.125)","(21.0, 230.0, 175.125)","(2.5, 90.0, 45.58)","(26.0, 230.0, 175.125)","(4.4, 230.0, 173.825)","(26.0, 230.0, 175.125)","(6.0, 230.0, 174.25)","(31.0, 230.0, 175.125)"
06-01-2023 11:07:27.201546,"(6.0, 230.0, 174.25)","(7.0, 230.0, 174.6)","(21.0, 230.0, 175.125)","(21.0, 230.0, 175.125)","(2.5, 90.0, 45.58)","(26.0, 230.0, 175.125)","(4.4, 230.0, 173.825)","(26.0, 230.0, 175.125)","(6.0, 230.0, 174.25)","(31.0, 230.0, 175.125)"
06-01-2023 11:07:28.473023,"(6.0, 230.0, 174.25)","(7.0, 230.0, 174.6)","(21.0, 230.0, 175.125)","(21.0, 230.0, 175.125)","(2.5, 90.0, 45.58)","(26.0, 230.0, 175.125)","(4.4, 230.0, 173.825)","(26.0, 230.0, 175.125)","(6.0, 230.0, 174.25)","(31.0, 230.0, 175.125)"
06-01-2023 11:07:29.725404,"(6.0, 230.0, 174.25)","(7.0, 230.0, 174.6)","(21.0, 230.0, 175.125)","(21.0, 230.0, 175.125)","(2.5, 90.0, 45.58)","(26.0, 230.0, 175.125)","(4.4, 230.0, 173.825)","(26.0, 230.0, 175.125)","(6.0, 230.0, 174.25)","(31.0, 230.0, 175.125)"
06-01-2023 11:07:30.983588,"(6.0, 230.0, 174.25)","(7.0, 230.0, 174.6)","(21.0, 230.0, 175.125)","(21.0, 230.0, 175.125)","(2.5, 90.0, 45.58)","(26.0, 230.0, 175.125)","(4.4, 230.0, 173.825)","(26.0, 230.0, 175.125)","(6.0, 230.0, 174.25)","(31.0, 230.0, 175.125)"
06-01-2023 11:07:32.319280,"(6.0, 230.0, 174.25)","(7.0, 230.0, 174.6)","(21.0, 230.0, 175.125)","(21.0, 230.0, 175.125)","(2.5, 90.0, 45.58)","(26.0, 230.0, 175.125)","(4.4, 230.0, 173.825)","(26.0, 230.0, 175.125)","(6.0, 230.0, 174.25)","(31.0, 230.0, 175.125)"
