,Brave But Crackers,Listen To Maurice,Lord Of Penno,Statesmanship,Swiss Time,Devgru,Gift Of Oratory,Matildasvain,Rio De Sombras,Mrs Bull,Vino Corona
06-01-2023 13:05:46.455838,"(7.0, 9.8, 9.200000000000001)","(3.7, 4.3, 4.0)","(18.0, 36.0, 27.333333333333332)","(31.0, 100.0, 43.333333333333336)","(101.0, 610.0, 323.33333333333337)","(6.0, 8.0, 7.8936170212765955)","(5.0, 6.0, 5.603999999999999)","(51.0, 190.0, 120.0)","(101.0, 230.0, 227.85714285714286)","(5.0, 7.0, 6.709090909090909)","(5.0, 6.6, 5.88)"
06-01-2023 13:05:47.861355,"(7.0, 9.8, 9.200000000000001)","(3.7, 4.3, 4.0)","(18.0, 36.0, 27.333333333333332)","(31.0, 100.0, 43.333333333333336)","(101.0, 610.0, 323.33333333333337)","(6.0, 8.0, 7.8936170212765955)","(5.0, 6.0, 5.603999999999999)","(51.0, 190.0, 120.0)","(101.0, 230.0, 227.85714285714286)","(5.0, 7.0, 6.709090909090909)","(5.0, 6.6, 5.88)"
06-01-2023 13:05:49.366291,"(7.0, 9.8, 9.200000000000001)","(3.7, 4.3, 4.0)","(18.0, 36.0, 27.333333333333332)","(31.0, 100.0, 43.333333333333336)","(101.0, 610.0, 323.33333333333337)","(6.0, 8.0, 7.8936170212765955)","(5.0, 6.0, 5.603999999999999)","(51.0, 190.0, 120.0)","(101.0, 230.0, 227.85714285714286)","(5.0, 7.0, 6.709090909090909)","(5.0, 6.6, 5.88)"
06-01-2023 13:05:50.734278,"(7.0, 9.8, 9.200000000000001)","(3.7, 4.3, 4.0)","(18.0, 36.0, 27.333333333333332)","(31.0, 100.0, 43.333333333333336)","(101.0, 610.0, 323.33333333333337)","(6.0, 8.0, 7.8936170212765955)","(5.0, 6.0, 5.603999999999999)","(51.0, 190.0, 120.0)","(101.0, 230.0, 227.85714285714286)","(5.0, 7.0, 6.709090909090909)","(5.0, 6.6, 5.88)"
06-01-2023 13:05:52.044334,"(7.0, 9.8, 9.200000000000001)","(3.7, 4.3, 4.0)","(18.0, 36.0, 27.333333333333332)","(31.0, 100.0, 43.333333333333336)","(101.0, 610.0, 323.33333333333337)","(6.0, 8.0, 7.8936170212765955)","(5.0, 6.0, 5.603999999999999)","(51.0, 190.0, 120.0)","(101.0, 230.0, 227.85714285714286)","(5.0, 7.0, 6.709090909090909)","(5.0, 6.6, 5.88)"
06-01-2023 13:05:53.321430,"(7.0, 9.8, 9.200000000000001)","(3.7, 4.3, 4.0)","(18.0, 36.0, 27.333333333333332)","(31.0, 100.0, 43.333333333333336)","(101.0, 610.0, 323.33333333333337)","(6.0, 8.0, 7.8936170212765955)","(5.0, 6.0, 5.603999999999999)","(51.0, 190.0, 120.0)","(101.0, 230.0, 227.85714285714286)","(5.0, 7.0, 6.709090909090909)","(5.0, 6.6, 5.88)"
06-01-2023 13:05:54.743437,"(7.0, 9.8, 9.200000000000001)","(3.7, 4.3, 4.0)","(18.0, 36.0, 27.333333333333332)","(31.0, 100.0, 43.333333333333336)","(101.0, 610.0, 323.33333333333337)","(6.0, 8.0, 7.8936170212765955)","(5.0, 6.0, 5.603999999999999)","(51.0, 190.0, 120.0)","(101.0, 230.0, 227.85714285714286)","(5.0, 7.0, 6.709090909090909)","(5.0, 6.6, 5.88)"
06-01-2023 13:05:56.124588,"(7.0, 9.8, 9.200000000000001)","(3.7, 4.2, 4.0)","(18.0, 36.0, 27.333333333333332)","(31.0, 100.0, 43.333333333333336)","(101.0, 610.0, 323.33333333333337)","(6.0, 8.0, 7.8936170212765955)","(5.0, 6.0, 5.603999999999999)","(51.0, 190.0, 120.0)","(101.0, 230.0, 227.85714285714286)","(5.0, 7.0, 6.709090909090909)","(5.0, 6.6, 5.88)"
06-01-2023 13:05:57.415797,"(7.0, 9.8, 9.200000000000001)","(3.7, 4.2, 4.0)","(18.0, 36.0, 27.333333333333332)","(31.0, 100.0, 43.333333333333336)","(101.0, 610.0, 323.33333333333337)","(6.0, 8.0, 7.8936170212765955)","(5.0, 6.0, 5.603999999999999)","(51.0, 190.0, 120.0)","(101.0, 230.0, 227.85714285714286)","(5.0, 7.0, 6.709090909090909)","(5.0, 6.6, 5.88)"
06-01-2023 13:05:58.730525,"(7.0, 9.8, 9.200000000000001)","(3.7, 4.2, 4.0)","(18.0, 36.0, 27.333333333333332)","(31.0, 100.0, 43.333333333333336)","(101.0, 610.0, 323.33333333333337)","(6.0, 8.0, 7.8936170212765955)","(5.0, 6.0, 5.603999999999999)","(51.0, 190.0, 120.0)","(101.0, 230.0, 227.85714285714286)","(5.0, 7.0, 6.709090909090909)","(5.0, 6.6, 5.88)"
06-01-2023 13:06:00.008098,"(7.0, 9.8, 9.200000000000001)","(3.7, 4.2, 3.9857142857142858)","(18.0, 36.0, 27.333333333333332)","(31.0, 100.0, 43.333333333333336)","(101.0, 610.0, 323.33333333333337)","(6.0, 8.0, 7.8936170212765955)","(5.0, 6.0, 5.603999999999999)","(51.0, 190.0, 120.0)","(101.0, 230.0, 227.85714285714286)","(5.0, 7.0, 6.709090909090909)","(5.0, 6.6, 5.88)"
06-01-2023 13:06:01.278158,"(7.0, 9.8, 9.200000000000001)","(3.7, 4.2, 3.9857142857142858)","(18.0, 36.0, 27.333333333333332)","(31.0, 100.0, 43.333333333333336)","(101.0, 610.0, 323.33333333333337)","(6.0, 8.0, 7.8936170212765955)","(5.0, 6.0, 5.603999999999999)","(51.0, 190.0, 120.0)","(101.0, 230.0, 227.85714285714286)","(5.0, 7.0, 6.709090909090909)","(5.0, 6.6, 5.88)"
06-01-2023 13:06:02.689353,"(7.0, 9.8, 9.200000000000001)","(3.7, 4.2, 3.9857142857142858)","(18.0, 36.0, 27.333333333333332)","(31.0, 100.0, 43.333333333333336)","(101.0, 610.0, 323.33333333333337)","(6.0, 8.0, 7.8936170212765955)","(5.0, 6.0, 5.603999999999999)","(51.0, 190.0, 120.0)","(101.0, 230.0, 227.85714285714286)","(5.0, 7.0, 6.709090909090909)","(5.0, 6.6, 5.88)"
06-01-2023 13:06:04.131636,"(7.0, 9.8, 9.200000000000001)","(3.7, 4.2, 3.9857142857142858)","(18.0, 36.0, 27.333333333333332)","(31.0, 100.0, 43.333333333333336)","(101.0, 610.0, 323.33333333333337)","(6.0, 8.0, 7.8936170212765955)","(5.0, 6.0, 5.603999999999999)","(51.0, 190.0, 120.0)","(101.0, 230.0, 227.85714285714286)","(5.0, 7.0, 6.709090909090909)","(5.0, 6.6, 5.88)"
06-01-2023 13:06:05.529387,"(7.0, 9.8, 9.200000000000001)","(3.7, 4.2, 3.9857142857142858)","(18.0, 36.0, 27.333333333333332)","(31.0, 100.0, 43.333333333333336)","(101.0, 610.0, 323.33333333333337)","(6.0, 8.0, 7.8936170212765955)","(5.0, 6.0, 5.603999999999999)","(51.0, 190.0, 120.0)","(101.0, 230.0, 227.85714285714286)","(5.0, 7.0, 6.709090909090909)","(5.0, 6.6, 5.88)"
06-01-2023 13:06:06.851586,"(7.0, 9.8, 9.200000000000001)","(3.7, 4.2, 3.9857142857142858)","(18.0, 36.0, 27.333333333333332)","(31.0, 100.0, 39.25)","(101.0, 610.0, 323.33333333333337)","(6.0, 8.0, 7.8936170212765955)","(5.0, 6.0, 5.603999999999999)","(51.0, 190.0, 120.0)","(101.0, 230.0, 227.85714285714286)","(5.0, 7.0, 6.709090909090909)","(5.0, 6.6, 6.2)"
06-01-2023 13:06:08.205216,"(7.0, 9.8, 9.200000000000001)","(3.7, 4.2, 3.9857142857142858)","(18.0, 36.0, 27.333333333333332)","(31.0, 90.0, 39.25)","(101.0, 610.0, 323.33333333333337)","(6.0, 8.0, 7.8936170212765955)","(5.0, 6.0, 5.603999999999999)","(51.0, 190.0, 120.0)","(101.0, 230.0, 227.85714285714286)","(5.0, 7.0, 6.709090909090909)","(5.0, 6.6, 6.2)"
06-01-2023 13:06:09.652733,"(7.0, 9.8, 9.200000000000001)","(3.7, 4.2, 3.9857142857142858)","(18.0, 36.0, 27.333333333333332)","(31.0, 90.0, 39.25)","(101.0, 610.0, 323.33333333333337)","(6.0, 8.0, 7.8936170212765955)","(5.0, 6.0, 5.603999999999999)","(51.0, 190.0, 120.0)","(101.0, 230.0, 227.85714285714286)","(5.0, 7.0, 6.709090909090909)","(5.0, 6.6, 6.2)"
06-01-2023 13:06:11.088245,"(7.0, 9.8, 9.200000000000001)","(3.7, 4.2, 3.9857142857142858)","(18.0, 36.0, 27.333333333333332)","(31.0, 90.0, 39.25)","(101.0, 610.0, 323.33333333333337)","(6.0, 8.0, 7.8936170212765955)","(5.0, 6.0, 5.478947368421053)","(51.0, 190.0, 120.0)","(101.0, 230.0, 227.85714285714286)","(5.0, 7.0, 6.709090909090909)","(5.0, 6.6, 6.2)"
06-01-2023 13:06:12.482557,"(7.0, 9.8, 9.200000000000001)","(3.7, 4.2, 3.9857142857142858)","(18.0, 36.0, 27.333333333333332)","(31.0, 90.0, 39.25)","(101.0, 610.0, 323.33333333333337)","(6.0, 8.0, 7.8936170212765955)","(5.0, 6.0, 5.478947368421053)","(51.0, 190.0, 120.0)","(101.0, 230.0, 227.85714285714286)","(5.0, 7.0, 6.709090909090909)","(5.0, 6.6, 6.2)"
06-01-2023 13:06:13.916409,"(7.0, 9.8, 9.200000000000001)","(3.7, 4.2, 3.9857142857142858)","(18.0, 36.0, 27.333333333333332)","(31.0, 90.0, 39.25)","(101.0, 610.0, 323.33333333333337)","(6.0, 8.0, 7.8936170212765955)","(5.0, 6.0, 5.478947368421053)","(51.0, 190.0, 120.0)","(101.0, 230.0, 227.85714285714286)","(5.0, 7.0, 6.709090909090909)","(5.0, 6.6, 6.2444444444444445)"
06-01-2023 13:06:15.351372,"(7.0, 9.8, 9.200000000000001)","(3.7, 4.2, 3.9857142857142858)","(18.0, 36.0, 27.333333333333332)","(31.0, 90.0, 39.25)","(101.0, 610.0, 323.33333333333337)","(6.0, 8.0, 7.8936170212765955)","(5.0, 6.0, 5.478947368421053)","(51.0, 190.0, 120.0)","(101.0, 230.0, 227.85714285714286)","(5.0, 7.0, 6.709090909090909)","(5.0, 6.6, 6.2444444444444445)"
06-01-2023 13:06:16.738919,"(7.0, 9.8, 9.200000000000001)","(3.7, 4.2, 3.9857142857142858)","(18.0, 36.0, 27.333333333333332)","(31.0, 90.0, 39.25)","(101.0, 610.0, 323.33333333333337)","(6.0, 8.0, 7.8936170212765955)","(5.0, 6.0, 5.478947368421053)","(51.0, 190.0, 120.0)","(101.0, 230.0, 227.85714285714286)","(5.0, 7.0, 6.709090909090909)","(5.0, 6.6, 6.2444444444444445)"
