,Glass Warrior,So Astounding,Travelling Gigolo,Super Swoop,Bell Ringer Boy,King Island,Steel Skies,Always A Winner,Not A Brass Razoo,The Executive,Sunset Gun,The Decider
06-01-2023 16:42:21.368324,"(11.0, 16.0, 14.666666666666666)","(7.5, 11.5, 10.15)","(2.7, 3.25, 3.2125)","(19.0, 22.0, 21.2)","(7.5, 9.4, 8.642105263157895)","(15.0, 32.0, 21.5)","(13.0, 19.5, 17.75)","(21.0, 32.0, 28.0)","(7.0, 11.0, 9.879999999999999)","(7.5, 9.8, 8.7)","(61.0, 180.0, 110.0)","(26.0, 48.0, 35.5)"
06-01-2023 16:42:22.827583,"(11.0, 16.0, 14.666666666666666)","(7.5, 11.5, 10.15)","(2.7, 3.25, 3.2125)","(19.0, 22.0, 21.2)","(7.5, 9.4, 8.642105263157895)","(15.0, 32.0, 21.5)","(13.0, 19.5, 17.75)","(21.0, 32.0, 28.0)","(7.0, 11.0, 9.879999999999999)","(7.5, 9.8, 8.7)","(61.0, 180.0, 110.0)","(26.0, 48.0, 35.5)"
06-01-2023 16:42:24.267195,"(11.0, 16.0, 14.666666666666666)","(7.5, 11.5, 10.15)","(2.7, 3.25, 3.2125)","(19.0, 22.0, 21.2)","(7.5, 9.4, 8.642105263157895)","(15.0, 32.0, 21.5)","(13.0, 19.5, 17.75)","(21.0, 32.0, 28.0)","(7.0, 11.0, 9.879999999999999)","(7.5, 9.8, 8.7)","(61.0, 180.0, 110.0)","(26.0, 48.0, 35.5)"
06-01-2023 16:42:25.712709,"(11.0, 16.0, 14.666666666666666)","(7.5, 11.5, 10.15)","(2.7, 3.25, 3.2125)","(19.0, 22.0, 21.2)","(7.5, 9.4, 8.642105263157895)","(15.0, 32.0, 21.5)","(13.0, 19.5, 17.75)","(21.0, 32.0, 28.0)","(7.0, 11.0, 9.879999999999999)","(7.5, 9.8, 8.7)","(61.0, 180.0, 110.0)","(26.0, 48.0, 35.5)"
06-01-2023 16:42:27.071933,"(11.0, 16.0, 14.666666666666666)","(7.5, 11.5, 10.15)","(2.7, 3.25, 3.2125)","(19.0, 22.0, 21.2)","(7.5, 9.4, 8.642105263157895)","(15.0, 32.0, 21.5)","(13.0, 19.5, 17.75)","(21.0, 32.0, 28.0)","(7.0, 11.0, 9.879999999999999)","(7.5, 9.8, 8.7)","(61.0, 180.0, 110.0)","(26.0, 48.0, 35.5)"
06-01-2023 16:42:28.482935,"(11.0, 16.0, 14.666666666666666)","(7.5, 11.5, 10.15)","(2.7, 3.25, 3.2125)","(19.0, 22.0, 21.2)","(7.5, 9.4, 8.642105263157895)","(15.0, 32.0, 21.5)","(13.0, 19.5, 17.75)","(21.0, 32.0, 28.0)","(7.0, 11.0, 9.879999999999999)","(7.5, 9.8, 8.7)","(61.0, 180.0, 110.0)","(26.0, 48.0, 35.5)"
06-01-2023 16:42:29.859544,"(11.0, 16.0, 14.666666666666666)","(7.5, 11.5, 10.15)","(2.7, 3.25, 3.2125)","(19.0, 22.0, 21.2)","(7.5, 9.4, 8.642105263157895)","(15.0, 32.0, 21.5)","(13.0, 19.5, 17.75)","(21.0, 32.0, 28.0)","(7.0, 11.0, 9.879999999999999)","(7.5, 9.8, 8.7)","(61.0, 180.0, 110.0)","(26.0, 48.0, 35.5)"
06-01-2023 16:42:31.201466,"(11.0, 16.0, 14.666666666666666)","(7.5, 11.5, 10.15)","(2.7, 3.25, 3.2125)","(19.0, 22.0, 21.2)","(7.5, 9.4, 8.642105263157895)","(15.0, 32.0, 21.5)","(13.0, 19.5, 17.75)","(21.0, 32.0, 28.0)","(7.0, 11.0, 9.879999999999999)","(7.5, 9.8, 8.7)","(61.0, 180.0, 110.0)","(26.0, 48.0, 35.5)"
06-01-2023 16:42:32.523622,"(11.0, 16.0, 14.666666666666666)","(7.5, 11.5, 10.15)","(2.7, 3.25, 3.2125)","(19.0, 22.0, 21.2)","(7.5, 9.4, 8.642105263157895)","(15.0, 32.0, 21.5)","(13.0, 19.5, 17.75)","(21.0, 32.0, 28.0)","(7.0, 11.0, 9.879999999999999)","(7.5, 9.8, 8.7)","(61.0, 180.0, 110.0)","(26.0, 48.0, 35.5)"
06-01-2023 16:42:33.912657,"(11.0, 16.0, 14.666666666666666)","(7.5, 11.5, 10.15)","(2.7, 3.25, 3.2125)","(19.0, 22.0, 21.2)","(7.5, 9.4, 8.642105263157895)","(15.0, 32.0, 21.5)","(13.0, 19.5, 17.75)","(21.0, 32.0, 28.0)","(7.0, 11.0, 9.879999999999999)","(7.5, 9.8, 8.7)","(61.0, 180.0, 110.0)","(26.0, 48.0, 35.5)"
