,Tiggerlong Lass,Hermine Bale,Aston Macallan,Slick Attitude,Taylen Bale,Chasin Freddy
06-01-2023 17:17:08.978859,"(16.0, 60.0, 42.291666666666664)","(5.0, 7.8, 7.32)","(3.2, 6.0, 4.221052631578948)","(4.2, 6.6, 4.9365853658536585)","(3.4, 5.0, 4.571428571428571)","(5.5, 9.6, 9.114285714285714)"
06-01-2023 17:17:09.982987,"(16.0, 60.0, 42.291666666666664)","(5.0, 7.8, 7.32)","(3.2, 6.0, 4.221052631578948)","(4.2, 6.6, 4.9365853658536585)","(3.4, 5.0, 4.571428571428571)","(5.5, 9.6, 9.114285714285714)"
06-01-2023 17:17:11.040948,"(16.0, 60.0, 42.291666666666664)","(5.0, 7.8, 7.32)","(3.2, 6.0, 4.221052631578948)","(4.2, 6.6, 4.9365853658536585)","(3.4, 5.0, 4.571428571428571)","(5.5, 9.6, 9.114285714285714)"
06-01-2023 17:17:12.114744,"(16.0, 60.0, 42.291666666666664)","(5.0, 7.8, 7.32)","(3.2, 6.0, 4.221052631578948)","(4.2, 6.6, 4.9365853658536585)","(3.4, 5.0, 4.571428571428571)","(5.5, 9.6, 9.114285714285714)"
06-01-2023 17:17:13.065525,"(16.0, 60.0, 42.291666666666664)","(5.0, 7.8, 7.32)","(3.2, 6.0, 4.221052631578948)","(4.2, 6.6, 4.9365853658536585)","(3.4, 5.0, 4.571428571428571)","(5.5, 9.6, 9.114285714285714)"
06-01-2023 17:17:14.083249,"(16.0, 60.0, 42.291666666666664)","(5.0, 7.8, 7.32)","(3.2, 6.0, 4.221052631578948)","(4.2, 6.6, 4.9365853658536585)","(3.4, 5.0, 4.571428571428571)","(5.5, 9.6, 9.114285714285714)"
06-01-2023 17:17:15.192827,"(16.0, 60.0, 42.291666666666664)","(5.0, 7.8, 7.32)","(3.2, 6.0, 4.221052631578948)","(4.2, 6.6, 4.9365853658536585)","(3.4, 5.0, 4.571428571428571)","(5.5, 9.6, 9.114285714285714)"
06-01-2023 17:17:16.215795,"(16.0, 60.0, 42.291666666666664)","(5.0, 7.8, 7.32)","(3.2, 6.0, 4.221052631578948)","(4.2, 6.6, 4.9365853658536585)","(3.4, 5.0, 4.571428571428571)","(5.5, 9.6, 9.114285714285714)"
06-01-2023 17:17:17.188160,"(16.0, 60.0, 42.291666666666664)","(5.0, 7.8, 7.32)","(3.2, 6.0, 4.221052631578948)","(4.2, 6.6, 4.9365853658536585)","(3.4, 5.0, 4.571428571428571)","(5.5, 9.6, 9.114285714285714)"
06-01-2023 17:17:18.272061,"(16.0, 60.0, 42.291666666666664)","(5.0, 7.8, 7.32)","(3.2, 6.0, 4.221052631578948)","(4.2, 6.6, 4.9365853658536585)","(3.4, 5.0, 4.571428571428571)","(5.5, 9.6, 9.114285714285714)"
06-01-2023 17:17:19.353331,"(16.0, 60.0, 42.291666666666664)","(5.0, 7.8, 7.32)","(3.2, 6.0, 4.221052631578948)","(4.2, 6.6, 4.9365853658536585)","(3.4, 5.0, 4.571428571428571)","(5.5, 9.6, 9.114285714285714)"
06-01-2023 17:17:20.440197,"(16.0, 60.0, 42.291666666666664)","(5.0, 7.8, 7.32)","(3.2, 6.0, 4.221052631578948)","(4.2, 6.6, 4.9365853658536585)","(3.4, 5.0, 4.571428571428571)","(5.5, 9.6, 9.114285714285714)"
06-01-2023 17:17:21.384796,"(16.0, 60.0, 42.291666666666664)","(5.0, 7.8, 7.32)","(3.2, 6.0, 4.221052631578948)","(4.2, 6.6, 4.9365853658536585)","(3.4, 5.0, 4.571428571428571)","(5.5, 9.6, 9.114285714285714)"
06-01-2023 17:17:22.349953,"(16.0, 60.0, 42.291666666666664)","(5.0, 7.8, 7.32)","(3.2, 6.0, 4.221052631578948)","(4.2, 6.6, 4.9365853658536585)","(3.4, 5.0, 4.571428571428571)","(5.5, 9.6, 9.114285714285714)"
06-01-2023 17:17:23.439570,"(16.0, 60.0, 42.291666666666664)","(5.0, 7.8, 7.32)","(3.2, 6.0, 4.221052631578948)","(4.2, 6.6, 4.9365853658536585)","(3.4, 5.0, 4.571428571428571)","(5.5, 9.6, 9.114285714285714)"
06-01-2023 17:17:24.568885,"(16.0, 60.0, 42.291666666666664)","(5.0, 7.8, 7.32)","(3.2, 6.0, 4.221052631578948)","(4.2, 6.6, 4.9365853658536585)","(3.4, 5.0, 4.571428571428571)","(5.5, 9.6, 9.114285714285714)"
06-01-2023 17:17:25.536702,"(16.0, 60.0, 42.291666666666664)","(5.0, 7.8, 7.32)","(3.2, 6.0, 4.221052631578948)","(4.2, 6.6, 4.9365853658536585)","(3.4, 5.0, 4.571428571428571)","(5.5, 9.6, 9.114285714285714)"
06-01-2023 17:17:26.549132,"(16.0, 60.0, 42.291666666666664)","(5.0, 7.8, 7.32)","(3.2, 6.0, 4.221052631578948)","(4.2, 6.6, 4.9365853658536585)","(3.4, 5.0, 4.571428571428571)","(5.5, 9.6, 9.114285714285714)"
06-01-2023 17:17:27.661325,"(16.0, 60.0, 42.291666666666664)","(5.0, 7.8, 7.32)","(3.2, 6.0, 4.221052631578948)","(4.2, 6.6, 4.9365853658536585)","(3.4, 5.0, 4.571428571428571)","(5.5, 9.6, 9.114285714285714)"
06-01-2023 17:17:28.618106,"(16.0, 60.0, 42.291666666666664)","(5.0, 7.8, 7.32)","(3.2, 6.0, 4.221052631578948)","(4.2, 6.6, 4.9365853658536585)","(3.4, 5.0, 4.571428571428571)","(5.5, 9.6, 9.114285714285714)"
06-01-2023 17:17:29.678222,"(16.0, 60.0, 42.291666666666664)","(5.0, 7.8, 7.32)","(3.2, 6.0, 4.221052631578948)","(4.2, 6.6, 4.9365853658536585)","(3.4, 5.0, 4.571428571428571)","(5.5, 9.6, 9.114285714285714)"
