,Way Too Soft,Frankys Dream,Mississippi Blue,Terrific Molly,Diplomatic Man,Influencer,Agent Eleven,Irene
06-01-2023 12:24:29.902924,"(7.0, 12.5, 10.2875)","(10.0, 19.0, 17.16)","(31.0, 230.0, 146.25)","(7.5, 16.5, 13.466666666666667)","(9.0, 24.0, 15.666666666666668)","(4.2, 6.6, 4.725)","(5.0, 7.6, 5.3500000000000005)","(2.6, 4.3, 2.6875)"
06-01-2023 12:24:31.093074,"(7.0, 12.5, 10.2875)","(10.0, 19.0, 17.16)","(31.0, 230.0, 146.25)","(7.5, 16.5, 13.466666666666667)","(9.0, 24.0, 15.666666666666668)","(4.2, 6.6, 4.725)","(5.0, 7.6, 5.3500000000000005)","(2.6, 4.3, 2.6875)"
06-01-2023 12:24:32.304119,"(7.0, 12.5, 10.2875)","(10.0, 19.0, 17.16)","(31.0, 230.0, 116.9375)","(7.5, 16.5, 13.466666666666667)","(9.0, 24.0, 15.666666666666668)","(4.2, 6.6, 4.725)","(5.0, 7.6, 5.3500000000000005)","(2.6, 4.3, 2.6875)"
06-01-2023 12:24:33.551015,"(7.0, 12.5, 10.2875)","(10.0, 19.0, 17.16)","(31.0, 230.0, 101.42857142857143)","(7.5, 16.5, 13.466666666666667)","(9.0, 24.0, 15.666666666666668)","(4.2, 6.6, 4.725)","(5.0, 7.6, 5.3500000000000005)","(2.6, 4.3, 2.6875)"
06-01-2023 12:24:34.686783,"(7.0, 12.5, 10.2875)","(10.0, 19.0, 17.16)","(31.0, 230.0, 101.42857142857143)","(7.5, 16.5, 13.466666666666667)","(9.0, 24.0, 15.666666666666668)","(4.2, 6.6, 4.725)","(5.0, 7.6, 5.3500000000000005)","(2.6, 4.3, 2.6875)"
06-01-2023 12:24:35.765219,"(7.0, 12.5, 10.2875)","(10.0, 19.0, 17.16)","(31.0, 230.0, 101.42857142857143)","(7.5, 16.5, 13.466666666666667)","(9.0, 24.0, 15.666666666666668)","(4.2, 6.6, 4.725)","(5.0, 7.6, 5.3500000000000005)","(2.6, 4.3, 2.6875)"
06-01-2023 12:24:36.888874,"(7.0, 12.5, 10.2875)","(10.0, 19.0, 17.16)","(31.0, 230.0, 101.42857142857143)","(7.5, 16.5, 13.466666666666667)","(9.0, 24.0, 15.666666666666668)","(4.2, 6.6, 4.725)","(5.0, 7.6, 5.3500000000000005)","(2.6, 4.3, 2.6875)"
06-01-2023 12:24:38.030486,"(7.0, 12.5, 10.2875)","(10.0, 19.0, 17.16)","(31.0, 230.0, 101.42857142857143)","(7.5, 16.5, 13.466666666666667)","(9.0, 24.0, 15.666666666666668)","(4.2, 6.6, 4.725)","(5.0, 7.6, 5.3500000000000005)","(2.6, 4.3, 2.6875)"
06-01-2023 12:24:39.200877,"(7.0, 12.5, 10.2875)","(10.0, 19.0, 17.16)","(31.0, 230.0, 101.42857142857143)","(7.5, 16.5, 13.466666666666667)","(9.0, 24.0, 15.666666666666668)","(4.2, 6.6, 4.725)","(5.0, 7.6, 5.3500000000000005)","(2.6, 4.3, 2.6875)"
06-01-2023 12:24:40.368650,"(7.0, 12.5, 10.2875)","(10.0, 19.0, 17.16)","(31.0, 230.0, 101.42857142857143)","(7.5, 16.5, 13.466666666666667)","(9.0, 24.0, 15.666666666666668)","(4.2, 6.6, 4.725)","(5.0, 7.6, 5.3500000000000005)","(2.6, 4.3, 2.6875)"
