,Whistling,Hes Got Swag,Kintsugi,Speedy Riot,Pipeline Icon,Eadie,Bok Choy,Slippery Shark
06-01-2023 14:05:38.480720,"(3.7, 5.3, 4.3)","(4.0, 6.6, 5.5127906976744185)","(6.5, 13.5, 9.676923076923078)","(4.4, 6.4, 5.14)","(5.5, 9.6, 6.5285714285714285)","(31.0, 250.0, 70.0)","(11.0, 50.0, 30.5)","(8.0, 13.5, 9.872727272727273)"
06-01-2023 14:05:40.066439,"(3.7, 5.3, 4.3)","(4.0, 6.6, 5.5127906976744185)","(6.5, 13.5, 9.676923076923078)","(4.4, 6.4, 5.14)","(5.5, 9.6, 6.5285714285714285)","(31.0, 250.0, 70.0)","(11.0, 50.0, 26.9)","(8.0, 13.5, 9.872727272727273)"
06-01-2023 14:05:41.515920,"(3.7, 5.3, 4.3)","(4.0, 6.6, 5.5127906976744185)","(6.5, 13.5, 9.676923076923078)","(4.4, 6.4, 5.14)","(5.5, 9.6, 6.5285714285714285)","(31.0, 250.0, 70.0)","(11.0, 50.0, 26.9)","(8.0, 13.5, 9.872727272727273)"
06-01-2023 14:05:42.809439,"(3.7, 5.3, 4.3)","(4.0, 6.6, 5.5127906976744185)","(6.5, 13.5, 9.676923076923078)","(4.4, 6.4, 5.14)","(5.5, 9.6, 6.5285714285714285)","(31.0, 250.0, 70.0)","(11.0, 50.0, 26.9)","(8.0, 13.5, 9.872727272727273)"
06-01-2023 14:05:44.106881,"(3.7, 5.3, 4.3)","(4.0, 6.6, 5.5127906976744185)","(6.5, 13.5, 9.676923076923078)","(4.4, 6.4, 5.14)","(5.5, 9.6, 6.5285714285714285)","(31.0, 250.0, 70.0)","(11.0, 50.0, 26.9)","(8.0, 13.5, 9.872727272727273)"
06-01-2023 14:05:45.411476,"(3.7, 5.3, 4.3)","(4.0, 6.6, 5.5127906976744185)","(6.5, 13.5, 9.676923076923078)","(4.4, 6.4, 5.14)","(5.5, 9.6, 6.5285714285714285)","(31.0, 250.0, 70.0)","(11.0, 50.0, 26.9)","(8.0, 13.5, 9.872727272727273)"
06-01-2023 14:05:46.681634,"(3.7, 5.3, 4.3)","(4.0, 6.6, 5.5127906976744185)","(6.5, 13.5, 9.676923076923078)","(4.4, 6.4, 5.14)","(5.5, 9.6, 6.5285714285714285)","(31.0, 250.0, 70.0)","(11.0, 50.0, 26.9)","(8.0, 13.5, 9.872727272727273)"
06-01-2023 14:05:47.923510,"(3.7, 5.3, 4.3)","(4.0, 6.6, 5.5127906976744185)","(6.5, 13.5, 9.676923076923078)","(4.4, 6.4, 5.14)","(5.5, 9.6, 6.5285714285714285)","(31.0, 250.0, 70.0)","(11.0, 50.0, 26.9)","(8.0, 13.5, 9.872727272727273)"
06-01-2023 14:05:49.194352,"(3.7, 5.3, 4.3)","(4.0, 6.6, 5.5127906976744185)","(6.5, 13.5, 9.676923076923078)","(4.4, 6.4, 5.14)","(5.5, 9.6, 6.5285714285714285)","(31.0, 250.0, 70.0)","(11.0, 50.0, 26.9)","(8.0, 13.5, 9.872727272727273)"
06-01-2023 14:05:50.421156,"(3.7, 5.3, 4.3)","(4.0, 6.6, 5.5127906976744185)","(6.5, 13.5, 9.676923076923078)","(4.4, 6.4, 5.14)","(5.5, 9.6, 6.5285714285714285)","(31.0, 250.0, 70.0)","(11.0, 50.0, 26.9)","(8.0, 13.5, 9.872727272727273)"
06-01-2023 14:05:51.658146,"(3.7, 5.3, 4.3)","(4.0, 6.6, 5.5127906976744185)","(6.5, 13.5, 9.676923076923078)","(4.4, 6.4, 5.14)","(5.5, 9.6, 6.5285714285714285)","(31.0, 250.0, 70.0)","(11.0, 50.0, 26.9)","(8.0, 13.5, 9.872727272727273)"
06-01-2023 14:05:52.824573,"(3.7, 5.3, 4.3)","(4.0, 6.6, 5.5127906976744185)","(6.5, 13.5, 9.676923076923078)","(4.4, 6.4, 5.14)","(5.5, 9.6, 6.5285714285714285)","(31.0, 250.0, 70.0)","(11.0, 50.0, 26.9)","(8.0, 13.5, 9.872727272727273)"
06-01-2023 14:05:54.109555,"(3.7, 5.3, 4.3)","(4.0, 6.6, 5.5127906976744185)","(6.5, 13.5, 9.676923076923078)","(4.4, 6.4, 5.14)","(5.5, 9.6, 6.5285714285714285)","(31.0, 250.0, 70.0)","(11.0, 50.0, 26.9)","(8.0, 13.5, 9.872727272727273)"
06-01-2023 14:05:55.352985,"(3.7, 5.3, 4.3)","(4.0, 6.6, 5.5127906976744185)","(6.5, 13.5, 9.676923076923078)","(4.4, 6.4, 5.14)","(5.5, 9.6, 6.5285714285714285)","(31.0, 250.0, 70.0)","(11.0, 50.0, 26.9)","(8.0, 13.5, 9.872727272727273)"
