,Wishing Well,Indy Korie,Chinchilla Mist,Blackpool Dill,Edi Bale,Responder,Kyanna,Whiskey Diva
06-01-2023 14:43:52.000909,"(5.0, 8.6, 7.327272727272726)","(31.0, 160.0, 66.42857142857143)","(5.5, 12.5, 6.576923076923077)","(6.5, 9.8, 9.610000000000001)","(19.0, 75.0, 44.44444444444444)","(3.9, 7.0, 6.483333333333333)","(3.2, 5.6, 5.3)","(6.0, 8.6, 7.9399999999999995)"
06-01-2023 14:43:53.109894,"(5.0, 8.6, 7.327272727272726)","(31.0, 160.0, 66.42857142857143)","(5.5, 12.5, 6.576923076923077)","(6.5, 9.8, 9.610000000000001)","(19.0, 75.0, 44.44444444444444)","(3.9, 7.0, 6.483333333333333)","(3.2, 5.6, 5.3)","(6.0, 8.6, 7.9399999999999995)"
06-01-2023 14:43:54.243451,"(5.0, 8.6, 7.327272727272726)","(31.0, 160.0, 66.42857142857143)","(5.5, 12.5, 6.576923076923077)","(6.5, 9.8, 9.610000000000001)","(19.0, 75.0, 44.44444444444444)","(3.9, 7.0, 6.483333333333333)","(3.2, 5.6, 5.3)","(6.0, 8.6, 7.9399999999999995)"
06-01-2023 14:43:55.368776,"(5.0, 8.6, 7.327272727272726)","(31.0, 160.0, 66.42857142857143)","(5.5, 13.0, 10.5)","(6.5, 9.8, 9.610000000000001)","(19.0, 75.0, 44.44444444444444)","(3.9, 7.0, 6.483333333333333)","(3.2, 5.6, 5.3)","(6.0, 8.6, 7.9399999999999995)"
06-01-2023 14:43:56.549362,"(5.0, 8.6, 7.327272727272726)","(31.0, 160.0, 66.42857142857143)","(5.5, 13.0, 10.5)","(6.5, 9.8, 9.610000000000001)","(19.0, 75.0, 44.44444444444444)","(3.9, 7.0, 6.483333333333333)","(3.2, 5.6, 5.3)","(6.0, 8.6, 7.9399999999999995)"
06-01-2023 14:43:57.700948,"(5.0, 8.6, 7.327272727272726)","(31.0, 160.0, 66.42857142857143)","(5.5, 13.0, 10.5)","(6.5, 9.8, 9.325000000000001)","(19.0, 75.0, 44.44444444444444)","(3.9, 7.0, 6.483333333333333)","(3.2, 5.6, 5.3)","(6.0, 8.6, 7.9399999999999995)"
06-01-2023 14:43:58.784574,"(5.0, 8.6, 7.327272727272726)","(31.0, 160.0, 66.42857142857143)","(5.5, 13.0, 10.5)","(6.5, 9.8, 9.325000000000001)","(19.0, 75.0, 44.44444444444444)","(3.9, 7.0, 6.483333333333333)","(3.2, 5.6, 5.3)","(6.0, 8.6, 7.9399999999999995)"
06-01-2023 14:43:59.894674,"(5.0, 8.6, 7.327272727272726)","(31.0, 160.0, 66.42857142857143)","(5.5, 13.0, 10.5)","(6.5, 9.8, 9.325000000000001)","(19.0, 75.0, 44.44444444444444)","(3.9, 7.0, 6.483333333333333)","(3.2, 5.6, 5.3)","(6.0, 8.6, 7.9399999999999995)"
06-01-2023 14:44:01.039539,"(5.0, 8.6, 7.327272727272726)","(31.0, 160.0, 66.42857142857143)","(5.5, 13.0, 10.5)","(6.5, 9.8, 9.325000000000001)","(19.0, 75.0, 44.44444444444444)","(3.9, 7.0, 6.483333333333333)","(3.2, 5.6, 5.3)","(6.0, 8.6, 7.9399999999999995)"
06-01-2023 14:44:02.283426,"(5.0, 8.6, 7.327272727272726)","(31.0, 160.0, 66.42857142857143)","(5.5, 13.0, 10.5)","(6.5, 10.0, 9.5)","(19.0, 75.0, 44.44444444444444)","(3.9, 7.0, 6.483333333333333)","(3.2, 5.6, 5.3)","(6.0, 8.6, 7.9399999999999995)"
06-01-2023 14:44:03.413008,"(5.0, 8.6, 7.327272727272726)","(31.0, 160.0, 66.42857142857143)","(5.5, 13.0, 10.5)","(6.5, 10.0, 9.5)","(19.0, 75.0, 44.44444444444444)","(3.9, 7.0, 6.483333333333333)","(3.2, 5.6, 5.3)","(6.0, 8.6, 7.9399999999999995)"
06-01-2023 14:44:04.547801,"(5.0, 8.6, 7.327272727272726)","(31.0, 160.0, 66.42857142857143)","(5.5, 13.0, 10.5)","(6.5, 10.0, 9.5)","(19.0, 75.0, 44.44444444444444)","(3.9, 7.0, 6.483333333333333)","(3.2, 5.6, 5.3)","(6.0, 8.6, 7.9399999999999995)"
06-01-2023 14:44:05.722751,"(5.0, 8.6, 7.327272727272726)","(31.0, 160.0, 66.42857142857143)","(5.5, 13.0, 10.5)","(7.0, 10.0, 9.5)","(19.0, 75.0, 44.44444444444444)","(3.9, 7.0, 6.483333333333333)","(3.2, 5.6, 5.3)","(6.0, 8.6, 7.9399999999999995)"
06-01-2023 14:44:06.863745,"(5.0, 8.6, 7.327272727272726)","(31.0, 160.0, 66.42857142857143)","(5.5, 13.0, 10.5)","(7.0, 10.0, 9.5)","(19.0, 75.0, 44.44444444444444)","(3.9, 7.0, 6.483333333333333)","(3.2, 5.6, 4.358823529411764)","(6.0, 8.6, 7.9399999999999995)"
06-01-2023 14:44:07.886111,"(5.0, 8.6, 7.327272727272726)","(31.0, 160.0, 66.42857142857143)","(5.5, 13.0, 10.5)","(7.0, 10.0, 9.5)","(19.0, 75.0, 44.44444444444444)","(3.9, 7.0, 6.483333333333333)","(3.2, 4.5, 4.358823529411764)","(6.0, 8.6, 7.9399999999999995)"
06-01-2023 14:44:08.959290,"(5.0, 8.6, 7.327272727272726)","(31.0, 160.0, 66.42857142857143)","(5.5, 13.0, 10.5)","(7.0, 10.0, 9.5)","(19.0, 75.0, 44.44444444444444)","(3.9, 7.0, 6.483333333333333)","(3.2, 4.5, 4.358823529411764)","(6.0, 8.6, 7.9399999999999995)"
06-01-2023 14:44:10.079777,"(5.0, 8.6, 7.327272727272726)","(31.0, 160.0, 66.42857142857143)","(5.5, 13.0, 10.5)","(7.0, 10.0, 9.5)","(19.0, 75.0, 44.44444444444444)","(3.9, 7.0, 6.483333333333333)","(3.2, 4.5, 4.358823529411764)","(6.0, 8.6, 8.066666666666666)"
06-01-2023 14:44:11.156727,"(5.0, 8.6, 6.7142857142857135)","(31.0, 160.0, 66.42857142857143)","(5.5, 13.0, 10.5)","(7.0, 10.0, 9.5)","(19.0, 75.0, 44.44444444444444)","(3.9, 7.0, 6.483333333333333)","(3.2, 4.5, 4.358823529411764)","(6.0, 8.6, 8.066666666666666)"
06-01-2023 14:44:12.252317,"(5.0, 8.6, 6.7142857142857135)","(31.0, 160.0, 66.42857142857143)","(5.5, 13.0, 10.5)","(7.0, 10.0, 9.5)","(19.0, 75.0, 44.44444444444444)","(3.9, 7.0, 6.483333333333333)","(3.2, 4.5, 4.358823529411764)","(6.0, 8.6, 8.066666666666666)"
06-01-2023 14:44:13.433027,"(5.0, 8.6, 6.7142857142857135)","(31.0, 160.0, 66.42857142857143)","(5.5, 13.0, 10.5)","(7.0, 10.0, 9.5)","(19.0, 75.0, 44.44444444444444)","(3.9, 7.0, 6.483333333333333)","(3.2, 4.5, 4.410810810810811)","(6.0, 8.6, 8.066666666666666)"
06-01-2023 14:44:14.613467,"(5.0, 8.6, 6.7142857142857135)","(31.0, 160.0, 66.42857142857143)","(5.5, 13.0, 10.5)","(7.0, 10.0, 9.5)","(19.0, 75.0, 44.44444444444444)","(3.9, 7.0, 6.483333333333333)","(3.2, 4.5, 4.410810810810811)","(6.0, 8.6, 8.066666666666666)"
06-01-2023 14:44:15.694539,"(5.0, 8.6, 7.327272727272726)","(31.0, 160.0, 66.42857142857143)","(5.5, 13.0, 10.5)","(7.0, 10.0, 9.5)","(19.0, 75.0, 44.44444444444444)","(3.9, 7.0, 6.483333333333333)","(3.2, 4.5, 4.410810810810811)","(6.0, 8.6, 8.066666666666666)"
06-01-2023 14:44:16.765929,"(5.0, 8.6, 7.327272727272726)","(31.0, 160.0, 66.42857142857143)","(5.5, 13.0, 10.5)","(7.0, 10.0, 9.5)","(19.0, 75.0, 44.44444444444444)","(3.9, 7.0, 6.483333333333333)","(3.2, 4.5, 4.410810810810811)","(6.0, 8.6, 8.066666666666666)"
06-01-2023 14:44:17.971460,"(5.0, 8.6, 7.088888888888889)","(31.0, 160.0, 66.42857142857143)","(5.5, 13.0, 11.928571428571429)","(7.0, 10.0, 9.5)","(19.0, 75.0, 44.44444444444444)","(3.9, 7.0, 6.483333333333333)","(3.2, 4.5, 4.410810810810811)","(6.0, 8.6, 8.066666666666666)"
06-01-2023 14:44:19.207896,"(5.0, 8.6, 7.088888888888889)","(31.0, 160.0, 66.42857142857143)","(5.5, 13.0, 11.928571428571429)","(7.0, 10.0, 9.5)","(19.0, 75.0, 44.44444444444444)","(3.9, 7.0, 6.483333333333333)","(3.2, 4.5, 4.410810810810811)","(6.0, 8.6, 8.066666666666666)"
06-01-2023 14:44:20.350131,"(5.0, 8.6, 7.088888888888889)","(31.0, 160.0, 66.42857142857143)","(5.5, 13.0, 11.928571428571429)","(7.0, 10.0, 9.5)","(19.0, 75.0, 44.44444444444444)","(3.9, 7.0, 6.483333333333333)","(3.2, 4.5, 4.410810810810811)","(6.0, 8.6, 8.066666666666666)"
