,Zip Up Andy,Rigg,Smokin Charlie,Berns Ability,Nangar Troy,Gypsy Yankee,Rev Up Freddy
06-01-2023 15:22:50.479773,"(8.5, 16.5, 9.557142857142857)","(3.8, 6.4, 3.780952380952381)","(5.0, 9.0, 7.565853658536586)","(3.8, 5.4, 3.69)","(16.0, 42.0, 27.27777777777778)","(2.9, 4.6, 3.552380952380952)","(21.0, 160.0, 62.142857142857146)"
06-01-2023 15:22:52.067111,"(8.5, 16.5, 9.557142857142857)","(3.8, 6.4, 3.780952380952381)","(5.0, 9.0, 7.565853658536586)","(3.8, 5.4, 3.69)","(16.0, 42.0, 27.27777777777778)","(2.9, 4.6, 3.552380952380952)","(21.0, 160.0, 62.142857142857146)"
06-01-2023 15:22:53.711882,"(8.5, 16.5, 9.557142857142857)","(3.8, 6.4, 3.780952380952381)","(5.0, 9.0, 7.565853658536586)","(3.8, 5.4, 3.69)","(16.0, 42.0, 27.27777777777778)","(2.9, 4.6, 3.552380952380952)","(21.0, 160.0, 62.142857142857146)"
06-01-2023 15:22:55.213146,"(8.5, 16.5, 9.557142857142857)","(3.8, 6.4, 3.780952380952381)","(5.0, 9.0, 7.565853658536586)","(3.8, 5.4, 3.69)","(16.0, 42.0, 27.27777777777778)","(2.9, 4.6, 3.552380952380952)","(21.0, 160.0, 62.142857142857146)"
06-01-2023 15:22:56.480814,"(8.5, 16.5, 9.557142857142857)","(3.8, 6.4, 3.780952380952381)","(5.0, 9.0, 7.565853658536586)","(3.8, 5.4, 3.69)","(16.0, 42.0, 27.27777777777778)","(2.9, 4.6, 3.552380952380952)","(21.0, 160.0, 62.142857142857146)"
06-01-2023 15:22:57.797714,"(8.5, 16.5, 9.557142857142857)","(3.8, 6.4, 3.780952380952381)","(5.0, 9.0, 7.565853658536586)","(3.8, 5.4, 3.69)","(16.0, 42.0, 27.27777777777778)","(2.9, 4.6, 3.552380952380952)","(21.0, 160.0, 62.142857142857146)"
06-01-2023 15:22:59.096364,"(8.5, 16.5, 9.557142857142857)","(3.8, 6.4, 3.780952380952381)","(5.0, 9.0, 7.565853658536586)","(3.8, 5.4, 3.69)","(16.0, 42.0, 27.27777777777778)","(2.9, 4.6, 3.552380952380952)","(21.0, 160.0, 62.142857142857146)"
06-01-2023 15:23:00.412790,"(8.5, 16.5, 9.557142857142857)","(3.8, 6.4, 3.780952380952381)","(5.0, 9.0, 7.565853658536586)","(3.8, 5.4, 3.69)","(16.0, 42.0, 27.27777777777778)","(2.9, 4.6, 3.552380952380952)","(21.0, 160.0, 62.142857142857146)"
06-01-2023 15:23:01.679712,"(8.5, 16.5, 9.557142857142857)","(3.8, 6.4, 3.780952380952381)","(5.0, 9.0, 7.565853658536586)","(3.8, 5.4, 3.69)","(16.0, 42.0, 27.27777777777778)","(2.9, 4.6, 3.552380952380952)","(21.0, 160.0, 62.142857142857146)"
06-01-2023 15:23:02.811097,"(8.5, 16.5, 9.557142857142857)","(3.8, 6.4, 3.780952380952381)","(5.0, 9.0, 7.565853658536586)","(3.8, 5.4, 3.69)","(16.0, 42.0, 27.27777777777778)","(2.9, 4.6, 3.552380952380952)","(21.0, 160.0, 62.142857142857146)"
06-01-2023 15:23:04.043342,"(8.5, 16.5, 9.557142857142857)","(3.8, 6.4, 3.780952380952381)","(5.0, 9.0, 7.565853658536586)","(3.8, 5.4, 3.69)","(16.0, 42.0, 27.27777777777778)","(2.9, 4.6, 3.552380952380952)","(21.0, 160.0, 62.142857142857146)"
06-01-2023 15:23:05.329251,"(8.5, 16.5, 9.557142857142857)","(3.8, 6.4, 3.780952380952381)","(5.0, 9.0, 7.565853658536586)","(3.8, 5.4, 3.69)","(16.0, 42.0, 27.27777777777778)","(2.9, 4.6, 3.552380952380952)","(21.0, 160.0, 62.142857142857146)"
06-01-2023 15:23:06.573789,"(8.5, 16.5, 9.557142857142857)","(3.8, 6.4, 3.780952380952381)","(5.0, 9.0, 7.565853658536586)","(3.8, 5.4, 3.69)","(16.0, 42.0, 27.27777777777778)","(2.9, 4.6, 3.552380952380952)","(21.0, 160.0, 62.142857142857146)"
06-01-2023 15:23:07.878001,"(8.5, 16.5, 9.557142857142857)","(3.8, 6.4, 3.780952380952381)","(5.0, 9.0, 7.565853658536586)","(3.8, 5.4, 3.69)","(16.0, 42.0, 27.27777777777778)","(2.9, 4.6, 3.552380952380952)","(21.0, 160.0, 62.142857142857146)"
06-01-2023 15:23:09.156345,"(8.5, 16.5, 9.557142857142857)","(3.8, 6.4, 3.780952380952381)","(5.0, 9.0, 7.565853658536586)","(3.8, 5.4, 3.69)","(16.0, 42.0, 27.27777777777778)","(2.9, 4.6, 3.552380952380952)","(21.0, 160.0, 62.142857142857146)"
06-01-2023 15:23:10.386177,"(8.5, 16.5, 9.557142857142857)","(3.8, 6.4, 3.780952380952381)","(5.0, 9.0, 7.565853658536586)","(3.8, 5.4, 3.69)","(16.0, 42.0, 27.27777777777778)","(2.9, 4.6, 3.552380952380952)","(21.0, 160.0, 62.142857142857146)"
06-01-2023 15:23:11.674864,"(8.5, 16.5, 9.557142857142857)","(3.8, 6.4, 3.780952380952381)","(5.0, 9.0, 7.565853658536586)","(3.8, 5.4, 3.69)","(16.0, 42.0, 27.27777777777778)","(2.9, 4.6, 3.552380952380952)","(21.0, 160.0, 62.142857142857146)"
06-01-2023 15:23:12.966943,"(8.5, 16.5, 9.557142857142857)","(3.8, 6.4, 3.780952380952381)","(5.0, 9.0, 7.565853658536586)","(3.8, 5.4, 3.69)","(16.0, 42.0, 27.27777777777778)","(2.9, 4.6, 3.552380952380952)","(21.0, 160.0, 62.142857142857146)"
06-01-2023 15:23:14.173434,"(8.5, 16.5, 9.557142857142857)","(3.8, 6.4, 3.780952380952381)","(5.0, 9.0, 7.565853658536586)","(3.8, 5.4, 3.69)","(16.0, 42.0, 27.27777777777778)","(2.9, 4.6, 3.552380952380952)","(21.0, 160.0, 62.142857142857146)"
06-01-2023 15:23:15.416334,"(8.5, 16.5, 9.557142857142857)","(3.8, 6.4, 3.780952380952381)","(5.0, 9.0, 7.565853658536586)","(3.8, 5.4, 3.69)","(16.0, 42.0, 27.27777777777778)","(2.9, 4.6, 3.552380952380952)","(21.0, 160.0, 62.142857142857146)"
06-01-2023 15:23:16.481544,"(8.5, 16.5, 9.557142857142857)","(3.8, 6.4, 3.780952380952381)","(5.0, 9.0, 7.565853658536586)","(3.8, 5.4, 3.69)","(16.0, 42.0, 27.27777777777778)","(2.9, 4.6, 3.552380952380952)","(21.0, 160.0, 62.142857142857146)"
06-01-2023 15:23:17.485593,"(8.5, 16.5, 9.557142857142857)","(3.8, 6.4, 3.780952380952381)","(5.0, 9.0, 7.565853658536586)","(3.8, 5.4, 3.69)","(16.0, 42.0, 27.27777777777778)","(2.9, 4.6, 3.552380952380952)","(21.0, 160.0, 62.142857142857146)"
06-01-2023 15:23:18.807718,"(8.5, 16.5, 9.557142857142857)","(3.8, 6.4, 3.780952380952381)","(5.0, 9.0, 7.565853658536586)","(3.8, 5.4, 3.69)","(16.0, 42.0, 27.27777777777778)","(2.9, 4.6, 3.552380952380952)","(21.0, 160.0, 62.142857142857146)"
06-01-2023 15:23:20.025623,"(8.5, 16.5, 9.557142857142857)","(3.8, 6.4, 3.780952380952381)","(5.0, 9.0, 7.565853658536586)","(3.8, 5.4, 3.69)","(16.0, 42.0, 27.27777777777778)","(2.9, 4.6, 3.552380952380952)","(21.0, 160.0, 62.142857142857146)"
06-01-2023 15:23:21.220652,"(8.5, 16.5, 9.557142857142857)","(3.8, 6.4, 3.780952380952381)","(5.0, 9.0, 7.565853658536586)","(3.8, 5.4, 3.69)","(16.0, 42.0, 27.27777777777778)","(2.9, 4.6, 3.552380952380952)","(21.0, 160.0, 62.142857142857146)"
06-01-2023 15:23:22.375487,"(8.5, 16.5, 9.557142857142857)","(3.8, 6.4, 3.780952380952381)","(5.0, 9.0, 7.565853658536586)","(3.8, 5.4, 3.69)","(16.0, 42.0, 27.27777777777778)","(2.9, 4.6, 3.552380952380952)","(21.0, 160.0, 62.142857142857146)"
06-01-2023 15:23:23.448272,"(8.5, 16.5, 9.557142857142857)","(3.8, 6.4, 3.780952380952381)","(5.0, 9.0, 7.565853658536586)","(3.8, 5.4, 3.69)","(16.0, 42.0, 27.27777777777778)","(2.9, 4.6, 3.552380952380952)","(21.0, 160.0, 62.142857142857146)"
06-01-2023 15:23:24.693632,"(8.5, 16.5, 9.557142857142857)","(3.8, 6.4, 3.780952380952381)","(5.0, 9.0, 7.565853658536586)","(3.8, 5.4, 3.69)","(16.0, 42.0, 27.27777777777778)","(2.9, 4.6, 3.552380952380952)","(21.0, 160.0, 62.142857142857146)"
06-01-2023 15:23:25.883589,"(8.5, 16.5, 9.557142857142857)","(3.8, 6.4, 3.780952380952381)","(5.0, 9.0, 7.565853658536586)","(3.8, 5.4, 3.69)","(16.0, 42.0, 27.27777777777778)","(2.9, 4.6, 3.552380952380952)","(21.0, 160.0, 62.142857142857146)"
06-01-2023 15:23:27.002638,"(8.5, 16.5, 9.557142857142857)","(3.8, 6.4, 3.780952380952381)","(5.0, 9.0, 7.565853658536586)","(3.8, 5.4, 3.69)","(16.0, 42.0, 27.27777777777778)","(2.9, 4.6, 3.552380952380952)","(21.0, 160.0, 62.142857142857146)"
06-01-2023 15:23:28.192995,"(8.5, 16.5, 9.557142857142857)","(3.8, 6.4, 3.780952380952381)","(5.0, 9.0, 7.565853658536586)","(3.8, 5.4, 3.69)","(16.0, 42.0, 27.27777777777778)","(2.9, 4.6, 3.552380952380952)","(21.0, 160.0, 62.142857142857146)"
06-01-2023 15:23:29.383015,"(8.5, 16.5, 9.557142857142857)","(3.8, 6.4, 3.780952380952381)","(5.0, 9.0, 7.565853658536586)","(3.8, 5.4, 3.69)","(16.0, 42.0, 27.27777777777778)","(2.9, 4.6, 3.552380952380952)","(21.0, 160.0, 62.142857142857146)"
06-01-2023 15:23:30.491103,"(8.5, 16.5, 9.557142857142857)","(3.8, 6.4, 3.780952380952381)","(5.0, 9.0, 7.565853658536586)","(3.8, 5.4, 3.69)","(16.0, 42.0, 27.27777777777778)","(2.9, 4.6, 3.552380952380952)","(21.0, 160.0, 62.142857142857146)"
06-01-2023 15:23:31.750789,"(8.5, 16.5, 9.557142857142857)","(3.8, 6.4, 3.780952380952381)","(5.0, 9.0, 7.565853658536586)","(3.8, 5.4, 3.69)","(16.0, 42.0, 27.27777777777778)","(2.9, 4.6, 3.552380952380952)","(21.0, 160.0, 62.142857142857146)"
06-01-2023 15:23:33.003226,"(8.5, 16.5, 9.557142857142857)","(3.8, 6.4, 3.780952380952381)","(5.0, 9.0, 7.565853658536586)","(3.8, 5.4, 3.69)","(16.0, 42.0, 27.27777777777778)","(2.9, 4.6, 3.552380952380952)","(21.0, 160.0, 62.142857142857146)"
06-01-2023 15:23:34.226313,"(8.5, 16.5, 9.557142857142857)","(3.8, 6.4, 3.780952380952381)","(5.0, 9.0, 8.283870967741937)","(3.8, 5.4, 3.69)","(16.0, 42.0, 27.27777777777778)","(2.9, 4.6, 3.552380952380952)","(21.0, 160.0, 62.142857142857146)"
06-01-2023 15:23:35.458272,"(8.5, 16.5, 9.557142857142857)","(3.8, 6.4, 3.780952380952381)","(5.0, 8.8, 8.283870967741937)","(3.8, 5.4, 3.69)","(16.0, 42.0, 27.27777777777778)","(2.9, 4.6, 3.552380952380952)","(21.0, 160.0, 62.142857142857146)"
06-01-2023 15:23:36.716934,"(8.5, 16.5, 9.557142857142857)","(3.8, 6.4, 3.780952380952381)","(5.0, 8.8, 8.283870967741937)","(3.8, 5.4, 3.69)","(16.0, 42.0, 27.27777777777778)","(2.9, 4.6, 3.552380952380952)","(21.0, 160.0, 62.142857142857146)"
06-01-2023 15:23:37.887878,"(8.5, 16.5, 9.557142857142857)","(3.8, 6.4, 3.780952380952381)","(5.0, 8.8, 8.283870967741937)","(3.8, 5.4, 3.69)","(16.0, 42.0, 27.27777777777778)","(2.9, 4.6, 3.552380952380952)","(21.0, 160.0, 62.142857142857146)"
06-01-2023 15:23:39.040580,"(8.5, 16.5, 9.557142857142857)","(3.8, 6.4, 3.780952380952381)","(5.0, 8.8, 8.283870967741937)","(3.8, 5.4, 3.69)","(16.0, 42.0, 27.27777777777778)","(2.9, 4.6, 3.552380952380952)","(21.0, 160.0, 62.142857142857146)"
06-01-2023 15:23:40.093641,"(8.5, 16.5, 9.557142857142857)","(3.8, 6.4, 3.780952380952381)","(5.0, 8.8, 8.283870967741937)","(3.8, 5.4, 3.69)","(16.0, 42.0, 27.27777777777778)","(2.9, 4.6, 3.552380952380952)","(21.0, 160.0, 62.142857142857146)"
06-01-2023 15:23:41.130515,"(8.5, 16.5, 9.557142857142857)","(3.8, 6.4, 3.780952380952381)","(5.0, 8.8, 8.283870967741937)","(3.8, 5.4, 3.69)","(16.0, 42.0, 27.27777777777778)","(2.9, 4.6, 3.552380952380952)","(21.0, 160.0, 62.142857142857146)"
06-01-2023 15:23:42.264767,"(8.5, 16.5, 9.557142857142857)","(3.8, 6.4, 3.780952380952381)","(5.0, 8.8, 8.283870967741937)","(3.8, 5.4, 3.69)","(16.0, 42.0, 27.27777777777778)","(2.9, 4.6, 3.552380952380952)","(21.0, 160.0, 62.142857142857146)"
06-01-2023 15:23:43.477458,"(8.5, 16.5, 9.557142857142857)","(3.8, 6.4, 3.780952380952381)","(5.0, 8.8, 8.283870967741937)","(3.8, 5.4, 3.69)","(16.0, 42.0, 27.27777777777778)","(2.9, 4.6, 3.552380952380952)","(21.0, 160.0, 62.142857142857146)"
06-01-2023 15:23:44.667065,"(8.5, 16.5, 9.557142857142857)","(3.8, 6.4, 3.780952380952381)","(5.0, 8.8, 8.283870967741937)","(3.8, 5.4, 3.69)","(16.0, 42.0, 27.27777777777778)","(2.9, 4.6, 3.552380952380952)","(21.0, 160.0, 62.142857142857146)"
06-01-2023 15:23:45.758593,"(8.5, 16.5, 9.557142857142857)","(3.8, 6.4, 3.780952380952381)","(5.0, 8.8, 8.283870967741937)","(3.8, 5.4, 3.69)","(16.0, 42.0, 27.27777777777778)","(2.9, 4.6, 3.552380952380952)","(21.0, 160.0, 62.142857142857146)"
06-01-2023 15:23:46.823023,"(8.5, 16.5, 9.557142857142857)","(3.8, 6.4, 3.780952380952381)","(5.0, 8.8, 8.283870967741937)","(3.8, 5.4, 3.69)","(16.0, 42.0, 27.27777777777778)","(2.9, 4.6, 3.552380952380952)","(21.0, 160.0, 62.142857142857146)"
06-01-2023 15:23:47.853532,"(8.5, 16.5, 9.557142857142857)","(3.8, 6.4, 3.780952380952381)","(5.0, 8.8, 8.283870967741937)","(3.8, 5.4, 3.69)","(16.0, 42.0, 27.27777777777778)","(2.9, 4.6, 3.552380952380952)","(21.0, 160.0, 62.142857142857146)"
06-01-2023 15:23:48.943758,"(8.5, 16.5, 9.557142857142857)","(3.8, 6.4, 3.780952380952381)","(5.0, 8.8, 8.283870967741937)","(3.8, 5.4, 3.69)","(16.0, 42.0, 27.27777777777778)","(2.9, 4.6, 3.552380952380952)","(21.0, 160.0, 62.142857142857146)"
06-01-2023 15:23:50.087537,"(8.5, 16.5, 9.557142857142857)","(3.8, 6.4, 3.780952380952381)","(5.0, 8.8, 8.283870967741937)","(3.8, 5.4, 3.69)","(16.0, 42.0, 27.27777777777778)","(2.9, 4.6, 3.552380952380952)","(21.0, 160.0, 62.142857142857146)"
06-01-2023 15:23:51.212332,"(8.5, 16.5, 9.557142857142857)","(3.8, 6.4, 3.780952380952381)","(5.0, 8.8, 8.283870967741937)","(3.8, 5.4, 3.69)","(16.0, 42.0, 27.27777777777778)","(2.9, 4.6, 3.552380952380952)","(21.0, 160.0, 62.142857142857146)"
06-01-2023 15:23:52.375064,"(8.5, 16.5, 9.557142857142857)","(3.8, 6.4, 3.780952380952381)","(5.0, 8.8, 8.283870967741937)","(3.8, 5.4, 3.69)","(16.0, 42.0, 27.27777777777778)","(2.9, 4.6, 3.552380952380952)","(21.0, 160.0, 62.142857142857146)"
