,Mitcham Xena,Rowdys Rebel,Homebush Zip,Oliviero,Homebush Flick,Nighthawk Blazer,Baptiste,Mr Bigwig
06-01-2023 09:07:59.025749,"(7.0, 13.5, 12.553333333333335)","(5.5, 11.0, 7.871875000000001)","(19.0, 80.0, 67.3)","(10.0, 22.0, 19.633333333333333)","(19.0, 80.0, 67.3)","(15.0, 180.0, 104.31818181818181)","(2.3, 3.75, 2.7083333333333335)","(3.4, 6.6, 4.8545454545454545)"
06-01-2023 09:08:00.265437,"(7.0, 13.5, 12.553333333333335)","(5.5, 11.0, 7.871875000000001)","(19.0, 80.0, 67.3)","(10.0, 22.0, 19.633333333333333)","(19.0, 80.0, 67.3)","(15.0, 180.0, 104.31818181818181)","(2.3, 3.75, 2.7083333333333335)","(3.4, 6.6, 4.8545454545454545)"
06-01-2023 09:08:01.304796,"(7.0, 13.5, 12.553333333333335)","(5.5, 11.0, 7.871875000000001)","(19.0, 80.0, 67.3)","(10.0, 22.0, 19.633333333333333)","(19.0, 80.0, 67.3)","(15.0, 180.0, 104.31818181818181)","(2.3, 3.75, 2.7083333333333335)","(3.4, 6.6, 4.8545454545454545)"
06-01-2023 09:08:02.353595,"(7.0, 13.5, 12.553333333333335)","(5.5, 11.0, 7.871875000000001)","(19.0, 80.0, 67.3)","(10.0, 22.0, 19.633333333333333)","(19.0, 80.0, 67.3)","(15.0, 180.0, 104.31818181818181)","(2.3, 3.75, 2.7083333333333335)","(3.4, 6.6, 4.8545454545454545)"
06-01-2023 09:08:03.385099,"(7.0, 13.5, 12.553333333333335)","(5.5, 11.0, 7.871875000000001)","(19.0, 80.0, 67.3)","(10.0, 22.0, 19.633333333333333)","(19.0, 80.0, 67.3)","(15.0, 180.0, 104.31818181818181)","(2.3, 3.75, 2.7083333333333335)","(3.4, 6.6, 4.8545454545454545)"
06-01-2023 09:08:04.373329,"(7.0, 13.5, 12.553333333333335)","(5.5, 11.0, 7.871875000000001)","(19.0, 80.0, 67.3)","(10.0, 22.0, 19.633333333333333)","(19.0, 80.0, 67.3)","(15.0, 180.0, 104.31818181818181)","(2.3, 3.75, 2.7083333333333335)","(3.4, 6.6, 4.8545454545454545)"
06-01-2023 09:08:05.399525,"(7.0, 13.5, 12.553333333333335)","(5.5, 11.0, 7.871875000000001)","(19.0, 80.0, 67.3)","(10.0, 22.0, 19.633333333333333)","(19.0, 80.0, 67.3)","(15.0, 180.0, 104.31818181818181)","(2.3, 3.75, 2.7083333333333335)","(3.4, 6.6, 4.8545454545454545)"
06-01-2023 09:08:06.441889,"(7.0, 13.5, 12.553333333333335)","(5.5, 11.0, 7.871875000000001)","(19.0, 80.0, 67.3)","(10.0, 22.0, 19.666666666666668)","(19.0, 80.0, 67.3)","(15.0, 180.0, 104.31818181818181)","(2.3, 3.75, 2.7083333333333335)","(3.4, 6.4, 4.763636363636364)"
06-01-2023 09:08:07.439753,"(7.0, 13.5, 12.553333333333335)","(5.5, 11.0, 7.871875000000001)","(19.0, 80.0, 67.3)","(10.0, 22.0, 19.633333333333333)","(19.0, 80.0, 67.3)","(15.0, 180.0, 104.31818181818181)","(2.3, 3.75, 2.7083333333333335)","(3.4, 6.6, 4.8545454545454545)"
06-01-2023 09:08:08.412208,"(7.0, 13.5, 12.553333333333335)","(5.5, 11.0, 7.871875000000001)","(19.0, 80.0, 67.3)","(10.0, 22.0, 19.633333333333333)","(19.0, 80.0, 67.3)","(15.0, 180.0, 104.31818181818181)","(2.3, 3.75, 2.7083333333333335)","(3.4, 6.6, 4.8545454545454545)"
