,Thoros Of Myr,Glebely,Popilita,Needs Sugar,Kaboom Kaboom,Bobble
06-01-2023 13:00:00.429172,"(1.9, 2.14, 2.1387596899224808)","(31.0, 65.0, 51.0)","(3.7, 6.0, 5.1125)","(5.0, 7.2, 6.133333333333333)","(6.5, 9.6, 8.799999999999999)","(13.0, 28.0, 25.375)"
06-01-2023 13:00:01.338444,"(1.9, 2.14, 2.1387596899224808)","(31.0, 65.0, 51.0)","(3.7, 5.9, 5.1125)","(5.0, 6.8, 6.133333333333333)","(6.5, 9.6, 8.799999999999999)","(13.0, 28.0, 25.375)"
06-01-2023 13:00:02.353311,"(1.9, 2.14, 2.1387596899224808)","(31.0, 65.0, 51.0)","(3.7, 5.9, 5.1125)","(5.0, 6.8, 6.3999999999999995)","(6.5, 9.6, 8.799999999999999)","(13.0, 28.0, 25.375)"
06-01-2023 13:00:03.350863,"(1.9, 2.14, 2.1387596899224808)","(31.0, 65.0, 51.0)","(3.7, 5.9, 5.1125)","(5.0, 6.8, 6.3999999999999995)","(6.5, 9.6, 8.799999999999999)","(13.0, 28.0, 25.375)"
06-01-2023 13:00:04.398472,"(1.9, 2.14, 2.1387596899224808)","(31.0, 65.0, 51.0)","(3.7, 5.9, 5.1125)","(5.0, 6.8, 6.3999999999999995)","(6.5, 9.6, 8.799999999999999)","(13.0, 28.0, 22.1875)"
06-01-2023 13:00:05.352947,"(1.9, 2.14, 2.1387596899224808)","(31.0, 65.0, 51.0)","(3.7, 5.9, 5.1125)","(5.0, 6.8, 6.3999999999999995)","(6.5, 9.6, 8.799999999999999)","(13.0, 30.0, 22.1875)"
06-01-2023 13:00:06.321455,"(1.9, 2.14, 2.1387596899224808)","(31.0, 65.0, 51.0)","(3.7, 5.9, 5.1125)","(5.0, 6.8, 6.3999999999999995)","(6.5, 9.6, 8.799999999999999)","(13.0, 26.0, 22.6)"
06-01-2023 13:00:07.294341,"(1.9, 2.14, 2.1387596899224808)","(31.0, 65.0, 51.0)","(3.7, 5.9, 5.1125)","(5.0, 6.8, 6.3999999999999995)","(6.5, 9.6, 8.799999999999999)","(13.0, 26.0, 22.6)"
06-01-2023 13:00:08.179305,"(1.9, 2.14, 2.1387596899224808)","(31.0, 65.0, 51.0)","(3.7, 5.9, 5.1125)","(5.0, 6.8, 6.3999999999999995)","(6.5, 9.6, 8.799999999999999)","(13.0, 26.0, 22.6)"
06-01-2023 13:00:09.238965,"(1.9, 2.14, 2.1387596899224808)","(31.0, 65.0, 51.0)","(3.7, 5.9, 5.1125)","(5.0, 6.8, 6.3999999999999995)","(6.5, 9.6, 8.799999999999999)","(13.0, 26.0, 22.6)"
06-01-2023 13:00:10.314481,"(1.9, 2.14, 2.1387596899224808)","(31.0, 65.0, 51.0)","(3.7, 5.9, 5.1125)","(5.0, 6.8, 6.3999999999999995)","(6.5, 9.6, 8.799999999999999)","(13.0, 26.0, 22.6)"
06-01-2023 13:00:11.352859,"(1.9, 2.14, 2.1387596899224808)","(31.0, 65.0, 51.0)","(3.7, 5.9, 5.1125)","(5.0, 6.8, 6.3999999999999995)","(6.5, 9.6, 8.799999999999999)","(13.0, 26.0, 22.6)"
