,Sorrento Breeze,Katara Love,Say Some Words,Easy Eddie,Mean Pop
06-01-2023 11:33:44.173913,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 40.0, 37.1875)","(10.0, 18.5, 16.68)"
06-01-2023 11:33:45.047562,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 40.0, 37.1875)","(10.0, 18.5, 16.68)"
06-01-2023 11:33:45.959977,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 40.0, 37.1875)","(10.0, 18.5, 16.68)"
06-01-2023 11:33:46.834578,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 40.0, 37.1875)","(10.0, 18.5, 16.68)"
06-01-2023 11:33:47.696211,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 40.0, 37.1875)","(10.0, 18.5, 16.68)"
06-01-2023 11:33:48.561989,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 40.0, 37.1875)","(10.0, 18.5, 16.68)"
06-01-2023 11:33:49.396360,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 40.0, 37.1875)","(10.0, 18.5, 16.68)"
06-01-2023 11:33:50.236830,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 40.0, 34.5)","(10.0, 18.5, 16.68)"
06-01-2023 11:33:51.108641,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 40.0, 34.625)","(10.0, 18.5, 16.68)"
06-01-2023 11:33:51.990013,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 40.0, 34.625)","(10.0, 18.5, 16.68)"
06-01-2023 11:33:52.807277,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 40.0, 34.625)","(10.0, 18.5, 16.68)"
06-01-2023 11:33:53.706408,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 40.0, 34.625)","(10.0, 18.5, 16.68)"
06-01-2023 11:33:54.698644,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 40.0, 23.923076923076923)","(10.0, 18.5, 16.68)"
06-01-2023 11:33:55.597046,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 42.0, 28.176470588235293)","(10.0, 18.5, 16.68)"
06-01-2023 11:33:56.447136,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 42.0, 28.176470588235293)","(10.0, 18.5, 16.68)"
06-01-2023 11:33:57.309770,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 42.0, 28.176470588235293)","(10.0, 18.5, 16.68)"
06-01-2023 11:33:58.134484,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 42.0, 28.176470588235293)","(10.0, 18.5, 16.68)"
06-01-2023 11:33:58.979012,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 42.0, 28.176470588235293)","(10.0, 18.5, 16.68)"
06-01-2023 11:33:59.819905,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 42.0, 28.176470588235293)","(10.0, 18.5, 16.68)"
06-01-2023 11:34:00.628025,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 42.0, 28.176470588235293)","(10.0, 18.5, 16.68)"
06-01-2023 11:34:01.522323,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 42.0, 28.176470588235293)","(10.0, 18.5, 16.68)"
06-01-2023 11:34:02.387164,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 42.0, 28.176470588235293)","(10.0, 18.5, 16.68)"
06-01-2023 11:34:03.319345,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 42.0, 28.176470588235293)","(10.0, 18.5, 16.68)"
06-01-2023 11:34:04.170010,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 42.0, 28.176470588235293)","(10.0, 18.5, 16.68)"
06-01-2023 11:34:04.974123,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 42.0, 28.176470588235293)","(10.0, 18.5, 16.68)"
06-01-2023 11:34:05.877336,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 42.0, 28.176470588235293)","(10.0, 18.5, 16.68)"
06-01-2023 11:34:06.829685,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 42.0, 28.176470588235293)","(10.0, 18.5, 16.68)"
06-01-2023 11:34:07.736358,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 42.0, 28.176470588235293)","(10.0, 18.5, 16.68)"
06-01-2023 11:34:08.571420,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 42.0, 28.176470588235293)","(10.0, 18.5, 16.68)"
06-01-2023 11:34:09.396108,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 42.0, 28.176470588235293)","(10.0, 18.5, 16.68)"
06-01-2023 11:34:10.214267,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 42.0, 28.176470588235293)","(10.0, 18.5, 16.68)"
06-01-2023 11:34:11.053153,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 42.0, 28.176470588235293)","(10.0, 18.5, 16.68)"
06-01-2023 11:34:11.947563,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 42.0, 24.307692307692307)","(10.0, 18.5, 16.68)"
06-01-2023 11:34:12.842559,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 42.0, 24.307692307692307)","(10.0, 18.5, 16.68)"
06-01-2023 11:34:13.653334,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 42.0, 24.307692307692307)","(10.0, 18.5, 16.68)"
06-01-2023 11:34:14.453585,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 42.0, 24.307692307692307)","(10.0, 18.5, 16.68)"
06-01-2023 11:34:15.322136,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 42.0, 28.764705882352942)","(10.0, 18.5, 16.68)"
06-01-2023 11:34:16.143754,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 42.0, 28.764705882352942)","(10.0, 18.5, 16.68)"
06-01-2023 11:34:17.008877,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 42.0, 28.764705882352942)","(10.0, 18.5, 16.68)"
