,Great Potential,Jovita,Opawa Linda,Sefton Heights,Know Effort,Mrs Chinn,My Legacy,Goldstar Rita
06-01-2023 11:00:55.710795,"(3.4, 6.2, 5.746153846153847)","(3.2, 5.1, 4.4525)","(5.0, 7.6, 7.02)","(8.5, 18.5, 16.792307692307695)","(20.0, 190.0, 103.75)","(6.0, 9.8, 8.936842105263159)","(17.0, 140.0, 77.75)","(8.0, 28.0, 26.28333333333333)"
06-01-2023 11:00:56.746639,"(3.4, 6.2, 5.746153846153847)","(3.2, 5.1, 4.4525)","(5.0, 7.6, 7.02)","(8.5, 18.5, 16.792307692307695)","(20.0, 190.0, 103.75)","(6.0, 9.8, 8.936842105263159)","(17.0, 140.0, 77.75)","(8.0, 28.0, 26.28333333333333)"
06-01-2023 11:00:58.115551,"(3.4, 6.2, 6.084615384615384)","(3.2, 5.1, 4.4525)","(5.0, 7.6, 7.02)","(8.5, 18.5, 16.792307692307695)","(20.0, 190.0, 103.75)","(6.0, 9.8, 8.936842105263159)","(17.0, 140.0, 77.75)","(8.0, 24.0, 22.616666666666667)"
06-01-2023 11:00:59.192651,"(3.4, 6.6, 6.084615384615384)","(3.2, 5.1, 4.4525)","(5.0, 7.6, 7.02)","(8.5, 18.5, 16.792307692307695)","(20.0, 190.0, 103.75)","(6.0, 9.8, 8.936842105263159)","(17.0, 140.0, 77.75)","(8.0, 24.0, 22.616666666666667)"
06-01-2023 11:01:00.269285,"(3.4, 6.6, 6.084615384615384)","(3.2, 5.1, 4.4525)","(5.0, 7.6, 7.02)","(8.5, 18.5, 16.792307692307695)","(20.0, 190.0, 103.75)","(6.0, 9.8, 8.936842105263159)","(17.0, 140.0, 77.75)","(8.0, 24.0, 22.616666666666667)"
06-01-2023 11:01:01.305545,"(3.4, 6.4, 5.915384615384616)","(3.2, 5.1, 4.4525)","(5.0, 7.6, 7.02)","(8.5, 18.5, 16.792307692307695)","(20.0, 190.0, 103.75)","(6.0, 9.8, 8.936842105263159)","(17.0, 140.0, 77.75)","(8.0, 24.0, 22.616666666666667)"
06-01-2023 11:01:02.378068,"(3.4, 6.4, 5.915384615384616)","(3.2, 5.1, 4.4525)","(5.0, 7.6, 7.02)","(8.5, 18.5, 16.792307692307695)","(20.0, 190.0, 103.75)","(6.0, 9.8, 8.936842105263159)","(17.0, 140.0, 77.75)","(8.0, 24.0, 22.616666666666667)"
06-01-2023 11:01:03.407196,"(3.4, 6.4, 5.915384615384616)","(3.2, 5.1, 4.4525)","(5.0, 7.6, 7.02)","(8.5, 18.5, 16.792307692307695)","(20.0, 190.0, 103.75)","(6.0, 9.8, 8.936842105263159)","(17.0, 140.0, 77.75)","(8.0, 24.0, 22.616666666666667)"
06-01-2023 11:01:04.422267,"(3.4, 6.4, 5.915384615384616)","(3.2, 5.1, 4.4525)","(5.0, 7.6, 7.02)","(8.5, 18.5, 16.792307692307695)","(20.0, 190.0, 103.75)","(6.0, 9.8, 8.936842105263159)","(17.0, 140.0, 77.75)","(8.0, 24.0, 22.616666666666667)"
06-01-2023 11:01:05.517124,"(3.4, 6.4, 5.915384615384616)","(3.2, 5.1, 4.4525)","(5.0, 7.6, 7.02)","(8.5, 18.5, 16.792307692307695)","(20.0, 190.0, 103.75)","(6.0, 9.8, 8.936842105263159)","(17.0, 140.0, 77.75)","(8.0, 24.0, 22.616666666666667)"
06-01-2023 11:01:06.566256,"(3.4, 6.4, 5.915384615384616)","(3.2, 5.1, 4.4525)","(5.0, 7.6, 7.02)","(8.5, 18.5, 16.792307692307695)","(20.0, 190.0, 103.75)","(6.0, 9.8, 8.936842105263159)","(17.0, 140.0, 77.75)","(8.0, 24.0, 22.616666666666667)"
06-01-2023 11:01:07.643473,"(3.4, 6.4, 5.915384615384616)","(3.2, 5.1, 4.4525)","(5.0, 7.6, 7.02)","(8.5, 18.5, 16.792307692307695)","(20.0, 190.0, 103.75)","(6.0, 9.8, 8.936842105263159)","(17.0, 140.0, 77.75)","(8.0, 24.0, 22.616666666666667)"
06-01-2023 11:01:08.735903,"(3.4, 6.4, 5.915384615384616)","(3.2, 5.1, 4.4525)","(5.0, 7.6, 7.02)","(8.5, 18.5, 16.792307692307695)","(20.0, 190.0, 103.75)","(6.0, 9.8, 8.936842105263159)","(17.0, 140.0, 77.75)","(8.0, 24.0, 22.616666666666667)"
06-01-2023 11:01:09.725439,"(3.4, 6.4, 5.915384615384616)","(3.2, 5.1, 4.4525)","(5.0, 7.6, 7.02)","(8.5, 18.5, 16.792307692307695)","(20.0, 190.0, 103.75)","(6.0, 9.8, 8.936842105263159)","(17.0, 140.0, 77.75)","(8.0, 24.0, 22.616666666666667)"
06-01-2023 11:01:10.707245,"(3.4, 6.6, 6.084615384615384)","(3.2, 5.1, 4.4525)","(5.0, 7.6, 7.02)","(8.5, 18.5, 16.792307692307695)","(20.0, 190.0, 103.75)","(6.0, 9.8, 8.936842105263159)","(17.0, 140.0, 77.75)","(8.0, 24.0, 22.616666666666667)"
06-01-2023 11:01:11.753903,"(3.4, 6.6, 6.084615384615384)","(3.2, 5.1, 4.4525)","(5.0, 7.6, 7.02)","(8.5, 18.5, 16.792307692307695)","(20.0, 190.0, 103.75)","(6.0, 9.8, 8.936842105263159)","(17.0, 140.0, 77.75)","(8.0, 24.0, 22.616666666666667)"
06-01-2023 11:01:12.795588,"(3.4, 6.6, 6.084615384615384)","(3.2, 5.1, 4.4525)","(5.0, 7.6, 7.02)","(8.5, 18.5, 16.792307692307695)","(20.0, 190.0, 103.75)","(6.0, 9.8, 8.936842105263159)","(17.0, 140.0, 77.75)","(8.0, 24.0, 22.616666666666667)"
06-01-2023 11:01:13.863168,"(3.4, 6.4, 5.915384615384616)","(3.2, 5.1, 4.4525)","(5.0, 7.6, 7.02)","(8.5, 18.5, 16.792307692307695)","(20.0, 190.0, 103.75)","(6.0, 9.8, 8.936842105263159)","(17.0, 140.0, 77.75)","(8.0, 24.0, 22.616666666666667)"
