,Betcha By Golly,Sheriffs Kid,Dulcimer Dame,China Cat,Magic In Me,Sax,Marketability
06-01-2023 09:19:44.732993,"(2.9, 230.0, 173.3375)","(7.0, 12.0, 9.466666666666667)","(2.0, 2.5, 2.2556000000000003)","(10.0, 230.0, 175.0)","(15.0, 230.0, 156.83333333333334)","(26.0, 230.0, 175.125)","(17.0, 150.0, 103.5)"
06-01-2023 09:19:45.718584,"(2.9, 230.0, 173.3375)","(7.0, 12.0, 9.466666666666667)","(2.0, 2.5, 2.2556000000000003)","(10.0, 230.0, 175.0)","(15.0, 230.0, 156.83333333333334)","(26.0, 230.0, 175.125)","(17.0, 150.0, 103.5)"
06-01-2023 09:19:46.776486,"(2.9, 230.0, 173.3375)","(7.0, 12.0, 9.466666666666667)","(2.0, 2.5, 2.2556000000000003)","(10.0, 230.0, 175.0)","(15.0, 230.0, 156.83333333333334)","(26.0, 230.0, 175.125)","(17.0, 150.0, 103.5)"
06-01-2023 09:19:47.806082,"(2.9, 230.0, 173.3375)","(7.0, 12.0, 9.466666666666667)","(2.0, 2.5, 2.2556000000000003)","(10.0, 230.0, 175.0)","(15.0, 230.0, 156.83333333333334)","(26.0, 230.0, 175.125)","(17.0, 150.0, 103.5)"
06-01-2023 09:19:48.786431,"(2.9, 230.0, 173.3375)","(7.0, 12.0, 9.466666666666667)","(2.0, 2.5, 2.2556000000000003)","(10.0, 230.0, 175.0)","(15.0, 230.0, 156.83333333333334)","(26.0, 230.0, 175.125)","(17.0, 150.0, 103.5)"
06-01-2023 09:19:49.750423,"(2.9, 230.0, 173.3375)","(7.0, 12.0, 9.466666666666667)","(2.0, 2.5, 2.2556000000000003)","(10.0, 230.0, 175.0)","(15.0, 230.0, 156.83333333333334)","(26.0, 230.0, 175.125)","(17.0, 150.0, 103.5)"
06-01-2023 09:19:50.693562,"(2.9, 230.0, 173.3375)","(7.0, 12.0, 9.466666666666667)","(2.0, 2.5, 2.2556000000000003)","(10.0, 230.0, 175.0)","(15.0, 230.0, 156.83333333333334)","(26.0, 230.0, 175.125)","(17.0, 150.0, 103.5)"
06-01-2023 09:19:51.618604,"(2.9, 230.0, 173.3375)","(7.0, 12.0, 9.466666666666667)","(2.0, 2.5, 2.2556000000000003)","(10.0, 230.0, 175.0)","(15.0, 230.0, 156.83333333333334)","(26.0, 230.0, 175.125)","(17.0, 150.0, 103.5)"
06-01-2023 09:19:52.560898,"(2.9, 230.0, 173.3375)","(7.0, 12.0, 9.466666666666667)","(2.0, 2.5, 2.2556000000000003)","(10.0, 230.0, 175.0)","(15.0, 230.0, 156.83333333333334)","(26.0, 230.0, 175.125)","(17.0, 150.0, 103.5)"
06-01-2023 09:19:53.498135,"(2.9, 230.0, 173.3375)","(7.0, 12.0, 9.466666666666667)","(2.0, 2.5, 2.2556000000000003)","(10.0, 230.0, 175.0)","(15.0, 230.0, 156.83333333333334)","(26.0, 230.0, 175.125)","(17.0, 150.0, 103.5)"
06-01-2023 09:19:54.466381,"(2.9, 230.0, 173.3375)","(7.0, 12.0, 9.466666666666667)","(2.0, 2.5, 2.2556000000000003)","(10.0, 230.0, 175.0)","(15.0, 230.0, 156.83333333333334)","(26.0, 230.0, 175.125)","(17.0, 150.0, 103.5)"
