,Shonas Fury,Blue Bathers,Prince Danube,Last Date,Double Tara,Step Up
06-01-2023 11:00:45.271555,"(4.6, 8.4, 6.0)","(1.8, 2.36, 1.935)","(11.0, 22.0, 16.75)","(4.8, 11.0, 7.444444444444445)","(17.0, 55.0, 38.958333333333336)","(6.0, 11.0, 5.985714285714286)"
06-01-2023 11:00:46.267635,"(4.6, 8.4, 6.0)","(1.8, 2.36, 1.935)","(11.0, 22.0, 16.75)","(4.8, 11.0, 7.444444444444445)","(17.0, 55.0, 38.958333333333336)","(6.0, 11.0, 5.985714285714286)"
06-01-2023 11:00:47.362886,"(4.6, 8.4, 6.0)","(1.8, 2.36, 1.935)","(11.0, 22.0, 16.75)","(4.8, 11.0, 7.444444444444445)","(17.0, 55.0, 38.958333333333336)","(6.0, 11.0, 5.985714285714286)"
06-01-2023 11:00:48.341325,"(4.6, 8.4, 6.0)","(1.8, 2.36, 1.935)","(11.0, 22.0, 16.75)","(4.8, 11.0, 7.444444444444445)","(17.0, 55.0, 38.958333333333336)","(6.0, 11.0, 5.985714285714286)"
06-01-2023 11:00:49.268537,"(4.6, 8.4, 6.0)","(1.8, 2.36, 1.935)","(11.0, 22.0, 16.75)","(4.8, 11.0, 7.444444444444445)","(17.0, 55.0, 38.958333333333336)","(6.0, 11.0, 5.985714285714286)"
06-01-2023 11:00:50.232028,"(4.6, 8.4, 6.0)","(1.8, 2.36, 1.935)","(11.0, 22.0, 16.75)","(4.8, 11.0, 7.444444444444445)","(17.0, 55.0, 38.958333333333336)","(6.0, 11.0, 5.985714285714286)"
06-01-2023 11:00:51.161950,"(4.6, 8.4, 6.0)","(1.8, 2.36, 1.935)","(11.0, 22.0, 16.75)","(4.8, 11.0, 7.444444444444445)","(17.0, 55.0, 38.958333333333336)","(6.0, 11.0, 5.985714285714286)"
06-01-2023 11:00:52.127585,"(4.6, 8.4, 6.0)","(1.8, 2.36, 1.935)","(11.0, 22.0, 16.75)","(4.8, 11.0, 7.444444444444445)","(17.0, 55.0, 38.958333333333336)","(6.0, 11.0, 5.985714285714286)"
06-01-2023 11:00:53.018483,"(4.6, 8.4, 6.0)","(1.8, 2.36, 1.9107142857142858)","(11.0, 22.0, 16.75)","(4.8, 11.0, 7.444444444444445)","(17.0, 55.0, 38.958333333333336)","(6.0, 11.0, 5.985714285714286)"
06-01-2023 11:00:53.989193,"(4.6, 8.4, 6.0)","(1.8, 2.36, 1.9107142857142858)","(11.0, 22.0, 16.75)","(4.8, 11.0, 7.444444444444445)","(17.0, 55.0, 38.958333333333336)","(6.0, 11.0, 5.985714285714286)"
