,Venting,Stately Star,Laelaps,Alchian,Sheezabigdeel,Master Of Zerprise,Sports Idol,Raise The Colours,If You Leave,Albanian Eagle,Chattering,Bungalally Babe
06-01-2023 13:44:02.092516,"(7.0, 10.0, 9.63076923076923)","(13.0, 16.5, 16.366666666666667)","(4.6, 7.6, 7.4399999999999995)","(5.0, 6.4, 6.2125)","(6.5, 7.4, 7.0081632653061225)","(14.0, 24.0, 22.75)","(17.0, 28.0, 26.5)","(6.5, 8.4, 8.357894736842105)","(12.0, 16.0, 15.988142292490119)","(8.5, 14.0, 13.0)","(31.0, 95.0, 87.0)","(81.0, 160.0, 136.0)"
06-01-2023 13:44:03.978162,"(7.0, 10.0, 9.63076923076923)","(13.0, 16.5, 16.25)","(4.6, 7.6, 7.4399999999999995)","(5.0, 6.4, 6.185714285714286)","(6.5, 7.4, 6.982608695652174)","(14.0, 24.0, 22.529411764705884)","(17.0, 28.0, 26.5)","(6.5, 8.4, 8.27878787878788)","(12.0, 16.0, 15.987394957983193)","(8.5, 14.0, 13.0)","(31.0, 95.0, 87.0)","(81.0, 180.0, 160.0)"
06-01-2023 13:44:05.745261,"(7.0, 10.0, 9.63076923076923)","(13.0, 16.5, 16.25)","(4.6, 7.6, 7.4399999999999995)","(5.0, 6.4, 6.185714285714286)","(6.5, 7.4, 6.982608695652174)","(14.0, 24.0, 22.529411764705884)","(17.0, 28.0, 26.5)","(6.5, 8.4, 8.27878787878788)","(12.0, 16.0, 15.987394957983193)","(8.5, 14.0, 13.0)","(31.0, 95.0, 87.0)","(81.0, 180.0, 160.0)"
06-01-2023 13:44:07.423899,"(7.0, 10.0, 9.7)","(13.0, 16.5, 16.25)","(4.6, 7.6, 7.33953488372093)","(5.0, 6.4, 6.185714285714286)","(6.5, 7.4, 6.982608695652174)","(14.0, 24.0, 22.529411764705884)","(17.0, 28.0, 26.5)","(6.5, 8.4, 8.27878787878788)","(12.0, 16.0, 15.987394957983193)","(8.5, 14.0, 13.0)","(31.0, 95.0, 87.0)","(81.0, 180.0, 142.0)"
06-01-2023 13:44:09.125861,"(7.0, 10.0, 9.7)","(13.0, 16.5, 16.25)","(4.6, 7.6, 7.276923076923077)","(5.0, 6.4, 6.185714285714286)","(6.5, 7.4, 6.982608695652174)","(14.0, 24.0, 22.529411764705884)","(17.0, 28.0, 26.5)","(6.5, 8.4, 8.27878787878788)","(12.0, 16.0, 15.987394957983193)","(8.5, 14.0, 13.0)","(31.0, 95.0, 77.5)","(81.0, 170.0, 142.0)"
06-01-2023 13:44:10.730123,"(7.0, 10.0, 9.7)","(13.0, 16.5, 16.25)","(4.6, 7.6, 7.276923076923077)","(5.0, 6.4, 6.2125)","(6.5, 7.4, 6.3)","(14.0, 24.0, 22.529411764705884)","(17.0, 28.0, 26.5)","(6.5, 8.4, 8.27878787878788)","(12.0, 16.0, 15.987394957983193)","(8.5, 14.0, 13.0)","(31.0, 95.0, 77.5)","(81.0, 170.0, 142.0)"
06-01-2023 13:44:12.472012,"(7.0, 10.0, 9.7)","(13.0, 16.5, 16.25)","(4.6, 7.6, 7.49090909090909)","(5.0, 6.4, 6.2125)","(6.5, 7.2, 7.0285714285714285)","(14.0, 24.0, 20.428571428571427)","(17.0, 28.0, 26.5)","(6.5, 8.4, 8.08)","(12.0, 16.0, 15.987394957983193)","(8.5, 14.0, 13.0)","(31.0, 95.0, 77.5)","(81.0, 170.0, 142.0)"
06-01-2023 13:44:14.333668,"(7.0, 10.0, 9.7)","(13.0, 16.5, 16.25)","(4.6, 7.6, 7.4941176470588236)","(5.0, 6.4, 6.185714285714286)","(6.5, 7.2, 7.155555555555556)","(14.0, 24.0, 20.428571428571427)","(17.0, 28.0, 26.5)","(6.5, 8.2, 8.064516129032258)","(12.0, 16.0, 15.987394957983193)","(8.5, 14.0, 13.0)","(31.0, 95.0, 77.5)","(81.0, 170.0, 142.0)"
06-01-2023 13:44:16.518505,"(7.0, 10.0, 9.7)","(13.0, 16.5, 16.25)","(4.6, 7.6, 7.715151515151515)","(5.0, 6.4, 6.185714285714286)","(6.5, 7.2, 7.088421052631579)","(14.0, 24.0, 20.428571428571427)","(17.0, 28.0, 26.5)","(6.5, 8.2, 8.023529411764706)","(12.0, 16.0, 15.96707818930041)","(8.5, 14.0, 13.0)","(31.0, 95.0, 77.5)","(81.0, 170.0, 142.0)"
06-01-2023 13:44:18.821993,"(7.0, 10.0, 9.58)","(13.0, 16.5, 16.25)","(4.6, 7.8, 7.56)","(5.0, 6.4, 6.185714285714286)","(6.5, 7.4, 7.088421052631579)","(14.0, 24.0, 20.428571428571427)","(17.0, 28.0, 25.0)","(6.5, 8.2, 8.023529411764706)","(12.0, 16.0, 15.96707818930041)","(8.5, 14.0, 13.0)","(31.0, 95.0, 77.5)","(81.0, 170.0, 142.0)"
06-01-2023 13:44:21.714137,"(7.0, 10.0, 9.58)","(13.0, 16.5, 16.25)","(4.6, 7.8, 7.618181818181818)","(5.0, 6.4, 6.185714285714286)","(6.5, 7.4, 7.088421052631579)","(14.0, 24.0, 20.428571428571427)","(17.0, 30.0, 25.0)","(6.5, 8.2, 7.96)","(12.0, 16.0, 15.96707818930041)","(8.5, 14.0, 13.0)","(31.0, 95.0, 77.5)","(81.0, 170.0, 142.0)"
06-01-2023 13:44:24.092602,"(7.0, 10.0, 9.58)","(13.0, 16.5, 15.973684210526315)","(4.6, 7.8, 8.0)","(5.0, 6.4, 6.185714285714286)","(6.5, 7.4, 7.088421052631579)","(14.0, 24.0, 20.428571428571427)","(17.0, 29.0, 26.2)","(6.5, 8.4, 7.9714285714285715)","(12.0, 16.0, 15.96707818930041)","(8.5, 14.0, 13.0)","(31.0, 95.0, 77.5)","(81.0, 170.0, 142.0)"
06-01-2023 13:44:26.511364,"(7.0, 10.0, 9.58)","(13.0, 16.5, 15.875)","(4.6, 8.4, 7.76)","(5.0, 6.4, 6.185714285714286)","(6.5, 7.4, 7.088421052631579)","(14.0, 24.0, 20.428571428571427)","(17.0, 29.0, 24.333333333333332)","(6.5, 8.2, 7.914285714285714)","(12.0, 16.0, 15.96707818930041)","(8.5, 14.0, 12.75)","(31.0, 95.0, 77.5)","(81.0, 170.0, 142.0)"
06-01-2023 13:44:28.787076,"(7.0, 10.0, 9.58)","(13.0, 16.0, 15.875)","(4.6, 8.4, 7.800000000000001)","(5.0, 6.4, 6.185714285714286)","(6.0, 7.4, 7.088421052631579)","(14.0, 24.0, 20.428571428571427)","(18.0, 29.0, 24.333333333333332)","(6.5, 8.4, 7.9)","(13.0, 16.0, 15.96707818930041)","(9.0, 14.0, 12.75)","(31.0, 95.0, 77.5)","(91.0, 170.0, 142.0)"
06-01-2023 13:44:30.720113,"(7.0, 10.0, 9.58)","(13.0, 16.0, 15.785714285714285)","(4.6, 8.4, 7.800000000000001)","(5.0, 6.4, 6.185714285714286)","(6.0, 7.4, 7.188235294117647)","(14.0, 24.0, 20.428571428571427)","(18.0, 29.0, 24.333333333333332)","(6.5, 8.4, 7.9)","(13.0, 16.0, 15.96707818930041)","(9.0, 14.0, 12.75)","(31.0, 95.0, 77.5)","(91.0, 170.0, 142.0)"
06-01-2023 13:44:32.619642,"(7.0, 10.0, 9.58)","(13.0, 16.0, 15.785714285714285)","(4.6, 8.4, 7.800000000000001)","(5.0, 6.4, 6.185714285714286)","(6.0, 7.2, 7.188235294117647)","(14.0, 24.0, 20.428571428571427)","(18.0, 29.0, 24.333333333333332)","(6.5, 8.4, 7.9)","(13.0, 16.0, 15.96707818930041)","(9.0, 14.0, 12.75)","(31.0, 95.0, 77.5)","(91.0, 170.0, 142.0)"
06-01-2023 13:44:34.503400,"(7.0, 10.0, 9.58)","(13.0, 16.0, 15.785714285714285)","(4.6, 8.4, 7.800000000000001)","(5.0, 6.4, 6.185714285714286)","(6.0, 7.2, 7.188235294117647)","(14.0, 24.0, 20.428571428571427)","(18.0, 29.0, 24.333333333333332)","(6.5, 8.4, 7.9)","(13.0, 16.0, 15.96707818930041)","(9.0, 14.0, 12.75)","(31.0, 95.0, 77.5)","(91.0, 170.0, 142.0)"
06-01-2023 13:44:36.299517,"(7.0, 10.0, 9.58)","(13.0, 16.0, 15.785714285714285)","(4.6, 8.4, 7.800000000000001)","(5.0, 6.4, 6.185714285714286)","(6.0, 7.2, 7.188235294117647)","(14.0, 24.0, 20.428571428571427)","(18.0, 29.0, 24.333333333333332)","(6.5, 8.4, 7.9)","(13.0, 16.0, 15.96707818930041)","(9.0, 14.0, 12.75)","(31.0, 95.0, 77.5)","(91.0, 170.0, 142.0)"
06-01-2023 13:44:38.073532,"(7.0, 10.0, 9.58)","(13.0, 16.0, 15.85)","(4.6, 8.4, 7.866666666666667)","(5.0, 6.4, 6.185714285714286)","(6.0, 7.2, 6.24)","(14.0, 24.0, 20.428571428571427)","(18.0, 29.0, 24.333333333333332)","(6.5, 8.4, 7.566666666666667)","(13.0, 16.0, 15.966386554621849)","(9.0, 14.0, 13.0)","(31.0, 95.0, 77.5)","(91.0, 170.0, 110.0)"
06-01-2023 13:44:39.922619,"(7.0, 10.0, 9.676923076923076)","(13.0, 16.0, 15.928571428571429)","(4.6, 8.4, 7.300000000000001)","(5.0, 6.4, 6.956756756756757)","(6.0, 7.2, 6.15)","(14.0, 24.0, 20.428571428571427)","(18.0, 29.0, 24.333333333333332)","(6.5, 8.4, 7.65)","(13.0, 16.0, 15.469957081545065)","(9.0, 14.0, 13.0)","(31.0, 95.0, 77.5)","(91.0, 170.0, 110.0)"
06-01-2023 13:44:41.709465,"(7.0, 10.0, 9.676923076923076)","(13.0, 16.0, 15.928571428571429)","(4.6, 7.4, 7.300000000000001)","(5.0, 7.2, 6.942857142857143)","(6.0, 7.2, 7.15625)","(14.0, 24.0, 20.428571428571427)","(18.0, 29.0, 24.333333333333332)","(6.5, 8.4, 8.08)","(13.0, 15.5, 15.469957081545065)","(9.0, 14.0, 13.0)","(31.0, 95.0, 77.5)","(91.0, 170.0, 142.0)"
06-01-2023 13:44:43.559988,"(7.0, 10.0, 9.58)","(13.0, 16.0, 15.90909090909091)","(4.6, 7.4, 7.300000000000001)","(5.0, 7.2, 6.942857142857143)","(6.0, 7.2, 7.15625)","(14.0, 24.0, 20.428571428571427)","(18.0, 29.0, 24.333333333333332)","(6.5, 8.2, 7.88)","(13.0, 15.5, 15.469957081545065)","(9.0, 14.0, 12.8)","(31.0, 95.0, 77.5)","(91.0, 170.0, 142.0)"
06-01-2023 13:44:45.279577,"(7.0, 10.0, 9.58)","(13.0, 16.0, 15.90909090909091)","(4.6, 7.4, 7.300000000000001)","(5.0, 7.2, 6.821052631578947)","(6.0, 7.2, 7.15625)","(14.0, 24.0, 20.428571428571427)","(18.0, 29.0, 24.333333333333332)","(6.5, 8.2, 7.88)","(13.0, 15.5, 15.469957081545065)","(9.0, 14.0, 12.8)","(31.0, 95.0, 77.5)","(91.0, 170.0, 142.0)"
06-01-2023 13:44:46.976381,"(7.0, 10.0, 9.58)","(13.0, 16.0, 15.90909090909091)","(4.6, 7.4, 7.300000000000001)","(5.0, 7.2, 6.821052631578947)","(6.0, 7.2, 7.15625)","(14.0, 24.0, 20.428571428571427)","(18.0, 29.0, 24.333333333333332)","(6.5, 8.2, 7.88)","(13.0, 15.5, 15.469957081545065)","(9.0, 14.0, 12.8)","(31.0, 95.0, 77.5)","(91.0, 170.0, 142.0)"
06-01-2023 13:44:48.618820,"(7.0, 10.0, 9.58)","(13.0, 16.0, 15.90909090909091)","(4.6, 7.4, 7.300000000000001)","(5.0, 7.2, 6.821052631578947)","(6.0, 7.2, 7.15625)","(14.0, 24.0, 20.428571428571427)","(18.0, 29.0, 24.333333333333332)","(6.5, 8.2, 7.88)","(13.0, 15.5, 15.469957081545065)","(9.0, 14.0, 12.8)","(31.0, 95.0, 77.5)","(91.0, 170.0, 142.0)"
06-01-2023 13:44:50.091162,"(7.0, 10.0, 9.58)","(13.0, 16.0, 15.90909090909091)","(4.6, 7.4, 7.300000000000001)","(5.0, 7.2, 6.821052631578947)","(6.0, 7.2, 7.142857142857143)","(14.0, 24.0, 20.428571428571427)","(18.0, 29.0, 24.333333333333332)","(6.5, 8.2, 7.88)","(13.0, 15.5, 15.469957081545065)","(9.0, 14.0, 12.8)","(31.0, 95.0, 77.5)","(91.0, 170.0, 142.0)"
06-01-2023 13:44:51.680950,"(7.0, 10.0, 9.58)","(13.0, 16.0, 16.333333333333332)","(4.6, 7.4, 7.300000000000001)","(5.0, 7.2, 6.821052631578947)","(6.0, 7.2, 7.142857142857143)","(14.0, 24.0, 20.428571428571427)","(18.0, 29.0, 24.333333333333332)","(6.5, 8.2, 7.88)","(13.0, 15.5, 15.461206896551724)","(9.0, 14.0, 12.8)","(31.0, 95.0, 77.5)","(91.0, 170.0, 142.0)"
06-01-2023 13:44:53.263700,"(7.0, 10.0, 9.58)","(13.0, 16.5, 16.333333333333332)","(4.8, 7.4, 7.300000000000001)","(5.0, 7.2, 6.821052631578947)","(6.0, 7.2, 7.142857142857143)","(14.0, 24.0, 20.428571428571427)","(18.0, 29.0, 24.333333333333332)","(6.5, 8.2, 7.88)","(13.0, 15.5, 15.461206896551724)","(9.0, 14.0, 12.8)","(31.0, 95.0, 77.5)","(91.0, 170.0, 142.0)"
06-01-2023 13:44:54.940449,"(7.0, 10.0, 9.58)","(13.0, 16.5, 16.333333333333332)","(4.8, 7.4, 7.300000000000001)","(5.0, 7.2, 6.821052631578947)","(6.0, 7.2, 7.142857142857143)","(14.0, 24.0, 20.428571428571427)","(18.0, 29.0, 24.333333333333332)","(6.5, 8.2, 7.88)","(13.0, 15.5, 15.461206896551724)","(9.0, 14.0, 12.8)","(31.0, 95.0, 77.5)","(91.0, 170.0, 142.0)"
06-01-2023 13:44:56.698255,"(7.0, 10.0, 9.58)","(13.0, 16.5, 16.333333333333332)","(4.8, 7.4, 7.300000000000001)","(5.0, 7.2, 6.821052631578947)","(6.0, 7.2, 7.142857142857143)","(14.0, 24.0, 19.105263157894736)","(18.0, 29.0, 24.333333333333332)","(6.5, 8.2, 7.88)","(13.0, 15.5, 15.461206896551724)","(9.0, 14.0, 12.8)","(31.0, 95.0, 77.5)","(91.0, 170.0, 142.0)"
06-01-2023 13:44:58.608488,"(7.0, 10.0, 9.58)","(13.0, 16.5, 16.333333333333332)","(4.8, 7.4, 7.300000000000001)","(5.0, 7.2, 6.821052631578947)","(6.0, 7.2, 7.142857142857143)","(14.0, 20.0, 19.142857142857142)","(18.0, 29.0, 24.333333333333332)","(6.5, 8.2, 7.88)","(13.0, 15.5, 15.461206896551724)","(9.0, 14.0, 13.11111111111111)","(31.0, 95.0, 77.5)","(91.0, 170.0, 142.0)"
06-01-2023 13:45:00.326944,"(7.0, 10.0, 9.58)","(13.0, 16.5, 16.333333333333332)","(4.8, 7.4, 7.300000000000001)","(5.0, 7.2, 6.821052631578947)","(6.0, 7.2, 7.142857142857143)","(14.0, 20.0, 19.142857142857142)","(18.0, 29.0, 24.333333333333332)","(6.5, 8.2, 7.88)","(13.0, 15.5, 15.461206896551724)","(9.0, 14.0, 12.857142857142858)","(31.0, 95.0, 77.5)","(91.0, 170.0, 142.0)"
