,Big Time Hugo,Lar Grand Oaks,Wonder Women,Golden Logger,Big Time Bashful,Big Time Noise,Opawa Star
06-01-2023 16:24:25.448591,"(4.2, 6.4, 5.958823529411765)","(5.5, 18.5, 17.18)","(7.0, 12.0, 10.95)","(4.0, 6.2, 4.918181818181818)","(4.2, 6.4, 5.95)","(10.0, 19.0, 17.933333333333334)","(5.5, 11.5, 10.555)"
06-01-2023 16:24:26.593560,"(4.2, 6.4, 5.958823529411765)","(5.5, 18.5, 17.18)","(7.0, 12.0, 10.95)","(4.0, 6.2, 4.918181818181818)","(4.2, 6.4, 5.95)","(10.0, 19.0, 17.933333333333334)","(5.5, 11.5, 10.555)"
06-01-2023 16:24:27.672689,"(4.2, 6.4, 5.958823529411765)","(5.5, 18.5, 17.18)","(7.0, 12.0, 10.95)","(4.0, 6.2, 4.918181818181818)","(4.2, 6.4, 5.95)","(10.0, 19.0, 17.933333333333334)","(5.5, 11.5, 10.555)"
06-01-2023 16:24:28.770007,"(4.2, 6.4, 5.958823529411765)","(5.5, 18.5, 17.18)","(7.0, 12.0, 10.95)","(4.0, 6.2, 4.918181818181818)","(4.2, 6.4, 5.95)","(10.0, 19.0, 17.933333333333334)","(5.5, 11.5, 10.555)"
06-01-2023 16:24:29.828184,"(4.2, 6.4, 5.958823529411765)","(5.5, 18.5, 17.18)","(7.0, 12.0, 10.95)","(4.0, 6.2, 4.918181818181818)","(4.2, 6.4, 5.95)","(10.0, 19.0, 17.933333333333334)","(5.5, 11.5, 10.555)"
06-01-2023 16:24:30.783891,"(4.2, 6.4, 5.958823529411765)","(5.5, 18.5, 17.18)","(7.0, 12.0, 10.95)","(4.0, 6.2, 4.918181818181818)","(4.2, 6.4, 5.95)","(10.0, 19.0, 17.933333333333334)","(5.5, 11.5, 10.555)"
06-01-2023 16:24:31.933538,"(4.2, 6.4, 5.958823529411765)","(5.5, 18.5, 17.18)","(7.0, 12.0, 10.95)","(4.0, 6.2, 4.918181818181818)","(4.2, 6.4, 5.95)","(10.0, 19.0, 17.933333333333334)","(5.5, 11.5, 10.555)"
06-01-2023 16:24:33.047750,"(4.2, 6.4, 5.958823529411765)","(5.5, 18.5, 17.18)","(7.0, 12.0, 10.95)","(4.0, 6.2, 4.918181818181818)","(4.2, 6.4, 5.95)","(10.0, 19.0, 17.933333333333334)","(5.5, 11.5, 10.555)"
06-01-2023 16:24:34.092495,"(4.2, 6.4, 5.958823529411765)","(5.5, 18.5, 17.18)","(7.0, 12.0, 10.95)","(4.0, 6.2, 4.918181818181818)","(4.2, 6.4, 5.95)","(10.0, 19.0, 17.933333333333334)","(5.5, 11.5, 10.555)"
06-01-2023 16:24:35.153795,"(4.2, 6.4, 5.958823529411765)","(5.5, 18.5, 17.18)","(7.0, 12.0, 10.95)","(4.0, 6.2, 4.918181818181818)","(4.2, 6.4, 5.95)","(10.0, 19.0, 17.933333333333334)","(5.5, 11.5, 10.555)"
