,Underwater,Majestic Man,Rons Brother,Buster Up,Country Girl,Dark Ruby,Keyed Alike,Spring Lionel
07-01-2023 20:18:09.510322,"(10.0, 32.0, 26.529411764705884)","(6.5, 11.0, 8.371428571428572)","(4.6, 6.8, 5.55)","(5.5, 9.4, 6.933333333333334)","(17.0, 46.0, 30.911764705882355)","(2.9, 4.6, 3.6777777777777776)","(9.0, 18.5, 10.7125)","(6.0, 9.2, 6.418181818181818)"
07-01-2023 20:18:10.902261,"(10.0, 32.0, 26.529411764705884)","(6.5, 11.0, 8.6)","(4.6, 6.8, 5.55)","(5.5, 9.4, 6.933333333333334)","(17.0, 46.0, 30.911764705882355)","(2.9, 4.6, 3.6777777777777776)","(9.0, 18.5, 10.7125)","(6.0, 9.2, 6.418181818181818)"
07-01-2023 20:18:12.217508,"(10.0, 32.0, 26.529411764705884)","(6.5, 11.0, 8.6)","(4.6, 6.8, 5.55)","(5.5, 9.4, 6.933333333333334)","(17.0, 46.0, 30.911764705882355)","(2.9, 4.6, 3.6777777777777776)","(9.0, 18.5, 10.7125)","(6.0, 9.2, 6.418181818181818)"
07-01-2023 20:18:13.730171,"(10.0, 32.0, 26.529411764705884)","(6.5, 11.0, 8.333333333333334)","(4.6, 6.8, 5.55)","(5.5, 9.4, 6.933333333333334)","(17.0, 46.0, 30.911764705882355)","(2.9, 4.6, 3.6777777777777776)","(9.0, 18.5, 10.7125)","(6.0, 9.2, 6.333333333333333)"
07-01-2023 20:18:15.223562,"(10.0, 32.0, 26.529411764705884)","(6.5, 11.0, 8.333333333333334)","(4.6, 6.8, 5.55)","(5.5, 9.4, 6.933333333333334)","(17.0, 46.0, 30.911764705882355)","(2.9, 4.6, 3.6777777777777776)","(9.0, 18.5, 10.7125)","(6.0, 9.0, 6.333333333333333)"
07-01-2023 20:18:16.796142,"(10.0, 32.0, 26.529411764705884)","(6.5, 11.0, 8.333333333333334)","(4.6, 6.8, 5.266666666666667)","(5.5, 9.4, 6.933333333333334)","(17.0, 46.0, 30.911764705882355)","(2.9, 4.6, 3.6777777777777776)","(9.0, 18.5, 10.7125)","(6.0, 9.0, 6.333333333333333)"
07-01-2023 20:18:18.279347,"(10.0, 32.0, 26.529411764705884)","(6.5, 11.0, 8.333333333333334)","(4.6, 6.8, 5.266666666666667)","(5.5, 9.4, 6.933333333333334)","(17.0, 46.0, 30.911764705882355)","(2.9, 4.6, 3.6777777777777776)","(9.0, 18.5, 10.7125)","(6.0, 9.0, 6.333333333333333)"
07-01-2023 20:18:19.797904,"(10.0, 32.0, 26.529411764705884)","(6.5, 11.0, 8.333333333333334)","(4.6, 6.8, 5.266666666666667)","(5.5, 9.4, 6.933333333333334)","(17.0, 46.0, 30.911764705882355)","(2.9, 4.6, 3.6777777777777776)","(9.0, 18.5, 10.7125)","(6.0, 9.0, 6.333333333333333)"
07-01-2023 20:18:21.324339,"(10.0, 32.0, 26.529411764705884)","(6.5, 11.0, 8.333333333333334)","(4.6, 6.8, 5.266666666666667)","(5.5, 9.4, 6.933333333333334)","(17.0, 46.0, 30.911764705882355)","(2.9, 4.6, 3.6777777777777776)","(9.0, 18.5, 10.7125)","(6.0, 9.0, 6.333333333333333)"
07-01-2023 20:18:22.750308,"(10.0, 32.0, 26.529411764705884)","(6.5, 11.0, 8.333333333333334)","(4.6, 6.8, 5.0)","(5.5, 9.4, 6.933333333333334)","(17.0, 46.0, 30.911764705882355)","(2.9, 4.6, 3.6777777777777776)","(9.0, 18.5, 10.7125)","(6.0, 9.0, 6.333333333333333)"
