,Quincee Bale,Heffernan Bale,Rita Bale,Settlement Day,Tails Of Woe,Arts Inferno
07-01-2023 20:24:40.394045,"(3.3, 5.8, 4.194117647058824)","(2.2, 3.2, 2.8463157894736844)","(5.0, 8.2, 6.7625)","(5.0, 8.0, 8.095238095238095)","(17.0, 50.0, 32.22222222222222)","(18.0, 55.0, 28.454545454545453)"
07-01-2023 20:24:41.458561,"(3.3, 5.8, 4.194117647058824)","(2.2, 3.2, 2.8463157894736844)","(5.0, 8.0, 6.7625)","(5.0, 8.2, 8.095238095238095)","(17.0, 50.0, 32.22222222222222)","(18.0, 55.0, 28.454545454545453)"
07-01-2023 20:24:42.633769,"(3.3, 5.8, 4.194117647058824)","(2.2, 3.2, 2.8463157894736844)","(5.0, 8.0, 6.7625)","(5.0, 8.2, 8.095238095238095)","(17.0, 50.0, 32.22222222222222)","(18.0, 55.0, 28.454545454545453)"
07-01-2023 20:24:43.737921,"(3.3, 5.8, 4.194117647058824)","(2.2, 3.2, 2.8463157894736844)","(5.0, 8.0, 6.7625)","(5.0, 8.2, 8.095238095238095)","(17.0, 50.0, 32.22222222222222)","(18.0, 55.0, 28.454545454545453)"
07-01-2023 20:24:44.856391,"(3.3, 5.8, 4.194117647058824)","(2.2, 3.15, 2.6818518518518517)","(5.0, 8.0, 6.7625)","(5.0, 8.2, 8.095238095238095)","(17.0, 50.0, 32.22222222222222)","(18.0, 55.0, 28.454545454545453)"
07-01-2023 20:24:45.814302,"(3.3, 5.8, 4.194117647058824)","(2.2, 3.15, 2.6818518518518517)","(5.0, 8.0, 6.7625)","(5.0, 8.2, 8.095238095238095)","(17.0, 50.0, 32.22222222222222)","(18.0, 55.0, 28.454545454545453)"
07-01-2023 20:24:46.885881,"(3.3, 5.8, 4.194117647058824)","(2.2, 3.15, 2.6818518518518517)","(5.0, 8.0, 6.7625)","(5.0, 8.2, 8.095238095238095)","(17.0, 50.0, 32.22222222222222)","(18.0, 55.0, 28.454545454545453)"
07-01-2023 20:24:47.968559,"(3.3, 5.8, 4.194117647058824)","(2.2, 3.15, 2.6818518518518517)","(5.0, 8.0, 6.7625)","(5.0, 8.2, 8.095238095238095)","(17.0, 50.0, 32.22222222222222)","(18.0, 55.0, 28.454545454545453)"
07-01-2023 20:24:48.976070,"(3.3, 5.8, 4.194117647058824)","(2.2, 3.15, 2.6818518518518517)","(5.0, 8.0, 6.7625)","(5.0, 8.2, 8.095238095238095)","(17.0, 50.0, 32.22222222222222)","(18.0, 55.0, 28.454545454545453)"
07-01-2023 20:24:49.971999,"(3.3, 5.8, 4.194117647058824)","(2.2, 3.15, 2.6818518518518517)","(5.0, 8.0, 6.4837837837837835)","(5.0, 8.2, 8.095238095238095)","(17.0, 50.0, 32.22222222222222)","(18.0, 55.0, 28.454545454545453)"
07-01-2023 20:24:50.913584,"(3.3, 5.8, 4.194117647058824)","(2.2, 3.15, 2.6818518518518517)","(5.0, 8.0, 6.4837837837837835)","(5.0, 8.2, 8.095238095238095)","(17.0, 50.0, 32.22222222222222)","(18.0, 55.0, 28.454545454545453)"
07-01-2023 20:24:51.809145,"(3.3, 5.8, 4.194117647058824)","(2.2, 3.15, 2.6818518518518517)","(5.0, 8.0, 7.34)","(5.0, 8.2, 8.095238095238095)","(17.0, 50.0, 32.22222222222222)","(18.0, 55.0, 28.454545454545453)"
07-01-2023 20:24:52.743817,"(3.3, 5.8, 4.194117647058824)","(2.2, 3.15, 2.6818518518518517)","(5.0, 8.0, 7.34)","(5.0, 8.2, 8.095238095238095)","(17.0, 50.0, 32.22222222222222)","(18.0, 55.0, 28.454545454545453)"
07-01-2023 20:24:53.719291,"(3.3, 5.8, 4.194117647058824)","(2.2, 3.15, 2.6818518518518517)","(5.0, 8.0, 7.34)","(5.0, 8.2, 8.095238095238095)","(17.0, 50.0, 32.22222222222222)","(18.0, 55.0, 28.454545454545453)"
07-01-2023 20:24:54.821010,"(3.3, 5.8, 4.194117647058824)","(2.2, 3.15, 2.6818518518518517)","(5.0, 8.0, 7.34)","(5.0, 8.2, 8.095238095238095)","(17.0, 50.0, 32.22222222222222)","(18.0, 55.0, 28.454545454545453)"
07-01-2023 20:24:55.942516,"(3.3, 5.8, 4.194117647058824)","(2.2, 3.15, 2.6818518518518517)","(5.0, 8.0, 7.34)","(5.0, 8.2, 8.095238095238095)","(17.0, 50.0, 32.22222222222222)","(18.0, 55.0, 28.454545454545453)"
07-01-2023 20:24:56.900123,"(3.3, 5.8, 4.194117647058824)","(2.2, 3.15, 2.6818518518518517)","(5.0, 8.0, 7.34)","(5.0, 8.2, 8.095238095238095)","(17.0, 50.0, 32.22222222222222)","(18.0, 55.0, 28.454545454545453)"
07-01-2023 20:24:57.936990,"(3.3, 5.8, 4.194117647058824)","(2.2, 3.15, 2.6818518518518517)","(5.0, 8.0, 7.34)","(5.0, 8.2, 8.095238095238095)","(17.0, 50.0, 32.22222222222222)","(18.0, 55.0, 28.454545454545453)"
07-01-2023 20:24:58.976524,"(3.3, 5.8, 4.194117647058824)","(2.2, 3.15, 2.6818518518518517)","(5.0, 8.0, 7.34)","(5.0, 8.2, 8.095238095238095)","(17.0, 50.0, 32.22222222222222)","(18.0, 55.0, 28.454545454545453)"
07-01-2023 20:25:00.071173,"(3.3, 5.8, 4.194117647058824)","(2.2, 3.15, 2.6818518518518517)","(5.0, 8.0, 7.34)","(5.0, 8.2, 8.095238095238095)","(17.0, 50.0, 32.22222222222222)","(18.0, 55.0, 28.454545454545453)"
07-01-2023 20:25:01.229814,"(3.3, 5.8, 4.194117647058824)","(2.2, 3.15, 2.6818518518518517)","(5.0, 8.0, 7.34)","(5.0, 8.2, 8.095238095238095)","(17.0, 50.0, 32.22222222222222)","(18.0, 55.0, 28.454545454545453)"
07-01-2023 20:25:02.491278,"(3.3, 5.8, 4.194117647058824)","(2.2, 3.15, 2.6818518518518517)","(5.0, 8.0, 7.34)","(5.0, 8.2, 8.095238095238095)","(17.0, 50.0, 32.22222222222222)","(18.0, 55.0, 28.454545454545453)"
07-01-2023 20:25:03.701399,"(3.3, 5.8, 4.194117647058824)","(2.2, 3.15, 2.6818518518518517)","(5.0, 8.0, 7.34)","(5.0, 8.2, 8.095238095238095)","(17.0, 50.0, 32.22222222222222)","(18.0, 55.0, 28.454545454545453)"
07-01-2023 20:25:04.663080,"(3.3, 5.8, 4.194117647058824)","(2.2, 2.8, 2.6288888888888886)","(5.0, 8.0, 7.34)","(5.0, 8.2, 8.095238095238095)","(17.0, 50.0, 32.22222222222222)","(18.0, 55.0, 28.454545454545453)"
07-01-2023 20:25:05.749141,"(3.3, 5.8, 4.194117647058824)","(2.2, 2.8, 2.6288888888888886)","(5.0, 8.0, 6.241666666666667)","(5.0, 8.2, 7.7142857142857135)","(17.0, 50.0, 32.22222222222222)","(18.0, 55.0, 28.454545454545453)"
07-01-2023 20:25:06.883513,"(3.3, 5.8, 4.194117647058824)","(2.2, 3.15, 2.6818518518518517)","(5.0, 8.4, 6.241666666666667)","(5.0, 7.8, 8.095238095238095)","(17.0, 50.0, 32.22222222222222)","(18.0, 55.0, 28.454545454545453)"
07-01-2023 20:25:07.967771,"(3.3, 5.8, 4.194117647058824)","(2.2, 3.15, 2.6818518518518517)","(5.0, 8.4, 6.241666666666667)","(5.0, 8.2, 8.095238095238095)","(17.0, 50.0, 32.22222222222222)","(18.0, 55.0, 28.454545454545453)"
07-01-2023 20:25:08.989379,"(3.3, 5.8, 4.194117647058824)","(2.2, 3.15, 2.608285714285714)","(5.0, 8.4, 6.241666666666667)","(5.0, 8.2, 8.095238095238095)","(17.0, 50.0, 32.22222222222222)","(18.0, 55.0, 28.454545454545453)"
07-01-2023 20:25:09.906873,"(3.3, 5.8, 3.56875)","(2.2, 3.15, 2.608285714285714)","(5.0, 8.0, 7.34)","(5.0, 8.2, 8.095238095238095)","(17.0, 50.0, 32.22222222222222)","(18.0, 55.0, 28.454545454545453)"
07-01-2023 20:25:10.797896,"(3.3, 5.8, 3.56875)","(2.2, 3.15, 2.608285714285714)","(5.0, 8.0, 7.34)","(5.0, 8.2, 8.095238095238095)","(17.0, 50.0, 32.22222222222222)","(18.0, 55.0, 28.454545454545453)"
07-01-2023 20:25:11.890570,"(3.3, 5.8, 3.56875)","(2.2, 3.15, 2.608285714285714)","(5.0, 8.0, 7.34)","(5.0, 8.2, 8.095238095238095)","(17.0, 50.0, 32.22222222222222)","(18.0, 55.0, 28.454545454545453)"
07-01-2023 20:25:12.948247,"(3.3, 5.8, 3.56875)","(2.2, 3.15, 2.608285714285714)","(5.0, 8.0, 6.4837837837837835)","(5.0, 8.2, 8.095238095238095)","(17.0, 50.0, 32.22222222222222)","(18.0, 55.0, 28.454545454545453)"
07-01-2023 20:25:14.075108,"(3.3, 5.8, 3.56875)","(2.2, 3.15, 2.608285714285714)","(5.0, 8.0, 6.4837837837837835)","(5.0, 8.2, 8.095238095238095)","(17.0, 50.0, 27.5)","(18.0, 55.0, 26.2)"
07-01-2023 20:25:15.030342,"(3.3, 5.8, 3.56875)","(2.2, 3.15, 2.4655555555555555)","(5.0, 8.0, 6.4837837837837835)","(5.0, 8.2, 8.095238095238095)","(17.0, 50.0, 27.5)","(18.0, 55.0, 26.2)"
07-01-2023 20:25:15.901741,"(3.3, 5.8, 3.56875)","(2.2, 3.15, 2.4655555555555555)","(5.0, 8.0, 6.4837837837837835)","(5.0, 8.2, 8.095238095238095)","(17.0, 50.0, 27.5)","(18.0, 55.0, 26.2)"
07-01-2023 20:25:16.988686,"(3.3, 5.8, 3.56875)","(2.2, 3.15, 2.4655555555555555)","(5.0, 8.0, 6.4837837837837835)","(5.0, 8.2, 8.095238095238095)","(17.0, 50.0, 27.5)","(18.0, 55.0, 26.2)"
07-01-2023 20:25:18.105730,"(3.3, 5.8, 3.56875)","(2.2, 3.15, 2.4655555555555555)","(5.0, 8.0, 6.4837837837837835)","(5.0, 8.2, 8.095238095238095)","(17.0, 50.0, 27.5)","(18.0, 55.0, 26.2)"
07-01-2023 20:25:19.218698,"(3.3, 5.8, 3.56875)","(2.2, 3.15, 2.4655555555555555)","(5.0, 8.0, 6.4837837837837835)","(5.0, 8.2, 8.095238095238095)","(17.0, 50.0, 27.5)","(18.0, 55.0, 26.2)"
07-01-2023 20:25:20.283878,"(3.3, 5.8, 3.56875)","(2.2, 3.15, 2.4655555555555555)","(5.0, 8.0, 6.4837837837837835)","(5.0, 8.2, 8.095238095238095)","(17.0, 50.0, 27.5)","(18.0, 55.0, 26.2)"
07-01-2023 20:25:21.283605,"(3.3, 5.8, 3.56875)","(2.2, 3.15, 2.4655555555555555)","(5.0, 8.0, 6.4837837837837835)","(5.0, 8.2, 8.095238095238095)","(17.0, 50.0, 27.5)","(18.0, 55.0, 26.2)"
07-01-2023 20:25:22.315811,"(3.3, 5.8, 3.56875)","(2.2, 3.15, 2.4655555555555555)","(5.0, 7.8, 6.3315789473684205)","(5.0, 8.2, 8.095238095238095)","(17.0, 50.0, 27.5)","(18.0, 55.0, 26.2)"
07-01-2023 20:25:23.460614,"(3.3, 5.8, 3.56875)","(2.2, 3.15, 2.4655555555555555)","(5.0, 7.8, 6.3315789473684205)","(5.0, 8.2, 8.095238095238095)","(17.0, 50.0, 27.5)","(18.0, 55.0, 26.2)"
07-01-2023 20:25:24.605237,"(3.3, 5.8, 3.56875)","(2.2, 3.15, 2.4655555555555555)","(5.0, 7.8, 6.3315789473684205)","(5.0, 8.2, 8.095238095238095)","(17.0, 50.0, 27.5)","(18.0, 55.0, 26.2)"
07-01-2023 20:25:25.713055,"(3.3, 5.8, 3.56875)","(2.2, 3.15, 2.4655555555555555)","(5.0, 7.8, 6.3315789473684205)","(5.0, 8.2, 8.095238095238095)","(17.0, 50.0, 27.5)","(18.0, 55.0, 26.2)"
