,Irish Brandy,Demolition,Cherries On Fire,Towering Star,Go Diablo,Juicy Que,Easy Street,Faux Allie
07-01-2023 09:21:49.704099,"(3.6, 7.0, 5.3)","(21.0, 65.0, 39.16666666666667)","(3.2, 5.2, 4.345833333333333)","(4.4, 8.0, 6.936)","(13.0, 36.0, 30.67391304347826)","(5.5, 13.0, 6.511111111111111)","(11.0, 26.0, 21.555555555555557)","(10.0, 22.0, 18.799999999999997)"
07-01-2023 09:21:50.886249,"(3.6, 7.0, 5.3)","(21.0, 65.0, 39.16666666666667)","(3.2, 5.2, 4.345833333333333)","(4.4, 8.0, 6.936)","(13.0, 36.0, 30.67391304347826)","(5.5, 13.0, 6.511111111111111)","(11.0, 26.0, 21.555555555555557)","(10.0, 22.0, 18.799999999999997)"
07-01-2023 09:21:52.007058,"(3.6, 7.0, 5.3)","(21.0, 65.0, 39.16666666666667)","(3.2, 5.2, 4.345833333333333)","(4.4, 8.0, 6.936)","(13.0, 36.0, 30.67391304347826)","(5.5, 13.0, 6.511111111111111)","(11.0, 26.0, 21.555555555555557)","(10.0, 22.0, 18.799999999999997)"
07-01-2023 09:21:53.163247,"(3.6, 7.0, 5.3)","(21.0, 65.0, 39.16666666666667)","(3.2, 5.2, 4.345833333333333)","(4.4, 8.0, 6.936)","(13.0, 36.0, 30.67391304347826)","(5.5, 13.0, 6.511111111111111)","(11.0, 26.0, 21.555555555555557)","(10.0, 22.0, 18.799999999999997)"
07-01-2023 09:21:54.294743,"(3.6, 7.0, 5.3)","(21.0, 65.0, 39.16666666666667)","(3.2, 5.2, 4.345833333333333)","(4.4, 8.0, 6.936)","(13.0, 36.0, 30.67391304347826)","(5.5, 13.0, 6.511111111111111)","(11.0, 26.0, 21.555555555555557)","(10.0, 22.0, 18.799999999999997)"
07-01-2023 09:21:55.406267,"(3.6, 7.0, 5.3)","(21.0, 65.0, 39.16666666666667)","(3.2, 5.2, 4.345833333333333)","(4.4, 8.0, 6.936)","(13.0, 36.0, 30.67391304347826)","(5.5, 13.0, 6.511111111111111)","(11.0, 26.0, 21.555555555555557)","(10.0, 22.0, 18.799999999999997)"
07-01-2023 09:21:56.544514,"(3.6, 7.0, 5.3)","(21.0, 65.0, 39.16666666666667)","(3.2, 5.2, 4.345833333333333)","(4.4, 8.0, 6.936)","(13.0, 36.0, 30.67391304347826)","(5.5, 13.0, 6.511111111111111)","(11.0, 26.0, 21.555555555555557)","(10.0, 22.0, 18.799999999999997)"
07-01-2023 09:21:57.611994,"(3.6, 7.0, 5.3)","(21.0, 65.0, 39.16666666666667)","(3.2, 5.2, 4.345833333333333)","(4.4, 8.0, 6.936)","(13.0, 36.0, 30.67391304347826)","(5.5, 13.0, 6.511111111111111)","(11.0, 26.0, 21.555555555555557)","(10.0, 22.0, 18.799999999999997)"
07-01-2023 09:21:58.740204,"(3.6, 7.0, 5.3)","(21.0, 65.0, 39.16666666666667)","(3.2, 5.2, 4.345833333333333)","(4.4, 8.0, 6.936)","(13.0, 36.0, 30.67391304347826)","(5.5, 13.0, 6.511111111111111)","(11.0, 26.0, 21.555555555555557)","(10.0, 22.0, 18.799999999999997)"
07-01-2023 09:21:59.824910,"(3.6, 7.0, 5.3)","(21.0, 65.0, 39.16666666666667)","(3.2, 5.2, 4.345833333333333)","(4.4, 8.0, 6.936)","(13.0, 36.0, 30.67391304347826)","(5.5, 13.0, 6.511111111111111)","(11.0, 26.0, 21.555555555555557)","(10.0, 22.0, 18.799999999999997)"
07-01-2023 09:22:00.955275,"(3.6, 7.0, 5.3)","(21.0, 65.0, 39.16666666666667)","(3.2, 5.2, 4.345833333333333)","(4.4, 8.0, 6.936)","(13.0, 36.0, 30.67391304347826)","(5.5, 13.0, 6.511111111111111)","(11.0, 26.0, 21.555555555555557)","(10.0, 22.0, 18.799999999999997)"
07-01-2023 09:22:02.221068,"(3.6, 7.0, 5.3)","(21.0, 65.0, 39.16666666666667)","(3.2, 5.2, 4.345833333333333)","(4.4, 8.0, 6.936)","(13.0, 36.0, 30.67391304347826)","(5.5, 13.0, 6.511111111111111)","(11.0, 26.0, 21.555555555555557)","(10.0, 22.0, 18.799999999999997)"
07-01-2023 09:22:03.481515,"(3.6, 7.0, 5.3)","(21.0, 65.0, 39.16666666666667)","(3.2, 5.2, 4.345833333333333)","(4.4, 8.0, 6.936)","(13.0, 36.0, 30.67391304347826)","(5.5, 13.0, 6.511111111111111)","(11.0, 26.0, 21.555555555555557)","(10.0, 22.0, 18.799999999999997)"
07-01-2023 09:22:04.655460,"(3.6, 7.0, 5.3)","(21.0, 65.0, 39.16666666666667)","(3.2, 5.2, 4.345833333333333)","(4.4, 8.0, 6.936)","(13.0, 36.0, 30.67391304347826)","(5.5, 13.0, 6.511111111111111)","(11.0, 26.0, 21.555555555555557)","(10.0, 22.0, 18.799999999999997)"
07-01-2023 09:22:05.863242,"(3.6, 7.0, 5.3)","(21.0, 65.0, 39.16666666666667)","(3.2, 5.2, 4.345833333333333)","(4.4, 8.0, 6.936)","(13.0, 36.0, 30.67391304347826)","(5.5, 13.0, 6.511111111111111)","(11.0, 26.0, 21.555555555555557)","(10.0, 22.0, 18.799999999999997)"
07-01-2023 09:22:07.034622,"(3.6, 7.0, 5.3)","(21.0, 65.0, 39.16666666666667)","(3.2, 5.2, 4.345833333333333)","(4.4, 8.0, 6.936)","(13.0, 36.0, 30.67391304347826)","(5.5, 13.0, 6.511111111111111)","(11.0, 26.0, 21.555555555555557)","(10.0, 22.0, 18.799999999999997)"
07-01-2023 09:22:08.155860,"(3.6, 7.0, 5.3)","(21.0, 65.0, 39.16666666666667)","(3.2, 5.2, 4.345833333333333)","(4.4, 8.0, 6.936)","(13.0, 36.0, 30.67391304347826)","(5.5, 13.0, 6.511111111111111)","(11.0, 26.0, 21.555555555555557)","(10.0, 22.0, 18.799999999999997)"
07-01-2023 09:22:09.312048,"(3.6, 7.0, 5.3)","(21.0, 65.0, 39.16666666666667)","(3.2, 5.2, 4.345833333333333)","(4.4, 8.0, 6.936)","(13.0, 36.0, 30.67391304347826)","(5.5, 13.0, 6.511111111111111)","(11.0, 26.0, 21.555555555555557)","(10.0, 22.0, 18.799999999999997)"
07-01-2023 09:22:10.461474,"(3.6, 7.0, 5.3)","(21.0, 65.0, 39.16666666666667)","(3.2, 5.2, 4.345833333333333)","(4.4, 8.0, 6.936)","(13.0, 36.0, 30.67391304347826)","(5.5, 13.0, 6.511111111111111)","(11.0, 26.0, 21.555555555555557)","(10.0, 22.0, 18.799999999999997)"
07-01-2023 09:22:11.613813,"(3.6, 7.0, 5.3)","(21.0, 65.0, 39.16666666666667)","(3.2, 5.2, 4.345833333333333)","(4.4, 8.0, 6.936)","(13.0, 36.0, 30.67391304347826)","(5.5, 13.0, 6.511111111111111)","(11.0, 26.0, 21.555555555555557)","(10.0, 22.0, 18.799999999999997)"
07-01-2023 09:22:12.795477,"(3.6, 7.0, 5.3)","(21.0, 65.0, 39.16666666666667)","(3.2, 5.2, 4.345833333333333)","(4.4, 8.0, 6.936)","(13.0, 36.0, 30.67391304347826)","(5.5, 13.0, 6.511111111111111)","(11.0, 26.0, 21.555555555555557)","(10.0, 22.0, 18.799999999999997)"
07-01-2023 09:22:13.901260,"(3.6, 7.0, 5.3)","(21.0, 65.0, 39.16666666666667)","(3.2, 5.2, 4.345833333333333)","(4.4, 8.0, 6.936)","(13.0, 36.0, 30.67391304347826)","(5.5, 13.0, 6.511111111111111)","(11.0, 26.0, 21.555555555555557)","(10.0, 22.0, 18.799999999999997)"
07-01-2023 09:22:15.037276,"(3.6, 7.0, 5.3)","(21.0, 65.0, 39.16666666666667)","(3.2, 5.2, 4.345833333333333)","(4.4, 8.0, 6.936)","(13.0, 36.0, 30.67391304347826)","(5.5, 13.0, 6.511111111111111)","(11.0, 26.0, 21.555555555555557)","(10.0, 22.0, 18.799999999999997)"
07-01-2023 09:22:16.290345,"(3.6, 7.0, 5.3)","(21.0, 65.0, 39.16666666666667)","(3.2, 5.2, 4.345833333333333)","(4.4, 8.0, 6.936)","(13.0, 36.0, 30.67391304347826)","(5.5, 13.0, 6.511111111111111)","(11.0, 26.0, 21.555555555555557)","(10.0, 22.0, 18.799999999999997)"
07-01-2023 09:22:17.459514,"(3.6, 7.0, 5.3)","(21.0, 65.0, 39.16666666666667)","(3.2, 5.2, 4.345833333333333)","(4.4, 8.0, 6.936)","(13.0, 36.0, 30.67391304347826)","(5.5, 13.0, 6.511111111111111)","(11.0, 26.0, 21.555555555555557)","(10.0, 22.0, 18.799999999999997)"
07-01-2023 09:22:18.656555,"(3.6, 7.0, 5.3)","(21.0, 65.0, 39.16666666666667)","(3.2, 5.2, 4.345833333333333)","(4.4, 8.0, 6.936)","(13.0, 36.0, 30.67391304347826)","(5.5, 13.0, 6.511111111111111)","(11.0, 26.0, 21.555555555555557)","(10.0, 22.0, 18.799999999999997)"
07-01-2023 09:22:19.861952,"(3.6, 7.0, 5.3)","(21.0, 65.0, 39.16666666666667)","(3.2, 5.2, 4.345833333333333)","(4.4, 8.0, 6.936)","(13.0, 36.0, 30.67391304347826)","(5.5, 13.0, 6.511111111111111)","(11.0, 26.0, 21.555555555555557)","(10.0, 22.0, 18.799999999999997)"
07-01-2023 09:22:21.088063,"(3.6, 7.0, 5.3)","(21.0, 65.0, 39.16666666666667)","(3.2, 5.2, 4.345833333333333)","(4.4, 8.0, 6.936)","(13.0, 36.0, 30.67391304347826)","(5.5, 13.0, 6.511111111111111)","(11.0, 26.0, 21.555555555555557)","(10.0, 22.0, 18.799999999999997)"
07-01-2023 09:22:22.418396,"(3.6, 7.0, 5.3)","(21.0, 65.0, 39.16666666666667)","(3.2, 5.2, 4.345833333333333)","(4.4, 8.0, 6.936)","(13.0, 36.0, 30.67391304347826)","(5.5, 13.0, 6.511111111111111)","(11.0, 26.0, 21.555555555555557)","(10.0, 22.0, 18.799999999999997)"
07-01-2023 09:22:23.659744,"(3.6, 7.0, 5.3)","(21.0, 65.0, 39.16666666666667)","(3.2, 5.2, 4.345833333333333)","(4.4, 8.0, 6.936)","(13.0, 36.0, 30.67391304347826)","(5.5, 13.0, 6.511111111111111)","(11.0, 26.0, 21.555555555555557)","(10.0, 22.0, 18.799999999999997)"
07-01-2023 09:22:24.873697,"(3.6, 7.0, 5.3)","(21.0, 65.0, 39.16666666666667)","(3.2, 5.2, 4.345833333333333)","(4.4, 8.0, 6.936)","(13.0, 36.0, 30.67391304347826)","(5.5, 13.0, 6.511111111111111)","(11.0, 26.0, 21.555555555555557)","(10.0, 22.0, 18.799999999999997)"
07-01-2023 09:22:26.028629,"(3.6, 7.0, 5.3)","(21.0, 65.0, 39.16666666666667)","(3.2, 5.2, 4.345833333333333)","(4.4, 8.0, 6.936)","(13.0, 36.0, 30.67391304347826)","(5.5, 13.0, 6.511111111111111)","(11.0, 26.0, 21.555555555555557)","(10.0, 22.0, 18.799999999999997)"
07-01-2023 09:22:27.173251,"(3.6, 7.0, 5.3)","(21.0, 65.0, 39.16666666666667)","(3.2, 5.2, 4.345833333333333)","(4.4, 8.0, 6.936)","(13.0, 36.0, 30.67391304347826)","(5.5, 13.0, 6.511111111111111)","(11.0, 26.0, 21.555555555555557)","(10.0, 22.0, 18.799999999999997)"
07-01-2023 09:22:28.343010,"(3.6, 7.0, 5.3)","(21.0, 65.0, 39.16666666666667)","(3.2, 5.2, 4.345833333333333)","(4.4, 8.0, 6.936)","(13.0, 36.0, 30.67391304347826)","(5.5, 13.0, 6.511111111111111)","(11.0, 26.0, 21.555555555555557)","(10.0, 22.0, 18.799999999999997)"
07-01-2023 09:22:29.533905,"(3.6, 7.0, 5.3)","(21.0, 65.0, 39.16666666666667)","(3.2, 5.2, 4.345833333333333)","(4.4, 8.0, 6.936)","(13.0, 36.0, 30.67391304347826)","(5.5, 13.0, 6.511111111111111)","(11.0, 26.0, 21.555555555555557)","(10.0, 22.0, 18.799999999999997)"
07-01-2023 09:22:30.685047,"(3.6, 7.0, 5.3)","(21.0, 65.0, 39.16666666666667)","(3.2, 5.2, 4.345833333333333)","(4.4, 8.0, 6.936)","(13.0, 36.0, 30.67391304347826)","(5.5, 13.0, 6.511111111111111)","(11.0, 26.0, 21.555555555555557)","(10.0, 22.0, 18.799999999999997)"
07-01-2023 09:22:31.878784,"(3.6, 7.0, 5.3)","(21.0, 65.0, 39.16666666666667)","(3.2, 5.2, 4.345833333333333)","(4.4, 8.0, 6.936)","(13.0, 36.0, 30.67391304347826)","(5.5, 13.0, 6.511111111111111)","(11.0, 26.0, 21.555555555555557)","(10.0, 22.0, 18.799999999999997)"
07-01-2023 09:22:33.106219,"(3.6, 7.0, 5.3)","(21.0, 65.0, 39.16666666666667)","(3.2, 5.2, 4.345833333333333)","(4.4, 8.0, 6.936)","(13.0, 36.0, 30.67391304347826)","(5.5, 13.0, 6.511111111111111)","(11.0, 26.0, 21.555555555555557)","(10.0, 22.0, 18.799999999999997)"
07-01-2023 09:22:34.259539,"(3.6, 7.0, 5.3)","(21.0, 65.0, 39.16666666666667)","(3.2, 5.2, 4.345833333333333)","(4.4, 8.0, 6.936)","(13.0, 36.0, 30.67391304347826)","(5.5, 13.0, 6.511111111111111)","(11.0, 26.0, 21.555555555555557)","(10.0, 22.0, 18.799999999999997)"
07-01-2023 09:22:35.380990,"(3.6, 7.0, 5.3)","(21.0, 65.0, 39.16666666666667)","(3.2, 5.2, 4.345833333333333)","(4.4, 8.0, 6.936)","(13.0, 36.0, 30.67391304347826)","(5.5, 13.0, 6.511111111111111)","(11.0, 26.0, 21.555555555555557)","(10.0, 22.0, 18.799999999999997)"
07-01-2023 09:22:36.531685,"(3.6, 7.0, 5.3)","(21.0, 65.0, 39.16666666666667)","(3.2, 5.2, 4.345833333333333)","(4.4, 8.0, 6.936)","(13.0, 36.0, 30.67391304347826)","(5.5, 13.0, 6.511111111111111)","(11.0, 26.0, 21.555555555555557)","(10.0, 22.0, 18.799999999999997)"
07-01-2023 09:22:37.825926,"(3.6, 7.0, 5.3)","(21.0, 65.0, 39.16666666666667)","(3.2, 5.2, 4.345833333333333)","(4.4, 8.0, 6.936)","(13.0, 36.0, 30.67391304347826)","(5.5, 13.0, 6.511111111111111)","(11.0, 26.0, 21.555555555555557)","(10.0, 22.0, 18.799999999999997)"
07-01-2023 09:22:39.094257,"(3.6, 7.0, 5.3)","(21.0, 65.0, 39.16666666666667)","(3.2, 5.2, 4.345833333333333)","(4.4, 8.0, 6.936)","(13.0, 36.0, 30.67391304347826)","(5.5, 13.0, 6.511111111111111)","(11.0, 26.0, 21.555555555555557)","(10.0, 22.0, 18.799999999999997)"
07-01-2023 09:22:40.317600,"(3.6, 7.0, 5.3)","(21.0, 65.0, 39.16666666666667)","(3.2, 5.2, 4.345833333333333)","(4.4, 8.0, 6.936)","(13.0, 36.0, 30.67391304347826)","(5.5, 13.0, 6.511111111111111)","(11.0, 26.0, 21.555555555555557)","(10.0, 22.0, 18.799999999999997)"
07-01-2023 09:22:41.764144,"(3.6, 7.0, 5.3)","(21.0, 65.0, 39.16666666666667)","(3.2, 5.2, 4.345833333333333)","(4.4, 8.0, 6.936)","(13.0, 36.0, 30.67391304347826)","(5.5, 13.0, 6.511111111111111)","(11.0, 26.0, 21.555555555555557)","(10.0, 22.0, 18.799999999999997)"
