,Happy Charlie,Run To Daylight,Spunman,Hot Fudge Sonde,Noid,Humpty Grumpty,Allen Can Do It,Debit Card
07-01-2023 12:55:38.172296,"(19.0, 230.0, 175.125)","(9.0, 16.0, 12.457142857142857)","(13.0, 55.0, 51.57692307692307)","(4.0, 5.6, 5.1)","(12.0, 23.0, 15.5)","(17.0, 140.0, 121.78571428571429)","(15.0, 230.0, 175.125)","(1.85, 230.0, 173.02)"
07-01-2023 12:55:39.411767,"(19.0, 230.0, 175.125)","(9.0, 16.0, 12.457142857142857)","(13.0, 55.0, 51.57692307692307)","(4.0, 5.6, 5.1)","(12.0, 23.0, 15.5)","(17.0, 140.0, 121.78571428571429)","(15.0, 230.0, 175.125)","(1.85, 230.0, 173.02)"
07-01-2023 12:55:40.750911,"(19.0, 230.0, 175.125)","(9.0, 16.0, 12.457142857142857)","(13.0, 55.0, 51.57692307692307)","(4.0, 5.6, 5.1)","(12.0, 23.0, 15.5)","(17.0, 140.0, 121.78571428571429)","(15.0, 230.0, 175.125)","(1.85, 230.0, 173.02)"
07-01-2023 12:55:42.035154,"(19.0, 230.0, 175.125)","(9.0, 16.0, 12.457142857142857)","(13.0, 55.0, 51.57692307692307)","(4.0, 5.6, 5.1)","(12.0, 23.0, 15.5)","(17.0, 140.0, 121.78571428571429)","(15.0, 230.0, 175.125)","(1.85, 230.0, 173.02)"
07-01-2023 12:55:43.306466,"(19.0, 230.0, 175.125)","(9.0, 16.0, 12.457142857142857)","(13.0, 55.0, 51.57692307692307)","(4.0, 5.6, 5.1)","(12.0, 23.0, 15.5)","(17.0, 140.0, 121.78571428571429)","(15.0, 230.0, 175.125)","(1.85, 230.0, 173.02)"
07-01-2023 12:55:44.405208,"(19.0, 230.0, 175.125)","(9.0, 16.0, 12.457142857142857)","(13.0, 55.0, 51.57692307692307)","(4.0, 5.6, 5.1)","(12.0, 23.0, 15.5)","(17.0, 140.0, 121.78571428571429)","(15.0, 230.0, 175.125)","(1.85, 230.0, 173.02)"
07-01-2023 12:55:45.594187,"(19.0, 230.0, 175.125)","(9.0, 16.0, 12.457142857142857)","(13.0, 55.0, 51.57692307692307)","(4.0, 5.6, 5.1)","(12.0, 23.0, 15.5)","(17.0, 140.0, 121.78571428571429)","(15.0, 230.0, 175.125)","(1.85, 230.0, 173.02)"
07-01-2023 12:55:46.799677,"(19.0, 230.0, 175.125)","(9.0, 16.0, 12.457142857142857)","(13.0, 55.0, 51.57692307692307)","(4.0, 5.6, 5.1)","(12.0, 23.0, 15.5)","(17.0, 140.0, 121.78571428571429)","(15.0, 230.0, 175.125)","(1.85, 230.0, 173.02)"
07-01-2023 12:55:48.128738,"(19.0, 230.0, 175.125)","(9.0, 16.0, 12.457142857142857)","(13.0, 55.0, 51.57692307692307)","(4.0, 5.6, 5.1)","(12.0, 23.0, 15.5)","(17.0, 140.0, 121.78571428571429)","(15.0, 230.0, 175.125)","(1.85, 230.0, 173.02)"
07-01-2023 12:55:49.382701,"(19.0, 230.0, 175.125)","(9.0, 16.0, 12.457142857142857)","(13.0, 55.0, 51.57692307692307)","(4.0, 5.6, 5.1)","(12.0, 23.0, 15.5)","(17.0, 140.0, 121.78571428571429)","(15.0, 230.0, 175.125)","(1.85, 230.0, 173.02)"
07-01-2023 12:55:50.602509,"(19.0, 230.0, 175.125)","(9.0, 16.0, 12.457142857142857)","(13.0, 55.0, 51.57692307692307)","(4.0, 5.6, 5.1)","(12.0, 23.0, 15.5)","(17.0, 140.0, 121.78571428571429)","(15.0, 230.0, 175.125)","(1.85, 230.0, 173.02)"
07-01-2023 12:55:51.854770,"(19.0, 230.0, 175.125)","(9.0, 16.0, 12.457142857142857)","(13.0, 55.0, 51.57692307692307)","(4.0, 5.6, 5.1)","(12.0, 23.0, 15.5)","(17.0, 140.0, 121.78571428571429)","(15.0, 230.0, 175.125)","(1.85, 230.0, 173.02)"
07-01-2023 12:55:53.290943,"(19.0, 230.0, 175.125)","(9.0, 16.0, 12.457142857142857)","(13.0, 55.0, 51.57692307692307)","(4.0, 5.6, 5.1)","(12.0, 23.0, 15.5)","(17.0, 140.0, 121.78571428571429)","(15.0, 230.0, 175.125)","(1.85, 230.0, 173.02)"
07-01-2023 12:55:54.681036,"(19.0, 230.0, 175.125)","(9.0, 16.0, 12.457142857142857)","(13.0, 55.0, 51.57692307692307)","(4.0, 5.6, 5.1)","(12.0, 23.0, 15.5)","(17.0, 140.0, 121.78571428571429)","(15.0, 230.0, 175.125)","(1.85, 230.0, 173.02)"
07-01-2023 12:55:55.922745,"(19.0, 230.0, 175.125)","(9.0, 16.0, 12.457142857142857)","(13.0, 55.0, 51.57692307692307)","(4.0, 5.6, 5.1)","(12.0, 23.0, 15.5)","(17.0, 140.0, 121.78571428571429)","(15.0, 230.0, 175.125)","(1.85, 230.0, 173.02)"
07-01-2023 12:55:57.166363,"(19.0, 230.0, 175.125)","(9.0, 16.0, 12.457142857142857)","(13.0, 55.0, 51.57692307692307)","(4.0, 5.6, 5.1)","(12.0, 23.0, 15.5)","(17.0, 140.0, 121.78571428571429)","(15.0, 230.0, 175.125)","(1.85, 230.0, 173.02)"
07-01-2023 12:55:58.371413,"(19.0, 230.0, 175.125)","(9.0, 16.0, 12.457142857142857)","(13.0, 55.0, 51.57692307692307)","(4.0, 5.6, 5.1)","(12.0, 23.0, 15.5)","(17.0, 140.0, 121.78571428571429)","(15.0, 230.0, 175.125)","(1.85, 230.0, 173.02)"
07-01-2023 12:55:59.588507,"(19.0, 230.0, 175.125)","(9.0, 16.0, 12.457142857142857)","(13.0, 55.0, 51.57692307692307)","(4.0, 5.6, 5.1)","(12.0, 23.0, 15.5)","(17.0, 140.0, 121.78571428571429)","(15.0, 230.0, 175.125)","(1.85, 230.0, 173.02)"
07-01-2023 12:56:00.739786,"(19.0, 230.0, 175.125)","(9.0, 16.0, 12.457142857142857)","(13.0, 55.0, 51.57692307692307)","(4.0, 5.6, 5.1)","(12.0, 23.0, 15.5)","(17.0, 140.0, 121.78571428571429)","(15.0, 230.0, 175.125)","(1.85, 230.0, 173.02)"
07-01-2023 12:56:01.832286,"(19.0, 230.0, 175.125)","(9.0, 16.0, 12.457142857142857)","(13.0, 55.0, 51.57692307692307)","(4.0, 5.6, 5.1)","(12.0, 23.0, 15.5)","(17.0, 140.0, 121.78571428571429)","(15.0, 230.0, 175.125)","(1.85, 230.0, 173.02)"
07-01-2023 12:56:03.028091,"(19.0, 230.0, 175.125)","(9.0, 16.0, 12.457142857142857)","(13.0, 55.0, 51.57692307692307)","(4.0, 5.6, 5.1)","(12.0, 23.0, 15.5)","(17.0, 140.0, 121.78571428571429)","(15.0, 230.0, 175.125)","(1.85, 230.0, 173.02)"
07-01-2023 12:56:04.238109,"(19.0, 230.0, 175.125)","(9.0, 16.0, 12.457142857142857)","(13.0, 55.0, 51.57692307692307)","(4.0, 5.6, 5.1)","(12.0, 23.0, 15.5)","(17.0, 140.0, 121.78571428571429)","(15.0, 230.0, 175.125)","(1.85, 230.0, 173.02)"
07-01-2023 12:56:05.516368,"(19.0, 230.0, 175.125)","(9.0, 16.0, 12.457142857142857)","(13.0, 55.0, 51.57692307692307)","(4.0, 5.6, 5.1)","(12.0, 23.0, 15.5)","(17.0, 140.0, 121.78571428571429)","(15.0, 230.0, 175.125)","(1.85, 230.0, 173.02)"
07-01-2023 12:56:06.767028,"(19.0, 230.0, 175.125)","(9.0, 16.0, 12.457142857142857)","(13.0, 55.0, 51.57692307692307)","(4.0, 5.6, 5.1)","(12.0, 23.0, 15.5)","(17.0, 140.0, 121.78571428571429)","(15.0, 230.0, 175.125)","(1.85, 230.0, 173.02)"
07-01-2023 12:56:08.048367,"(19.0, 230.0, 175.125)","(9.0, 16.0, 12.457142857142857)","(13.0, 55.0, 51.57692307692307)","(4.0, 5.6, 5.1)","(12.0, 23.0, 15.5)","(17.0, 140.0, 121.78571428571429)","(15.0, 230.0, 175.125)","(1.85, 230.0, 173.02)"
07-01-2023 12:56:09.384016,"(19.0, 230.0, 175.125)","(9.0, 16.0, 12.457142857142857)","(13.0, 55.0, 51.57692307692307)","(4.0, 5.6, 5.1)","(12.0, 23.0, 15.5)","(17.0, 140.0, 121.78571428571429)","(15.0, 230.0, 175.125)","(1.85, 230.0, 173.02)"
07-01-2023 12:56:10.668320,"(19.0, 230.0, 175.125)","(9.0, 16.0, 12.457142857142857)","(13.0, 55.0, 51.57692307692307)","(4.0, 5.6, 5.1)","(12.0, 23.0, 15.5)","(17.0, 140.0, 121.78571428571429)","(15.0, 230.0, 175.125)","(1.85, 230.0, 173.02)"
07-01-2023 12:56:11.878067,"(19.0, 230.0, 175.125)","(9.0, 16.0, 12.457142857142857)","(13.0, 55.0, 51.57692307692307)","(4.0, 5.6, 5.1)","(12.0, 23.0, 15.5)","(17.0, 140.0, 121.78571428571429)","(15.0, 230.0, 175.125)","(1.85, 230.0, 173.02)"
07-01-2023 12:56:12.961263,"(19.0, 230.0, 175.125)","(9.0, 16.0, 12.457142857142857)","(13.0, 55.0, 51.57692307692307)","(4.0, 5.6, 5.1)","(12.0, 23.0, 15.5)","(17.0, 140.0, 121.78571428571429)","(15.0, 230.0, 175.125)","(1.85, 230.0, 173.02)"
07-01-2023 12:56:14.167023,"(19.0, 230.0, 175.125)","(9.0, 16.0, 12.457142857142857)","(13.0, 55.0, 51.57692307692307)","(4.0, 5.6, 5.1)","(12.0, 23.0, 15.5)","(17.0, 140.0, 121.78571428571429)","(15.0, 230.0, 175.125)","(1.85, 230.0, 173.02)"
07-01-2023 12:56:15.447149,"(19.0, 230.0, 175.125)","(9.0, 16.0, 12.457142857142857)","(13.0, 55.0, 51.57692307692307)","(4.0, 5.6, 5.1)","(12.0, 23.0, 15.5)","(17.0, 140.0, 121.78571428571429)","(15.0, 230.0, 175.125)","(1.85, 230.0, 173.02)"
07-01-2023 12:56:16.809154,"(19.0, 230.0, 175.125)","(9.0, 16.0, 12.457142857142857)","(13.0, 55.0, 51.57692307692307)","(4.0, 5.6, 5.1)","(12.0, 23.0, 15.5)","(17.0, 140.0, 121.78571428571429)","(15.0, 230.0, 175.125)","(1.85, 230.0, 1.6919597989949748)"
07-01-2023 12:56:18.018031,"(19.0, 230.0, 175.125)","(9.0, 16.0, 12.457142857142857)","(13.0, 55.0, 51.57692307692307)","(4.0, 5.6, 5.1)","(12.0, 23.0, 15.5)","(17.0, 140.0, 121.78571428571429)","(15.0, 230.0, 175.125)","(1.85, 2.08, 2.0015841584158416)"
07-01-2023 12:56:19.214213,"(19.0, 230.0, 175.125)","(9.0, 16.0, 12.457142857142857)","(13.0, 55.0, 51.57692307692307)","(4.0, 5.6, 5.1)","(12.0, 23.0, 15.5)","(17.0, 140.0, 121.78571428571429)","(15.0, 230.0, 175.125)","(1.85, 2.08, 2.0015841584158416)"
07-01-2023 12:56:20.557327,"(19.0, 230.0, 175.125)","(9.0, 16.0, 12.457142857142857)","(13.0, 55.0, 51.57692307692307)","(4.0, 5.6, 5.1)","(12.0, 23.0, 15.5)","(17.0, 140.0, 121.78571428571429)","(15.0, 230.0, 175.125)","(1.85, 2.08, 2.0015841584158416)"
07-01-2023 12:56:21.882539,"(19.0, 230.0, 175.125)","(9.0, 16.0, 12.457142857142857)","(13.0, 55.0, 51.57692307692307)","(4.0, 5.6, 5.1)","(12.0, 23.0, 15.5)","(17.0, 140.0, 121.78571428571429)","(15.0, 230.0, 175.125)","(1.85, 2.08, 2.0015841584158416)"
07-01-2023 12:56:23.183842,"(19.0, 230.0, 175.125)","(9.0, 16.0, 12.457142857142857)","(13.0, 55.0, 51.57692307692307)","(4.0, 5.6, 5.1)","(12.0, 23.0, 15.5)","(17.0, 140.0, 121.78571428571429)","(15.0, 230.0, 175.125)","(1.85, 2.08, 2.0015841584158416)"
07-01-2023 12:56:24.376566,"(19.0, 230.0, 175.125)","(9.0, 16.0, 12.457142857142857)","(13.0, 55.0, 51.57692307692307)","(4.0, 5.6, 5.1)","(12.0, 23.0, 15.5)","(17.0, 140.0, 121.78571428571429)","(15.0, 230.0, 175.125)","(1.85, 2.08, 1.6922680412371134)"
07-01-2023 12:56:25.524322,"(19.0, 230.0, 175.125)","(9.0, 16.0, 12.457142857142857)","(13.0, 55.0, 51.57692307692307)","(4.0, 5.6, 5.1)","(12.0, 23.0, 15.5)","(17.0, 140.0, 121.78571428571429)","(15.0, 230.0, 175.125)","(1.85, 1.8, 1.6917098445595855)"
07-01-2023 12:56:26.739796,"(19.0, 230.0, 175.125)","(9.0, 16.0, 12.457142857142857)","(13.0, 55.0, 51.57692307692307)","(4.0, 5.6, 5.1)","(12.0, 23.0, 15.5)","(17.0, 140.0, 121.78571428571429)","(15.0, 230.0, 175.125)","(1.85, 1.8, 1.700523560209424)"
