,Delightful Mia,Jilliby Willow,Ajay Breezy Rose,Story To Tell,Gossip Girl Nz,Lady Lani,Ruby Wingate,Celestialfragrance,Sassyola,Orbie
07-01-2023 17:10:55.692894,"(41.0, 120.0, 106.0)","(2.8, 4.5, 3.1437500000000003)","(31.0, 100.0, 88.33333333333333)","(5.0, 8.6, 8.1125)","(6.5, 99999, 99990)","(41.0, 130.0, 114.33333333333333)","(14.0, 32.0, 16.142857142857142)","(4.8, 7.8, 7.375)","(6.0, 10.5, 9.375)","(14.0, 27.0, 19.0)"
07-01-2023 17:10:57.603527,"(41.0, 120.0, 106.0)","(2.8, 4.5, 3.1437500000000003)","(31.0, 100.0, 88.33333333333333)","(5.0, 8.6, 8.1125)","(6.5, 99999, 99990)","(41.0, 130.0, 114.33333333333333)","(14.0, 32.0, 16.142857142857142)","(4.8, 7.8, 7.375)","(6.0, 10.5, 9.375)","(14.0, 27.0, 19.0)"
07-01-2023 17:10:59.138554,"(41.0, 120.0, 106.0)","(2.8, 4.5, 3.1437500000000003)","(31.0, 100.0, 88.33333333333333)","(5.0, 8.6, 8.1125)","(6.5, 99999, 99990)","(41.0, 130.0, 114.33333333333333)","(14.0, 32.0, 16.142857142857142)","(4.8, 7.8, 7.375)","(6.0, 10.5, 9.375)","(14.0, 27.0, 19.0)"
07-01-2023 17:11:00.581328,"(41.0, 120.0, 106.0)","(2.8, 4.5, 3.1437500000000003)","(31.0, 100.0, 88.33333333333333)","(5.0, 8.6, 8.1125)","(6.5, 99999, 99990)","(41.0, 130.0, 114.33333333333333)","(14.0, 32.0, 16.142857142857142)","(4.8, 7.8, 7.375)","(6.0, 10.5, 9.375)","(14.0, 27.0, 19.0)"
07-01-2023 17:11:02.349424,"(41.0, 120.0, 106.0)","(2.8, 4.5, 3.1437500000000003)","(31.0, 100.0, 88.33333333333333)","(5.0, 8.6, 8.1125)","(6.5, 99999, 99990)","(41.0, 130.0, 114.33333333333333)","(14.0, 32.0, 16.142857142857142)","(4.8, 7.8, 7.375)","(6.0, 10.5, 9.375)","(14.0, 27.0, 19.0)"
07-01-2023 17:11:04.190181,"(41.0, 120.0, 106.0)","(2.8, 4.5, 3.1437500000000003)","(31.0, 100.0, 88.33333333333333)","(5.0, 8.6, 8.1125)","(6.5, 99999, 99990)","(41.0, 130.0, 114.33333333333333)","(14.0, 32.0, 16.142857142857142)","(4.8, 7.8, 7.375)","(6.0, 10.5, 9.375)","(14.0, 27.0, 19.0)"
07-01-2023 17:11:05.621669,"(41.0, 120.0, 106.0)","(2.8, 4.5, 3.1437500000000003)","(31.0, 100.0, 88.33333333333333)","(5.0, 8.6, 8.1125)","(6.5, 99999, 99990)","(41.0, 130.0, 114.33333333333333)","(14.0, 32.0, 16.142857142857142)","(4.8, 7.8, 7.375)","(6.0, 10.5, 9.375)","(14.0, 27.0, 19.0)"
07-01-2023 17:11:07.087107,"(41.0, 120.0, 106.0)","(2.8, 4.5, 3.1437500000000003)","(31.0, 100.0, 88.33333333333333)","(5.0, 8.6, 8.1125)","(6.5, 99999, 99990)","(41.0, 130.0, 114.33333333333333)","(14.0, 32.0, 16.142857142857142)","(4.8, 7.8, 7.375)","(6.0, 10.5, 9.375)","(14.0, 27.0, 19.0)"
07-01-2023 17:11:08.483640,"(41.0, 120.0, 106.0)","(2.8, 4.5, 3.1437500000000003)","(31.0, 100.0, 88.33333333333333)","(5.0, 8.6, 8.1125)","(6.5, 99999, 99990)","(41.0, 130.0, 114.33333333333333)","(14.0, 32.0, 16.142857142857142)","(4.8, 7.8, 7.375)","(6.0, 10.5, 9.375)","(14.0, 27.0, 19.0)"
07-01-2023 17:11:09.944400,"(41.0, 120.0, 106.0)","(2.8, 4.5, 3.1437500000000003)","(31.0, 100.0, 88.33333333333333)","(5.0, 8.6, 8.1125)","(6.5, 99999, 99990)","(41.0, 130.0, 114.33333333333333)","(14.0, 32.0, 16.142857142857142)","(4.8, 7.8, 7.375)","(6.0, 10.5, 9.375)","(14.0, 27.0, 19.0)"
