,Rock N Roll Doo Nz,Art Tutor,Sicario,A Gs White Socks Nz,Max Delight,Triple Eight Nz,Jilliby Sylvester,Rick Reilly Nz,Torrid Saint,Rackemup Tigerpie,Major Meister Nz,Bernie Winkle Nz
07-01-2023 20:09:34.393707,"(1.9, 99999, 99990)","(101.0, 400.0, 305.0)","(6.5, 8.6, 7.8056)","(31.0, 99999, 99990)","(8.5, 11.0, 10.302752293577981)","(17.0, 99999, 99990)","(51.0, 100.0, 95.0)","(101.0, 99999, 99990)","(9.0, 13.5, 12.880952380952381)","(101.0, 410.0, 398.0)","(7.0, 99999, 99990)","(101.0, 99999, 99990)"
07-01-2023 20:09:36.129253,"(1.85, 99999, 99990)","(101.0, 400.0, 305.0)","(6.5, 8.0, 7.743396226415094)","(31.0, 99999, 99990)","(8.5, 11.0, 10.307017543859649)","(17.0, 99999, 99990)","(51.0, 100.0, 97.77777777777777)","(101.0, 99999, 99990)","(9.0, 13.5, 13.018518518518519)","(101.0, 410.0, 398.0)","(7.0, 99999, 99990)","(101.0, 99999, 99990)"
07-01-2023 20:09:37.804385,"(1.85, 99999, 99990)","(101.0, 400.0, 305.0)","(6.5, 7.8, 7.699999999999999)","(31.0, 99999, 99990)","(8.5, 11.0, 10.651162790697674)","(17.0, 99999, 99990)","(51.0, 100.0, 98.0)","(101.0, 99999, 99990)","(9.0, 13.5, 13.018518518518519)","(101.0, 410.0, 398.0)","(7.0, 99999, 99990)","(101.0, 99999, 99990)"
07-01-2023 20:09:39.438199,"(1.85, 99999, 99990)","(101.0, 400.0, 305.0)","(6.5, 7.8, 7.68)","(31.0, 99999, 99990)","(8.5, 11.0, 10.712765957446809)","(17.0, 99999, 99990)","(51.0, 100.0, 98.0)","(101.0, 99999, 99990)","(9.0, 13.5, 13.666666666666666)","(101.0, 410.0, 403.3333333333333)","(7.0, 99999, 99990)","(101.0, 99999, 99990)"
07-01-2023 20:09:41.032938,"(1.85, 99999, 99990)","(101.0, 400.0, 305.0)","(6.5, 7.8, 7.68)","(31.0, 99999, 99990)","(8.5, 11.0, 10.712765957446809)","(17.0, 99999, 99990)","(51.0, 100.0, 98.0)","(101.0, 99999, 99990)","(9.0, 14.0, 13.666666666666666)","(101.0, 410.0, 403.3333333333333)","(7.0, 99999, 99990)","(101.0, 99999, 99990)"
07-01-2023 20:09:42.740332,"(1.85, 99999, 99990)","(101.0, 400.0, 305.0)","(6.5, 7.8, 7.68)","(31.0, 99999, 99990)","(8.5, 11.0, 10.692307692307692)","(17.0, 99999, 99990)","(51.0, 100.0, 97.5)","(101.0, 99999, 99990)","(9.0, 14.0, 13.666666666666666)","(101.0, 410.0, 403.3333333333333)","(7.0, 99999, 99990)","(101.0, 99999, 99990)"
07-01-2023 20:09:44.502082,"(1.85, 99999, 99990)","(101.0, 400.0, 305.0)","(6.5, 7.8, 7.68)","(31.0, 99999, 99990)","(8.5, 11.0, 10.692307692307692)","(17.0, 99999, 99990)","(51.0, 100.0, 97.5)","(101.0, 99999, 99990)","(9.0, 14.0, 13.666666666666666)","(101.0, 410.0, 403.3333333333333)","(7.0, 99999, 99990)","(101.0, 99999, 99990)"
07-01-2023 20:09:46.141552,"(1.85, 99999, 99990)","(101.0, 400.0, 305.0)","(6.5, 7.8, 7.847619047619047)","(31.0, 99999, 99990)","(8.5, 11.0, 10.672413793103448)","(17.0, 99999, 99990)","(51.0, 100.0, 97.5)","(101.0, 99999, 99990)","(9.0, 14.0, 14.166666666666666)","(101.0, 410.0, 403.3333333333333)","(7.0, 99999, 99990)","(101.0, 99999, 99990)"
07-01-2023 20:09:47.819868,"(1.85, 99999, 99990)","(101.0, 400.0, 305.0)","(6.5, 8.0, 8.087499999999999)","(31.0, 99999, 99990)","(8.5, 11.0, 10.672413793103448)","(17.0, 99999, 99990)","(51.0, 100.0, 97.5)","(101.0, 99999, 99990)","(9.0, 14.5, 14.166666666666666)","(101.0, 410.0, 403.3333333333333)","(7.0, 99999, 99990)","(101.0, 99999, 99990)"
07-01-2023 20:09:49.519421,"(1.85, 99999, 99990)","(101.0, 400.0, 305.0)","(6.5, 8.2, 8.049999999999999)","(31.0, 99999, 99990)","(8.5, 11.0, 10.666666666666666)","(17.0, 99999, 99990)","(51.0, 100.0, 97.5)","(101.0, 99999, 99990)","(9.0, 14.5, 14.454545454545455)","(101.0, 410.0, 403.3333333333333)","(7.0, 99999, 99990)","(101.0, 99999, 99990)"
07-01-2023 20:09:51.189767,"(1.85, 99999, 99990)","(101.0, 400.0, 305.0)","(6.5, 8.2, 7.668749999999999)","(31.0, 99999, 99990)","(8.5, 11.0, 10.653225806451612)","(17.0, 99999, 99990)","(51.0, 100.0, 97.5)","(101.0, 99999, 99990)","(9.0, 14.0, 13.609375)","(101.0, 410.0, 403.3333333333333)","(7.0, 99999, 99990)","(101.0, 99999, 99990)"
07-01-2023 20:09:52.709368,"(1.85, 99999, 99990)","(101.0, 400.0, 305.0)","(6.5, 8.2, 7.52)","(31.0, 99999, 99990)","(8.5, 11.0, 11.333333333333334)","(17.0, 99999, 99990)","(51.0, 100.0, 105.83333333333334)","(101.0, 99999, 99990)","(9.0, 14.0, 13.62962962962963)","(101.0, 410.0, 403.3333333333333)","(7.0, 99999, 99990)","(101.0, 99999, 99990)"
